기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
"2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||미래에셋운용, ""1년 은행CD금리 ETF…금리형 ETF 중 수익률 1위""|||http://www.metroseoul.co.kr/article/20240310500147|||0.0%||||||퇴직연금IRP||||||"
2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||[증권상품 풍향계] 국내 첫 주단위 콜옵션 매도 ETF 상장 '눈길'|||https://www.sisajournal-e.com/news/articleView.html?idxno=401075|||0.0%||||||ISA서민형||||||
"2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||미래에셋운용 1년은행CD ETF, 금리형 ETF 수익률 1위|||https://www.apnews.kr/news/articleView.html?idxno=3016875|||0.0%||||||삼성증권고객센터||||||"
"2024-03-19|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||14.0%|||미래에셋, 'TIGER 1년은행양도성예금증서액티브(합성) ETF' 금리형 ETF 수익률...|||http://www.queen.co.kr/news/articleView.html?idxno=407872|||0.0%||||||연금저축보험||||||"
2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||신탁·랩 만기불일치 투자시 고객동의·기준수립 의무화 [투자360]|||https://n.news.naver.com/mnews/article/016/0002282160?sid=101|||0.0%||||||국민연금||||||
2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||“랩·신탁 돌려막기 방지”…고객 사전동의제 도입한다|||https://n.news.naver.com/mnews/article/018/0005695158?sid=101|||0.0%||||||NH투자증권||||||
"2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||금융위 ""신탁·랩 계약 시 관리 기준 의무화""|||https://www.kbanker.co.kr/news/articleView.html?idxno=213560|||0.0%||||||나무증권||||||"
"2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||금융당국 ""랩·신탁 관련 투자자 보호 강화""|||http://www.consumernews.co.kr/news/articleView.html?idxno=702039|||0.0%||||||주택연금||||||"
2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||증권 사 신탁·랩 만기 불일치 운용시 고객 동의 받아야…리스크 절차도 강화|||https://news.mtn.co.kr/news-detail/2024031816082791883|||0.0%||||||IRP세액공제||||||
"2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||금융당국,  증권 사 만기 미스매치 운용 손본다...“고객 사전동의·리스크 관리...|||https://www.etoday.co.kr/news/view/2341426|||0.0%||||||IRP퇴직연금수령||||||"
"2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||신탁·랩, 만기 미스매치 투자하려면 고객 사전동의 받아야|||https://n.news.naver.com/mnews/article/366/0000978872?sid=101|||0.0%||||||퇴직연금IRP||||||"
2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||'달달한 배당' 세금은 쓴맛?…절세 카드는|||https://n.news.naver.com/mnews/article/018/0005695142?sid=101|||0.0%||||||ISA서민형||||||
"2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||신탁·랩 만기 미스매치 운용시 리스크 관리한다···금융위, 관련 개정안 입...|||https://www.asiatoday.co.kr/view.php?key=20240318010010026|||0.0%||||||삼성증권고객센터||||||"
"2024-03-19|||주별 급상승|||ISA증권|||중개형ISA|||70.0|||18.04%|||금융위, ‘상품성신탁 공시 도입’ 투자자보호 강화·보험금청구권 신탁 도입|||https://n.news.naver.com/mnews/article/123/0002329906?sid=101|||0.0%||||||연금저축보험||||||"
2024-03-19|||주별 급상승|||KB증권ISA수수료|||중개형ISA|||90.0|||4.81%|||“코인 개미 붙잡자”…  증권 사 고객 유치에 팔걷어|||https://www.ekn.kr/web/view.php?key=20240318026277081|||0.0%||||||국민연금||||||
2024-03-19|||주별 급상승|||KB증권ISA수수료|||중개형ISA|||90.0|||4.81%|||가입 10조 넘은  ISA … 증권 사별 수익률· 수수료  천차만별|||https://it.chosun.com/news/articleView.html?idxno=2023092111475|||0.0%||||||NH투자증권||||||
