기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
"2024-03-21|||주별 급상승|||DART|||미국금리,미국주식,적립식펀드|||109800.0|||1.66%|||믿는 사람이 바보?… 특례상장 95% 약속했던 실적 달성 못 해|||https://n.news.naver.com/mnews/article/366/0000979500?sid=101|||0.1%||||||환율조회||||||"
"2024-03-21|||주별 급상승|||DART|||미국금리,미국주식,적립식펀드|||109800.0|||1.66%|||구자열 LS 이사회 의장, 지난해 연봉 56억원…구자은 회장 52억|||https://n.news.naver.com/mnews/article/366/0000979476?sid=101|||0.1%||||||중국환율||||||"
"2024-03-21|||주별 급상승|||DART|||미국금리,미국주식,적립식펀드|||109800.0|||1.66%|||[속보] 삼정회계법인, 태영건설 재무제표 감사 '의견거절'|||http://www.startuptoday.co.kr/news/articleView.html?idxno=184666|||0.1%||||||다우존스||||||"
"2024-03-21|||주별 급상승|||DART|||미국금리,미국주식,적립식펀드|||109800.0|||1.66%|||커머스마이너, 100억원 3자배정 유상증자 결정|||https://news.einfomax.co.kr/news/articleView.html?idxno=4302651|||0.1%||||||다우나스닥||||||"
"2024-03-21|||주별 급상승|||DART|||미국금리,미국주식,적립식펀드|||109800.0|||1.66%|||국내 대기업, 온실가스 감축 의지 있나?|||http://www.newswatch.kr/news/articleView.html?idxno=67588|||0.1%||||||원달러환율||||||"
"2024-03-21|||주별 급상승|||DART|||미국금리,미국주식,적립식펀드|||109800.0|||1.66%|||'결판'은 없었던 주총 결과… 영풍그룹 공동창업주 양가 갈등 지속 불가피|||https://www.sisaweek.com/news/articleView.html?idxno=212910|||0.1%||||||해외증시||||||"
"2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||로빈후드, 안드로이드용 암호화폐 지갑 출시|||https://www.digitaltoday.co.kr/news/articleView.html?idxno=510408|||0.0%||||||비트코인시세||||||"
"2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||[코툰] “반감기, 비트코인 가격에 충분히 반영 안돼""|||http://coinreaders.com/103311|||0.0%||||||이더리움시세||||||"
"2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||[토큰포스트 저녁 브리핑] 비트코인, 하루 8% 하락...FTX 파산 이후 최대 낙폭|||https://www.tokenpost.kr/article-170143|||0.0%||||||리플시세||||||"
2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||[토큰포스트 마감 브리핑] 비트코인 현물 ETF서 3억2000만 달러 순유출 外|||https://www.tokenpost.kr/article-170107|||0.0%||||||코인시세||||||
"2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||밈코인 '슬러프', 출시 첫날 이더리움  DEX  일일 거래액 추월|||https://decenter.kr/NewsView/2D6PKYRGSM|||0.0%||||||비트코인하는법||||||"
2024-03-21|||주별 급상승|||DEX거래소|||디지털자산|||3980.0|||4.33%|||업비트  거래소 에서 금일 가장 주목 받는 가상화폐는…|||https://www.khgames.co.kr/news/articleView.html?idxno=225865|||0.0%||||||가상화폐||||||
