기준일자,유형,연관검색어,검색키워드,검색량,지표,뉴스제목,뉴스링크,활동성,구글검색어,네이버검색어,상승월
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,"국회입법조사처, 근친혼 범위 조정 관련 보고서 공개",http://www.cfnews.kr/news.aspx/85141,92.5%, ,상속세, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,"“이제 보통사람들도 지배구조 얘기, 정부가 대충 덮지 못할 것”",https://www.hani.co.kr/arti/economy/economy_general/1133025.html,92.5%, ,증여세면제한도, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,"전안나 前 서울가정법원 부장판사, 법무법인 평산 대표 변호사 로 새출발",https://www.lawtimes.co.kr/news/196900,92.5%, ,증여세세율, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%, 상속 분쟁 10년간 3배 증가...가족 간 불균형한  상속  있었다면 유류분반환소송...,http://www.lawleader.co.kr/news/articleView.html?idxno=12705,92.5%, ,상속세세율, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,"법무법인 빛, 서울 강북지사 개소 ""지역 밀착형 법률 서비스 제공할 것""",http://www.kdpress.co.kr/news/articleView.html?idxno=127292,92.5%, ,증여세계산기, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,"[부동산 법률] ""유류분청구 대상, 한명이 아닌 경우 있다""",https://www.smartfn.co.kr/article/view/sfn202403190046,92.5%, ,상속세면제한도, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,"""집 주인이 사망해서..."" 임대인 아내가 보낸 문자, 전세금 반환 방법은?",https://radio.ytn.co.kr/program/?f=2&id=94798&s_mcd=0452&s_hcd=01,92.5%, ,유산, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,"""집 주인이 사망해서..."" 임대인 아내가 보낸 문자, 전세금 반환 방법은?",https://www.ytn.co.kr/_ln/0101_202403191449521516,92.5%, ,양도, 
2024-03-21,일별 급상승,상속전문변호사,"상속, 증여",3860.0,41.32%,母 병수발 후 받은 아파트…여동생들 “내 몫도 줘야지” 소송,http://www.edaily.co.kr/news/newspath.asp?newsid=02643686638824960,92.5%, ,증여, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,'헉' 소리나는 전북은행 대출금리에 서민 운다···평균 10.78% 전국 최고,http://www.jeollailbo.com/news/articleView.html?idxno=724973,93.6%, ,삼성전자주가, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,"영천시-경북신보재단 등 금융기관, 특례보증·이차보전 MOU",http://www.kyongbuk.co.kr/news/articleView.html?idxno=4004163,93.6%, ,미국증시, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,"지난해 순익 급감한 케이뱅크, 올핸 반전 이룰까",https://www.sisajournal-e.com/news/articleView.html?idxno=401401,93.6%, ,달러환율, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,"[3/19(화) 데일리안 퇴근길뉴스] ""의사 눈치보는 국민, 제대로 된 나라냐""…尹...",https://www.dailian.co.kr/news/view/1340942/?sc=Naver,93.6%, ,부동산, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,""" 신용점수 만 NO"" 넷플시청부터 명함까지, 인뱅  신용 평가에 쓴다",http://news.mt.co.kr/mtview.php?no=2024031915140771532,93.6%, ,나스닥선물, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,카드사 중금리 대출에 '빗장'…중·저 신용 자 '발 동동',https://www.dailian.co.kr/news/view/1340898/?sc=Naver,93.6%, ,나스닥, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,[내일의 눈]금융권 곳곳에 켜진 위험 경고등,https://www.naeil.com/news/read/504675?ref=naver,93.6%, ,대출계산기, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,"한전, 행안부 데이터 평가 최고 등급  획득",https://zdnet.co.kr/view/?no=20240319112714,93.6%, ,유럽증시, 
2024-03-21,주별 급상승,신용점수등급,금리,46230.0,14.61%,카드사 중금리대출액 12% 감소,https://www.asiatime.co.kr/article/20240318500343,93.6%, ,대출이자계산기, 
