date,아파트등기비용
2023-01-28,23.67149
2023-01-29,26.08695
2023-01-30,34.05797
2023-01-31,35.99033
2023-02-01,40.82125
2023-02-02,30.67632
2023-02-03,31.15942
2023-02-04,14.73429
2023-02-05,18.11594
2023-02-06,41.54589
2023-02-07,37.68115
2023-02-08,32.1256
2023-02-09,33.09178
2023-02-10,29.71014
2023-02-11,21.73913
2023-02-12,17.14975
2023-02-13,38.64734
2023-02-14,35.50724
2023-02-15,30.91787
2023-02-16,31.88405
2023-02-17,31.40096
2023-02-18,21.98067
2023-02-19,18.35748
2023-02-20,35.02415
2023-02-21,31.15942
2023-02-22,31.40096
2023-02-23,30.19323
2023-02-24,31.15942
2023-02-25,17.87439
2023-02-26,23.42995
2023-02-27,30.19323
2023-02-28,38.40579
2023-03-01,27.29468
2023-03-02,31.88405
2023-03-03,37.43961
2023-03-04,19.80676
2023-03-05,18.84057
2023-03-06,37.68115
2023-03-07,37.19806
2023-03-08,35.74879
2023-03-09,29.46859
2023-03-10,27.53623
2023-03-11,17.3913
2023-03-12,19.08212
2023-03-13,38.40579
2023-03-14,39.85507
2023-03-15,37.43961
2023-03-16,34.29951
2023-03-17,33.09178
2023-03-18,22.22222
2023-03-19,22.22222
2023-03-20,38.64734
2023-03-21,38.40579
2023-03-22,30.43478
2023-03-23,32.60869
2023-03-24,35.02415
2023-03-25,22.22222
2023-03-26,20.5314
2023-03-27,37.19806
2023-03-28,42.02898
2023-03-29,36.71497
2023-03-30,33.57487
2023-03-31,28.9855
2023-04-01,20.0483
2023-04-02,18.11594
2023-04-03,39.85507
2023-04-04,30.91787
2023-04-05,33.33333
2023-04-06,38.64734
2023-04-07,25.60386
2023-04-08,21.98067
2023-04-09,21.73913
2023-04-10,39.85507
2023-04-11,35.2657
2023-04-12,31.88405
2023-04-13,28.9855
2023-04-14,29.71014
2023-04-15,17.14975
2023-04-16,19.08212
2023-04-17,35.74879
2023-04-18,35.02415
2023-04-19,36.47342
2023-04-20,34.05797
2023-04-21,34.54106
2023-04-22,19.08212
2023-04-23,19.80676
2023-04-24,45.65217
2023-04-25,28.9855
2023-04-26,33.81642
2023-04-27,34.29951
2023-04-28,28.74396
2023-04-29,21.01449
2023-04-30,17.63285
2023-05-01,23.67149
2023-05-02,36.47342
2023-05-03,35.74879
2023-05-04,30.43478
2023-05-05,22.22222
2023-05-06,17.14975
2023-05-07,15.70048
2023-05-08,33.09178
2023-05-09,34.7826
2023-05-10,44.44444
2023-05-11,28.9855
2023-05-12,29.46859
2023-05-13,26.3285
2023-05-14,22.46376
2023-05-15,42.75362
2023-05-16,41.30434
2023-05-17,41.78743
2023-05-18,28.50241
2023-05-19,31.64251
2023-05-20,21.01449
2023-05-21,26.08695
2023-05-22,42.75362
2023-05-23,39.13043
2023-05-24,48.06763
2023-05-25,40.57971
2023-05-26,29.22705
2023-05-27,14.00966
