date,NPL
2022-02-14,43.26145
2022-02-15,48.65229
2022-02-16,42.99191
2022-02-17,48.24797
2022-02-18,43.66576
2022-02-19,29.38005
2022-02-20,36.52291
2022-02-21,48.78706
2022-02-22,48.24797
2022-02-23,41.10512
2022-02-24,42.72237
2022-02-25,40.29649
2022-02-26,22.91105
2022-02-27,23.18059
2022-02-28,30.86253
2022-03-01,26.01078
2022-03-02,42.72237
2022-03-03,43.80053
2022-03-04,38.27493
2022-03-05,21.15902
2022-03-06,27.35849
2022-03-07,45.41778
2022-03-08,41.23989
2022-03-09,21.83288
2022-03-10,35.1752
2022-03-11,36.65768
2022-03-12,20.61994
2022-03-13,25.74123
2022-03-14,39.08355
2022-03-15,44.07008
2022-03-16,44.07008
2022-03-17,39.62264
2022-03-18,40.7008
2022-03-19,30.9973
2022-03-20,27.49326
2022-03-21,45.68733
2022-03-22,51.3477
2022-03-23,52.02156
2022-03-24,43.66576
2022-03-25,45.28301
2022-03-26,29.64959
2022-03-27,29.24528
2022-03-28,47.57412
2022-03-29,42.45283
2022-03-30,51.48247
2022-03-31,46.76549
2022-04-01,39.75741
2022-04-02,23.98921
2022-04-03,27.22371
2022-04-04,36.25336
2022-04-05,45.01347
2022-04-06,43.66576
2022-04-07,49.73045
2022-04-08,38.27493
2022-04-09,24.79784
2022-04-10,22.50673
2022-04-11,36.52291
2022-04-12,39.62264
2022-04-13,41.37466
2022-04-14,47.97843
2022-04-15,41.50943
2022-04-16,22.91105
2022-04-17,32.61455
2022-04-18,63.20754
2022-04-19,50.94339
2022-04-20,44.33962
2022-04-21,50.40431
2022-04-22,39.75741
2022-04-23,30.72776
2022-04-24,27.08894
2022-04-25,42.04851
2022-04-26,53.77358
2022-04-27,55.12129
2022-04-28,56.73854
2022-04-29,47.43935
2022-04-30,27.22371
2022-05-01,25.60646
2022-05-02,44.8787
2022-05-03,48.92183
2022-05-04,48.24797
2022-05-05,30.86253
2022-05-06,38.14016
2022-05-07,20.88948
2022-05-08,25.20215
2022-05-09,44.8787
2022-05-10,46.09164
2022-05-11,45.14824
2022-05-12,46.36118
2022-05-13,41.10512
2022-05-14,26.41509
2022-05-15,22.77628
2022-05-16,41.10512
2022-05-17,42.99191
2022-05-18,45.28301
2022-05-19,43.12668
2022-05-20,38.4097
2022-05-21,22.77628
2022-05-22,21.02425
2022-05-23,45.68733
2022-05-24,50.26954
2022-05-25,44.8787
2022-05-26,44.33962
2022-05-27,44.33962
2022-05-28,24.79784
2022-05-29,20.21563
2022-05-30,38.94878
2022-05-31,38.4097
2022-06-01,22.77628
2022-06-02,38.4097
2022-06-03,37.73584
2022-06-04,22.6415
2022-06-05,21.83288
2022-06-06,21.83288
2022-06-07,41.50943
2022-06-08,49.0566
2022-06-09,46.09164
2022-06-10,44.74393
2022-06-11,26.8194
2022-06-12,24.93261
2022-06-13,45.41778
2022-06-14,42.5876
2022-06-15,52.69541
2022-06-16,52.69541
2022-06-17,43.26145
2022-06-18,25.60646
2022-06-19,26.14555
2022-06-20,55.5256
2022-06-21,43.80053
2022-06-22,52.56064
2022-06-23,44.33962
2022-06-24,40.29649
2022-06-25,22.77628
2022-06-26,21.15902
2022-06-27,44.47439
2022-06-28,45.28301
2022-06-29,45.95687
2022-06-30,44.8787
2022-07-01,39.75741
2022-07-02,23.31536
2022-07-03,20.48517
2022-07-04,40.02695
2022-07-05,40.7008
2022-07-06,53.36927
2022-07-07,52.15633
2022-07-08,48.24797
2022-07-09,23.31536
2022-07-10,27.89757
2022-07-11,61.18598
2022-07-12,51.75202
2022-07-13,53.36927
2022-07-14,49.0566
2022-07-15,48.1132
2022-07-16,30.86253
2022-07-17,25.60646
2022-07-18,50.26954
2022-07-19,48.38274
2022-07-20,52.96495
2022-07-21,44.33962
2022-07-22,43.80053
2022-07-23,28.57142
2022-07-24,22.91105
2022-07-25,46.76549
2022-07-26,46.49595
2022-07-27,41.77897
2022-07-28,41.23989
2022-07-29,36.92722
2022-07-30,18.05929
2022-07-31,16.1725
2022-08-01,34.09703
2022-08-02,38.67924
2022-08-03,44.20485
2022-08-04,44.07008
2022-08-05,40.97035
2022-08-06,28.16711
2022-08-07,23.45013
2022-08-08,41.37466
2022-08-09,49.0566
2022-08-10,45.95687
2022-08-11,43.80053
2022-08-12,37.87061
2022-08-13,20.75471
2022-08-14,17.25067
2022-08-15,28.03234
2022-08-16,37.60107
2022-08-17,43.39622
2022-08-18,43.53099
2022-08-19,45.41778
2022-08-20,25.33692
2022-08-21,22.50673
2022-08-22,42.45283
2022-08-23,47.57412
2022-08-24,50.40431
2022-08-25,44.60916
2022-08-26,37.60107
2022-08-27,30.86253
2022-08-28,29.11051
2022-08-29,43.53099
2022-08-30,46.63072
2022-08-31,45.28301
2022-09-01,47.16981
2022-09-02,38.4097
2022-09-03,19.94609
2022-09-04,21.56334
2022-09-05,47.84366
2022-09-06,43.9353
2022-09-07,42.04851
2022-09-08,31.26684
2022-09-09,15.63342
2022-09-10,14.01617
2022-09-11,18.19407
2022-09-12,24.5283
2022-09-13,44.8787
2022-09-14,46.76549
2022-09-15,39.62264
2022-09-16,36.92722
2022-09-17,18.59838
2022-09-18,18.86792
2022-09-19,39.62264
2022-09-20,45.41778
2022-09-21,62.12938
2022-09-22,56.87331
2022-09-23,40.56603
2022-09-24,24.12398
2022-09-25,22.91105
2022-09-26,50.40431
2022-09-27,45.55256
2022-09-28,44.8787
2022-09-29,42.72237
2022-09-30,40.7008
2022-10-01,18.59838
2022-10-02,15.22911
2022-10-03,23.5849
2022-10-04,38.54447
2022-10-05,40.56603
2022-10-06,38.67924
2022-10-07,32.47978
2022-10-08,18.73315
2022-10-09,16.1725
2022-10-10,21.56334
2022-10-11,49.46091
2022-10-12,46.22641
2022-10-13,52.96495
2022-10-14,43.80053
2022-10-15,22.50673
2022-10-16,22.37196
2022-10-17,46.36118
2022-10-18,51.75202
2022-10-19,49.32614
2022-10-20,52.96495
2022-10-21,45.68733
2022-10-22,25.06738
2022-10-23,22.37196
2022-10-24,49.32614
2022-10-25,57.14285
2022-10-26,47.43935
2022-10-27,44.74393
2022-10-28,47.43935
2022-10-29,27.35849
2022-10-30,21.96765
2022-10-31,47.16981
2022-11-01,52.15633
2022-11-02,56.73854
2022-11-03,55.12129
2022-11-04,54.71698
2022-11-05,25.74123
2022-11-06,26.68463
2022-11-07,52.56064
2022-11-08,56.19946
2022-11-09,53.63881
2022-11-10,52.2911
2022-11-11,46.09164
2022-11-12,26.14555
2022-11-13,20.08086
2022-11-14,53.09973
2022-11-15,53.63881
2022-11-16,46.49595
2022-11-17,46.90026
2022-11-18,44.47439
2022-11-19,18.32884
2022-11-20,21.69811
2022-11-21,52.2911
2022-11-22,52.83018
2022-11-23,53.63881
2022-11-24,56.73854
2022-11-25,55.79514
2022-11-26,22.91105
2022-11-27,25.20215
2022-11-28,45.28301
2022-11-29,51.3477
2022-11-30,53.63881
2022-12-01,55.92991
2022-12-02,48.38274
2022-12-03,22.50673
2022-12-04,19.81132
2022-12-05,52.69541
2022-12-06,48.65229
2022-12-07,50.80862
2022-12-08,55.39083
2022-12-09,46.90026
2022-12-10,22.6415
2022-12-11,28.16711
2022-12-12,47.70889
2022-12-13,48.92183
2022-12-14,52.69541
2022-12-15,49.0566
2022-12-16,45.28301
