date,전세자금대출금리비교
2021-08-06,7.53623
2021-08-09,9.85507
2021-08-10,13.91304
2021-08-11,7.24637
2021-08-12,6.95652
2021-08-13,6.37681
2021-08-15,2.89855
2021-08-16,2.02898
2021-08-17,10.14492
2021-08-18,6.95652
2021-08-19,9.85507
2021-08-20,8.11594
2021-08-21,4.63768
2021-08-22,1.73913
2021-08-23,12.46376
2021-08-24,7.24637
2021-08-25,5.7971
2021-08-26,5.50724
2021-08-27,3.47826
2021-08-28,2.89855
2021-08-29,2.60869
2021-08-30,8.9855
2021-08-31,7.53623
2021-09-01,9.56521
2021-09-02,7.24637
2021-09-03,1.73913
2021-09-05,3.47826
2021-09-06,7.24637
2021-09-07,4.63768
2021-09-08,6.66666
2021-09-09,5.21739
2021-09-10,7.82608
2021-09-11,1.73913
2021-09-12,2.02898
2021-09-13,8.11594
2021-09-14,6.37681
2021-09-15,8.9855
2021-09-16,7.82608
2021-09-17,3.76811
2021-09-22,1.44927
2021-09-23,9.56521
2021-09-24,7.24637
2021-09-26,1.44927
2021-09-27,6.37681
2021-09-28,7.82608
2021-09-29,6.66666
2021-09-30,7.53623
2021-10-01,5.50724
2021-10-02,2.60869
2021-10-03,1.44927
2021-10-04,4.63768
2021-10-05,9.85507
2021-10-06,8.40579
2021-10-07,6.66666
2021-10-08,6.08695
2021-10-12,5.7971
2021-10-13,4.92753
2021-10-14,10.43478
2021-10-15,9.85507
2021-10-16,5.7971
2021-10-17,3.47826
2021-10-18,13.91304
2021-10-19,10.43478
2021-10-20,8.69565
2021-10-21,6.95652
2021-10-22,8.40579
2021-10-23,3.47826
2021-10-24,2.89855
2021-10-25,9.56521
2021-10-26,6.66666
2021-10-27,6.66666
2021-10-28,2.89855
2021-10-29,6.66666
2021-10-31,1.73913
2021-11-01,1.73913
2021-11-02,4.92753
2021-11-03,1.73913
2021-11-04,1.44927
2021-11-05,2.60869
2021-11-09,5.21739
2021-11-10,2.89855
2021-11-11,4.92753
2021-11-15,4.92753
2021-11-17,6.95652
2021-11-18,4.34782
2021-11-19,2.60869
2021-11-20,1.44927
2021-11-21,1.73913
2021-11-22,4.63768
2021-11-23,3.47826
2021-11-24,4.34782
2021-11-25,2.31884
2021-11-26,1.73913
