date,연금저축펀드
2022-06-24,6.24737
2022-06-25,3.95456
2022-06-26,5.122
2022-06-27,6.22633
2022-06-28,7.66722
2022-06-29,6.45771
2022-06-30,5.21665
2022-07-01,4.55405
2022-07-02,3.70214
2022-07-03,4.92217
2022-07-04,7.64619
2022-07-05,5.94236
2022-07-06,5.40597
2022-07-07,5.64787
2022-07-08,5.00631
2022-07-09,3.88094
2022-07-10,5.44804
2022-07-11,5.75305
2022-07-12,5.6058
2022-07-13,5.58477
2022-07-14,5.03786
2022-07-15,5.06941
2022-07-16,3.20782
2022-07-17,4.2175
2022-07-18,5.32183
2022-07-19,5.19562
2022-07-20,5.62684
2022-07-21,6.63651
2022-07-22,6.0896
2022-07-23,3.88094
2022-07-24,5.52166
2022-07-25,7.40429
2022-07-26,6.84686
2022-07-27,6.01598
2022-07-28,5.29028
2022-07-29,5.20614
2022-07-30,4.20698
2022-07-31,5.32183
2022-08-01,7.61464
2022-08-02,6.21581
2022-08-03,6.61548
2022-08-04,5.75305
2022-08-05,5.32183
2022-08-06,4.37526
2022-08-07,4.93268
2022-08-08,6.22633
2022-08-09,5.5427
2022-08-10,5.81615
2022-08-11,6.12116
2022-08-12,5.83718
2022-08-13,4.38578
2022-08-14,5.58477
2022-08-15,5.79511
2022-08-16,8.05637
2022-08-17,7.30963
2022-08-18,6.60496
2022-08-19,6.72065
2022-08-20,4.84854
2022-08-21,5.61632
2022-08-22,6.58392
2022-08-23,6.88893
2022-08-24,6.62599
2022-08-25,7.89861
2022-08-26,6.63651
2022-08-27,4.85906
2022-08-28,7.16238
2022-08-29,8.0143
2022-08-30,7.3517
2022-08-31,7.96171
2022-09-01,6.90997
2022-09-02,5.16407
2022-09-03,4.2175
2022-09-04,5.87925
2022-09-05,5.82667
2022-09-06,6.62599
2022-09-07,5.91081
2022-09-08,5.10096
2022-09-09,3.66007
2022-09-10,4.01766
2022-09-11,4.2175
2022-09-12,5.32183
2022-09-13,8.37189
2022-09-14,6.55237
2022-09-15,5.6058
2022-09-16,4.75389
2022-09-17,3.56541
2022-09-18,3.58645
2022-09-19,5.45856
2022-09-20,5.67942
2022-09-21,5.06941
2022-09-22,5.05889
2022-09-23,4.66975
2022-09-24,3.10265
2022-09-25,3.81783
2022-09-26,4.7644
2022-09-27,4.62768
2022-09-28,4.5225
2022-09-29,4.49095
2022-09-30,4.22801
2022-10-01,3.26041
2022-10-02,3.14472
2022-10-03,4.11232
2022-10-04,6.06857
2022-10-05,5.35338
2022-10-06,4.74337
2022-10-07,4.54354
2022-10-08,2.88178
2022-10-09,3.73369
2022-10-10,4.75389
2022-10-11,5.53218
2022-10-12,4.72233
2022-10-13,4.33319
2022-10-14,4.18594
2022-10-15,2.73453
2022-10-16,3.5549
2022-10-17,4.66975
2022-10-18,4.58561
2022-10-19,4.15439
2022-10-20,3.97559
2022-10-21,3.81783
2022-10-22,2.21918
2022-10-23,2.90281
2022-10-24,4.05973
2022-10-25,5.49011
2022-10-26,5.20614
2022-10-27,5.02734
2022-10-28,4.19646
2022-10-29,2.56625
2022-10-30,3.11316
2022-10-31,5.51114
2022-11-01,5.13251
2022-11-02,6.25788
2022-11-03,5.03786
2022-11-04,5.26924
2022-11-05,4.89061
2022-11-06,4.80647
2022-11-07,5.64787
2022-11-08,5.00631
2022-11-09,5.39545
2022-11-10,5.44804
2022-11-11,5.46907
2022-11-12,4.74337
2022-11-13,4.13336
2022-11-14,5.24821
2022-11-15,5.35338
2022-11-16,5.427
2022-11-17,5.59528
2022-11-18,5.05889
2022-11-19,3.91249
2022-11-20,5.39545
2022-11-21,5.83718
2022-11-22,6.29995
2022-11-23,6.0896
2022-11-24,5.90029
2022-11-25,5.11148
2022-11-26,3.72318
2022-11-27,4.71182
2022-11-28,5.88977
2022-11-29,6.53134
2022-11-30,5.94236
2022-12-01,6.2053
2022-12-02,5.63735
2022-12-03,3.90197
2022-12-04,5.13251
2022-12-05,6.87841
2022-12-06,6.60496
2022-12-07,6.97307
2022-12-08,6.78376
2022-12-09,7.26756
2022-12-10,4.73285
2022-12-11,6.04753
2022-12-12,8.42448
2022-12-13,8.39293
2022-12-14,8.05637
2022-12-15,7.03618
2022-12-16,6.77324
2022-12-17,4.63819
2022-12-18,6.931
2022-12-19,7.90912
2022-12-20,9.60244
2022-12-21,7.86705
2022-12-22,7.36222
2022-12-23,7.88809
2022-12-24,5.11148
2022-12-25,6.07909
2022-12-26,10.85401
2022-12-27,10.73832
2022-12-28,10.01262
2022-12-29,11.90576
2022-12-30,12.35801
2022-12-31,7.19394
2023-01-01,4.64871
2023-01-02,6.13167
2023-01-03,5.41649
2023-01-04,5.94236
2023-01-05,6.87841
2023-01-06,5.27976
2023-01-07,4.31215
2023-01-08,5.01682
2023-01-09,7.50946
2023-01-10,6.80479
2023-01-11,6.6891
2023-01-12,8.55069
2023-01-13,6.67858
2023-01-14,6.2684
2023-01-15,8.51914
2023-01-16,10.83298
2023-01-17,11.86369
2023-01-18,12.87336
2023-01-19,10.92763
2023-01-20,10.47538
2023-01-21,6.45771
2023-01-22,7.43584
2023-01-23,8.10896
2023-01-24,8.74
2023-01-25,16.28102
2023-01-26,16.31257
2023-01-27,14.74547
2023-01-28,8.82414
2023-01-29,8.70845
2023-01-30,13.46234
2023-01-31,12.03197
2023-02-01,9.99158
2023-02-02,9.8233
2023-02-03,9.23432
2023-02-04,6.56289
2023-02-05,6.83634
2023-02-06,9.24484
2023-02-07,9.8233
2023-02-08,10.25452
2023-02-09,9.21329
2023-02-10,8.05637
2023-02-11,5.74253
2023-02-12,6.0896
2023-02-13,8.57172
2023-02-14,7.71981
2023-02-15,8.66638
2023-02-16,9.00294
2023-02-17,8.48758
2023-02-18,6.32099
2023-02-19,6.66806
2023-02-20,9.87589
2023-02-21,8.87673
2023-02-22,8.04585
2023-02-23,7.3517
2023-02-24,8.55069
2023-02-25,6.07909
2023-02-26,6.64703
2023-02-27,9.85485
2023-02-28,8.08792
2023-03-01,8.9188
2023-03-02,7.89861
2023-03-03,8.2562
2023-03-04,7.5936
2023-03-05,7.51998
2023-03-06,7.97223
2023-03-07,8.17206
2023-03-08,7.22549
2023-03-09,7.03618
2023-03-10,6.8679
2023-03-11,4.16491
2023-03-12,5.04838
2023-03-13,6.29995
2023-03-14,5.92132
2023-03-15,6.16323
2023-03-16,5.3639
2023-03-17,5.07993
2023-03-18,4.15439
2023-03-19,4.73285
2023-03-20,6.5103
2023-03-21,6.55237
2023-03-22,6.0265
2023-03-23,6.55237
2023-03-24,6.18426
2023-03-25,4.27008
2023-03-26,4.82751
2023-03-27,6.04753
2023-03-28,6.12116
2023-03-29,5.01682
2023-03-30,5.55321
2023-03-31,5.22717
2023-04-01,4.12284
2023-04-02,4.90113
2023-04-03,6.78376
2023-04-04,6.77324
2023-04-05,7.29911
2023-04-06,5.94236
2023-04-07,5.427
2023-04-08,4.23853
2023-04-09,4.97475
2023-04-10,5.81615
2023-04-11,6.53134
2023-04-12,6.14219
2023-04-13,6.17374
2023-04-14,5.3639
2023-04-15,4.44888
2023-04-16,5.06941
2023-04-17,6.13167
2023-04-18,6.22633
2023-04-19,5.47959
2023-04-20,5.17458
2023-04-21,5.64787
2023-04-22,4.34371
2023-04-23,4.83803
2023-04-24,5.61632
2023-04-25,6.62599
2023-04-26,5.50063
2023-04-27,4.84854
2023-04-28,4.81699
2023-04-29,3.93352
2023-04-30,5.01682
2023-05-01,4.95372
2023-05-02,5.46907
2023-05-03,5.80563
2023-05-04,5.59528
2023-05-05,4.05973
2023-05-06,4.71182
2023-05-07,4.2806
