date,나스닥종합
2021-06-08,0.11322
2021-06-09,0.11064
2021-06-10,0.09135
2021-06-11,0.09135
2021-06-12,0.05532
2021-06-13,0.009
2021-06-14,0.03731
2021-06-15,0.10292
2021-06-16,0.07977
2021-06-17,0.10421
2021-06-18,0.11965
2021-06-19,0.08105
2021-06-20,0.01157
2021-06-21,0.05532
2021-06-22,0.1248
2021-06-23,0.11193
2021-06-24,0.09392
2021-06-25,0.08105
2021-06-26,0.06947
2021-06-27,0.01029
2021-06-28,0.05275
2021-06-29,0.09778
2021-06-30,0.09778
2021-07-01,0.10292
2021-07-02,0.08234
2021-07-03,0.04631
2021-07-05,0.03602
2021-07-06,0.07719
2021-07-07,0.10936
2021-07-08,0.14924
2021-07-09,0.11064
2021-07-10,0.05532
2021-07-11,0.009
2021-07-12,0.0476
2021-07-13,0.10035
2021-07-14,0.07333
2021-07-15,0.1055
2021-07-16,0.0862
2021-07-17,0.05275
2021-07-18,0.00643
2021-07-19,0.08749
2021-07-20,0.18913
2021-07-21,0.12094
2021-07-22,0.08877
2021-07-23,0.08491
2021-07-24,0.03859
2021-07-25,0.02187
2021-07-26,0.03859
2021-07-27,0.09135
2021-07-28,0.13509
2021-07-29,0.08749
2021-07-30,0.04245
2021-07-31,0.05403
2021-08-01,0.00643
2021-08-02,0.03859
2021-08-03,0.06947
2021-08-04,0.08234
2021-08-05,0.08105
2021-08-06,0.06175
2021-08-07,0.02573
2021-08-08,0.01415
2021-08-09,0.02573
2021-08-10,0.07333
2021-08-11,0.07848
2021-08-12,0.07333
2021-08-13,0.07462
2021-08-14,0.03087
2021-08-15,0.01415
2021-08-16,0.04503
2021-08-17,0.12608
2021-08-18,0.12094
2021-08-19,0.10936
2021-08-20,0.13895
2021-08-21,0.0862
2021-08-22,0.01801
2021-08-23,0.05017
2021-08-24,0.12608
2021-08-25,0.11322
2021-08-26,0.11322
2021-08-27,0.11193
2021-08-28,0.06433
2021-08-29,0.01543
2021-08-30,0.05017
2021-08-31,0.10678
2021-09-01,0.09392
2021-09-02,0.10292
2021-09-03,0.07462
2021-09-04,0.04374
2021-09-05,0.01801
2021-09-06,0.0283
2021-09-07,0.06047
2021-09-08,0.09006
2021-09-09,0.09906
2021-09-10,0.07848
2021-09-11,0.06175
2021-09-12,0.01415
2021-09-13,0.06947
2021-09-14,0.10678
2021-09-15,0.0952
2021-09-16,0.09778
2021-09-17,0.10807
2021-09-18,0.06433
2021-09-19,0.00643
