date,주택임대사업자
2022-05-24,10.18334
2022-05-25,9.23882
2022-05-26,9.55631
2022-05-27,7.44503
2022-05-28,5.04008
2022-05-29,5.34169
2022-05-30,10.2389
2022-05-31,9.11183
2022-06-01,5.75442
2022-06-02,6.91324
2022-06-03,6.02428
2022-06-04,5.15913
2022-06-05,4.07968
2022-06-06,5.8576
2022-06-07,7.31804
2022-06-08,7.00055
2022-06-09,6.94499
2022-06-10,6.00841
2022-06-11,5.28613
2022-06-12,5.10357
2022-06-13,6.91324
2022-06-14,6.89737
2022-06-15,7.17517
2022-06-16,7.74664
2022-06-17,6.52432
2022-06-18,4.57179
2022-06-19,4.92102
2022-06-20,9.91348
2022-06-21,14.42971
2022-06-22,7.43709
2022-06-23,8.38955
2022-06-24,6.57195
2022-06-25,4.57972
2022-06-26,4.48448
2022-06-27,9.05627
2022-06-28,8.68322
2022-06-29,8.13556
2022-06-30,8.07206
2022-07-01,6.50845
2022-07-02,4.56385
2022-07-03,4.50035
2022-07-04,6.62751
2022-07-05,7.32597
2022-07-06,6.4767
2022-07-07,6.24652
2022-07-08,5.34169
2022-07-09,4.11937
2022-07-10,3.95269
2022-07-11,7.15136
2022-07-12,6.20684
2022-07-13,6.48464
2022-07-14,6.62751
2022-07-15,5.53218
2022-07-16,4.07175
2022-07-17,4.77021
2022-07-18,6.91324
2022-07-19,6.85768
2022-07-20,7.54821
2022-07-21,7.36566
2022-07-22,7.20692
2022-07-23,4.42892
2022-07-24,4.73053
2022-07-25,6.57195
2022-07-26,6.50051
2022-07-27,6.07984
2022-07-28,5.32581
2022-07-29,4.73847
2022-07-30,3.88126
2022-07-31,3.92094
2022-08-01,6.55607
2022-08-02,5.88935
2022-08-03,6.11953
2022-08-04,5.53218
2022-08-05,5.33375
2022-08-06,4.12731
2022-08-07,4.04794
2022-08-08,6.48464
2022-08-09,5.29407
2022-08-10,4.84959
2022-08-11,5.63536
2022-08-12,4.8734
2022-08-13,3.78601
2022-08-14,3.11135
2022-08-15,4.35748
2022-08-16,7.39741
2022-08-17,6.15921
2022-08-18,5.95285
2022-08-19,4.88133
2022-08-20,4.39717
2022-08-21,4.16699
2022-08-22,6.21477
2022-08-23,5.96872
2022-08-24,5.80204
2022-08-25,5.07976
2022-08-26,5.04801
2022-08-27,3.47646
2022-08-28,3.60346
2022-08-29,5.80204
2022-08-30,5.63536
2022-08-31,4.88927
2022-09-01,5.24644
2022-09-02,4.99245
2022-09-03,3.61933
2022-09-04,3.03992
2022-09-05,4.98452
2022-09-06,4.93689
2022-09-07,5.57187
2022-09-08,4.86546
2022-09-09,2.69068
2022-09-10,2.30176
2022-09-11,2.8653
2022-09-12,3.77014
2022-09-13,6.7545
2022-09-14,7.04024
2022-09-15,6.96086
2022-09-16,6.63544
2022-09-17,4.75434
2022-09-18,4.15112
2022-09-19,7.59584
2022-09-20,7.42122
2022-09-21,7.25454
2022-09-22,6.57988
2022-09-23,5.66711
2022-09-24,3.86538
2022-09-25,4.19874
2022-09-26,6.9053
2022-09-27,6.38145
2022-09-28,5.94491
2022-09-29,6.00841
2022-09-30,4.36542
2022-10-01,2.17477
2022-10-02,1.79379
2022-10-03,3.03992
2022-10-04,4.03206
2022-10-05,3.7622
2022-10-06,3.55583
2022-10-07,3.27803
2022-10-08,2.44463
2022-10-09,2.11127
2022-10-10,2.9288
2022-10-11,4.11937
2022-10-12,4.50035
2022-10-13,4.57972
2022-10-14,3.42884
2022-10-15,2.53988
2022-10-16,2.60338
2022-10-17,3.62727
2022-10-18,4.18287
2022-10-19,3.57171
2022-10-20,3.21454
2022-10-21,2.9923
2022-10-22,2.61131
2022-10-23,2.0319
2022-10-24,3.92094
2022-10-25,3.5479
2022-10-26,3.8257
2022-10-27,3.65902
2022-10-28,3.43678
2022-10-29,2.29383
2022-10-30,1.52393
2022-10-31,3.25422
2022-11-01,3.3574
2022-11-02,3.41296
2022-11-03,3.7622
2022-11-04,2.67481
2022-11-05,2.40495
2022-11-06,2.11921
2022-11-07,4.04794
2022-11-08,4.09556
2022-11-09,4.08762
2022-11-10,9.69124
2022-11-11,8.19906
2022-11-12,4.90515
2022-11-13,3.99238
2022-11-14,6.48464
2022-11-15,5.97666
2022-11-16,6.28621
2022-11-17,6.01635
2022-11-18,4.76228
2022-11-19,3.16691
2022-11-20,3.23835
2022-11-21,6.99261
2022-11-22,6.06397
2022-11-23,6.07191
2022-11-24,5.21469
2022-11-25,4.71465
2022-11-26,4.46067
2022-11-27,3.3574
2022-11-28,7.00055
2022-11-29,7.33391
2022-11-30,7.20692
2022-12-01,7.31804
2022-12-02,6.691
2022-12-03,3.61139
2022-12-04,4.79403
2022-12-05,7.01642
2022-12-06,7.11167
2022-12-07,7.7387
2022-12-08,8.25462
2022-12-09,6.38145
2022-12-10,4.64322
2022-12-11,4.51623
2022-12-12,8.37368
2022-12-13,7.81808
2022-12-14,7.35772
2022-12-15,6.58782
2022-12-16,6.54813
2022-12-17,4.18287
2022-12-18,3.50027
2022-12-19,6.12747
2022-12-20,6.31796
2022-12-21,19.85871
2022-12-22,13.18358
2022-12-23,7.79426
2022-12-24,4.82577
2022-12-25,4.93689
2022-12-26,6.92912
2022-12-27,5.48456
2022-12-28,5.78617
2022-12-29,5.06389
2022-12-30,4.67497
2022-12-31,2.83355
2023-01-01,2.68275
2023-01-02,4.88133
2023-01-03,5.63536
2023-01-04,5.72267
2023-01-05,5.15913
2023-01-06,4.84959
2023-01-07,3.51615
2023-01-08,3.5479
2023-01-09,5.49249
2023-01-10,5.40519
2023-01-11,5.07976
2023-01-12,5.65124
2023-01-13,5.12739
2023-01-14,3.92094
2023-01-15,3.95269
2023-01-16,6.07191
2023-01-17,5.22263
2023-01-18,5.41312
2023-01-19,4.81784
2023-01-20,3.88126
2023-01-21,2.67481
2023-01-22,2.4367
2023-01-23,2.72243
2023-01-24,3.46059
2023-01-25,6.04016
2023-01-26,7.32597
2023-01-27,7.61965
2023-01-28,5.34169
2023-01-29,4.77815
2023-01-30,8.4848
2023-01-31,7.3736
2023-02-01,7.26248
2023-02-02,6.50051
2023-02-03,5.95285
2023-02-04,4.47654
2023-02-05,4.28605
2023-02-06,6.86562
2023-02-07,7.11961
2023-02-08,6.96086
2023-02-09,6.46876
2023-02-10,6.88149
2023-02-11,3.79395
2023-02-12,3.31772
2023-02-13,5.75442
2023-02-14,5.429
2023-02-15,4.96071
2023-02-16,5.12739
2023-02-17,4.14318
2023-02-18,3.26216
2023-02-19,3.03198
2023-02-20,4.96071
