date,지방세법
2021-12-13,42.84638
2021-12-14,41.34036
2021-12-15,39.60843
2021-12-16,43.14759
2021-12-17,27.78614
2021-12-18,5.04518
2021-12-19,8.13253
2021-12-20,36.52108
2021-12-21,36.52108
2021-12-22,27.48493
2021-12-23,34.71385
2021-12-24,20.40662
2021-12-25,4.59337
2021-12-26,7.37951
2021-12-27,29.74397
2021-12-28,29.89457
2021-12-29,31.8524
2021-12-30,29.06626
2021-12-31,16.26506
2022-01-01,4.81927
2022-01-02,7.75602
2022-01-03,33.65963
2022-01-04,42.46987
2022-01-05,38.70481
2022-01-06,44.1265
2022-01-07,35.16566
2022-01-08,7.75602
2022-01-09,7.90662
2022-01-10,42.24397
2022-01-11,47.21385
2022-01-12,46.38554
2022-01-13,50.0753
2022-01-14,45.48192
2022-01-15,7.98192
2022-01-16,8.05722
2022-01-17,52.03313
2022-01-18,49.02108
2022-01-19,44.2771
2022-01-20,43.44879
2022-01-21,37.34939
2022-01-22,8.43373
2022-01-23,9.63855
2022-01-24,41.49096
2022-01-25,43.59939
2022-01-26,39.30722
2022-01-27,34.33734
2022-01-28,25.82831
2022-01-29,7.30421
2022-01-30,5.34638
2022-01-31,3.01204
2022-02-01,3.84036
2022-02-02,7.37951
2022-02-03,30.72289
2022-02-04,30.42168
2022-02-05,8.65963
2022-02-06,6.8524
2022-02-07,40.73795
2022-02-08,46.61144
2022-02-09,42.69578
2022-02-10,37.9518
2022-02-11,31.17469
2022-02-12,7.98192
2022-02-13,8.58433
2022-02-14,42.54518
2022-02-15,45.63253
2022-02-16,38.78012
2022-02-17,42.09337
2022-02-18,36.97289
2022-02-19,8.81024
2022-02-20,8.73493
2022-02-21,36.52108
2022-02-22,35.91867
2022-02-23,36.21987
2022-02-24,35.76807
2022-02-25,32.60542
2022-02-26,6.09939
2022-02-27,6.5512
2022-02-28,30.94879
2022-03-01,8.28313
2022-03-02,34.11144
2022-03-03,35.16566
2022-03-04,28.68975
2022-03-05,6.25
2022-03-06,7.22891
2022-03-07,29.29216
2022-03-08,30.04518
