date,한화솔루션주가
2022-06-20,23.66921
2022-06-21,25.05616
2022-06-22,23.60735
2022-06-23,23.53898
2022-06-24,23.50643
2022-06-25,2.48738
2022-06-26,1.88181
2022-06-27,22.88458
2022-06-28,26.54403
2022-06-29,31.10857
2022-06-30,27.54028
2022-07-01,24.84128
2022-07-02,2.95621
2022-07-03,2.48738
2022-07-04,26.27055
2022-07-05,22.41575
2022-07-06,34.1885
2022-07-07,24.34641
2022-07-08,20.76509
2022-07-09,2.25297
2022-07-10,1.78088
2022-07-11,18.68793
2022-07-12,17.02099
2022-07-13,18.26794
2022-07-14,16.87774
2022-07-15,16.59449
2022-07-16,2.52319
2022-07-17,1.78414
2022-07-18,20.64463
2022-07-19,19.24466
2022-07-20,18.73677
2022-07-21,18.02376
2022-07-22,16.48054
2022-07-23,2.03158
2022-07-24,1.43578
2022-07-25,23.95246
2022-07-26,20.65114
2022-07-27,19.31629
2022-07-28,91.95832
2022-07-29,95.41266
2022-07-30,13.14341
2022-07-31,10.34022
2022-08-01,61.59856
2022-08-02,43.35015
2022-08-03,42.73807
2022-08-04,38.20934
2022-08-05,45.5901
2022-08-06,10.2979
2022-08-07,10.19046
2022-08-08,52.48575
2022-08-09,43.2069
2022-08-10,48.22399
2022-08-11,54.64105
2022-08-12,46.64821
2022-08-13,6.14357
2022-08-14,5.6194
2022-08-15,6.09474
2022-08-16,73.82712
2022-08-17,52.97411
2022-08-18,44.4864
2022-08-19,43.91014
2022-08-20,4.59059
2022-08-21,3.82549
2022-08-22,34.09734
2022-08-23,46.43008
2022-08-24,64.98779
2022-08-25,63.1776
2022-08-26,70.83509
2022-08-27,11.31043
2022-08-28,7.1789
2022-08-29,69.15188
2022-08-30,58.34608
2022-08-31,57.46703
2022-09-01,54.92755
2022-09-02,46.08823
2022-09-03,5.38824
2022-09-04,4.29106
2022-09-05,39.67768
2022-09-06,76.56519
2022-09-07,57.70796
2022-09-08,54.7257
2022-09-09,6.17939
2022-09-10,4.23897
2022-09-11,4.85104
2022-09-12,8.05795
2022-09-13,62.52319
2022-09-14,48.74165
2022-09-15,65.0822
2022-09-16,53.29969
2022-09-17,7.04541
2022-09-18,4.43431
2022-09-19,41.77763
2022-09-20,35.55917
2022-09-21,34.07781
2022-09-22,37.35959
2022-09-23,36.67914
2022-09-24,8.52677
2022-09-25,5.90916
2022-09-26,42.12599
2022-09-27,36.1745
2022-09-28,35.43871
2022-09-29,34.59221
2022-09-30,34.24385
2022-10-01,4.22269
2022-10-02,3.24597
2022-10-03,3.83525
2022-10-04,39.32931
2022-10-05,41.28601
2022-10-06,38.97444
2022-10-07,34.36106
2022-10-08,4.12827
2022-10-09,2.8976
2022-10-10,4.01106
2022-10-11,29.35699
2022-10-12,33.3941
2022-10-13,30.2751
2022-10-14,30.97509
2022-10-15,3.89711
2022-10-16,2.73807
2022-10-17,35.65684
2022-10-18,49.25931
2022-10-19,44.28129
2022-10-20,34.5564
2022-10-21,29.45466
2022-10-22,3.832
2022-10-23,4.09897
2022-10-24,37.57121
2022-10-25,31.28438
2022-10-26,33.24434
2022-10-27,50.98811
2022-10-28,50.36627
2022-10-29,7.55656
2022-10-30,4.63617
2022-10-31,37.57447
2022-11-01,40.78463
2022-11-02,34.32524
2022-11-03,30.11883
2022-11-04,32.84063
2022-11-05,3.81572
2022-11-06,3.56177
2022-11-07,38.47957
2022-11-08,32.85039
2022-11-09,37.15448
2022-11-10,37.20006
2022-11-11,41.47484
2022-11-12,5.09848
2022-11-13,3.75386
2022-11-14,39.01676
2022-11-15,32.04623
2022-11-16,37.18704
2022-11-17,31.50577
2022-11-18,29.48722
2022-11-19,3.4641
2022-11-20,2.8976
2022-11-21,28.30213
2022-11-22,31.98762
