date,입양
2022-09-02,2.37268
2022-09-03,2.30516
2022-09-04,2.3341
2022-09-05,2.26658
2022-09-06,2.74884
2022-09-07,2.17978
2022-09-08,2.19907
2022-09-09,2.17013
2022-09-10,1.99652
2022-09-11,2.54629
2022-09-12,2.94174
2022-09-13,3.49151
2022-09-14,2.74884
2022-09-15,2.4402
2022-09-16,2.19907
2022-09-17,2.55594
2022-09-18,2.80671
2022-09-19,2.81635
2022-09-20,2.70061
2022-09-21,2.28587
2022-09-22,2.49807
2022-09-23,2.17978
2022-09-24,2.09297
2022-09-25,2.57523
2022-09-26,2.61381
2022-09-27,2.26658
2022-09-28,2.39197
2022-09-29,2.72955
2022-09-30,2.28587
2022-10-01,2.57523
2022-10-02,2.78742
2022-10-03,3.15393
2022-10-04,3.06712
2022-10-05,3.64583
2022-10-06,3.34683
2022-10-07,2.83564
2022-10-08,2.40162
2022-10-09,2.71026
2022-10-10,3.28896
2022-10-11,2.7199
2022-10-12,3.07677
2022-10-13,2.98032
2022-10-14,2.77777
2022-10-15,2.53665
2022-10-16,2.89351
2022-10-17,2.74884
2022-10-18,2.81635
2022-10-19,2.94174
2022-10-20,2.69097
2022-10-21,3.15393
2022-10-22,2.83564
2022-10-23,3.0189
2022-10-24,2.99961
2022-10-25,2.3341
2022-10-26,2.69097
2022-10-27,2.69097
2022-10-28,3.34683
2022-10-29,2.84529
2022-10-30,2.60416
2022-10-31,3.0189
2022-11-01,3.1057
2022-11-02,2.79706
2022-11-03,3.50115
2022-11-04,3.05748
2022-11-05,2.86458
2022-11-06,2.83564
2022-11-07,3.5108
2022-11-08,3.86766
2022-11-09,4.02199
2022-11-10,3.87731
2022-11-11,2.84529
2022-11-12,3.23109
2022-11-13,3.5976
2022-11-14,3.66512
2022-11-15,2.98996
2022-11-16,3.38541
2022-11-17,2.89351
2022-11-18,2.7199
2022-11-19,2.86458
2022-11-20,2.88387
2022-11-21,3.20216
2022-11-22,4.11844
2022-11-23,3.61689
2022-11-24,3.03819
2022-11-25,3.1057
2022-11-26,3.125
2022-11-27,3.1057
2022-11-28,3.33719
2022-11-29,3.2118
2022-11-30,3.42399
2022-12-01,2.75848
2022-12-02,2.71026
2022-12-03,2.70061
2022-12-04,2.79706
2022-12-05,3.11535
2022-12-06,2.84529
2022-12-07,2.98032
2022-12-08,2.69097
2022-12-09,2.89351
2022-12-10,2.72955
2022-12-11,2.90316
2022-12-12,3.26003
2022-12-13,3.1057
2022-12-14,2.86458
2022-12-15,2.65239
2022-12-16,2.98996
2022-12-17,2.36304
2022-12-18,3.09606
2022-12-19,3.25038
2022-12-20,3.08641
2022-12-21,2.92245
2022-12-22,2.85493
2022-12-23,3.44328
2022-12-24,3.09606
2022-12-25,3.49151
2022-12-26,3.76157
2022-12-27,2.79706
2022-12-28,3.00925
2022-12-29,3.05748
2022-12-30,2.73919
2022-12-31,2.76813
2023-01-01,3.23109
2023-01-02,3.07677
2023-01-03,3.15393
2023-01-04,2.65239
2023-01-05,2.87422
2023-01-06,3.22145
2023-01-07,3.17322
2023-01-08,3.14429
2023-01-09,3.30825
2023-01-10,3.41435
2023-01-11,2.7199
2023-01-12,3.00925
2023-01-13,2.83564
2023-01-14,2.99961
2023-01-15,3.07677
2023-01-16,3.36612
2023-01-17,3.02854
2023-01-18,3.41435
2023-01-19,3.41435
2023-01-20,3.41435
2023-01-21,2.56558
2023-01-22,3.17322
2023-01-23,3.41435
2023-01-24,3.81944
2023-01-25,3.87731
2023-01-26,3.49151
2023-01-27,3.47222
2023-01-28,3.0189
2023-01-29,3.15393
2023-01-30,3.22145
2023-01-31,3.54938
2023-02-01,3.04783
2023-02-02,3.47222
2023-02-03,3.38541
2023-02-04,3.44328
2023-02-05,3.33719
2023-02-06,3.45293
2023-02-07,3.58796
2023-02-08,3.48186
2023-02-09,3.35648
2023-02-10,3.7037
2023-02-11,3.61689
2023-02-12,3.07677
2023-02-13,3.41435
2023-02-14,3.58796
2023-02-15,3.23109
2023-02-16,3.4047
2023-02-17,3.45293
2023-02-18,3.20216
2023-02-19,3.32754
2023-02-20,3.1057
2023-02-21,3.48186
2023-02-22,2.90316
2023-02-23,3.48186
2023-02-24,2.86458
2023-02-25,3.23109
2023-02-26,3.13464
2023-02-27,3.02854
2023-02-28,3.06712
2023-03-01,3.06712
2023-03-02,2.50771
2023-03-03,2.37268
2023-03-04,3.13464
2023-03-05,3.22145
2023-03-06,2.85493
2023-03-07,2.84529
2023-03-08,2.55594
2023-03-09,2.64274
2023-03-10,3.05748
2023-03-11,2.60416
2023-03-12,3.53009
2023-03-13,3.00925
2023-03-14,3.00925
2023-03-15,3.0189
2023-03-16,2.57523
2023-03-17,2.49807
2023-03-18,3.19251
2023-03-19,3.85802
2023-03-20,3.53009
2023-03-21,3.15393
2023-03-22,2.94174
2023-03-23,3.38541
2023-03-24,2.97067
2023-03-25,2.9128
2023-03-26,3.15393
2023-03-27,3.35648
2023-03-28,2.95138
2023-03-29,3.24074
2023-03-30,2.81635
2023-03-31,2.93209
2023-04-01,2.64274
2023-04-02,2.89351
2023-04-03,3.38541
2023-04-04,3.80015
2023-04-05,3.22145
2023-04-06,3.33719
2023-04-07,3.42399
2023-04-08,2.527
2023-04-09,2.89351
2023-04-10,3.26967
2023-04-11,3.18287
2023-04-12,2.55594
2023-04-13,3.07677
2023-04-14,2.73919
2023-04-15,2.61381
2023-04-16,2.68132
2023-04-17,2.42091
2023-04-18,2.66203
2023-04-19,2.60416
2023-04-20,2.49807
2023-04-21,2.826
2023-04-22,2.19907
2023-04-23,2.74884
2023-04-24,2.92245
2023-04-25,3.06712
2023-04-26,2.81635
2023-04-27,2.69097
2023-04-28,2.56558
2023-04-29,2.86458
2023-04-30,3.15393
2023-05-01,3.00925
2023-05-02,3.32754
2023-05-03,3.06712
2023-05-04,2.83564
2023-05-05,2.86458
2023-05-06,3.16358
2023-05-07,3.58796
2023-05-08,3.16358
2023-05-09,3.5976
2023-05-10,4.10879
2023-05-11,13.28125
2023-05-12,4.30169
2023-05-13,3.07677
2023-05-14,3.18287
2023-05-15,3.53009
2023-05-16,4.07986
2023-05-17,4.59104
2023-05-18,3.93518
2023-05-19,3.2118
2023-05-20,3.38541
2023-05-21,3.39506
2023-05-22,3.56867
2023-05-23,3.45293
2023-05-24,3.26967
2023-05-25,2.6331
2023-05-26,2.80671
2023-05-27,2.37268
2023-05-28,3.3179
2023-05-29,3.44328
