date,예금금리
2023-02-11,12.71219
2023-02-12,12.28063
2023-02-13,25.15758
2023-02-14,22.71685
2023-02-15,23.28987
2023-02-16,19.39151
2023-02-17,19.01905
2023-02-18,11.73626
2023-02-19,12.62087
2023-02-20,22.77415
2023-02-21,25.11818
2023-02-22,21.26101
2023-02-23,22.87801
2023-02-24,20.54652
2023-02-25,11.65747
2023-02-26,12.02814
2023-02-27,21.16789
2023-02-28,21.55468
2023-03-01,14.60855
2023-03-02,18.99935
2023-03-03,17.04928
2023-03-04,10.669
2023-03-05,12.0944
2023-03-06,19.38435
2023-03-07,17.93209
2023-03-08,18.38872
2023-03-09,16.66786
2023-03-10,15.87816
2023-03-11,9.22749
2023-03-12,9.85423
2023-03-13,18.73254
2023-03-14,17.19969
2023-03-15,16.0626
2023-03-16,15.43585
2023-03-17,14.63899
2023-03-18,8.59
2023-03-19,8.87293
2023-03-20,17.84972
2023-03-21,17.08867
2023-03-22,15.8513
2023-03-23,18.90623
2023-03-24,17.25879
2023-03-25,10.36637
2023-03-26,10.42188
2023-03-27,19.8177
2023-03-28,17.83181
2023-03-29,16.49953
2023-03-30,15.6185
2023-03-31,15.12964
2023-04-01,8.84607
2023-04-02,10.09777
2023-04-03,16.56758
2023-04-04,15.30692
2023-04-05,14.49931
2023-04-06,13.07033
2023-04-07,11.7291
2023-04-08,6.65604
2023-04-09,7.51199
2023-04-10,14.20922
2023-04-11,15.49674
2023-04-12,14.33099
2023-04-13,12.46508
2023-04-14,11.24382
2023-04-15,6.80108
2023-04-16,7.63913
2023-04-17,13.44459
2023-04-18,13.45175
2023-04-19,11.99949
2023-04-20,11.84191
2023-04-21,10.86061
2023-04-22,6.05078
2023-04-23,6.78855
2023-04-24,12.94857
2023-04-25,13.70424
2023-04-26,12.23766
2023-04-27,11.15607
2023-04-28,10.4953
2023-04-29,6.96583
2023-04-30,6.36594
2023-05-01,8.89083
2023-05-02,13.35326
2023-05-03,12.09798
2023-05-04,12.72115
2023-05-05,6.86734
2023-05-06,5.81262
2023-05-07,6.24955
2023-05-08,12.23049
2023-05-09,11.57689
2023-05-10,11.62166
2023-05-11,10.823
2023-05-12,10.27505
2023-05-13,5.97915
2023-05-14,6.04183
2023-05-15,12.00128
2023-05-16,10.68691
2023-05-17,10.82658
2023-05-18,10.10135
2023-05-19,9.51758
2023-05-20,5.58162
2023-05-21,5.77143
2023-05-22,11.59659
2023-05-23,11.84907
2023-05-24,10.19267
2023-05-25,12.32003
2023-05-26,9.67337
2023-05-27,5.40792
2023-05-28,5.44194
2023-05-29,6.86555
