date,IR
2023-09-07,26.752
2023-09-08,22.784
2023-09-09,9.888
2023-09-10,11.136
2023-09-11,28.736
2023-09-12,32.544
2023-09-13,26.976
2023-09-14,25.12
2023-09-15,22.592
2023-09-16,9.504
2023-09-17,10.048
2023-09-18,22.08
2023-09-19,25.248
2023-09-20,24.704
2023-09-21,23.84
2023-09-22,19.296
2023-09-23,9.568
2023-09-24,8.256
2023-09-25,17.408
2023-09-26,19.68
2023-09-27,14.144
2023-09-28,6.464
2023-09-29,5.504
2023-09-30,5.696
2023-10-01,6.208
2023-10-02,7.776
2023-10-03,9.408
2023-10-04,21.824
2023-10-05,22.752
2023-10-06,19.04
2023-10-07,8.416
2023-10-08,8.608
2023-10-09,9.888
2023-10-10,22.08
2023-10-11,26.72
2023-10-12,26.432
2023-10-13,23.36
2023-10-14,10.08
2023-10-15,10.144
2023-10-16,22.016
2023-10-17,23.36
2023-10-18,24.896
2023-10-19,23.232
2023-10-20,20.768
2023-10-21,9.6
2023-10-22,8.73599
2023-10-23,22.496
2023-10-24,23.904
2023-10-25,22.816
2023-10-26,23.392
2023-10-27,19.10399
2023-10-28,7.904
2023-10-29,9.44
2023-10-30,22.56
2023-10-31,23.328
2023-11-01,22.528
2023-11-02,22.048
2023-11-03,18.976
2023-11-04,8.76799
2023-11-05,9.056
2023-11-06,21.344
2023-11-07,23.424
2023-11-08,24.16
2023-11-09,26.272
2023-11-10,19.616
2023-11-11,8.832
2023-11-12,9.696
2023-11-13,19.64799
2023-11-14,24.352
2023-11-15,24.16
2023-11-16,24.608
2023-11-17,19.456
2023-11-18,8.416
2023-11-19,8.896
2023-11-20,21.888
2023-11-21,22.336
2023-11-22,23.552
2023-11-23,22.304
2023-11-24,19.68
2023-11-25,7.71199
2023-11-26,9.76
2023-11-27,23.936
2023-11-28,25.728
2023-11-29,21.472
2023-11-30,22.656
2023-12-01,20.0
2023-12-02,10.624
2023-12-03,8.896
2023-12-04,21.056
2023-12-05,19.072
2023-12-06,21.728
2023-12-07,22.752
2023-12-08,17.632
2023-12-09,9.376
2023-12-10,8.48
2023-12-11,17.76
2023-12-12,20.384
2023-12-13,21.92
2023-12-14,18.304
2023-12-15,16.128
2023-12-16,8.48
2023-12-17,8.576
2023-12-18,17.632
2023-12-19,19.136
2023-12-20,21.12
2023-12-21,18.528
2023-12-22,13.472
2023-12-23,5.984
2023-12-24,4.224
2023-12-25,4.992
2023-12-26,14.656
2023-12-27,13.24799
2023-12-28,15.744
2023-12-29,10.272
2023-12-30,6.336
2023-12-31,5.6
2024-01-01,4.992
2024-01-02,17.024
2024-01-03,19.392
2024-01-04,18.656
2024-01-05,15.968
2024-01-06,7.616
2024-01-07,8.672
2024-01-08,17.024
2024-01-09,19.68
2024-01-10,19.296
2024-01-11,20.896
2024-01-12,16.8
2024-01-13,6.816
2024-01-14,8.64
2024-01-15,17.792
2024-01-16,21.984
2024-01-17,20.8
2024-01-18,20.416
2024-01-19,18.944
2024-01-20,9.152
2024-01-21,7.776
2024-01-22,20.64
2024-01-23,22.208
2024-01-24,22.848
2024-01-25,21.76
2024-01-26,19.776
2024-01-27,9.568
2024-01-28,9.82399
2024-01-29,20.288
2024-01-30,23.264
2024-01-31,22.656
2024-02-01,21.696
2024-02-02,18.944
2024-02-03,7.968
2024-02-04,7.808
2024-02-05,22.784
2024-02-06,24.896
2024-02-07,28.064
2024-02-08,17.408
2024-02-09,7.16799
2024-02-10,5.376
2024-02-11,6.144
2024-02-12,8.32
2024-02-13,19.168
2024-02-14,21.696
2024-02-15,23.84
2024-02-16,18.816
2024-02-17,7.904
2024-02-18,8.576
2024-02-19,20.608
2024-02-20,25.76
2024-02-21,23.264
2024-02-22,24.672
2024-02-23,18.656
2024-02-24,8.896
2024-02-25,8.928
2024-02-26,20.768
2024-02-27,25.344
2024-02-28,21.856
2024-02-29,19.136
2024-03-01,6.816
2024-03-02,7.328
2024-03-03,8.64
2024-03-04,21.152
2024-03-05,24.896
2024-03-06,24.416
2024-03-07,27.008
2024-03-08,20.48
2024-03-09,9.408
2024-03-10,9.536
2024-03-11,22.944
2024-03-12,23.264
2024-03-13,26.848
2024-03-14,28.8
2024-03-15,21.12
2024-03-16,8.96
2024-03-17,9.024
2024-03-18,20.67199
2024-03-19,24.736
2024-03-20,25.44
