date,예금금리비교
2022-08-31,6.61803
2022-09-01,6.04481
2022-09-02,5.24578
2022-09-03,2.34497
2022-09-04,2.86607
2022-09-05,5.05471
2022-09-06,5.07208
2022-09-07,5.03734
2022-09-08,4.70731
2022-09-09,1.92808
2022-09-10,2.01493
2022-09-11,1.89334
2022-09-12,2.98766
2022-09-13,6.1664
2022-09-14,7.76446
2022-09-15,5.92322
2022-09-16,5.69741
2022-09-17,2.90081
2022-09-18,3.05714
2022-09-19,6.11429
2022-09-20,6.61803
2022-09-21,6.47906
2022-09-22,7.48653
2022-09-23,7.08702
2022-09-24,3.50877
2022-09-25,3.68247
2022-09-26,8.40715
2022-09-27,7.57338
2022-09-28,9.62306
2022-09-29,8.75455
2022-09-30,11.30797
2022-10-01,7.24335
2022-10-02,13.23606
2022-10-03,13.82664
2022-10-04,28.27861
2022-10-05,35.83463
2022-10-06,34.32343
2022-10-07,34.47976
2022-10-08,16.65798
2022-10-09,14.01771
2022-10-10,20.13201
2022-10-11,40.45509
2022-10-12,62.0462
2022-10-13,99.54837
2022-10-14,90.42904
2022-10-15,34.56661
2022-10-16,35.59145
2022-10-17,90.49852
2022-10-18,91.88813
2022-10-19,100.0
2022-10-20,95.50112
2022-10-21,83.02935
2022-10-22,38.24908
2022-10-23,38.52701
2022-10-24,91.83602
2022-10-25,98.5409
2022-10-26,90.49852
2022-10-27,79.98957
2022-10-28,73.85791
2022-10-29,34.1671
2022-10-30,31.28365
2022-10-31,81.51815
2022-11-01,82.82091
2022-11-02,72.67674
2022-11-03,76.37658
2022-11-04,65.32916
2022-11-05,29.37293
2022-11-06,33.24648
2022-11-07,80.21538
2022-11-08,79.22529
2022-11-09,73.71895
2022-11-10,72.22511
2022-11-11,58.3811
2022-11-12,28.52179
2022-11-13,33.177
2022-11-14,98.67986
2022-11-15,88.13618
2022-11-16,74.7959
2022-11-17,65.74604
2022-11-18,59.3712
2022-11-19,22.52909
2022-11-20,28.27861
2022-11-21,57.40837
2022-11-22,49.97394
2022-11-23,57.13044
2022-11-24,78.87788
2022-11-25,73.89265
2022-11-26,38.14486
2022-11-27,39.36077
2022-11-28,90.44641
2022-11-29,88.88309
2022-11-30,73.26732
2022-12-01,70.6618
2022-12-02,57.16519
2022-12-03,23.67552
2022-12-04,26.19419
2022-12-05,60.13548
2022-12-06,56.50512
2022-12-07,47.38579
2022-12-08,42.78269
2022-12-09,36.26889
2022-12-10,16.90116
2022-12-11,16.44953
2022-12-12,39.18707
2022-12-13,36.75525
2022-12-14,33.14226
2022-12-15,31.7179
2022-12-16,27.77488
2022-12-17,13.67031
2022-12-18,15.68525
2022-12-19,33.19437
2022-12-20,31.92635
2022-12-21,29.91141
2022-12-22,28.12228
2022-12-23,28.57391
2022-12-24,15.1294
2022-12-25,15.05992
2022-12-26,36.0257
2022-12-27,33.12489
2022-12-28,34.25395
2022-12-29,31.97846
2022-12-30,31.33576
2022-12-31,15.54629
2023-01-01,19.12454
2023-01-02,43.23432
2023-01-03,36.59892
2023-01-04,33.12489
2023-01-05,33.09015
2023-01-06,30.95362
2023-01-07,16.15424
2023-01-08,17.59597
2023-01-09,36.72051
2023-01-10,39.23918
2023-01-11,36.21677
2023-01-12,31.77001
2023-01-13,40.54194
2023-01-14,19.12454
2023-01-15,20.13201
2023-01-16,41.04568
2023-01-17,39.84714
2023-01-18,35.76515
2023-01-19,35.31353
2023-01-20,35.36564
2023-01-21,15.35521
2023-01-22,15.51155
2023-01-23,15.71999
2023-01-24,21.86902
2023-01-25,47.55949
2023-01-26,39.58659
2023-01-27,34.72294
2023-01-28,17.42226
2023-01-29,16.1195
2023-01-30,35.46986
2023-01-31,33.8718
2023-02-01,34.56661
2023-02-02,29.65085
2023-02-03,27.16692
2023-02-04,15.05992
2023-02-05,15.3031
2023-02-06,33.50703
2023-02-07,30.53673
2023-02-08,28.19176
2023-02-09,25.13461
2023-02-10,25.46465
2023-02-11,13.21869
2023-02-12,15.54629
2023-02-13,28.85183
2023-02-14,27.79225
2023-02-15,26.2463
2023-02-16,24.26611
2023-02-17,22.09484
2023-02-18,12.22859
2023-02-19,14.39986
2023-02-20,27.35799
2023-02-21,30.91888
2023-02-22,26.64582
2023-02-23,27.54907
2023-02-24,28.12228
2023-02-25,13.75716
2023-02-26,15.28573
2023-02-27,31.52683
2023-02-28,31.97846
2023-03-01,18.39499
2023-03-02,28.99079
2023-03-03,24.99565
2023-03-04,13.13183
2023-03-05,14.52145
2023-03-06,26.50686
2023-03-07,24.57877
2023-03-08,24.37033
2023-03-09,21.15685
2023-03-10,21.10474
2023-03-11,11.8117
2023-03-12,11.27323
2023-03-13,23.90133
2023-03-14,23.72763
2023-03-15,24.30085
2023-03-16,23.06756
2023-03-17,19.47194
2023-03-18,10.8216
2023-03-19,11.03005
2023-03-20,24.35296
2023-03-21,24.12714
2023-03-22,24.37033
2023-03-23,23.77974
2023-03-24,25.30832
2023-03-25,13.73979
2023-03-26,14.31301
2023-03-27,29.73771
2023-03-28,25.88153
2023-03-29,25.27357
2023-03-30,22.00799
2023-03-31,21.78217
2023-04-01,11.36008
2023-04-02,14.22615
2023-04-03,22.70279
2023-04-04,22.00799
2023-04-05,19.29824
2023-04-06,17.7523
2023-04-07,15.35521
2023-04-08,8.80667
2023-04-09,8.75455
2023-04-10,18.82925
2023-04-11,19.40246
2023-04-12,18.36025
2023-04-13,17.38752
2023-04-14,16.43216
2023-04-15,7.66023
2023-04-16,9.32777
2023-04-17,17.43963
