date,LG이노텍주가
2021-12-29,55.49275
2021-12-30,46.23188
2021-12-31,12.63043
2022-01-01,7.94202
2022-01-02,10.00724
2022-01-03,51.2971
2022-01-04,62.44202
2022-01-05,52.64492
2022-01-06,56.02898
2022-01-07,52.20289
2022-01-08,8.94927
2022-01-09,8.0
2022-01-10,46.94927
2022-01-11,40.97826
2022-01-12,50.56521
2022-01-13,60.15942
2022-01-14,100.0
2022-01-15,14.80434
2022-01-16,14.37681
2022-01-17,78.39855
2022-01-18,62.67391
2022-01-19,67.97101
2022-01-20,64.90579
2022-01-21,59.07246
2022-01-22,10.35507
2022-01-23,10.37681
2022-01-24,54.44202
2022-01-25,56.97826
2022-01-26,66.68115
2022-01-27,71.66666
2022-01-28,77.63768
2022-01-29,12.60144
2022-01-30,9.05072
2022-01-31,7.80434
2022-02-01,7.69565
2022-02-02,9.5
2022-02-03,60.13043
2022-02-04,59.26086
2022-02-05,9.42028
2022-02-06,7.31884
2022-02-07,55.51449
2022-02-08,55.17391
2022-02-09,49.44927
2022-02-10,48.76811
2022-02-11,50.03623
2022-02-12,9.10144
2022-02-13,7.10869
2022-02-14,42.42753
2022-02-15,42.26811
2022-02-16,44.4855
2022-02-17,47.19565
2022-02-18,38.83333
2022-02-19,6.41304
2022-02-20,5.01449
2022-02-21,37.11594
2022-02-22,36.78985
2022-02-23,48.7826
2022-02-24,46.57246
2022-02-25,40.42028
2022-02-26,5.33333
2022-02-27,4.71014
2022-02-28,32.88405
2022-03-01,6.34057
2022-03-02,31.7826
2022-03-03,43.52173
2022-03-04,36.45652
2022-03-05,4.83333
2022-03-06,4.60144
2022-03-07,38.61594
2022-03-08,43.15942
2022-03-09,7.5
2022-03-10,36.71739
2022-03-11,32.0942
2022-03-12,5.4855
2022-03-13,5.46376
2022-03-14,34.9855
2022-03-15,33.2826
2022-03-16,47.5942
2022-03-17,47.85507
2022-03-18,52.00724
2022-03-19,8.55797
2022-03-20,7.94202
2022-03-21,67.50724
2022-03-22,55.7826
2022-03-23,54.60869
2022-03-24,48.11594
2022-03-25,42.63768
2022-03-26,8.02898
2022-03-27,6.74637
2022-03-28,46.11594
2022-03-29,44.03623
2022-03-30,41.72463
2022-03-31,43.15217
2022-04-01,46.10869
2022-04-02,12.23913
2022-04-03,8.93478
2022-04-04,42.02898
2022-04-05,45.13768
2022-04-06,40.82608
2022-04-07,45.20289
2022-04-08,42.07246
2022-04-09,8.55797
2022-04-10,7.26086
2022-04-11,40.7971
2022-04-12,36.26811
2022-04-13,38.16666
2022-04-14,79.38405
2022-04-15,43.57971
2022-04-16,7.02173
2022-04-17,7.55072
2022-04-18,35.43478
2022-04-19,34.47826
2022-04-20,34.02173
2022-04-21,34.8913
2022-04-22,33.07971
2022-04-23,5.38405
2022-04-24,5.30434
2022-04-25,36.10869
2022-04-26,34.44202
2022-04-27,37.86956
2022-04-28,54.84782
2022-04-29,42.47826
2022-04-30,6.34057
2022-05-01,6.15942
2022-05-02,36.01449
2022-05-03,33.68115
2022-05-04,29.43478
2022-05-05,6.3913
2022-05-06,29.65217
2022-05-07,4.55072
2022-05-08,4.31884
2022-05-09,28.7826
2022-05-10,32.65942
2022-05-11,30.81884
2022-05-12,31.34782
2022-05-13,30.21014
2022-05-14,4.84057
2022-05-15,4.28985
2022-05-16,28.89855
2022-05-17,27.70289
2022-05-18,30.2826
2022-05-19,27.72463
2022-05-20,27.43478
2022-05-21,4.2826
2022-05-22,4.53623
2022-05-23,45.94927
2022-05-24,35.81159
2022-05-25,52.55072
2022-05-26,41.23913
2022-05-27,34.63043
2022-05-28,5.53623
2022-05-29,7.56521
2022-05-30,40.12318
2022-05-31,35.76086
2022-06-01,6.58695
2022-06-02,34.97101
2022-06-03,33.1884
2022-06-04,5.13768
2022-06-05,3.60144
2022-06-06,5.10869
2022-06-07,31.65217
2022-06-08,37.76811
2022-06-09,32.81884
2022-06-10,37.2826
2022-06-11,6.63768
2022-06-12,5.47101
2022-06-13,39.21014
2022-06-14,36.34782
2022-06-15,33.36231
2022-06-16,34.44927
2022-06-17,32.15217
2022-06-18,5.08695
2022-06-19,5.34782
2022-06-20,31.85507
2022-06-21,29.36231
2022-06-22,34.07971
2022-06-23,32.23188
2022-06-24,33.77536
2022-06-25,4.70289
2022-06-26,4.33333
2022-06-27,30.23188
2022-06-28,32.3913
2022-06-29,29.57971
2022-06-30,26.46376
2022-07-01,26.00724
2022-07-02,3.71014
2022-07-03,3.78985
2022-07-04,27.76811
2022-07-05,35.23188
2022-07-06,30.58695
2022-07-07,35.64492
2022-07-08,28.3913
2022-07-09,4.13768
2022-07-10,3.42753
2022-07-11,27.11594
2022-07-12,26.70289
2022-07-13,27.23188
2022-07-14,25.24637
2022-07-15,27.4855
2022-07-16,3.73913
2022-07-17,3.6884
2022-07-18,26.28985
2022-07-19,34.27536
2022-07-20,28.90579
2022-07-21,26.73913
2022-07-22,24.85507
2022-07-23,3.82608
2022-07-24,3.50724
2022-07-25,24.38405
2022-07-26,24.93478
2022-07-27,31.28985
2022-07-28,37.56521
2022-07-29,33.42753
2022-07-30,4.21014
2022-07-31,3.90579
2022-08-01,29.10869
2022-08-02,25.54347
2022-08-03,28.15217
2022-08-04,26.34782
2022-08-05,25.05797
2022-08-06,3.44927
2022-08-07,4.76811
2022-08-08,26.21739
2022-08-09,28.32608
2022-08-10,27.90579
2022-08-11,29.21014
2022-08-12,28.51449
2022-08-13,3.66666
2022-08-14,2.6884
2022-08-15,4.08695
2022-08-16,25.93478
2022-08-17,21.82608
2022-08-18,22.96376
2022-08-19,21.27536
2022-08-20,3.02898
2022-08-21,2.49275
2022-08-22,20.08695
2022-08-23,23.26086
2022-08-24,27.42028
2022-08-25,42.55072
2022-08-26,32.4855
2022-08-27,3.65217
2022-08-28,2.40579
2022-08-29,26.34782
2022-08-30,28.94202
2022-08-31,31.34057
2022-09-01,28.92753
2022-09-02,29.08695
2022-09-03,3.63768
2022-09-04,3.74637
2022-09-05,26.07971
2022-09-06,24.56521
2022-09-07,22.7971
2022-09-08,25.5
2022-09-09,3.23188
2022-09-10,1.9855
2022-09-11,2.53623
2022-09-12,4.31159
2022-09-13,43.42028
2022-09-14,36.47101
2022-09-15,33.7971
2022-09-16,32.75362
2022-09-17,4.38405
2022-09-18,4.1884
2022-09-19,27.76086
2022-09-20,31.77536
2022-09-21,28.92028
2022-09-22,34.4855
2022-09-23,28.3913
2022-09-24,5.17391
2022-09-25,3.85507
2022-09-26,30.10869
2022-09-27,56.33333
2022-09-28,83.26811
2022-09-29,52.86231
2022-09-30,34.60144
2022-10-01,5.57971
2022-10-02,3.99275
2022-10-03,4.26086
2022-10-04,28.71739
2022-10-05,27.0942
2022-10-06,30.85507
2022-10-07,25.76086
2022-10-08,3.5
2022-10-09,2.94202
2022-10-10,3.14492
2022-10-11,22.47101
2022-10-12,24.75362
2022-10-13,22.60869
2022-10-14,24.92753
2022-10-15,4.39855
2022-10-16,3.0
2022-10-17,23.02173
2022-10-18,25.07971
2022-10-19,29.10144
2022-10-20,23.40579
2022-10-21,20.26811
2022-10-22,2.8913
2022-10-23,2.44202
2022-10-24,22.24637
2022-10-25,22.57246
2022-10-26,27.52173
2022-10-27,28.21014
2022-10-28,25.1884
2022-10-29,3.92028
2022-10-30,2.99275
2022-10-31,28.37681
2022-11-01,30.63043
2022-11-02,25.20289
2022-11-03,23.02898
2022-11-04,32.23913
2022-11-05,4.25362
2022-11-06,3.81159
2022-11-07,25.54347
2022-11-08,27.2826
2022-11-09,27.4855
2022-11-10,21.28985
2022-11-11,41.21739
2022-11-12,5.84057
2022-11-13,5.62318
2022-11-14,29.49275
2022-11-15,28.76086
2022-11-16,25.7826
2022-11-17,21.18115
2022-11-18,21.06521
2022-11-19,2.76086
2022-11-20,2.71739
2022-11-21,20.5942
2022-11-22,19.13043
2022-11-23,21.12318
2022-11-24,21.43478
2022-11-25,19.36231
2022-11-26,3.05797
2022-11-27,3.05797
2022-11-28,22.07246
2022-11-29,21.56521
2022-11-30,24.92028
2022-12-01,24.39855
2022-12-02,17.23188
2022-12-03,1.91304
2022-12-04,2.49275
2022-12-05,22.35507
2022-12-06,22.71014
2022-12-07,22.65217
2022-12-08,23.7826
2022-12-09,20.68115
2022-12-10,2.53623
2022-12-11,2.31159
2022-12-12,19.14492
2022-12-13,19.08695
2022-12-14,21.75362
2022-12-15,19.32608
2022-12-16,18.64492
2022-12-17,2.33333
2022-12-18,2.11594
2022-12-19,17.65942
2022-12-20,17.11594
2022-12-21,16.62318
2022-12-22,21.23913
2022-12-23,20.69565
2022-12-24,4.50724
2022-12-25,4.0942
2022-12-26,24.92028
2022-12-27,21.71014
2022-12-28,22.18115
2022-12-29,25.31159
2022-12-30,7.15942
2022-12-31,2.15942
2023-01-01,2.77536
2023-01-02,19.31884
2023-01-03,25.8913
2023-01-04,25.11594
2023-01-05,21.2971
2023-01-06,24.31159
2023-01-07,4.42028
2023-01-08,3.15942
2023-01-09,26.97101
2023-01-10,24.13768
2023-01-11,23.21014
2023-01-12,20.53623
2023-01-13,21.70289
2023-01-14,3.52898
2023-01-15,2.75362
2023-01-16,21.06521
2023-01-17,21.42753
2023-01-18,21.47826
2023-01-19,20.40579
2023-01-20,17.89855
2023-01-21,2.73188
2023-01-22,1.35507
2023-01-23,1.81884
2023-01-24,2.89855
2023-01-25,26.41304
2023-01-26,26.08695
2023-01-27,24.16666
2023-01-28,3.76811
2023-01-29,3.03623
2023-01-30,21.44927
2023-01-31,21.25362
2023-02-01,19.72463
2023-02-02,22.91304
2023-02-03,22.60144
2023-02-04,3.78985
2023-02-05,2.69565
2023-02-06,23.04347
2023-02-07,22.30434
2023-02-08,32.4855
2023-02-09,25.81159
2023-02-10,21.83333
2023-02-11,2.7826
2023-02-12,2.95652
2023-02-13,21.35507
2023-02-14,21.69565
2023-02-15,21.13043
2023-02-16,28.78985
2023-02-17,23.44927
2023-02-18,3.12318
2023-02-19,2.80434
2023-02-20,24.00724
2023-02-21,22.97101
2023-02-22,19.80434
2023-02-23,21.62318
2023-02-24,19.50724
2023-02-25,3.10144
2023-02-26,3.07246
2023-02-27,18.62318
2023-02-28,21.96376
2023-03-01,4.0
2023-03-02,24.08695
2023-03-03,22.34782
2023-03-04,3.8913
2023-03-05,3.18115
2023-03-06,26.23188
2023-03-07,23.35507
2023-03-08,19.7826
2023-03-09,19.81159
2023-03-10,18.0
2023-03-11,2.52898
2023-03-12,1.9855
2023-03-13,19.31159
2023-03-14,20.0942
2023-03-15,24.53623
2023-03-16,21.73913
2023-03-17,19.77536
2023-03-18,3.21739
2023-03-19,2.95652
2023-03-20,19.14492
2023-03-21,21.82608
2023-03-22,20.7826
2023-03-23,22.66666
2023-03-24,25.26086
2023-03-25,4.57971
2023-03-26,3.3913
2023-03-27,25.77536
2023-03-28,26.61594
2023-03-29,26.12318
2023-03-30,25.39855
2023-03-31,23.21014
2023-04-01,4.07246
2023-04-02,3.38405
2023-04-03,23.24637
2023-04-04,23.52173
2023-04-05,22.65217
2023-04-06,25.17391
2023-04-07,24.26811
2023-04-08,3.42028
2023-04-09,4.36231
2023-04-10,27.36231
2023-04-11,27.36231
2023-04-12,26.54347
2023-04-13,22.42028
2023-04-14,23.10869
2023-04-15,3.46376
2023-04-16,3.63043
2023-04-17,21.94927
2023-04-18,21.76811
2023-04-19,21.87681
2023-04-20,18.57971
2023-04-21,24.01449
2023-04-22,4.40579
2023-04-23,3.58695
2023-04-24,20.31159
2023-04-25,19.55797
2023-04-26,18.8913
2023-04-27,24.02173
2023-04-28,18.63043
2023-04-29,2.71014
2023-04-30,2.11594
2023-05-01,4.60144
2023-05-02,18.11594
2023-05-03,15.10144
2023-05-04,16.25362
2023-05-05,2.91304
2023-05-06,2.78985
2023-05-07,2.30434
2023-05-08,27.69565
2023-05-09,20.77536
2023-05-10,17.68115
2023-05-11,17.74637
2023-05-12,26.16666
2023-05-13,3.37681
2023-05-14,3.04347
2023-05-15,17.63043
2023-05-16,18.66666
2023-05-17,22.36956
2023-05-18,19.86231
2023-05-19,22.57246
2023-05-20,3.02898
2023-05-21,2.52898
2023-05-22,18.16666
2023-05-23,18.16666
2023-05-24,17.31884
2023-05-25,16.3913
2023-05-26,16.35507
2023-05-27,2.36231
