date,신혼부부청약
2023-03-07,30.83511
2023-03-08,41.54175
2023-03-09,30.40685
2023-03-10,24.62526
2023-03-11,24.197
2023-03-12,24.8394
2023-03-13,42.39828
2023-03-14,34.0471
2023-03-15,29.12205
2023-03-16,28.05139
2023-03-17,23.5546
2023-03-18,29.33618
2023-03-19,33.61884
2023-03-20,41.97002
2023-03-21,35.11777
2023-03-22,37.2591
2023-03-23,47.32334
2023-03-24,34.0471
2023-03-25,24.197
2023-03-26,32.97644
2023-03-27,48.60813
2023-03-28,46.89507
2023-03-29,38.97216
2023-03-30,33.40471
2023-03-31,29.33618
2023-04-01,27.62312
2023-04-02,37.04496
2023-04-03,57.60171
2023-04-04,41.97002
2023-04-05,37.47323
2023-04-06,28.69379
2023-04-07,30.62098
2023-04-08,25.05353
2023-04-09,35.76017
2023-04-10,48.82226
2023-04-11,43.89721
2023-04-12,39.18629
2023-04-13,36.6167
2023-04-14,32.11991
2023-04-15,23.76873
2023-04-16,31.69164
2023-04-17,49.46466
2023-04-18,39.18629
2023-04-19,43.04068
2023-04-20,28.05139
2023-04-21,31.47751
2023-04-22,24.8394
2023-04-23,40.25695
2023-04-24,48.82226
2023-04-25,35.54603
2023-04-26,37.47323
2023-04-27,28.90792
2023-04-28,23.76873
2023-04-29,28.69379
2023-04-30,35.76017
2023-05-01,39.18629
2023-05-02,41.75588
2023-05-03,36.18843
2023-05-04,28.05139
2023-05-05,23.12633
2023-05-06,37.2591
2023-05-07,36.83083
2023-05-08,45.82441
2023-05-09,42.18415
2023-05-10,41.54175
2023-05-11,31.69164
2023-05-12,26.55246
2023-05-13,24.41113
2023-05-14,41.97002
2023-05-15,49.25053
2023-05-16,35.9743
2023-05-17,40.47109
2023-05-18,33.40471
2023-05-19,32.33404
2023-05-20,25.69593
2023-05-21,37.90149
2023-05-22,41.11349
2023-05-23,33.83297
2023-05-24,39.40042
2023-05-25,37.68736
2023-05-26,31.47751
2023-05-27,21.6274
