date,박셀바이오주가
2022-07-18,61.36907
2022-07-19,56.20362
2022-07-20,45.91622
2022-07-21,33.00137
2022-07-22,24.1135
2022-07-23,2.96584
2022-07-24,3.05044
2022-07-25,22.5907
2022-07-26,19.11725
2022-07-27,18.78852
2022-07-28,18.14797
2022-07-29,22.00333
2022-07-30,4.02697
2022-07-31,2.92717
2022-08-01,18.96014
2022-08-02,17.59203
2022-08-03,20.27748
2022-08-04,40.04979
2022-08-05,25.48403
2022-08-06,3.38401
2022-08-07,3.18338
2022-08-08,21.51265
2022-08-09,18.79335
2022-08-10,16.40762
2022-08-11,31.52691
2022-08-12,82.13241
2022-08-13,10.87235
2022-08-14,8.10229
2022-08-15,9.18276
2022-08-16,100.0
2022-08-17,69.44961
2022-08-18,70.547
2022-08-19,50.78436
2022-08-20,7.63578
2022-08-21,6.97831
2022-08-22,44.41033
2022-08-23,37.84776
2022-08-24,43.28394
2022-08-25,46.7308
2022-08-26,35.37018
2022-08-27,6.35227
2022-08-28,5.9897
2022-08-29,51.47325
2022-08-30,37.31599
2022-08-31,37.39334
2022-09-01,90.03408
2022-09-02,54.33757
2022-09-03,8.0757
2022-09-04,6.44412
2022-09-05,42.86577
2022-09-06,33.16332
2022-09-07,26.05689
2022-09-08,26.38804
2022-09-09,2.70237
2022-09-10,2.57668
2022-09-11,2.40748
2022-09-12,3.47828
2022-09-13,26.68535
2022-09-14,27.83108
2022-09-15,24.7758
2022-09-16,18.71117
2022-09-17,2.4099
2022-09-18,1.88054
2022-09-19,15.63413
2022-09-20,14.72529
2022-09-21,13.02361
2022-09-22,12.1196
2022-09-23,11.03429
2022-09-24,1.96031
2022-09-25,1.18198
2022-09-26,12.53776
2022-09-27,12.70455
2022-09-28,13.34751
2022-09-29,15.23047
2022-09-30,12.04225
2022-10-01,1.2835
2022-10-02,0.96686
2022-10-03,1.25208
2022-10-04,13.9663
2022-10-05,13.18798
2022-10-06,12.28638
2022-10-07,10.35991
2022-10-08,0.93785
2022-10-09,0.68163
2022-10-10,1.0007
2022-10-11,10.36474
2022-10-12,9.9925
2022-10-13,9.12958
2022-10-14,10.71765
2022-10-15,1.269
2022-10-16,0.846
2022-10-17,10.35991
2022-10-18,10.62338
2022-10-19,9.63476
2022-10-20,8.64373
2022-10-21,7.90892
2022-10-22,0.81216
2022-10-23,0.64296
2022-10-24,8.64857
2022-10-25,8.18689
2022-10-26,7.73972
2022-10-27,7.921
2022-10-28,7.69862
2022-10-29,0.90884
2022-10-30,0.70339
2022-10-31,9.10782
2022-11-01,8.00802
2022-11-02,7.98143
2022-11-03,6.80428
2022-11-04,6.77769
2022-11-05,0.84116
2022-11-06,0.60187
2022-11-07,7.6672
2022-11-08,20.71982
2022-11-09,13.03811
2022-11-10,9.47765
2022-11-11,11.09231
2022-11-12,1.34877
2022-11-13,1.0007
2022-11-14,14.73012
2022-11-15,15.21113
2022-11-16,12.48217
2022-11-17,12.1486
2022-11-18,9.81605
2022-11-19,1.06112
2022-11-20,0.76865
2022-11-21,8.3005
2022-11-22,8.35851
2022-11-23,8.37543
2022-11-24,8.16272
2022-11-25,6.99282
2022-11-26,0.65746
2022-11-27,0.5366
2022-11-28,6.86954
2022-11-29,7.61644
2022-11-30,7.29496
2022-12-01,8.30775
2022-12-02,6.34502
2022-12-03,0.66471
2022-12-04,0.49793
2022-12-05,6.92272
2022-12-06,6.1589
2022-12-07,5.84467
2022-12-08,5.73106
2022-12-09,6.11781
2022-12-10,0.74931
2022-12-11,0.52693
2022-12-12,6.13473
2022-12-13,6.8913
2022-12-14,8.43102
2022-12-15,7.43515
2022-12-16,6.66892
2022-12-17,0.79766
2022-12-18,0.63812
2022-12-19,7.08708
2022-12-20,6.53114
2022-12-21,6.39095
2022-12-22,6.85262
2022-12-23,5.88576
2022-12-24,0.69613
2022-12-25,0.58978
2022-12-26,5.95344
2022-12-27,6.00178
2022-12-28,5.88093
2022-12-29,6.41028
2022-12-30,1.85153
2022-12-31,0.54869
2023-01-01,0.50518
2023-01-02,6.36194
2023-01-03,5.87609
2023-01-04,6.38611
2023-01-05,5.92202
2023-01-06,5.76732
2023-01-07,0.71064
2023-01-08,0.59703
2023-01-09,6.56498
2023-01-10,5.62713
2023-01-11,5.51594
2023-01-12,5.36124
2023-01-13,5.02525
2023-01-14,0.58495
2023-01-15,0.44475
2023-01-16,5.57878
2023-01-17,4.97208
2023-01-18,4.76178
2023-01-19,4.4814
2023-01-20,4.1019
2023-01-21,0.48584
2023-01-22,0.31422
2023-01-23,0.39399
2023-01-24,0.39399
2023-01-25,5.66822
2023-01-26,5.75282
2023-01-27,5.35399
2023-01-28,0.73723
2023-01-29,0.49551
2023-01-30,5.19204
2023-01-31,5.05909
2023-02-01,6.681
2023-02-02,6.31843
2023-02-03,5.09052
2023-02-04,0.63087
2023-02-05,0.452
2023-02-06,4.44755
2023-02-07,5.00592
2023-02-08,4.6796
2023-02-09,4.42097
2023-02-10,4.87297
2023-02-11,0.6913
2023-02-12,0.52693
2023-02-13,5.02525
2023-02-14,4.4814
2023-02-15,4.33637
2023-02-16,8.71141
2023-02-17,5.29356
2023-02-18,0.70822
2023-02-19,0.44959
2023-02-20,6.75352
2023-02-21,11.22767
2023-02-22,8.02252
2023-02-23,6.42962
2023-02-24,5.64163
2023-02-25,0.63812
2023-02-26,0.47859
2023-02-27,4.64818
2023-02-28,4.80046
2023-03-01,0.89676
2023-03-02,5.30564
2023-03-03,4.9334
2023-03-04,0.64054
2023-03-05,0.47859
2023-03-06,4.95999
2023-03-07,5.19687
2023-03-08,4.50073
2023-03-09,9.73387
2023-03-10,18.57823
2023-03-11,2.30354
2023-03-12,2.01348
2023-03-13,10.94969
2023-03-14,9.86439
2023-03-15,7.85091
2023-03-16,7.37231
2023-03-17,7.61402
2023-03-18,1.01762
2023-03-19,0.93302
2023-03-20,27.48301
2023-03-21,15.48427
2023-03-22,10.48077
2023-03-23,9.63235
2023-03-24,9.17309
2023-03-25,1.09496
2023-03-26,0.80007
2023-03-27,8.12646
2023-03-28,8.30533
2023-03-29,7.3143
2023-03-30,8.79843
2023-03-31,7.54393
2023-04-01,0.87017
2023-04-02,0.81458
2023-04-03,7.57293
2023-04-04,9.54775
2023-04-05,13.57472
2023-04-06,21.54165
2023-04-07,14.22494
2023-04-08,1.49863
2023-04-09,1.50105
2023-04-10,10.36958
2023-04-11,12.80848
2023-04-12,12.73597
2023-04-13,12.73355
2023-04-14,52.98397
2023-04-15,19.70462
2023-04-16,18.57339
2023-04-17,79.65724
2023-04-18,34.17369
2023-04-19,30.73408
2023-04-20,21.74953
2023-04-21,18.70634
2023-04-22,2.44857
2023-04-23,1.84186
2023-04-24,17.56302
2023-04-25,17.28022
2023-04-26,15.66314
2023-04-27,13.58197
2023-04-28,11.85854
2023-04-29,1.65333
2023-04-30,1.26175
2023-05-01,2.30112
2023-05-02,12.93176
2023-05-03,10.51944
2023-05-04,12.23562
2023-05-05,1.47446
2023-05-06,1.06838
2023-05-07,0.97894
2023-05-08,10.61371
2023-05-09,9.58884
2023-05-10,8.50354
2023-05-11,8.42135
2023-05-12,7.61644
2023-05-13,0.94027
2023-05-14,0.81941
2023-05-15,7.89925
2023-05-16,7.28287
2023-05-17,8.49387
2023-05-18,7.31671
2023-05-19,7.04599
2023-05-20,0.82424
2023-05-21,0.62362
2023-05-22,7.88716
2023-05-23,7.89683
2023-05-24,6.77286
2023-05-25,6.64475
2023-05-26,6.04529
2023-05-27,0.71547
2023-05-28,0.75898
2023-05-29,1.00795
2023-05-30,6.53356
2023-05-31,6.3982
2023-06-01,8.01285
2023-06-02,6.54323
2023-06-03,0.78799
2023-06-04,0.61879
2023-06-05,5.92685
2023-06-06,0.85808
2023-06-07,6.62057
2023-06-08,5.68755
2023-06-09,6.30876
2023-06-10,0.68405
2023-06-11,0.58253
2023-06-12,5.85192
2023-06-13,5.83017
2023-06-14,6.26767
2023-06-15,6.23625
2023-06-16,5.73348
2023-06-17,0.60187
2023-06-18,0.49309
2023-06-19,5.3975
2023-06-20,5.3564
2023-06-21,5.21137
2023-06-22,4.98658
2023-06-23,4.92132
2023-06-24,0.48584
2023-06-25,0.36015
2023-06-26,5.29598
2023-06-27,4.2566
2023-06-28,4.47414
2023-06-29,4.37746
2023-06-30,4.74728
2023-07-01,0.54627
2023-07-02,0.46167
2023-07-03,4.98658
2023-07-04,4.28802
2023-07-05,4.54908
2023-07-06,4.45722
2023-07-07,4.22276
2023-07-08,0.49068
2023-07-09,0.37707
2023-07-10,4.53216
2023-07-11,7.74938
2023-07-12,5.66822
2023-07-13,5.97036
2023-07-14,7.90892
2023-07-15,0.7904
2023-07-16,0.61395
2023-07-17,5.87609
2023-07-18,5.72139
2023-07-19,5.99937
2023-07-20,5.76249
2023-07-21,6.83328
2023-07-22,0.7469
2023-07-23,0.58978
2023-07-24,5.87367
2023-07-25,5.10985
2023-07-26,5.14611
2023-07-27,6.90822
2023-07-28,6.59157
2023-07-29,0.69855
2023-07-30,0.5076
2023-07-31,5.77941
2023-08-01,8.88303
2023-08-02,6.5674
2023-08-03,7.46658
2023-08-04,5.72381
2023-08-05,0.67196
2023-08-06,0.46167
2023-08-07,6.1589
2023-08-08,12.47008
2023-08-09,11.19141
2023-08-10,8.16755
2023-08-11,6.7366
2023-08-12,0.82908
2023-08-13,0.68647
2023-08-14,5.35399
2023-08-15,0.82666
2023-08-16,5.76249
2023-08-17,5.57153
2023-08-18,4.93582
2023-08-19,0.53177
2023-08-20,0.5221
2023-08-21,5.54252
2023-08-22,5.4966
2023-08-23,4.65543
2023-08-24,4.82946
2023-08-25,4.1019
2023-08-26,0.45925
2023-08-27,0.41091
2023-08-28,4.19134
2023-08-29,5.04701
2023-08-30,31.98617
2023-08-31,37.72449
2023-09-01,20.24606
2023-09-02,2.31079
2023-09-03,1.97481
2023-09-04,13.57472
2023-09-05,12.9801
2023-09-06,11.24459
2023-09-07,21.96707
2023-09-08,11.74735
2023-09-09,1.72826
2023-09-10,1.37052
2023-09-11,19.62244
2023-09-12,39.99419
2023-09-13,20.2509
2023-09-14,13.42969
2023-09-15,11.52256
2023-09-16,1.39227
2023-09-17,1.18198
2023-09-18,9.57192
2023-09-19,8.85402
2023-09-20,9.02081
2023-09-21,8.12163
2023-09-22,7.4835
2023-09-23,0.85567
2023-09-24,0.9451
2023-09-25,7.33605
2023-09-26,6.80186
2023-09-27,6.63024
2023-09-28,0.83875
2023-09-29,0.57286
2023-09-30,0.59945
2023-10-01,0.50035
2023-10-02,0.80732
2023-10-03,0.7058
2023-10-04,6.55531
2023-10-05,6.17098
2023-10-06,6.56256
2023-10-07,0.7614
2023-10-08,0.48343
2023-10-09,0.64296
2023-10-10,6.19999
2023-10-11,5.54978
2023-10-12,5.77941
2023-10-13,4.88264
2023-10-14,0.61153
2023-10-15,0.47134
2023-10-16,5.20171
2023-10-17,5.69481
2023-10-18,5.11711
2023-10-19,5.3419
2023-10-20,5.87367
2023-10-21,0.86775
2023-10-22,0.5922
2023-10-23,5.90993
2023-10-24,7.47141
2023-10-25,5.61746
2023-10-26,5.69481
2023-10-27,5.42167
2023-10-28,0.67196
2023-10-29,0.5221
2023-10-30,7.80014
2023-10-31,7.88958
2023-11-01,5.93652
2023-11-02,6.82845
2023-11-03,6.01387
2023-11-04,0.72514
2023-11-05,0.65746
2023-11-06,9.36646
2023-11-07,8.92895
2023-11-08,6.61816
