date,월배당ETF
2021-07-06,1.81818
2021-07-07,2.07792
2021-07-08,0.90909
2021-07-09,0.90909
2021-07-10,0.64935
2021-07-11,2.07792
2021-07-12,1.55844
2021-07-13,2.85714
2021-07-14,2.46753
2021-07-15,2.46753
2021-07-16,0.90909
2021-07-17,1.16883
2021-07-18,1.2987
2021-07-19,1.94805
2021-07-20,2.46753
2021-07-21,0.64935
2021-07-22,2.20779
2021-07-23,2.46753
2021-07-24,1.03896
2021-07-25,1.68831
2021-07-26,1.68831
2021-07-27,2.5974
2021-07-28,4.02597
2021-07-29,6.10389
2021-07-30,5.06493
2021-07-31,4.93506
2021-08-01,3.50649
2021-08-02,2.98701
2021-08-03,6.23376
2021-08-04,2.5974
2021-08-05,4.41558
2021-08-06,5.71428
2021-08-07,2.72727
2021-08-08,3.24675
2021-08-09,4.15584
2021-08-10,5.45454
2021-08-11,11.2987
2021-08-12,14.67532
2021-08-13,8.70129
2021-08-14,7.14285
2021-08-15,7.40259
2021-08-16,9.22077
2021-08-17,8.57142
2021-08-18,8.57142
2021-08-19,15.06493
2021-08-20,12.85714
2021-08-21,12.5974
2021-08-22,7.53246
2021-08-23,6.10389
2021-08-24,9.35064
2021-08-25,8.31168
2021-08-26,7.27272
2021-08-27,10.77922
2021-08-28,11.2987
2021-08-29,8.31168
2021-08-30,8.70129
2021-08-31,10.51948
2021-09-01,10.0
2021-09-02,7.27272
2021-09-03,6.36363
2021-09-04,6.62337
2021-09-05,5.45454
2021-09-06,7.40259
2021-09-07,6.4935
2021-09-08,8.18181
2021-09-09,7.27272
2021-09-10,7.40259
2021-09-11,7.92207
2021-09-12,9.48051
2021-09-13,6.62337
2021-09-14,9.35064
2021-09-15,9.22077
2021-09-16,7.53246
2021-09-17,7.92207
2021-09-18,7.66233
2021-09-19,5.58441
2021-09-20,8.05194
2021-09-21,7.40259
2021-09-22,8.05194
2021-09-23,9.0909
2021-09-24,9.87012
2021-09-25,8.31168
2021-09-26,7.53246
2021-09-27,9.74025
2021-09-28,9.48051
2021-09-29,8.83116
2021-09-30,7.92207
2021-10-01,6.75324
2021-10-02,7.7922
2021-10-03,8.83116
2021-10-04,7.01298
2021-10-05,10.25974
2021-10-06,9.35064
2021-10-07,8.18181
2021-10-08,7.27272
2021-10-09,5.32467
2021-10-10,7.01298
2021-10-11,5.97402
2021-10-12,4.02597
2021-10-13,8.31168
2021-10-14,6.4935
2021-10-15,10.25974
2021-10-16,7.01298
2021-10-17,7.27272
2021-10-18,4.80519
2021-10-19,6.23376
2021-10-20,6.88311
2021-10-21,6.88311
2021-10-22,7.53246
2021-10-23,4.54545
2021-10-24,7.27272
2021-10-25,7.14285
2021-10-26,8.05194
2021-10-27,5.1948
2021-10-28,5.58441
2021-10-29,6.75324
2021-10-30,7.01298
2021-10-31,4.80519
2021-11-01,5.1948
2021-11-02,7.53246
2021-11-03,7.27272
2021-11-04,5.1948
2021-11-05,7.92207
2021-11-06,1.55844
2021-11-07,3.76623
2021-11-08,3.37662
2021-11-09,3.50649
2021-11-10,3.8961
2021-11-11,4.02597
2021-11-12,3.8961
2021-11-13,4.80519
2021-11-14,3.11688
2021-11-15,3.50649
2021-11-16,6.23376
2021-11-17,8.18181
2021-11-18,4.54545
2021-11-19,5.1948
2021-11-20,2.46753
2021-11-21,4.02597
2021-11-22,7.27272
2021-11-23,12.85714
2021-11-24,6.36363
2021-11-25,4.93506
2021-11-26,2.20779
2021-11-27,3.37662
2021-11-28,5.97402
2021-11-29,10.25974
2021-11-30,4.41558
2021-12-01,4.54545
2021-12-02,2.5974
2021-12-03,2.33766
2021-12-04,2.72727
2021-12-05,1.2987
2021-12-06,3.24675
2021-12-07,2.07792
2021-12-08,2.5974
2021-12-09,1.55844
2021-12-10,3.24675
2021-12-11,1.42857
2021-12-12,1.03896
2021-12-13,1.55844
2021-12-14,2.98701
2021-12-15,2.98701
2021-12-16,1.55844
2021-12-18,1.42857
2021-12-19,0.90909
2021-12-20,1.42857
2021-12-21,0.64935
2021-12-22,0.90909
2021-12-23,2.20779
2021-12-24,1.03896
2021-12-26,1.16883
2021-12-27,0.90909
2021-12-28,2.72727
2021-12-29,2.85714
2021-12-30,2.33766
2021-12-31,0.77922
2022-01-01,0.90909
2022-01-02,0.90909
2022-01-03,2.33766
2022-01-04,1.03896
2022-01-05,3.63636
2022-01-06,3.11688
2022-01-07,2.5974
2022-01-08,1.68831
2022-01-09,2.72727
2022-01-10,3.63636
2022-01-11,4.41558
2022-01-12,6.23376
2022-01-13,3.63636
2022-01-14,4.28571
2022-01-15,3.37662
2022-01-16,1.94805
2022-01-17,0.90909
2022-01-18,1.81818
2022-01-19,2.98701
2022-01-20,2.85714
2022-01-21,1.03896
2022-01-22,2.46753
2022-01-24,1.81818
2022-01-25,2.5974
2022-01-27,2.46753
2022-01-28,1.81818
2022-01-29,1.94805
2022-01-30,1.16883
2022-01-31,2.20779
2022-02-01,1.16883
2022-02-02,1.68831
2022-02-03,2.33766
2022-02-04,2.20779
2022-02-05,1.03896
2022-02-06,3.24675
2022-02-07,3.24675
2022-02-08,2.46753
2022-02-09,2.07792
2022-02-10,0.90909
