date,대위변제
2022-02-04,6.76343
2022-02-05,3.4898
2022-02-06,2.99567
2022-02-07,8.02964
2022-02-08,9.32674
2022-02-09,8.27671
2022-02-10,7.56639
2022-02-11,7.28844
2022-02-12,2.56331
2022-02-13,2.68684
2022-02-14,7.59728
2022-02-15,9.75911
2022-02-16,8.83261
2022-02-17,8.09141
2022-02-18,6.48548
2022-02-19,2.9339
2022-02-20,2.96479
2022-02-21,8.24583
2022-02-22,7.99876
2022-02-23,9.07967
2022-02-24,8.12229
2022-02-25,6.67078
2022-02-26,3.39715
2022-02-27,3.18097
2022-02-28,6.02223
2022-03-01,4.13835
2022-03-02,7.41198
2022-03-03,7.68993
2022-03-04,7.59728
2022-03-05,2.43977
2022-03-06,2.13094
2022-03-07,7.93699
2022-03-08,7.0105
2022-03-09,2.50154
2022-03-10,7.87523
2022-03-11,8.70907
2022-03-12,3.92217
2022-03-13,2.9339
2022-03-14,8.21494
2022-03-15,6.91785
2022-03-16,9.72822
2022-03-17,8.73996
2022-03-18,7.28844
2022-03-19,3.1192
2022-03-20,3.45892
2022-03-21,8.64731
2022-03-22,9.26497
2022-03-23,9.94441
2022-03-24,8.46201
2022-03-25,6.30018
2022-03-26,2.84126
2022-03-27,2.84126
2022-03-28,8.58554
2022-03-29,8.30759
2022-03-30,7.90611
2022-03-31,7.78258
2022-04-01,6.79431
2022-04-02,3.02655
2022-04-03,2.99567
2022-04-04,6.94873
2022-04-05,7.31933
2022-04-06,8.89437
2022-04-07,7.16491
2022-04-08,6.94873
2022-04-09,2.22359
2022-04-10,2.77949
2022-04-11,8.15318
2022-04-12,8.83261
2022-04-13,7.38109
2022-04-14,8.58554
2022-04-15,7.22668
2022-04-16,2.71772
2022-04-17,2.99567
2022-04-18,8.18406
2022-04-19,8.49289
2022-04-20,9.17232
2022-04-21,7.75169
2022-04-22,6.67078
2022-04-23,2.16182
2022-04-24,2.31624
2022-04-25,8.15318
2022-04-26,8.33848
2022-04-27,8.92526
2022-04-28,9.04879
2022-04-29,20.93885
2022-04-30,9.78999
2022-05-01,3.15009
2022-05-02,6.97961
2022-05-03,8.43113
2022-05-04,7.28844
2022-05-05,2.62507
2022-05-06,6.2693
2022-05-07,2.62507
2022-05-08,2.16182
2022-05-09,8.70907
2022-05-10,6.94873
2022-05-11,8.64731
2022-05-12,8.86349
2022-05-13,6.76343
2022-05-14,2.43977
2022-05-15,2.37801
2022-05-16,7.25756
2022-05-17,11.14885
2022-05-18,10.5003
2022-05-19,10.06794
2022-05-20,7.68993
2022-05-21,2.9339
2022-05-22,2.59419
2022-05-23,8.89437
2022-05-24,8.61642
2022-05-25,8.80172
2022-05-26,9.07967
2022-05-27,7.62816
2022-05-28,2.99567
2022-05-29,2.25447
2022-05-30,8.30759
2022-05-31,8.02964
2022-06-01,2.59419
2022-06-02,8.55466
2022-06-03,6.67078
2022-06-04,2.68684
2022-06-05,2.31624
2022-06-06,3.52069
2022-06-07,8.09141
2022-06-08,9.04879
2022-06-09,7.78258
2022-06-10,7.07226
2022-06-11,2.62507
2022-06-12,2.9339
2022-06-13,9.60469
2022-06-14,9.63557
2022-06-15,12.3533
2022-06-16,18.74613
2022-06-17,12.01358
2022-06-18,4.69425
2022-06-19,3.52069
2022-06-20,11.02532
2022-06-21,10.03705
2022-06-22,9.69734
2022-06-23,7.87523
2022-06-24,7.38109
2022-06-25,2.65596
2022-06-26,2.28536
2022-06-27,8.64731
2022-06-28,16.58431
2022-06-29,16.09017
2022-06-30,11.30327
2022-07-01,9.29586
2022-07-02,4.231
2022-07-03,3.52069
2022-07-04,14.48424
2022-07-05,12.38418
2022-07-06,11.17974
2022-07-07,12.38418
2022-07-08,9.60469
2022-07-09,3.76775
2022-07-10,3.08832
2022-07-11,9.51204
2022-07-12,12.63125
2022-07-13,13.55775
2022-07-14,11.6121
2022-07-15,10.09882
2022-07-16,3.82952
2022-07-17,3.8604
2022-07-18,17.44904
2022-07-19,14.88573
2022-07-20,13.58863
2022-07-21,10.09882
2022-07-22,14.11365
2022-07-23,5.06485
2022-07-24,4.47807
2022-07-25,10.34589
2022-07-26,22.26683
2022-07-27,21.61828
2022-07-28,13.55775
2022-07-29,10.315
2022-07-30,3.27362
