date,유류분반환청구소송
2022-09-05,26.5625
2022-09-06,28.58455
2022-09-07,31.61764
2022-09-08,24.90808
2022-09-09,23.62132
2022-09-10,36.12132
2022-09-11,47.33455
2022-09-12,45.95588
2022-09-13,57.26102
2022-09-14,42.92279
2022-09-15,37.04044
2022-09-16,49.08088
2022-09-17,52.84926
2022-09-18,35.38602
2022-09-19,39.8897
2022-09-20,34.09926
2022-09-21,32.99632
2022-09-22,30.14705
2022-09-23,25.36764
2022-09-24,21.50735
2022-09-25,19.20955
2022-09-26,30.33088
2022-09-27,30.42279
2022-09-28,33.18014
2022-09-29,23.89705
2022-09-30,24.72426
2022-10-01,24.81617
2022-10-02,24.54044
2022-10-03,26.28676
2022-10-04,34.19117
2022-10-05,33.08823
2022-10-06,29.50367
2022-10-07,24.90808
2022-10-08,19.02573
2022-10-09,20.77205
2022-10-10,25.73529
2022-10-11,29.41176
2022-10-12,28.30882
2022-10-13,28.86029
2022-10-14,32.53676
2022-10-15,27.75735
2022-10-16,24.72426
2022-10-17,31.70955
2022-10-18,31.25
2022-10-19,27.66544
2022-10-20,28.9522
2022-10-21,31.70955
2022-10-22,19.48529
2022-10-23,22.05882
2022-10-24,35.56985
2022-10-25,29.96323
2022-10-26,23.25367
2022-10-27,28.58455
2022-10-28,23.89705
2022-10-29,20.12867
2022-10-30,17.64705
2022-10-31,30.14705
2022-11-01,27.3897
2022-11-02,25.64338
2022-11-03,23.98897
2022-11-04,24.2647
2022-11-05,17.09558
2022-11-06,17.64705
2022-11-07,29.96323
2022-11-08,25.36764
2022-11-09,25.09191
2022-11-10,22.15073
2022-11-11,32.35294
2022-11-12,22.97794
2022-11-13,17.64705
2022-11-14,34.00735
2022-11-15,26.74632
2022-11-16,25.0
2022-11-17,27.11397
2022-11-18,24.63235
2022-11-19,19.02573
2022-11-20,19.5772
2022-11-21,30.33088
2022-11-22,26.5625
2022-11-23,28.30882
2022-11-24,22.7022
2022-11-25,28.58455
2022-11-26,18.38235
2022-11-27,23.52941
2022-11-28,27.11397
2022-11-29,25.64338
2022-11-30,22.79411
2022-12-01,26.01102
2022-12-02,19.02573
2022-12-03,13.87867
2022-12-04,18.19852
2022-12-05,26.10294
2022-12-06,22.79411
2022-12-07,25.64338
2022-12-08,26.5625
2022-12-09,24.90808
2022-12-10,18.19852
2022-12-11,18.38235
2022-12-12,26.01102
2022-12-13,23.16176
2022-12-14,27.02205
2022-12-15,32.44485
2022-12-16,21.96691
2022-12-17,32.26102
2022-12-18,59.00735
2022-12-19,43.65808
2022-12-20,39.43014
2022-12-21,33.27205
2022-12-22,31.80147
2022-12-23,30.69852
2022-12-24,22.33455
2022-12-25,23.89705
2022-12-26,31.70955
2022-12-27,32.72058
2022-12-28,27.57352
2022-12-29,27.29779
2022-12-30,27.29779
2022-12-31,19.30147
2023-01-01,19.85294
2023-01-02,31.70955
2023-01-03,30.33088
2023-01-04,25.8272
2023-01-05,25.91911
2023-01-06,27.3897
2023-01-07,19.66911
2023-01-08,19.5772
2023-01-09,37.31617
2023-01-10,31.98529
2023-01-11,30.69852
2023-01-12,29.59558
2023-01-13,28.49264
2023-01-14,24.08088
2023-01-15,22.51838
2023-01-16,64.43014
2023-01-17,33.36397
2023-01-18,30.79044
2023-01-19,30.33088
