date,양도
2021-11-06,36.39455
2021-11-07,36.90476
2021-11-08,54.08163
2021-11-09,55.44217
2021-11-10,53.06122
2021-11-11,58.33333
2021-11-12,52.63605
2021-11-13,31.88775
2021-11-14,37.07482
2021-11-15,58.16326
2021-11-16,60.54421
2021-11-17,56.54761
2021-11-18,57.39795
2021-11-19,50.85034
2021-11-20,39.28571
2021-11-21,34.35374
2021-11-22,54.16666
2021-11-23,54.2517
2021-11-24,54.5068
2021-11-25,55.017
2021-11-26,49.40476
2021-11-27,33.33333
2021-11-28,34.69387
2021-11-29,58.58843
2021-11-30,65.13605
2021-12-01,52.97619
2021-12-02,55.52721
2021-12-03,50.08503
2021-12-04,33.67346
2021-12-05,42.2619
2021-12-06,64.71088
2021-12-07,59.0136
2021-12-08,67.94217
2021-12-09,57.99319
2021-12-10,50.42517
2021-12-11,35.62925
2021-12-12,41.7517
2021-12-13,55.017
2021-12-14,56.71768
2021-12-15,56.71768
2021-12-16,53.06122
2021-12-17,52.04081
2021-12-18,32.39795
2021-12-19,34.60884
2021-12-20,54.42176
2021-12-21,60.03401
2021-12-22,56.03741
2021-12-23,52.21088
2021-12-24,47.78911
2021-12-25,30.69727
2021-12-26,29.67687
2021-12-27,56.03741
2021-12-28,59.77891
2021-12-29,59.2687
2021-12-30,61.56462
2021-12-31,50.17006
2022-01-01,31.20748
2022-01-02,37.15986
2022-01-03,55.52721
2022-01-04,53.65646
2022-01-05,66.41156
2022-01-06,59.35374
2022-01-07,52.80612
2022-01-08,36.64965
2022-01-09,36.05442
2022-01-10,57.39795
2022-01-11,59.09863
2022-01-12,57.73809
2022-01-13,56.71768
2022-01-14,51.95578
2022-01-15,40.13605
2022-01-16,35.11904
2022-01-17,55.95238
2022-01-18,61.22448
2022-01-19,54.7619
2022-01-20,60.37414
2022-01-21,55.44217
2022-01-22,35.71428
2022-01-23,32.14285
2022-01-24,58.58843
2022-01-25,61.30952
2022-01-26,55.18707
2022-01-27,66.58163
2022-01-28,56.46258
2022-01-29,36.05442
2022-01-30,30.44217
2022-01-31,32.48299
2022-02-01,31.97278
2022-02-02,37.92517
2022-02-03,59.69387
2022-02-04,60.71428
2022-02-05,43.79251
2022-02-06,37.67006
2022-02-07,65.81632
2022-02-08,59.18367
2022-02-09,56.80272
2022-02-10,58.58843
2022-02-11,57.48299
2022-02-12,42.68707
2022-02-13,34.18367
2022-02-14,62.67006
2022-02-15,59.18367
2022-02-16,60.79931
2022-02-17,56.54761
2022-02-18,58.67346
2022-02-19,39.62585
2022-02-20,37.84013
2022-02-21,60.20408
2022-02-22,64.45578
2022-02-23,60.62925
2022-02-24,60.03401
2022-02-25,53.74149
2022-02-26,40.39115
2022-02-27,35.28911
2022-02-28,52.29591
2022-03-01,36.39455
2022-03-02,47.36394
2022-03-03,48.63945
2022-03-04,51.27551
2022-03-05,33.5034
2022-03-06,29.2517
2022-03-07,53.06122
2022-03-08,49.40476
2022-03-09,33.84353
2022-03-10,55.017
2022-03-11,51.78571
2022-03-12,33.92857
2022-03-13,37.24489
2022-03-14,53.31632
2022-03-15,53.14625
2022-03-16,52.29591
2022-03-17,51.0204
2022-03-18,48.72448
2022-03-19,34.86394
2022-03-20,34.0136
2022-03-21,53.91156
2022-03-22,59.09863
2022-03-23,52.97619
2022-03-24,51.36054
2022-03-25,49.23469
2022-03-26,37.7551
2022-03-27,34.43877
2022-03-28,50.17006
2022-03-29,51.87074
2022-03-30,51.95578
2022-03-31,57.39795
2022-04-01,53.57142
2022-04-02,34.5238
2022-04-03,30.44217
2022-04-04,54.08163
2022-04-05,53.48639
2022-04-06,50.59523
2022-04-07,50.7653
2022-04-08,51.19047
2022-04-09,30.35714
2022-04-10,29.84693
2022-04-11,48.97959
2022-04-12,55.017
2022-04-13,51.0204
2022-04-14,52.46598
2022-04-15,51.78571
2022-04-16,32.56802
2022-04-17,33.41836
2022-04-18,53.99659
2022-04-19,56.63265
2022-04-20,51.95578
2022-04-21,50.7653
2022-04-22,47.44897
2022-04-23,32.39795
2022-04-24,33.58843
2022-04-25,57.99319
2022-04-26,56.54761
2022-04-27,53.31632
2022-04-28,55.18707
2022-04-29,48.80952
2022-04-30,31.80272
2022-05-01,34.09863
2022-05-02,54.33673
2022-05-03,58.24829
2022-05-04,56.46258
2022-05-05,34.09863
2022-05-06,51.36054
2022-05-07,31.80272
2022-05-08,31.63265
2022-05-09,62.58503
2022-05-10,59.43877
2022-05-11,59.43877
2022-05-12,58.41836
2022-05-13,50.2551
2022-05-14,34.0136
2022-05-15,31.12244
2022-05-16,56.20748
2022-05-17,54.2517
2022-05-18,55.95238
2022-05-19,52.80612
2022-05-20,53.23129
2022-05-21,31.97278
2022-05-22,30.35714
2022-05-23,56.37755
2022-05-24,69.72789
2022-05-25,62.5
2022-05-26,53.74149
2022-05-27,53.74149
2022-05-28,37.24489
2022-05-29,35.88435
2022-05-30,59.5238
2022-05-31,58.07823
2022-06-01,48.38435
2022-06-02,63.35034
2022-06-03,61.64965
2022-06-04,48.29931
2022-06-05,35.71428
2022-06-06,37.84013
2022-06-07,53.57142
2022-06-08,55.017
2022-06-09,62.41496
2022-06-10,51.87074
2022-06-11,36.13945
2022-06-12,32.65306
2022-06-13,55.52721
2022-06-14,59.35374
2022-06-15,55.61224
2022-06-16,59.60884
2022-06-17,65.47619
2022-06-18,35.62925
2022-06-19,35.28911
2022-06-20,57.73809
2022-06-21,55.69727
2022-06-22,55.52721
2022-06-23,53.82653
2022-06-24,52.63605
2022-06-25,30.95238
2022-06-26,31.29251
2022-06-27,51.36054
2022-06-28,56.37755
2022-06-29,61.22448
2022-06-30,54.67687
2022-07-01,49.40476
2022-07-02,36.05442
2022-07-03,31.63265
2022-07-04,53.23129
2022-07-05,53.91156
2022-07-06,52.80612
2022-07-07,57.99319
2022-07-08,54.67687
2022-07-09,36.05442
2022-07-10,32.14285
2022-07-11,55.86734
2022-07-12,57.99319
2022-07-13,54.33673
2022-07-14,59.18367
2022-07-15,51.87074
2022-07-16,33.67346
2022-07-17,32.90816
2022-07-18,54.16666
2022-07-19,60.37414
2022-07-20,60.54421
2022-07-21,57.99319
2022-07-22,57.05782
2022-07-23,38.60544
2022-07-24,36.98979
2022-07-25,59.77891
2022-07-26,62.92517
2022-07-27,68.79251
2022-07-28,67.517
2022-07-29,70.40816
2022-07-30,49.14965
2022-07-31,41.58163
2022-08-01,65.64625
2022-08-02,63.77551
2022-08-03,63.60544
2022-08-04,65.81632
2022-08-05,59.0136
2022-08-06,41.83673
2022-08-07,36.47959
