date,미국주식추천
2021-06-06,16.2929
2021-06-07,14.82837
2021-06-08,24.16475
2021-06-09,20.09153
2021-06-10,18.71853
2021-06-11,18.81006
2021-06-12,11.35011
2021-06-13,6.91075
2021-06-14,12.35697
2021-06-15,18.71853
2021-06-16,16.65903
2021-06-17,15.7437
2021-06-18,21.96796
2021-06-19,11.71624
2021-06-20,6.77345
2021-06-21,11.44164
2021-06-22,16.8421
2021-06-23,21.78489
2021-06-24,21.37299
2021-06-25,20.27459
2021-06-26,17.20823
2021-06-27,8.55835
2021-06-28,20.13729
2021-06-29,23.93592
2021-06-30,21.60183
2021-07-01,20.18306
2021-07-02,25.62929
2021-07-03,13.72997
2021-07-04,7.32265
2021-07-05,13.77574
2021-07-06,16.79633
2021-07-07,20.18306
2021-07-08,14.00457
2021-07-09,13.59267
2021-07-10,10.34324
2021-07-11,6.63615
2021-07-12,13.22654
2021-07-13,15.83524
2021-07-14,17.57437
2021-07-15,17.8032
2021-07-16,15.7437
2021-07-17,10.98398
2021-07-18,6.81922
2021-07-19,9.38215
2021-07-20,11.48741
2021-07-21,13.08924
2021-07-22,13.54691
2021-07-23,15.56064
2021-07-24,13.22654
2021-07-25,7.41418
2021-07-26,12.44851
2021-07-27,14.27917
2021-07-28,12.21967
2021-07-29,15.4691
2021-07-30,14.6453
2021-07-31,9.42791
2021-08-01,7.18535
2021-08-02,9.33638
2021-08-03,15.1945
2021-08-04,18.53546
2021-08-05,21.09839
2021-08-06,19.22196
2021-08-07,12.95194
2021-08-08,8.69565
2021-08-09,15.7437
2021-08-10,20.68649
2021-08-11,20.27459
2021-08-12,20.73226
2021-08-13,18.3524
2021-08-14,13.59267
2021-08-15,8.87871
2021-08-16,12.31121
2021-08-17,17.1167
2021-08-18,17.75743
2021-08-19,15.7437
2021-08-20,15.78947
2021-08-21,11.85354
2021-08-22,7.91762
2021-08-23,20.04576
2021-08-24,29.56521
2021-08-25,30.43478
2021-08-26,25.99542
2021-08-27,26.45308
2021-08-28,17.8032
2021-08-29,12.12814
2021-08-30,21.05263
2021-08-31,27.00228
2021-09-01,26.86498
2021-09-02,29.56521
2021-09-03,23.06636
2021-09-04,16.20137
2021-09-05,12.76887
2021-09-06,15.1945
2021-09-07,20.04576
2021-09-08,19.08466
2021-09-09,15.6064
2021-09-10,18.85583
2021-09-11,11.89931
2021-09-12,9.42791
2021-09-13,16.5675
2021-09-14,20.45766
2021-09-15,17.8032
2021-09-16,18.99313
2021-09-17,18.39816
2021-09-18,13.95881
2021-09-19,8.51258
2021-09-20,11.07551
2021-09-21,13.68421
2021-09-22,15.7437
2021-09-23,18.16933
2021-09-24,21.37299
2021-09-25,15.65217
2021-09-26,7.96338
2021-09-27,21.05263
2021-09-28,20.36613
2021-09-29,16.61327
2021-09-30,16.8421
2021-10-01,12.63157
2021-10-02,8.92448
2021-10-03,6.49885
2021-10-04,9.06178
2021-10-05,12.99771
2021-10-06,12.49427
2021-10-07,14.05034
2021-10-08,14.27917
2021-10-09,8.55835
2021-10-10,6.40732
