date,SOXL
2022-06-05,6.65233
2022-06-06,19.97043
2022-06-07,32.85848
2022-06-08,33.57075
2022-06-09,37.72342
2022-06-10,40.78752
2022-06-11,33.15414
2022-06-12,11.20817
2022-06-13,42.15831
2022-06-14,65.11221
2022-06-15,38.8523
2022-06-16,55.20763
2022-06-17,87.44792
2022-06-18,36.19137
2022-06-19,12.52519
2022-06-20,17.45733
2022-06-21,32.07902
2022-06-22,44.26824
2022-06-23,39.22859
2022-06-24,47.56081
2022-06-25,33.24821
2022-06-26,8.54723
2022-06-27,28.49079
2022-06-28,33.70514
2022-06-29,44.30856
2022-06-30,59.09151
2022-07-01,65.16597
2022-07-02,76.34726
2022-07-03,21.58312
2022-07-04,27.26784
2022-07-05,61.96747
2022-07-06,65.08533
2022-07-07,61.08049
2022-07-08,58.70178
2022-07-09,31.38019
2022-07-10,10.91251
2022-07-11,28.49079
2022-07-12,48.08493
2022-07-13,45.07458
2022-07-14,42.02392
2022-07-15,51.65972
2022-07-16,32.26716
2022-07-17,10.7378
2022-07-18,43.65004
2022-07-19,53.62182
2022-07-20,88.87246
2022-07-21,70.28625
2022-07-22,63.10979
2022-07-23,31.82367
2022-07-24,9.85082
2022-07-25,29.84813
2022-07-26,40.73377
2022-07-27,48.51498
2022-07-28,61.65837
2022-07-29,65.75729
2022-07-30,35.4791
2022-07-31,10.14648
2022-08-01,33.94705
2022-08-02,52.04945
2022-08-03,54.34753
2022-08-04,70.51471
2022-08-05,58.72866
2022-08-06,27.53662
2022-08-07,8.26501
2022-08-08,49.93952
2022-08-09,75.89033
2022-08-10,95.21569
2022-08-11,79.78766
2022-08-12,58.70178
2022-08-13,41.09662
2022-08-14,11.08721
2022-08-15,32.8988
2022-08-16,57.37132
2022-08-17,55.31514
2022-08-18,66.45612
2022-08-19,57.15629
2022-08-20,29.53904
2022-08-21,9.5686
2022-08-22,37.84437
2022-08-23,55.94678
2022-08-24,27.57693
2022-08-25,26.86466
2022-08-26,24.70098
2022-08-27,31.62209
2022-08-28,8.74882
2022-08-29,21.5428
2022-08-30,27.64413
2022-08-31,26.91842
2022-09-01,46.31097
2022-09-02,38.32818
2022-09-03,18.29055
2022-09-04,8.10374
2022-09-05,11.18129
2022-09-06,16.01935
2022-09-07,21.2337
2022-09-08,15.36083
2022-09-09,16.20749
2022-09-10,12.67302
2022-09-11,6.07445
2022-09-12,11.49039
2022-09-13,23.03453
2022-09-14,32.93912
2022-09-15,17.05415
2022-09-16,22.01317
2022-09-17,16.90632
2022-09-18,7.47211
2022-09-19,13.99005
2022-09-20,15.23988
2022-09-21,16.48971
2022-09-22,25.14446
2022-09-23,41.21757
2022-09-24,24.47251
2022-09-25,9.44765
2022-09-26,18.70716
2022-09-27,25.35949
2022-09-28,23.62585
2022-09-29,21.46216
2022-09-30,27.09313
2022-10-01,15.01142
2022-10-02,8.09031
2022-10-03,14.51417
2022-10-04,24.90256
2022-10-05,19.23128
2022-10-06,17.43045
2022-10-07,17.73955
2022-10-08,21.91909
2022-10-09,8.25157
2022-10-10,25.64171
2022-10-11,53.71589
2022-10-12,38.44913
2022-10-13,43.91882
2022-10-14,37.46808
2022-10-15,24.16341
2022-10-16,11.43663
2022-10-17,17.99489
2022-10-18,21.98629
2022-10-19,18.37118
2022-10-20,17.18854
2022-10-21,16.34188
2022-10-22,12.47144
2022-10-23,6.31635
2022-10-24,12.24297
2022-10-25,15.80432
2022-10-26,19.70165
2022-10-27,15.79088
2022-10-28,13.8019
2022-10-29,12.67302
2022-10-30,4.20642
2022-10-31,10.05241
2022-11-01,12.16234
2022-11-02,10.25399
2022-11-03,15.36083
2022-11-04,14.29915
2022-11-05,9.99865
2022-11-06,4.82462
2022-11-07,9.17887
2022-11-08,15.44147
2022-11-09,16.01935
2022-11-10,15.96559
2022-11-11,52.10321
2022-11-12,21.1665
2022-11-13,8.84289
2022-11-14,14.67544
2022-11-15,29.99596
2022-11-16,26.34054
2022-11-17,22.32226
2022-11-18,15.33396
2022-11-19,8.29189
2022-11-20,4.82462
2022-11-21,9.12511
2022-11-22,12.28329
2022-11-23,14.03037
2022-11-24,12.99556
2022-11-25,7.67369
2022-11-26,5.87286
2022-11-27,4.00483
2022-11-28,6.85391
2022-11-29,10.44214
2022-11-30,8.7085
