date,메리츠
2021-12-27,8.31545
2021-12-28,7.4839
2021-12-29,7.94662
2021-12-30,7.08154
2021-12-31,6.33717
2022-01-01,1.6832
2022-01-02,1.9045
2022-01-03,7.49061
2022-01-04,8.05391
2022-01-05,7.64484
2022-01-06,7.12848
2022-01-07,7.75214
2022-01-08,2.40075
2022-01-09,1.85085
2022-01-10,9.46888
2022-01-11,8.00697
2022-01-12,8.32886
2022-01-13,10.19313
2022-01-14,8.77816
2022-01-15,2.75616
2022-01-16,2.25992
2022-01-17,8.51663
2022-01-18,7.89967
2022-01-19,7.69179
2022-01-20,7.3766
2022-01-21,7.22907
2022-01-22,2.46781
2022-01-23,3.05123
2022-01-24,8.13438
2022-01-25,8.36239
2022-01-26,7.33637
2022-01-27,7.36319
2022-01-28,6.73283
2022-01-29,2.14592
2022-01-30,1.55579
2022-01-31,1.73685
2022-02-01,1.7905
2022-02-02,2.05203
2022-02-03,8.16121
2022-02-04,7.18884
2022-02-05,2.24651
2022-02-06,2.09227
2022-02-07,7.36319
2022-02-08,6.84683
2022-02-09,6.5853
2022-02-10,7.11507
2022-02-11,6.55847
2022-02-12,2.28674
2022-02-13,2.05203
2022-02-14,6.90048
2022-02-15,6.66577
2022-02-16,6.44447
2022-02-17,6.16282
2022-02-18,5.67998
2022-02-19,2.07215
2022-02-20,3.27923
2022-02-21,7.79908
2022-02-22,7.13519
2022-02-23,6.48471
2022-02-24,5.52575
2022-02-25,6.86695
2022-02-26,2.42757
2022-02-27,2.09898
2022-02-28,9.01287
2022-03-01,2.32698
2022-03-02,6.57188
2022-03-03,5.33127
2022-03-04,5.52575
2022-03-05,1.97156
2022-03-06,1.95815
2022-03-07,6.41094
2022-03-08,6.00187
2022-03-09,1.91791
2022-03-10,5.87446
2022-03-11,5.73363
2022-03-12,2.15262
2022-03-13,1.72344
2022-03-14,7.05472
2022-03-15,6.21646
2022-03-16,5.82752
2022-03-17,5.41845
2022-03-18,5.5861
2022-03-19,2.07215
2022-03-20,1.66979
2022-03-21,6.59871
2022-03-22,5.72693
2022-03-23,5.54586
2022-03-24,5.94152
2022-03-25,6.29023
2022-03-26,2.3538
2022-03-27,1.94474
2022-03-28,6.90048
2022-03-29,6.12929
2022-03-30,5.82081
2022-03-31,7.10836
2022-04-01,5.59281
2022-04-02,1.6765
2022-04-03,1.59603
2022-04-04,5.2508
2022-04-05,5.0295
2022-04-06,5.32457
2022-04-07,4.74785
2022-04-08,5.45869
2022-04-09,1.82403
2022-04-10,1.46861
2022-04-11,6.22317
2022-04-12,5.74704
2022-04-13,5.06303
2022-04-14,6.82671
2022-04-15,5.57939
2022-04-16,1.86427
2022-04-17,1.60273
2022-04-18,5.65987
2022-04-19,5.44527
2022-04-20,5.98175
2022-04-21,5.49222
2022-04-22,5.49892
2022-04-23,1.66309
2022-04-24,1.48202
2022-04-25,7.10166
2022-04-26,6.06893
2022-04-27,5.72022
2022-04-28,5.65987
2022-04-29,5.65316
2022-04-30,1.75697
2022-05-01,1.37473
2022-05-02,7.04801
2022-05-03,5.43857
2022-05-04,5.19045
2022-05-05,1.52896
2022-05-06,5.28433
2022-05-07,1.64297
2022-05-08,1.6832
2022-05-09,6.30364
2022-05-10,6.66577
2022-05-11,7.91979
2022-05-12,6.41094
2022-05-13,5.63975
2022-05-14,1.66309
2022-05-15,1.47532
2022-05-16,6.79989
2022-05-17,5.53245
2022-05-18,5.67328
2022-05-19,5.26421
2022-05-20,4.95574
2022-05-21,1.78379
2022-05-22,1.47532
2022-05-23,5.65987
2022-05-24,5.87446
2022-05-25,5.74704
2022-05-26,5.54586
2022-05-27,5.13009
2022-05-28,1.60273
2022-05-29,1.59603
2022-05-30,6.08234
2022-05-31,6.08234
2022-06-01,1.95144
2022-06-02,5.54586
2022-06-03,4.98927
2022-06-04,1.54908
2022-06-05,1.18025
2022-06-06,1.72344
2022-06-07,5.61963
2022-06-08,5.20386
2022-06-09,5.45198
2022-06-10,5.57939
2022-06-11,1.59603
