date,모의투자
2022-09-01,20.41884
2022-09-02,21.98952
2022-09-03,11.25654
2022-09-04,9.94764
2022-09-05,17.80104
2022-09-06,17.27748
2022-09-07,24.8691
2022-09-08,16.75392
2022-09-09,10.73298
2022-09-10,9.94764
2022-09-11,7.8534
2022-09-12,15.96858
2022-09-13,21.98952
2022-09-14,23.82198
2022-09-15,23.03664
2022-09-16,26.17801
2022-09-17,15.18324
2022-09-18,12.56544
2022-09-19,23.82198
2022-09-20,24.8691
2022-09-21,21.20418
2022-09-22,21.46596
2022-09-23,15.7068
2022-09-24,7.59162
2022-09-25,11.25654
2022-09-26,19.10994
2022-09-27,19.6335
2022-09-28,20.41884
2022-09-29,25.13089
2022-09-30,16.23036
2022-10-01,10.4712
2022-10-02,8.37696
2022-10-03,9.42408
2022-10-04,19.10994
2022-10-05,19.6335
2022-10-06,23.82198
2022-10-07,17.80104
2022-10-08,9.94764
2022-10-09,6.5445
2022-10-10,8.63874
2022-10-11,24.08376
2022-10-12,18.58638
2022-10-13,20.41884
2022-10-14,15.7068
2022-10-15,7.59162
2022-10-16,12.04188
2022-10-17,18.84816
2022-10-18,20.9424
2022-10-19,17.27748
2022-10-20,17.0157
2022-10-21,13.35078
2022-10-22,8.63874
2022-10-23,6.80628
2022-10-24,15.44502
2022-10-25,20.9424
2022-10-26,20.41884
2022-10-27,22.77486
2022-10-28,16.75392
2022-10-29,7.32984
2022-10-30,8.90052
2022-10-31,21.46596
2022-11-01,16.49214
2022-11-02,24.08376
2022-11-03,21.72774
2022-11-04,21.72774
2022-11-05,7.59162
2022-11-06,10.4712
2022-11-07,17.0157
2022-11-08,18.3246
2022-11-09,31.41361
2022-11-10,21.72774
2022-11-11,17.80104
2022-11-12,12.30366
2022-11-13,9.1623
2022-11-14,16.75392
2022-11-15,26.70157
2022-11-16,17.80104
2022-11-17,20.15706
2022-11-18,21.98952
2022-11-19,10.20942
2022-11-20,8.90052
2022-11-21,19.37172
2022-11-22,20.41884
2022-11-23,19.10994
2022-11-24,16.49214
2022-11-25,16.75392
2022-11-26,11.51832
2022-11-27,6.5445
2022-11-28,14.3979
2022-11-29,16.23036
2022-11-30,17.0157
2022-12-01,17.27748
2022-12-02,13.87434
2022-12-03,6.28272
2022-12-04,11.25654
2022-12-05,17.53926
2022-12-06,18.84816
2022-12-07,16.23036
2022-12-08,19.89528
2022-12-09,18.06282
2022-12-10,8.90052
2022-12-11,9.68586
2022-12-12,17.53926
2022-12-13,16.75392
2022-12-14,19.10994
2022-12-15,15.44502
2022-12-16,15.96858
2022-12-17,6.02094
2022-12-18,6.28272
2022-12-19,15.7068
2022-12-20,17.0157
2022-12-21,27.22513
2022-12-22,17.80104
2022-12-23,13.35078
2022-12-24,7.06806
2022-12-25,10.20942
2022-12-26,12.82722
2022-12-27,19.6335
2022-12-28,21.46596
2022-12-29,17.53926
2022-12-30,18.84816
2022-12-31,9.94764
2023-01-01,8.11518
2023-01-02,18.84816
2023-01-03,17.0157
2023-01-04,13.87434
2023-01-05,15.18324
2023-01-06,13.089
2023-01-07,8.37696
2023-01-08,8.63874
2023-01-09,17.0157
2023-01-10,17.27748
2023-01-11,19.37172
2023-01-12,16.23036
2023-01-13,12.30366
2023-01-14,11.25654
2023-01-15,12.04188
2023-01-16,18.58638
2023-01-17,14.3979
2023-01-18,15.44502
2023-01-19,19.89528
2023-01-20,15.7068
2023-01-21,5.75916
2023-01-22,6.5445
2023-01-23,7.32984
2023-01-24,11.51832
2023-01-25,15.44502
2023-01-26,17.0157
2023-01-27,14.3979
2023-01-28,10.4712
2023-01-29,13.61256
2023-01-30,12.82722
2023-01-31,14.92146
2023-02-01,20.15706
2023-02-02,13.089
2023-02-03,21.20418
2023-02-04,8.63874
2023-02-05,12.56544
