date,CPM
2021-09-11,32.61205
2021-09-12,24.4204
2021-09-13,64.60587
2021-09-14,74.49768
2021-09-15,73.10664
2021-09-16,63.67851
2021-09-17,53.16846
2021-09-18,28.74806
2021-09-19,22.25656
2021-09-20,18.85625
2021-09-21,19.01081
2021-09-22,21.79289
2021-09-23,57.65069
2021-09-24,57.95981
2021-09-25,27.20247
2021-09-26,24.57496
2021-09-27,65.53323
2021-09-28,56.41421
2021-09-29,60.12364
2021-09-30,61.20556
2021-10-01,53.7867
2021-10-02,31.06646
2021-10-03,22.8748
2021-10-04,34.93044
2021-10-05,67.23338
2021-10-06,64.29675
2021-10-07,67.85162
2021-10-08,57.03245
2021-10-09,27.35703
2021-10-10,28.28438
2021-10-11,40.64914
2021-10-12,72.64296
2021-10-13,80.5255
2021-10-14,69.24265
2021-10-15,67.5425
2021-10-16,41.5765
2021-10-17,32.92117
2021-10-18,69.55177
2021-10-19,75.11591
2021-10-20,69.39721
2021-10-21,61.20556
2021-10-22,58.11437
2021-10-23,36.78516
2021-10-24,33.53941
2021-10-25,70.17001
2021-10-26,75.11591
2021-10-27,62.75115
2021-10-28,63.52395
2021-10-29,58.88717
2021-10-30,31.68469
2021-10-31,31.53013
2021-11-01,71.71561
2021-11-02,72.02472
2021-11-03,70.47913
2021-11-04,62.44204
2021-11-05,61.66924
2021-11-06,30.75734
2021-11-07,31.83925
2021-11-08,75.73415
2021-11-09,72.79752
2021-11-10,70.63369
2021-11-11,73.41576
2021-11-12,56.41421
2021-11-13,34.00309
2021-11-14,28.28438
2021-11-15,74.49768
2021-11-16,71.56105
2021-11-17,77.74343
2021-11-18,74.8068
2021-11-19,53.32302
2021-11-20,31.83925
2021-11-21,31.83925
2021-11-22,74.8068
2021-11-23,71.87017
2021-11-24,67.85162
2021-11-25,67.07882
2021-11-26,56.72333
2021-11-27,29.52086
2021-11-28,34.00309
2021-11-29,67.69706
2021-11-30,68.93353
2021-12-01,68.00618
2021-12-02,69.70633
2021-12-03,69.70633
2021-12-04,40.34003
2021-12-05,35.085
2021-12-06,70.01545
2021-12-07,77.58887
2021-12-08,70.47913
2021-12-09,78.67078
2021-12-10,62.44204
2021-12-11,32.45749
2021-12-12,34.00309
2021-12-13,84.23493
2021-12-14,73.41576
2021-12-15,64.45131
2021-12-16,68.77897
2021-12-17,64.14219
2021-12-18,30.29366
2021-12-19,28.43894
2021-12-20,71.09737
2021-12-21,74.34312
2021-12-22,67.07882
2021-12-23,66.15146
2021-12-24,48.53168
2021-12-25,17.46522
2021-12-26,21.63833
2021-12-27,70.78825
2021-12-28,76.81607
2021-12-29,58.11437
2021-12-30,49.92272
2021-12-31,41.11282
2022-01-01,19.16537
2022-01-02,25.50231
2022-01-03,70.32457
2022-01-04,70.78825
2022-01-05,66.30602
2022-01-06,68.62442
2022-01-07,64.91499
2022-01-08,29.52086
2022-01-09,29.52086
2022-01-10,71.25193
2022-01-11,73.41576
2022-01-12,70.78825
2022-01-13,70.94281
2022-01-14,62.13292
2022-01-15,29.3663
2022-01-16,33.53941
2022-01-17,65.84234
2022-01-18,68.77897
2022-01-19,66.92426
2022-01-20,66.15146
2022-01-21,52.70479
2022-01-22,28.12982
2022-01-23,23.33848
2022-01-24,72.95208
2022-01-25,78.82534
2022-01-26,87.78979
2022-01-27,74.49768
2022-01-28,67.85162
2022-01-29,42.50386
2022-01-30,42.81298
2022-01-31,36.6306
2022-02-01,35.8578
2022-02-02,38.63987
2022-02-03,73.72488
2022-02-04,76.35239
2022-02-05,44.51313
2022-02-06,44.04945
2022-02-07,83.61669
2022-02-08,85.62596
2022-02-09,82.84389
2022-02-10,73.2612
2022-02-11,74.18856
2022-02-12,46.83153
2022-02-13,43.43122
2022-02-14,79.13446
2022-02-15,83.92581
2022-02-16,82.22565
2022-02-17,78.05255
2022-02-18,71.09737
2022-02-19,41.11282
2022-02-20,38.17619
2022-02-21,78.51622
2022-02-22,81.45285
2022-02-23,75.88871
2022-02-24,75.11591
2022-02-25,62.44204
2022-02-26,43.1221
2022-02-27,41.42194
2022-02-28,69.08809
2022-03-01,52.39567
2022-03-02,83.77125
2022-03-03,83.46213
2022-03-04,77.12519
2022-03-05,39.72179
2022-03-06,45.28593
2022-03-07,75.88871
2022-03-08,81.29829
2022-03-09,42.19474
2022-03-10,75.27047
2022-03-11,69.70633
2022-03-12,47.60432
2022-03-13,50.38639
2022-03-14,87.94435
2022-03-15,80.21638
2022-03-16,82.68933
2022-03-17,85.31684
2022-03-18,71.40649
2022-03-19,51.93199
2022-03-20,46.36785
2022-03-21,81.29829
2022-03-22,82.22565
2022-03-23,71.56105
2022-03-24,63.52395
2022-03-25,59.5054
2022-03-26,35.085
2022-03-27,28.5935
2022-03-28,68.16074
2022-03-29,69.86089
2022-03-30,66.7697
2022-03-31,70.32457
2022-04-01,58.26893
2022-04-02,29.67542
2022-04-03,33.38485
2022-04-04,67.07882
2022-04-05,65.9969
2022-04-06,77.89799
2022-04-07,72.64296
2022-04-08,62.59659
2022-04-09,34.15765
2022-04-10,32.92117
2022-04-11,72.02472
2022-04-12,70.01545
2022-04-13,88.56259
2022-04-14,83.15301
2022-04-15,70.63369
2022-04-16,41.26738
2022-04-17,42.81298
2022-04-18,77.12519
2022-04-19,77.43431
2022-04-20,78.67078
2022-04-21,76.66151
2022-04-22,67.07882
2022-04-23,44.97681
2022-04-24,37.4034
2022-04-25,85.31684
2022-04-26,78.2071
2022-04-27,67.38794
2022-04-28,76.35239
2022-04-29,58.88717
2022-04-30,27.66615
2022-05-01,28.43894
2022-05-02,74.18856
2022-05-03,71.09737
2022-05-04,69.86089
2022-05-05,32.61205
2022-05-06,65.53323
2022-05-07,43.43122
2022-05-08,41.5765
2022-05-09,90.41731
2022-05-10,85.00772
2022-05-11,85.93508
2022-05-12,89.18083
2022-05-13,83.15301
2022-05-14,45.74961
2022-05-15,46.05873
2022-05-16,92.89026
2022-05-17,95.98145
2022-05-18,88.56259
2022-05-19,89.18083
2022-05-20,79.7527
2022-05-21,53.32302
2022-05-22,48.53168
2022-05-23,91.65378
2022-05-24,100.0
2022-05-25,89.33539
2022-05-26,94.59041
2022-05-27,79.90726
2022-05-28,49.30448
2022-05-29,43.43122
2022-05-30,84.6986
2022-05-31,84.54404
2022-06-01,59.04173
2022-06-02,92.11746
2022-06-03,82.38021
2022-06-04,43.74034
2022-06-05,28.74806
2022-06-06,31.37557
2022-06-07,87.17156
2022-06-08,96.75425
2022-06-09,95.05409
2022-06-10,90.41731
2022-06-11,65.68778
2022-06-12,53.16846
2022-06-13,89.48995
2022-06-14,95.51777
2022-06-15,99.69088
2022-06-16,90.57187
2022-06-17,80.21638
2022-06-18,52.55023
2022-06-19,49.92272
2022-06-20,97.21792
2022-06-21,89.48995
2022-06-22,85.4714
2022-06-23,81.45285
2022-06-24,76.19783
2022-06-25,49.6136
2022-06-26,45.90417
2022-06-27,90.72642
2022-06-28,84.38948
2022-06-29,89.48995
2022-06-30,86.70788
2022-07-01,82.22565
2022-07-02,48.53168
2022-07-03,45.44049
2022-07-04,93.5085
2022-07-05,88.56259
2022-07-06,93.19938
2022-07-07,91.65378
2022-07-08,72.02472
2022-07-09,50.85007
2022-07-10,43.74034
2022-07-11,86.55332
2022-07-12,75.57959
2022-07-13,74.34312
2022-07-14,73.72488
2022-07-15,67.85162
2022-07-16,43.43122
2022-07-17,35.70324
2022-07-18,79.13446
2022-07-19,70.01545
2022-07-20,63.67851
2022-07-21,63.21483
2022-07-22,56.87789
2022-07-23,27.35703
2022-07-24,26.89335
2022-07-25,70.78825
2022-07-26,72.17928
2022-07-27,62.75115
2022-07-28,59.04173
2022-07-29,57.03245
2022-07-30,26.89335
2022-07-31,26.73879
2022-08-01,65.06955
2022-08-02,62.13292
2022-08-03,62.44204
2022-08-04,62.44204
2022-08-05,55.3323
2022-08-06,27.20247
2022-08-07,27.66615
2022-08-08,65.37867
2022-08-09,55.95054
2022-08-10,63.52395
2022-08-11,54.25038
2022-08-12,50.38639
2022-08-13,26.73879
2022-08-14,18.7017
2022-08-15,25.65687
2022-08-16,63.52395
2022-08-17,62.75115
2022-08-18,64.14219
2022-08-19,60.12364
2022-08-20,27.82071
2022-08-21,25.03863
2022-08-22,65.68778
2022-08-23,72.95208
2022-08-24,65.22411
2022-08-25,61.051
2022-08-26,61.051
2022-08-27,29.05718
2022-08-28,28.74806
2022-08-29,67.5425
2022-08-30,66.7697
2022-08-31,62.90571
2022-09-01,69.24265
2022-09-02,64.29675
2022-09-03,39.10355
2022-09-04,34.31221
2022-09-05,67.85162
2022-09-06,70.63369
2022-09-07,72.79752
2022-09-08,58.42349
2022-09-09,22.8748
2022-09-10,25.19319
2022-09-11,26.12055
2022-09-12,25.50231
2022-09-13,74.65224
2022-09-14,81.45285
2022-09-15,71.56105
2022-09-16,67.38794
2022-09-17,29.52086
2022-09-18,29.82998
2022-09-19,73.87944
