date,환급금조회
2021-11-29,4.8155
2021-11-30,4.02334
2021-12-01,3.66895
2021-12-02,3.71065
2021-12-03,3.1061
2021-12-04,2.60579
2021-12-05,2.14717
2021-12-06,3.18949
2021-12-07,3.48134
2021-12-08,3.54388
2021-12-09,3.04356
2021-12-10,2.73087
2021-12-11,1.7094
2021-12-12,2.04294
2021-12-13,3.18949
2021-12-14,3.89826
2021-12-15,3.56472
2021-12-16,3.98165
2021-12-17,3.12695
2021-12-18,1.89701
2021-12-19,2.02209
2021-12-20,3.54388
2021-12-21,4.02334
2021-12-22,4.46112
2021-12-23,3.4188
2021-12-24,3.56472
2021-12-25,1.6677
2021-12-26,2.60579
2021-12-27,3.54388
2021-12-28,4.39858
2021-12-29,5.62851
2021-12-30,4.46112
2021-12-31,3.77319
2022-01-01,3.6898
2022-01-02,3.08526
2022-01-03,4.48196
2022-01-04,4.39858
2022-01-05,3.50218
2022-01-06,3.71065
2022-01-07,2.89764
2022-01-08,1.83447
2022-01-09,2.5641
2022-01-10,3.16864
2022-01-11,3.62726
2022-01-12,3.71065
2022-01-13,3.48134
2022-01-14,2.64748
2022-01-15,3.6898
2022-01-16,3.58557
2022-01-17,7.92161
2022-01-18,6.52491
2022-01-19,5.19074
2022-01-20,4.60704
2022-01-21,3.60642
2022-01-22,2.27225
2022-01-23,2.48071
2022-01-24,4.66958
2022-01-25,4.44027
2022-01-26,4.56535
2022-01-27,5.1282
2022-01-28,3.89826
2022-01-29,1.81363
2022-01-30,1.83447
2022-01-31,1.93871
2022-02-01,1.77194
2022-02-02,1.85532
2022-02-03,3.50218
2022-02-04,4.04419
2022-02-05,1.9804
2022-02-06,2.5224
2022-02-07,3.6898
2022-02-08,3.33541
2022-02-09,3.35626
2022-02-10,3.16864
2022-02-11,3.25203
2022-02-12,2.50156
2022-02-13,3.27287
2022-02-14,4.79466
2022-02-15,4.87804
2022-02-16,4.52366
2022-02-17,3.71065
2022-02-18,4.77381
2022-02-19,3.04356
2022-02-20,3.58557
2022-02-21,4.73212
2022-02-22,4.8572
2022-02-23,5.00312
2022-02-24,5.96205
2022-02-25,7.02522
2022-02-26,3.89826
2022-02-27,2.91849
2022-02-28,4.33604
2022-03-01,4.16927
2022-03-02,6.08713
2022-03-03,6.67083
2022-03-04,7.02522
2022-03-05,4.91974
2022-03-06,5.60767
2022-03-07,8.75547
2022-03-08,8.40108
2022-03-09,6.73337
2022-03-10,10.06879
2022-03-11,10.13133
2022-03-12,7.02522
2022-03-13,7.71315
2022-03-14,8.005
2022-03-15,9.50594
2022-03-16,7.6923
2022-03-17,6.98353
2022-03-18,7.65061
2022-03-19,6.98353
2022-03-20,7.1503
2022-03-21,7.92161
2022-03-22,10.00625
2022-03-23,9.90202
2022-03-24,8.08838
2022-03-25,7.98415
2022-03-26,6.62914
2022-03-27,6.75422
2022-03-28,10.42318
2022-03-29,9.79779
2022-03-30,16.80216
2022-03-31,20.07504
2022-04-01,16.07254
2022-04-02,12.46612
2022-04-03,12.57035
2022-04-04,12.61204
2022-04-05,10.58995
2022-04-06,11.67396
2022-04-07,9.00562
2022-04-08,6.35814
2022-04-09,7.19199
2022-04-10,8.69293
2022-04-11,10.46487
2022-04-12,8.71377
2022-04-13,10.98603
2022-04-14,9.42255
2022-04-15,10.00625
2022-04-16,6.92099
2022-04-17,9.27663
2022-04-18,10.50656
2022-04-19,9.19324
2022-04-20,8.94308
2022-04-21,12.88305
2022-04-22,15.75984
2022-04-23,13.90452
2022-04-24,13.90452
2022-04-25,14.19637
2022-04-26,13.73775
2022-04-27,11.31957
2022-04-28,10.04794
2022-04-29,3.79403
2022-04-30,2.23056
2022-05-01,3.71065
2022-05-02,6.5666
2022-05-03,11.54888
2022-05-04,15.53053
2022-05-05,9.77694
2022-05-06,12.25766
2022-05-07,9.23493
2022-05-08,9.19324
2022-05-09,12.8622
2022-05-10,17.36501
2022-05-11,17.61517
2022-05-12,17.80279
2022-05-13,12.65374
2022-05-14,7.56722
2022-05-15,7.35876
2022-05-16,13.11236
2022-05-17,12.13258
2022-05-18,8.81801
2022-05-19,9.58932
2022-05-20,9.69355
2022-05-21,5.48259
2022-05-22,4.75297
2022-05-23,7.54638
2022-05-24,7.67146
2022-05-25,9.08901
2022-05-26,9.31832
2022-05-27,8.50531
2022-05-28,5.08651
2022-05-29,4.89889
2022-05-30,10.19387
2022-05-31,10.96518
2022-06-01,3.81488
2022-06-02,5.50343
2022-06-03,5.83698
2022-06-04,3.85657
2022-06-05,3.60642
2022-06-06,4.2735
2022-06-07,5.1282
2022-06-08,5.33666
2022-06-09,5.54513
2022-06-10,4.35688
2022-06-11,3.39795
2022-06-12,3.12695
2022-06-13,4.56535
2022-06-14,6.50406
2022-06-15,5.27412
2022-06-16,5.48259
2022-06-17,5.60767
2022-06-18,3.66895
2022-06-19,3.39795
2022-06-20,7.31707
2022-06-21,7.12945
2022-06-22,8.73462
2022-06-23,5.89952
2022-06-24,5.00312
2022-06-25,2.5224
2022-06-26,2.71002
2022-06-27,4.87804
2022-06-28,5.46174
2022-06-29,5.37836
2022-06-30,4.56535
2022-07-01,4.35688
2022-07-02,2.41817
2022-07-03,3.89826
2022-07-04,6.00375
2022-07-05,5.85782
2022-07-06,5.06566
2022-07-07,4.58619
2022-07-08,4.04419
2022-07-09,2.45987
2022-07-10,2.85595
2022-07-11,4.66958
2022-07-12,5.77444
2022-07-13,4.46112
2022-07-14,3.98165
2022-07-15,3.9608
2022-07-16,3.21033
2022-07-17,4.06504
2022-07-18,7.23368
2022-07-19,8.21346
2022-07-20,6.37898
2022-07-21,6.08713
2022-07-22,4.8572
2022-07-23,3.33541
2022-07-24,3.81488
2022-07-25,6.08713
2022-07-26,6.27475
2022-07-27,5.06566
2022-07-28,4.73212
2022-07-29,4.58619
