date,STX주가
2022-04-01,0.16943
2022-04-02,0.06706
2022-04-03,0.1306
2022-04-04,0.29651
2022-04-05,0.30357
2022-04-06,0.22591
2022-04-07,0.30004
2022-04-08,0.32122
2022-04-09,0.07412
2022-04-10,0.07412
2022-04-11,0.46242
2022-04-12,0.58597
2022-04-13,0.32475
2022-04-14,0.69187
2022-04-15,0.42712
2022-04-16,0.13766
2022-04-17,0.06
2022-04-18,0.36005
2022-04-19,0.45889
2022-04-20,0.42359
2022-04-21,0.46595
2022-04-22,0.47301
2022-04-23,0.12707
2022-04-24,0.14119
2022-04-25,0.29298
2022-04-26,0.18355
2022-04-27,0.26121
2022-04-28,0.3071
2022-04-29,0.46948
2022-04-30,0.09177
2022-05-01,0.05647
2022-05-02,0.31063
2022-05-03,0.2718
2022-05-04,0.26827
2022-05-05,0.0953
2022-05-06,0.22238
2022-05-07,0.04235
2022-05-08,0.06706
2022-05-09,0.15884
2022-05-10,0.2012
2022-05-11,0.18002
2022-05-12,0.2012
2022-05-13,0.19767
2022-05-14,0.07059
2022-05-15,0.03529
2022-05-16,0.16943
2022-05-17,0.23297
2022-05-18,0.21885
2022-05-19,0.17296
2022-05-20,0.13413
2022-05-21,0.08471
2022-05-22,0.02823
2022-05-23,0.18355
2022-05-24,0.20473
2022-05-25,0.28239
2022-05-26,0.28945
2022-05-27,0.26827
2022-05-28,0.05647
2022-05-29,0.02823
2022-05-30,0.44477
2022-05-31,0.21532
2022-06-01,0.05647
2022-06-02,0.25062
2022-06-03,0.38123
2022-06-04,0.06
2022-06-05,0.02117
2022-06-06,0.06
2022-06-07,0.27886
2022-06-08,0.30004
2022-06-09,0.24003
2022-06-10,0.17649
2022-06-11,0.0247
2022-06-12,0.03529
2022-06-13,0.21532
2022-06-14,0.27886
2022-06-15,0.21532
2022-06-16,0.22238
2022-06-17,0.24003
2022-06-18,0.04588
2022-06-19,0.06353
2022-06-20,0.14119
2022-06-21,0.2012
2022-06-22,0.18708
2022-06-23,0.17296
2022-06-24,0.19767
2022-06-25,0.0247
2022-06-26,0.03176
2022-06-27,0.19414
2022-06-28,0.20473
2022-06-29,0.17649
2022-06-30,0.17296
2022-07-01,0.12354
2022-07-04,0.15884
2022-07-05,0.15884
2022-07-06,0.16237
2022-07-07,0.19061
2022-07-08,0.18002
2022-07-09,0.05647
2022-07-11,0.19061
2022-07-12,0.19414
2022-07-13,0.16943
2022-07-14,0.1659
2022-07-15,0.1659
2022-07-16,0.01764
2022-07-17,0.02117
2022-07-18,0.16237
2022-07-19,0.15884
2022-07-20,0.19414
2022-07-21,0.18355
2022-07-22,0.17296
2022-07-23,0.03176
2022-07-24,0.03176
2022-07-25,0.10942
2022-07-26,0.15531
2022-07-27,0.11295
2022-07-28,0.12001
2022-07-29,0.12707
2022-07-31,0.0247
2022-08-01,0.1306
2022-08-02,0.13413
2022-08-03,0.2012
2022-08-04,0.2012
2022-08-05,0.12001
2022-08-06,0.04235
2022-08-07,0.02117
2022-08-08,0.19767
2022-08-09,0.13413
2022-08-10,0.19061
2022-08-11,0.13413
2022-08-12,0.30357
2022-08-13,0.07412
2022-08-14,0.08118
2022-08-15,0.04941
2022-08-16,0.24709
2022-08-17,0.23297
2022-08-18,0.19767
2022-08-19,0.17649
2022-08-20,0.02117
2022-08-21,0.04941
2022-08-22,0.22944
2022-08-23,0.21179
2022-08-24,0.21179
2022-08-25,0.27533
2022-08-26,0.22238
2022-08-27,0.02823
2022-08-28,0.01764
2022-08-29,0.21532
2022-08-30,0.20473
2022-08-31,0.21532
2022-09-01,0.14472
2022-09-02,0.13413
2022-09-03,0.03176
2022-09-04,0.0247
2022-09-05,0.12354
2022-09-06,0.13766
2022-09-07,0.08471
2022-09-08,0.11295
2022-09-09,0.02823
2022-09-10,0.02823
2022-09-11,0.01764
2022-09-12,0.02823
2022-09-13,0.17649
2022-09-14,0.17296
2022-09-15,0.15531
2022-09-16,0.16237
2022-09-17,0.02117
2022-09-18,0.03176
2022-09-19,0.10942
2022-09-20,0.15178
2022-09-21,0.13766
2022-09-22,0.18708
2022-09-23,0.1659
2022-09-25,0.03882
2022-09-26,2.78513
2022-09-27,1.88852
2022-09-28,0.55773
2022-09-29,0.54008
2022-09-30,0.62127
2022-10-01,0.07412
2022-10-02,0.07059
2022-10-03,0.07765
2022-10-04,0.41653
2022-10-05,1.47904
2022-10-06,1.32726
2022-10-07,0.98132
2022-10-08,0.08824
2022-10-09,0.0953
2022-10-10,0.10236
2022-10-11,1.25666
2022-10-12,1.46139
2022-10-13,0.7907
2022-10-14,0.61421
2022-10-15,0.14825
2022-10-16,0.13413
2022-10-17,0.65657
2022-10-18,0.63539
2022-10-19,0.45889
2022-10-20,0.39182
2022-10-21,0.31063
2022-10-22,0.08471
2022-10-23,0.0953
2022-10-24,0.29298
2022-10-25,0.29651
2022-10-26,0.26827
2022-10-27,0.54008
2022-10-28,0.43771
2022-10-29,0.1306
2022-10-30,0.08824
2022-10-31,0.35299
2022-11-01,0.31416
2022-11-02,0.95661
2022-11-03,0.88954
2022-11-04,0.42359
2022-11-05,0.08118
2022-11-06,0.06706
2022-11-07,0.32122
2022-11-08,0.45536
2022-11-09,0.50478
2022-11-10,0.57891
2022-11-11,0.61774
2022-11-12,0.09177
2022-11-13,0.04941
2022-11-14,0.32828
2022-11-15,2.80631
2022-11-16,30.14225
2022-11-17,16.6296
2022-11-18,5.35846
2022-11-19,1.22489
2022-11-20,1.08722
2022-11-21,14.83285
2022-11-22,5.82442
2022-11-23,4.5501
2022-11-24,4.54304
2022-11-25,3.25461
2022-11-26,0.41653
2022-11-27,0.47301
2022-11-28,3.64996
2022-11-29,3.124
2022-11-30,4.28183
2022-12-01,4.656
2022-12-02,3.72056
2022-12-03,0.43418
2022-12-04,0.62833
2022-12-05,4.3136
2022-12-06,3.54054
2022-12-07,3.13106
2022-12-08,3.34639
2022-12-09,2.77807
2022-12-10,0.37417
2022-12-11,0.31416
2022-12-12,2.29446
2022-12-13,2.18504
2022-12-14,1.75438
2022-12-15,2.72865
2022-12-16,5.29139
2022-12-17,0.54361
2022-12-18,0.45183
2022-12-19,3.07458
2022-12-20,2.20621
2022-12-21,1.66613
2022-12-22,1.51081
2022-12-23,1.43669
2022-12-24,0.23297
2022-12-25,0.20473
2022-12-26,1.69084
2022-12-27,2.38271
2022-12-28,5.10431
2022-12-29,2.51685
2022-12-30,0.62127
2022-12-31,0.21532
2023-01-01,0.25768
2023-01-02,1.98383
2023-01-03,1.81439
2023-01-04,1.945
2023-01-05,1.65554
2023-01-06,1.48257
2023-01-07,0.40241
2023-01-08,0.22591
2023-01-09,1.62377
2023-01-10,1.55317
2023-01-11,1.32726
2023-01-12,1.40492
2023-01-13,1.35197
2023-01-14,0.25768
2023-01-15,0.2012
2023-01-16,2.1215
2023-01-17,2.35094
2023-01-18,1.84263
2023-01-19,1.62024
2023-01-20,1.24607
2023-01-21,0.15178
2023-01-22,0.0953
2023-01-23,0.12707
2023-01-24,0.15178
2023-01-25,1.29902
2023-01-26,1.32726
2023-01-27,1.20371
2023-01-28,0.20826
2023-01-29,0.1659
2023-01-30,1.21783
2023-01-31,1.09075
2023-02-01,1.23901
2023-02-02,1.25313
2023-02-03,1.02015
2023-02-04,0.12001
2023-02-05,0.11648
2023-02-06,1.05898
2023-02-07,0.92837
2023-02-08,0.79423
2023-02-09,1.00603
2023-02-10,1.00603
2023-02-11,0.18708
2023-02-12,0.15178
2023-02-13,0.85071
2023-02-14,0.826
2023-02-15,0.8613
2023-02-16,0.98485
2023-02-17,0.81894
2023-02-18,0.10589
2023-02-19,0.10589
2023-02-20,0.99544
2023-02-21,0.86836
2023-02-22,0.92484
2023-02-23,0.92484
2023-02-24,1.34491
2023-02-25,0.28592
2023-02-26,0.21179
2023-02-27,1.27784
2023-02-28,0.9319
2023-03-01,0.12001
2023-03-02,1.07663
2023-03-03,0.88601
2023-03-04,0.09177
2023-03-05,0.11295
2023-03-06,0.96367
2023-03-07,1.82851
2023-03-08,1.45787
2023-03-09,1.04486
2023-03-10,1.01309
2023-03-11,0.08824
2023-03-12,0.07412
2023-03-13,0.79423
2023-03-14,0.75893
2023-03-15,0.88248
2023-03-16,0.6601
2023-03-17,0.85424
2023-03-18,0.0953
2023-03-19,0.11648
2023-03-20,1.00603
2023-03-21,3.09929
2023-03-22,1.53552
2023-03-23,1.80733
2023-03-24,1.44022
2023-03-25,0.24709
2023-03-26,0.31769
2023-03-27,1.73673
2023-03-28,1.7685
2023-03-29,1.592
2023-03-30,1.51787
2023-03-31,1.60965
2023-04-01,0.3777
2023-04-02,0.63892
2023-04-03,3.74174
2023-04-04,7.91415
2023-04-05,5.72911
2023-04-06,7.75883
2023-04-07,4.99841
2023-04-08,0.96367
2023-04-09,1.02368
2023-04-10,4.90663
2023-04-11,4.15828
2023-04-12,3.45582
2023-04-13,2.79925
2023-04-14,2.58392
2023-04-15,0.6601
2023-04-16,0.46948
2023-04-17,3.06046
2023-04-18,2.68276
2023-04-19,3.60408
2023-04-20,5.69381
2023-04-21,3.9253
2023-04-22,0.79423
2023-04-23,0.70246
2023-04-24,2.72512
2023-04-25,8.95548
2023-04-26,15.99421
2023-04-27,5.53143
2023-04-28,3.61114
2023-04-29,0.83306
2023-04-30,0.68834
2023-05-01,1.2496
2023-05-02,3.72409
2023-05-03,7.34935
2023-05-04,3.87588
2023-05-05,0.59656
2023-05-06,0.49772
2023-05-07,0.58244
2023-05-08,3.50877
2023-05-09,3.80175
2023-05-10,4.50068
2023-05-11,3.70644
2023-05-12,2.9828
2023-05-13,0.58244
2023-05-14,0.46948
2023-05-15,2.61922
2023-05-16,4.02061
2023-05-17,3.44876
2023-05-18,2.54862
2023-05-19,1.83204
2023-05-20,0.73422
2023-05-21,0.34946
2023-05-22,2.32976
2023-05-23,2.11444
2023-05-24,1.8744
2023-05-25,1.46139
2023-05-26,1.74026
2023-05-27,0.30004
2023-05-28,0.32828
2023-05-29,0.31769
2023-05-30,1.68378
2023-05-31,1.50375
2023-06-01,1.51081
2023-06-02,1.8038
2023-06-03,0.2718
2023-06-04,0.13766
2023-06-05,1.58847
2023-06-06,0.21179
2023-06-07,1.39433
2023-06-08,1.25666
2023-06-09,1.14723
