date,캐쉬백
2021-12-23,1.35235
2021-12-24,1.44152
2021-12-25,1.59013
2021-12-26,1.18888
2021-12-27,1.66443
2021-12-28,1.56041
2021-12-29,1.33749
2021-12-30,1.26318
2021-12-31,1.26318
2022-01-01,0.89166
2022-01-02,1.09971
2022-01-03,1.20374
2022-01-04,1.24832
2022-01-05,1.57527
2022-01-06,1.32263
2022-01-07,1.7536
2022-01-08,1.30777
2022-01-09,1.12943
2022-01-10,1.53068
2022-01-11,1.35235
2022-01-12,1.11457
2022-01-13,0.74305
2022-01-14,1.23346
2022-01-15,1.2186
2022-01-16,0.71333
2022-01-17,1.39693
2022-01-18,1.32263
2022-01-19,1.45638
2022-01-20,1.09971
2022-01-21,1.44152
2022-01-22,0.74305
2022-01-23,0.89166
2022-01-24,1.42666
2022-01-25,1.18888
2022-01-26,1.45638
2022-01-27,1.05513
2022-01-28,1.1443
2022-01-29,0.8768
2022-01-30,0.54985
2022-01-31,0.89166
2022-02-01,0.96596
2022-02-02,0.92138
2022-02-03,1.57527
2022-02-04,1.41179
2022-02-05,1.08485
2022-02-06,0.98082
2022-02-07,1.1443
2022-02-08,1.01055
2022-02-09,1.24832
2022-02-10,1.36721
2022-02-11,1.15916
2022-02-12,0.78763
2022-02-13,0.83221
2022-02-14,1.59013
2022-02-15,1.39693
2022-02-16,1.20374
2022-02-17,1.35235
2022-02-18,1.39693
2022-02-19,1.08485
2022-02-20,1.18888
2022-02-21,1.27805
2022-02-22,1.06999
2022-02-23,1.18888
2022-02-24,1.09971
2022-02-25,1.11457
2022-02-26,0.92138
2022-02-27,0.86194
2022-02-28,1.12943
2022-03-01,1.09971
2022-03-02,1.18888
2022-03-03,2.0211
2022-03-04,1.8279
2022-03-05,2.68984
2022-03-06,1.45638
2022-03-07,1.67929
2022-03-08,1.32263
2022-03-09,1.41179
2022-03-10,1.60499
2022-03-11,1.66443
2022-03-12,1.41179
2022-03-13,1.57527
2022-03-14,1.8279
2022-03-15,1.18888
2022-03-16,1.33749
2022-03-17,1.45638
2022-03-18,1.76846
2022-03-19,1.42666
2022-03-20,1.50096
2022-03-21,1.50096
2022-03-22,2.37776
2022-03-23,2.12513
2022-03-24,2.70471
2022-03-25,2.15485
2022-03-26,1.8279
2022-03-27,1.30777
2022-03-28,1.67929
2022-03-29,1.47124
2022-03-30,1.20374
2022-03-31,1.44152
2022-04-01,1.50096
2022-04-02,1.02541
2022-04-03,0.83221
2022-04-04,1.2186
2022-04-05,1.02541
2022-04-06,1.15916
2022-04-07,1.05513
2022-04-08,1.17402
2022-04-09,0.80249
2022-04-10,3.71526
2022-04-11,2.05082
2022-04-12,1.33749
2022-04-13,1.35235
2022-04-14,1.35235
2022-04-15,1.50096
2022-04-16,1.60499
2022-04-17,1.39693
2022-04-18,1.42666
2022-04-19,1.27805
2022-04-20,1.2186
2022-04-21,1.12943
2022-04-22,1.08485
2022-04-23,0.93624
2022-04-24,0.83221
2022-04-25,1.23346
2022-04-26,1.24832
2022-04-27,0.93624
2022-04-28,1.02541
2022-04-29,1.35235
2022-04-30,1.23346
2022-05-01,0.96596
2022-05-02,1.42666
2022-05-03,1.56041
2022-05-04,1.12943
2022-05-05,0.92138
2022-05-06,1.38207
2022-05-07,0.84707
2022-05-08,0.93624
2022-05-09,1.35235
2022-05-10,1.24832
2022-05-11,1.29291
2022-05-12,1.05513
2022-05-13,0.74305
2022-05-14,0.59444
