date,삼성주가
2022-02-01,0.12165
2022-02-02,0.12616
2022-02-03,0.48606
2022-02-04,0.45557
2022-02-05,0.1264
2022-02-06,0.09092
2022-02-07,0.42523
2022-02-08,0.40536
2022-02-09,0.39176
2022-02-10,0.42998
2022-02-11,0.40117
2022-02-12,0.11055
2022-02-13,0.0873
2022-02-14,0.41461
2022-02-15,0.39667
2022-02-16,0.41067
2022-02-17,0.39643
2022-02-18,0.36328
2022-02-19,0.09333
2022-02-20,0.07378
2022-02-21,0.36271
2022-02-22,0.40986
2022-02-23,0.38927
2022-02-24,0.52911
2022-02-25,0.47842
2022-02-26,0.11771
2022-02-27,0.09067
2022-02-28,0.41051
2022-03-01,0.1334
2022-03-02,0.39434
2022-03-03,0.41823
2022-03-04,0.4406
2022-03-05,0.1606
2022-03-06,0.14611
2022-03-07,0.60136
2022-03-08,0.59662
2022-03-09,0.18642
2022-03-10,0.53273
2022-03-11,0.51084
2022-03-12,0.1433
2022-03-13,0.1202
2022-03-14,0.49089
2022-03-15,0.45195
2022-03-16,0.48799
2022-03-17,0.51849
2022-03-18,0.45243
2022-03-19,0.12342
2022-03-20,0.10677
2022-03-21,0.41695
2022-03-22,0.42395
2022-03-23,0.42757
2022-03-24,0.45372
2022-03-25,0.43038
2022-03-26,0.11143
2022-03-27,0.09228
2022-03-28,0.44382
2022-03-29,0.41276
2022-03-30,0.4163
2022-03-31,0.39466
2022-04-01,0.38122
2022-04-02,0.10138
2022-04-03,0.08223
2022-04-04,0.38717
2022-04-05,0.3842
2022-04-06,0.42507
2022-04-07,0.52179
2022-04-08,0.47407
2022-04-09,0.12777
2022-04-10,0.10073
2022-04-11,0.44446
2022-04-12,0.48405
2022-04-13,0.49499
2022-04-14,0.46337
2022-04-15,0.46707
2022-04-16,0.13606
2022-04-17,0.1087
2022-04-18,0.44133
2022-04-19,0.469
2022-04-20,0.46096
2022-04-21,0.45653
2022-04-22,0.42242
2022-04-23,0.11385
2022-04-24,0.10596
2022-04-25,0.45935
2022-04-26,0.46756
2022-04-27,0.54826
2022-04-28,0.53514
2022-04-29,0.55735
2022-04-30,0.14579
2022-05-01,0.11264
2022-05-02,0.47673
2022-05-03,0.47085
2022-05-04,0.45372
2022-05-05,0.15665
2022-05-06,0.43618
2022-05-07,0.11288
2022-05-08,0.08939
2022-05-09,0.4307
2022-05-10,0.48188
2022-05-11,0.427
2022-05-12,0.49644
2022-05-13,0.49033
2022-05-14,0.1264
2022-05-15,0.09486
2022-05-16,0.42427
2022-05-17,0.4587
2022-05-18,0.47158
2022-05-19,0.45589
2022-05-20,0.52492
2022-05-21,0.16993
2022-05-22,0.11296
2022-05-23,0.44961
2022-05-24,0.46434
2022-05-25,0.42974
2022-05-26,0.41292
2022-05-27,0.37494
2022-05-28,0.09695
2022-05-29,0.07869
2022-05-30,0.39273
2022-05-31,0.38138
2022-06-01,0.13533
2022-06-02,0.34598
2022-06-03,0.33801
2022-06-04,0.09486
2022-06-05,0.07909
2022-06-06,0.10162
2022-06-07,0.3566
2022-06-08,0.41268
2022-06-09,0.40214
2022-06-10,0.40319
2022-06-11,0.12037
2022-06-12,0.10033
2022-06-13,0.52219
2022-06-14,0.56942
2022-06-15,0.57175
2022-06-16,0.52348
2022-06-17,0.61247
2022-06-18,0.17709
2022-06-19,0.13662
2022-06-20,0.60796
2022-06-21,0.56218
2022-06-22,0.5909
2022-06-23,0.5806
2022-06-24,0.54407
2022-06-25,0.16148
2022-06-26,0.11739
2022-06-27,0.50907
2022-06-28,0.45259
2022-06-29,0.47705
2022-06-30,0.50408
2022-07-01,0.53418
2022-07-02,0.15681
2022-07-03,0.12455
2022-07-04,0.48067
2022-07-05,0.47665
2022-07-06,0.47657
2022-07-07,0.51543
2022-07-08,0.48123
2022-07-09,0.12737
2022-07-10,0.1029
2022-07-11,0.40721
2022-07-12,0.39643
2022-07-13,0.40286
2022-07-14,0.39184
2022-07-15,0.44253
2022-07-16,0.1231
2022-07-17,0.10009
2022-07-18,0.50521
2022-07-19,0.45693
2022-07-20,0.43432
2022-07-21,0.42708
2022-07-22,0.39063
2022-07-23,0.11143
2022-07-24,0.084
2022-07-25,0.41228
2022-07-26,0.38235
2022-07-27,0.35708
2022-07-28,0.40311
2022-07-29,0.37084
2022-07-30,0.09953
2022-07-31,0.08343
2022-08-01,0.32691
2022-08-02,0.33254
2022-08-03,0.31452
2022-08-04,0.32216
2022-08-05,0.31058
2022-08-06,0.08955
2022-08-07,0.07161
2022-08-08,0.32144
2022-08-09,0.33439
2022-08-10,0.3632
2022-08-11,0.36947
2022-08-12,0.38235
2022-08-13,0.0992
2022-08-14,0.08536
2022-08-15,0.09663
2022-08-16,0.36899
2022-08-17,0.36336
2022-08-18,0.34622
2022-08-19,0.33721
2022-08-20,0.09784
2022-08-21,0.06919
2022-08-22,0.32852
2022-08-23,0.35338
2022-08-24,0.33327
2022-08-25,0.33182
2022-08-26,0.31243
2022-08-27,0.09253
2022-08-28,0.06605
2022-08-29,0.35563
2022-08-30,0.34292
2022-08-31,0.34332
2022-09-01,0.33005
2022-09-02,0.34228
2022-09-03,0.09116
2022-09-04,0.07048
2022-09-05,0.31967
2022-09-06,0.30655
2022-09-07,0.35893
2022-09-08,0.31564
2022-09-09,0.10596
2022-09-10,0.07973
2022-09-11,0.08359
2022-09-12,0.09711
2022-09-13,0.42411
2022-09-14,0.44221
2022-09-15,0.37527
2022-09-16,0.35748
2022-09-17,0.1029
2022-09-18,0.08054
2022-09-19,0.34397
2022-09-20,0.31878
2022-09-21,0.35491
2022-09-22,0.42813
2022-09-23,0.38017
2022-09-24,0.10645
2022-09-25,0.08005
2022-09-26,0.47134
2022-09-27,0.41904
2022-09-28,0.49234
2022-09-29,0.43119
2022-09-30,0.42129
2022-10-01,0.10725
2022-10-02,0.08544
2022-10-03,0.11176
2022-10-04,0.41501
2022-10-05,0.41582
2022-10-06,0.39522
2022-10-07,0.39442
2022-10-08,0.10934
2022-10-09,0.07893
2022-10-10,0.11224
2022-10-11,0.3887
2022-10-12,0.3496
2022-10-13,0.32707
2022-10-14,0.32651
2022-10-15,0.14072
2022-10-16,0.12214
2022-10-17,0.4431
2022-10-18,0.34614
2022-10-19,0.32852
2022-10-20,0.29786
2022-10-21,0.28523
2022-10-22,0.0922
2022-10-23,0.07
2022-10-24,0.31452
2022-10-25,0.32289
2022-10-26,0.3566
2022-10-27,0.52171
2022-10-28,0.38999
2022-10-29,0.11771
2022-10-30,0.06605
2022-10-31,0.35411
2022-11-01,0.39482
2022-11-02,0.36931
2022-11-03,0.35491
2022-11-04,0.31564
2022-11-05,0.08544
2022-11-06,0.06404
2022-11-07,0.33399
2022-11-08,0.39667
2022-11-09,0.41075
2022-11-10,0.36891
2022-11-11,0.50392
2022-11-12,0.11843
2022-11-13,0.07579
2022-11-14,0.38927
2022-11-15,0.38669
2022-11-16,0.36939
2022-11-17,0.36279
2022-11-18,0.33552
2022-11-19,0.07901
2022-11-20,0.06766
2022-11-21,0.30261
2022-11-22,0.29312
2022-11-23,0.30824
2022-11-24,0.29408
2022-11-25,0.25369
2022-11-26,0.07136
2022-11-27,0.05511
2022-11-28,0.27903
2022-11-29,0.26624
2022-11-30,0.29135
2022-12-01,0.33294
2022-12-02,0.28024
2022-12-03,0.06396
2022-12-04,0.05567
2022-12-05,0.28603
2022-12-06,0.26946
2022-12-07,0.28105
2022-12-08,0.28459
2022-12-09,0.26986
2022-12-10,0.07008
2022-12-11,0.06155
2022-12-12,0.26528
2022-12-13,0.27606
2022-12-14,0.26286
2022-12-15,0.26761
2022-12-16,0.26503
2022-12-17,0.06967
2022-12-18,0.06372
2022-12-19,0.25152
2022-12-20,0.25441
2022-12-21,0.26262
2022-12-22,0.25369
2022-12-23,0.24033
2022-12-24,0.07048
2022-12-25,0.05833
2022-12-26,0.25707
2022-12-27,0.26037
2022-12-28,0.2944
2022-12-29,0.29336
2022-12-30,0.20807
2022-12-31,0.07064
2023-01-01,0.06219
2023-01-02,0.2973
2023-01-03,0.30181
2023-01-04,0.35443
2023-01-05,0.32675
2023-01-06,0.37736
2023-01-07,0.10049
2023-01-08,0.07378
2023-01-09,0.3702
2023-01-10,0.36352
2023-01-11,0.33125
2023-01-12,0.32007
2023-01-13,0.33246
2023-01-14,0.08046
2023-01-15,0.06477
2023-01-16,0.31637
2023-01-17,0.29995
2023-01-18,0.27163
2023-01-19,0.27155
2023-01-20,0.23977
2023-01-21,0.06581
2023-01-22,0.05616
2023-01-23,0.06227
2023-01-24,0.06388
2023-01-25,0.35274
2023-01-26,0.36529
2023-01-27,0.3978
2023-01-28,0.0992
2023-01-29,0.07346
2023-01-30,0.3607
2023-01-31,0.36448
2023-02-01,0.35571
2023-02-02,0.37293
2023-02-03,0.35499
2023-02-04,0.08963
2023-02-05,0.06275
2023-02-06,0.31613
2023-02-07,0.31267
2023-02-08,0.33238
2023-02-09,0.32948
2023-02-10,0.30889
2023-02-11,0.07016
2023-02-12,0.05423
2023-02-13,0.29392
2023-02-14,0.30156
2023-02-15,0.28821
2023-02-16,0.30889
2023-02-17,0.28885
2023-02-18,0.06992
2023-02-19,0.05213
2023-02-20,0.27171
2023-02-21,0.27026
2023-02-22,0.26809
2023-02-23,0.27115
2023-02-24,0.24765
2023-02-25,0.06251
2023-02-26,0.04875
2023-02-27,0.25868
2023-02-28,0.24379
2023-03-01,0.08907
2023-03-02,0.25409
2023-03-03,0.22907
2023-03-04,0.05793
2023-03-05,0.04835
2023-03-06,0.25514
2023-03-07,0.24411
2023-03-08,0.2516
2023-03-09,0.24532
2023-03-10,0.2512
2023-03-11,0.06694
2023-03-12,0.05511
2023-03-13,0.2833
2023-03-14,0.28523
2023-03-15,0.29601
2023-03-16,0.27582
2023-03-17,0.27252
2023-03-18,0.06911
2023-03-19,0.05254
2023-03-20,0.26455
2023-03-21,0.25699
2023-03-22,0.26705
2023-03-23,0.29344
2023-03-24,0.27799
2023-03-25,0.06428
