date,신세계백화점제휴카드
2022-03-21,26.20689
2022-03-22,24.13793
2022-03-23,30.34482
2022-03-24,22.06896
2022-03-25,20.68965
2022-03-26,33.10344
2022-03-27,30.34482
2022-03-28,37.24137
2022-03-29,22.75862
2022-03-30,46.20689
2022-03-31,44.82758
2022-04-01,32.41379
2022-04-02,31.72413
2022-04-03,32.41379
2022-04-04,26.20689
2022-04-05,23.44827
2022-04-06,28.96551
2022-04-07,30.34482
2022-04-08,30.34482
2022-04-09,26.20689
2022-04-10,24.13793
2022-04-11,33.7931
2022-04-12,37.93103
2022-04-13,29.65517
2022-04-14,24.82758
2022-04-15,27.5862
2022-04-16,17.24137
2022-04-17,31.72413
2022-04-18,33.10344
2022-04-19,26.89655
2022-04-20,28.27586
2022-04-21,30.34482
2022-04-22,39.31034
2022-04-23,31.03448
2022-04-24,44.82758
2022-04-25,40.0
2022-04-26,39.31034
2022-04-27,24.13793
2022-04-28,19.31034
2022-04-29,24.82758
2022-04-30,31.03448
2022-05-01,37.24137
2022-05-02,33.7931
2022-05-03,30.34482
2022-05-04,34.48275
2022-05-05,34.48275
2022-05-06,38.62068
2022-05-07,27.5862
2022-05-08,28.27586
2022-05-09,34.48275
2022-05-10,19.31034
2022-05-11,20.68965
2022-05-12,28.27586
2022-05-13,35.86206
2022-05-14,30.34482
2022-05-15,34.48275
2022-05-16,20.0
2022-05-17,43.44827
2022-05-18,30.34482
2022-05-19,27.5862
2022-05-20,24.82758
2022-05-21,24.13793
2022-05-22,37.93103
2022-05-23,26.20689
2022-05-24,24.82758
2022-05-25,35.17241
2022-05-26,24.82758
2022-05-27,22.06896
2022-05-28,14.48275
2022-05-29,30.34482
2022-05-30,27.5862
2022-05-31,33.10344
2022-06-01,35.86206
2022-06-02,31.72413
2022-06-03,24.82758
2022-06-04,26.89655
2022-06-05,32.41379
2022-06-06,33.7931
2022-06-07,35.17241
2022-06-08,44.13793
2022-06-09,42.06896
2022-06-10,33.10344
2022-06-11,22.75862
2022-06-12,40.68965
2022-06-13,26.89655
2022-06-14,36.55172
2022-06-15,34.48275
2022-06-16,31.72413
2022-06-17,27.5862
2022-06-18,12.41379
2022-06-19,20.0
2022-06-20,24.13793
2022-06-21,17.24137
2022-06-22,18.62068
2022-06-23,24.82758
2022-06-24,26.20689
2022-06-25,26.20689
2022-06-26,40.68965
2022-06-27,27.5862
2022-06-28,22.06896
2022-06-29,19.31034
2022-06-30,29.65517
2022-07-01,28.27586
2022-07-02,24.13793
