date,한정승인상속포기
2023-07-26,39.34426
2023-07-27,44.91803
2023-07-28,44.26229
2023-07-29,23.60655
2023-07-30,25.57377
2023-07-31,58.36065
2023-08-01,41.31147
2023-08-02,42.95081
2023-08-03,53.11475
2023-08-04,43.27868
2023-08-05,25.90163
2023-08-06,15.08196
2023-08-07,47.54098
2023-08-08,52.45901
2023-08-09,51.14754
2023-08-10,48.52459
2023-08-11,48.52459
2023-08-12,21.96721
2023-08-13,18.03278
2023-08-14,55.08196
2023-08-15,24.26229
2023-08-16,53.11475
2023-08-17,49.18032
2023-08-18,50.16393
2023-08-19,25.90163
2023-08-20,21.96721
2023-08-21,56.72131
2023-08-22,55.40983
2023-08-23,44.26229
2023-08-24,49.50819
2023-08-25,38.03278
2023-08-26,18.68852
2023-08-27,19.67213
2023-08-28,51.80327
2023-08-29,55.40983
2023-08-30,42.95081
2023-08-31,46.55737
2023-09-01,31.80327
2023-09-02,14.75409
2023-09-03,27.54098
2023-09-04,48.85245
2023-09-05,68.85245
2023-09-06,43.60655
2023-09-07,49.50819
2023-09-08,41.31147
2023-09-09,20.0
2023-09-10,23.60655
2023-09-11,56.72131
2023-09-12,50.81967
2023-09-13,46.88524
2023-09-14,44.91803
2023-09-15,43.27868
2023-09-16,32.78688
2023-09-17,19.67213
2023-09-18,49.18032
2023-09-19,46.88524
2023-09-20,42.62295
2023-09-21,44.91803
2023-09-22,37.37704
2023-09-23,14.75409
2023-09-24,24.91803
2023-09-25,47.54098
2023-09-26,44.91803
2023-09-27,32.78688
2023-09-28,19.01639
2023-09-29,19.67213
2023-09-30,18.03278
2023-10-01,16.06557
2023-10-02,25.2459
2023-10-03,22.62295
2023-10-04,48.85245
2023-10-05,46.55737
2023-10-06,44.91803
2023-10-07,17.70491
2023-10-08,16.06557
2023-10-09,21.63934
2023-10-10,46.55737
2023-10-11,53.44262
2023-10-12,36.39344
2023-10-13,36.72131
2023-10-14,19.67213
2023-10-15,21.31147
2023-10-16,52.13114
2023-10-17,90.4918
2023-10-18,61.31147
2023-10-19,43.60655
2023-10-20,56.39344
2023-10-21,25.57377
2023-10-22,23.60655
2023-10-23,63.93442
2023-10-24,50.16393
2023-10-25,50.81967
2023-10-26,42.95081
2023-10-27,48.19672
2023-10-28,19.34426
2023-10-29,23.60655
2023-10-30,49.50819
2023-10-31,58.03278
2023-11-01,61.63934
2023-11-02,65.90163
2023-11-03,45.90163
2023-11-04,29.18032
2023-11-05,26.88524
2023-11-06,70.4918
2023-11-07,55.08196
2023-11-08,73.44262
2023-11-09,57.04918
2023-11-10,41.31147
2023-11-11,20.32786
2023-11-12,27.54098
2023-11-13,50.81967
2023-11-14,42.29508
2023-11-15,57.37704
2023-11-16,44.91803
2023-11-17,40.0
2023-11-18,22.29508
2023-11-19,19.34426
2023-11-20,58.03278
2023-11-21,55.40983
2023-11-22,49.18032
2023-11-23,45.90163
2023-11-24,40.65573
2023-11-25,21.31147
2023-11-26,23.27868
2023-11-27,45.57377
2023-11-28,36.72131
2023-11-29,55.7377
2023-11-30,36.72131
2023-12-01,40.0
2023-12-02,25.2459
2023-12-03,21.96721
2023-12-04,49.83606
2023-12-05,55.7377
2023-12-06,53.11475
2023-12-07,54.75409
2023-12-08,35.40983
2023-12-09,25.2459
2023-12-10,25.2459
2023-12-11,67.86885
2023-12-12,56.39344
2023-12-13,41.63934
2023-12-14,40.65573
2023-12-15,42.62295
2023-12-16,24.26229
2023-12-17,23.27868
2023-12-18,57.37704
2023-12-19,59.34426
2023-12-20,40.32786
2023-12-21,47.54098
2023-12-22,32.13114
2023-12-23,21.63934
2023-12-24,20.0
2023-12-25,12.78688
2023-12-26,40.65573
2023-12-27,59.01639
2023-12-28,59.01639
2023-12-29,52.45901
2023-12-30,31.80327
2023-12-31,23.27868
2024-01-01,24.26229
2024-01-02,58.03278
2024-01-03,42.95081
2024-01-04,44.26229
2024-01-05,41.63934
2024-01-06,23.27868
2024-01-07,23.60655
2024-01-08,50.4918
2024-01-09,42.95081
2024-01-10,60.65573
2024-01-11,44.91803
2024-01-12,61.96721
2024-01-13,25.90163
2024-01-14,22.95081
2024-01-15,48.52459
2024-01-16,58.68852
2024-01-17,53.44262
2024-01-18,58.36065
2024-01-19,49.50819
2024-01-20,27.54098
2024-01-21,29.18032
2024-01-22,60.65573
2024-01-23,53.77049
2024-01-24,60.32786
2024-01-25,40.65573
2024-01-26,45.2459
2024-01-27,34.42622
2024-01-28,30.81967
2024-01-29,55.40983
2024-01-30,54.42622
2024-01-31,45.90163
2024-02-01,37.70491
2024-02-02,44.59016
2024-02-03,18.03278
2024-02-04,24.59016
2024-02-05,53.11475
2024-02-06,44.59016
2024-02-07,54.75409
2024-02-08,38.68852
2024-02-09,29.50819
2024-02-10,22.95081
2024-02-11,22.29508
2024-02-12,36.72131
2024-02-13,64.26229
2024-02-14,55.7377
2024-02-15,47.86885
2024-02-16,45.90163
2024-02-17,30.16393
2024-02-18,18.68852
2024-02-19,54.09836
2024-02-20,59.34426
2024-02-21,61.31147
2024-02-22,49.18032
2024-02-23,51.4754
2024-02-24,25.90163
2024-02-25,26.2295
2024-02-26,56.72131
2024-02-27,52.45901
2024-02-28,51.80327
2024-02-29,43.60655
2024-03-01,21.31147
2024-03-02,21.63934
2024-03-03,27.21311
2024-03-04,53.11475
2024-03-05,68.52459
2024-03-06,56.39344
2024-03-07,52.45901
2024-03-08,44.91803
2024-03-09,23.93442
2024-03-10,34.42622
2024-03-11,61.63934
2024-03-12,55.08196
2024-03-13,55.08196
2024-03-14,56.39344
2024-03-15,41.96721
2024-03-16,19.34426
2024-03-17,22.95081
2024-03-18,52.78688
2024-03-19,48.19672
2024-03-20,52.45901
