date,SQQQ
2022-04-09,10.97232
2022-04-10,4.99632
2022-04-11,14.64609
2022-04-12,25.69189
2022-04-13,15.91966
2022-04-14,11.41317
2022-04-15,13.78888
2022-04-16,4.80039
2022-04-17,3.94317
2022-04-18,8.62111
2022-04-19,10.80088
2022-04-20,10.92334
2022-04-21,12.07445
2022-04-22,17.85451
2022-04-23,22.45897
2022-04-24,11.78055
2022-04-25,22.23855
2022-04-26,21.4793
2022-04-27,42.6647
2022-04-28,21.96914
2022-04-29,17.9035
2022-04-30,26.89199
2022-05-01,11.51114
2022-05-02,17.07078
2022-05-03,19.91182
2022-05-04,17.80553
2022-05-05,25.74087
2022-05-06,51.38378
2022-05-07,21.92015
2022-05-08,12.36835
2022-05-09,49.86529
2022-05-10,80.11266
2022-05-11,41.783
2022-05-12,79.81876
2022-05-13,41.02375
2022-05-14,25.37349
2022-05-15,11.29071
2022-05-16,22.60592
2022-05-17,29.04726
2022-05-18,26.76953
2022-05-19,66.34827
2022-05-20,31.34949
2022-05-21,31.30051
2022-05-22,10.26206
2022-05-23,17.36468
2022-05-24,42.54224
2022-05-25,45.23634
2022-05-26,29.73303
2022-05-27,31.47195
2022-05-28,22.55694
2022-05-29,9.33137
2022-05-30,12.04996
2022-05-31,17.95248
2022-06-01,18.12392
2022-06-02,22.14058
2022-06-03,24.66323
2022-06-04,14.18074
2022-06-05,6.29439
2022-06-06,12.8092
2022-06-07,22.65491
2022-06-08,19.83835
2022-06-09,18.22189
2022-06-10,41.41562
2022-06-11,33.21087
2022-06-12,18.58927
2022-06-13,80.33308
2022-06-14,91.47685
2022-06-15,57.21283
2022-06-16,70.60984
2022-06-17,71.614
2022-06-18,30.00244
2022-06-19,16.62992
2022-06-20,20.30369
2022-06-21,29.2432
2022-06-22,44.35464
2022-06-23,37.5949
2022-06-24,31.69238
2022-06-25,27.25936
2022-06-26,8.67009
2022-06-27,27.60225
2022-06-28,29.14523
2022-06-29,43.47293
2022-06-30,42.49326
2022-07-01,41.61156
2022-07-02,19.27504
2022-07-03,9.69875
2022-07-04,12.41734
2022-07-05,25.9613
2022-07-06,30.71271
2022-07-07,27.40631
2022-07-08,32.28018
2022-07-09,16.01763
2022-07-10,6.04947
2022-07-11,19.74038
2022-07-12,33.89664
2022-07-13,43.49742
2022-07-14,37.301
2022-07-15,27.67572
2022-07-16,12.58878
2022-07-17,5.58412
2022-07-18,18.83419
2022-07-19,27.70022
2022-07-20,35.04775
2022-07-21,35.24369
2022-07-22,33.89664
2022-07-23,16.21356
2022-07-24,6.26989
2022-07-25,18.46681
2022-07-26,27.79818
2022-07-27,36.07641
2022-07-28,43.91378
2022-07-29,45.23634
2022-07-30,24.34484
2022-07-31,8.6456
