date,만도주가
2021-11-11,21.57206
2021-11-12,22.04254
2021-11-13,2.80099
2021-11-14,2.36115
2021-11-15,21.20005
2021-11-16,19.73171
2021-11-17,19.3794
2021-11-18,20.86962
2021-11-19,22.31826
2021-11-20,2.72003
2021-11-21,2.26486
2021-11-22,28.85903
2021-11-23,23.18919
2021-11-24,22.27449
2021-11-25,19.81487
2021-11-26,20.24377
2021-11-27,2.77473
2021-11-28,2.82725
2021-11-29,21.32478
2021-11-30,22.00971
2021-12-01,23.41677
2021-12-02,22.91128
2021-12-03,26.41034
2021-12-04,2.91041
2021-12-05,2.78786
2021-12-06,23.23734
2021-12-07,22.18259
2021-12-08,24.38837
2021-12-09,22.30951
2021-12-10,19.37721
2021-12-11,1.92349
2021-12-12,2.00884
2021-12-13,23.00538
2021-12-14,18.56536
2021-12-15,18.30933
2021-12-16,20.14967
2021-12-17,20.26565
2021-12-18,2.81412
2021-12-19,2.51652
2021-12-20,20.67924
2021-12-21,21.59175
2021-12-22,20.77333
2021-12-23,21.12783
2021-12-24,38.71066
2021-12-25,5.79456
2021-12-26,5.51884
2021-12-27,33.39314
2021-12-28,28.23099
2021-12-29,25.10394
2021-12-30,27.31629
2021-12-31,6.56921
2022-01-01,2.96293
2022-01-02,3.29992
2022-01-03,26.9224
2022-01-04,34.39537
2022-01-05,40.33218
2022-01-06,36.26198
2022-01-07,31.00135
2022-01-08,3.75289
2022-01-09,3.20582
2022-01-10,31.28583
2022-01-11,26.88301
2022-01-12,26.41034
2022-01-13,31.97514
2022-01-14,26.83268
2022-01-15,3.21895
2022-01-16,2.79005
2022-01-17,24.51967
2022-01-18,22.41235
2022-01-19,22.33576
2022-01-20,23.93759
2022-01-21,21.85215
2022-01-22,2.82069
2022-01-23,1.91693
2022-01-24,19.94835
2022-01-25,20.70768
2022-01-26,21.44513
2022-01-27,22.51958
2022-01-28,24.76038
2022-01-29,2.36553
2022-01-30,1.77907
2022-01-31,1.56899
2022-02-01,1.58212
2022-02-02,1.96726
2022-02-03,24.09295
2022-02-04,23.2811
2022-02-05,3.10954
2022-02-06,2.44649
2022-02-07,20.55669
2022-02-08,20.18906
2022-02-09,21.92437
2022-02-10,31.16328
2022-02-11,24.29646
2022-02-12,2.6872
2022-02-13,2.00665
2022-02-14,21.13002
2022-02-15,21.53048
2022-02-16,22.32701
2022-02-17,27.97496
2022-02-18,21.55893
2022-02-19,2.03728
2022-02-20,1.71779
2022-02-21,19.54571
2022-02-22,17.46247
2022-02-23,19.04459
2022-02-24,18.48877
2022-02-25,18.92424
2022-02-26,2.06792
2022-02-27,1.99789
2022-02-28,19.61136
2022-03-01,3.27585
2022-03-02,19.12994
2022-03-03,24.64878
2022-03-04,19.70545
2022-03-05,2.4071
2022-03-06,1.99352
2022-03-07,18.2021
2022-03-08,17.02262
2022-03-09,1.86441
2022-03-10,18.40343
2022-03-11,16.65499
2022-03-12,2.18609
2022-03-13,1.66965
2022-03-14,16.75565
2022-03-15,16.25016
2022-03-16,17.61127
2022-03-17,20.41446
2022-03-18,17.86949
2022-03-19,2.45306
2022-03-20,1.90817
2022-03-21,17.26333
2022-03-22,20.05777
2022-03-23,19.60479
2022-03-24,16.64624
2022-03-25,16.32675
2022-03-26,2.08105
2022-03-27,1.44864
2022-03-28,16.76659
2022-03-29,36.21165
2022-03-30,32.11737
2022-03-31,27.28565
2022-04-01,25.23305
2022-04-02,3.37432
2022-04-03,2.80318
2022-04-04,22.8697
2022-04-05,21.23944
2022-04-06,26.00551
2022-04-07,24.33366
2022-04-08,20.6858
2022-04-09,2.34802
2022-04-10,2.00446
2022-04-11,21.18473
2022-04-12,17.63315
2022-04-13,27.54168
2022-04-14,31.87666
2022-04-15,23.96166
2022-04-16,2.73097
2022-04-17,2.2583
2022-04-18,24.51091
2022-04-19,23.79754
2022-04-20,27.88087
2022-04-21,27.76707
2022-04-22,22.57429
2022-04-23,2.53621
2022-04-24,1.92349
2022-04-25,19.6967
2022-04-26,24.93106
2022-04-27,21.37511
2022-04-28,20.99873
2022-04-29,19.75141
2022-04-30,1.90599
2022-05-01,1.35454
2022-05-02,19.91115
2022-05-03,17.60252
2022-05-04,15.57398
2022-05-05,2.1095
2022-05-06,14.88248
2022-05-07,1.40706
2022-05-08,1.15978
2022-05-09,15.15821
2022-05-10,16.30705
2022-05-11,16.3924
2022-05-12,15.35296
2022-05-13,20.20219
2022-05-14,1.92787
2022-05-15,1.40925
2022-05-16,16.80598
2022-05-17,17.03137
2022-05-18,15.95036
2022-05-19,16.26548
2022-05-20,17.75132
2022-05-21,1.59525
2022-05-22,1.50334
2022-05-23,16.37051
2022-05-24,13.94152
2022-05-25,13.81898
2022-05-26,12.8999
2022-05-27,13.12311
2022-05-28,1.34579
2022-05-29,1.09632
2022-05-30,16.8213
2022-05-31,19.92647
2022-06-01,2.90384
2022-06-02,20.01838
2022-06-03,16.46023
2022-06-04,1.80533
2022-06-05,1.44645
2022-06-06,1.6609
2022-06-07,13.41196
2022-06-08,14.03562
2022-06-09,14.21725
2022-06-10,14.78401
2022-06-11,1.40487
2022-06-12,1.05037
2022-06-13,15.16258
2022-06-14,15.795
2022-06-15,14.81027
2022-06-16,14.80808
2022-06-17,15.91098
2022-06-18,1.49459
2022-06-19,1.09413
2022-06-20,14.53455
2022-06-21,15.01816
2022-06-22,14.89561
2022-06-23,14.64396
2022-06-24,15.68777
2022-06-25,2.50339
2022-06-26,2.00884
2022-06-27,22.78436
2022-06-28,19.49538
2022-06-29,16.47118
2022-06-30,15.4777
2022-07-01,15.02691
2022-07-02,1.45958
2022-07-03,0.99785
2022-07-04,12.96555
2022-07-05,14.16035
2022-07-06,13.49293
2022-07-07,14.85841
2022-07-08,16.14293
2022-07-09,2.06354
2022-07-10,1.55367
2022-07-11,21.77775
2022-07-12,16.4668
2022-07-13,18.98989
2022-07-14,16.70532
2022-07-15,20.0884
2022-07-16,2.22329
2022-07-17,1.80751
2022-07-18,19.5654
2022-07-19,19.81705
2022-07-20,20.95058
2022-07-21,19.25248
2022-07-22,21.01842
2022-07-23,2.7988
2022-07-24,2.71565
2022-07-25,24.52842
2022-07-26,19.27436
2022-07-27,18.5391
2022-07-28,19.09055
2022-07-29,19.85207
2022-07-30,2.15326
2022-07-31,1.59525
2022-08-01,18.83014
2022-08-02,16.16919
2022-08-03,16.8213
2022-08-04,16.3355
2022-08-05,18.19554
2022-08-06,2.13357
2022-08-07,1.27576
2022-08-08,17.48216
2022-08-09,16.41647
2022-08-10,14.48641
2022-08-11,17.31585
2022-08-12,15.30482
2022-08-13,1.46833
2022-08-14,1.3064
2022-08-15,1.63026
2022-08-16,15.61556
2022-08-17,14.23475
2022-08-18,14.10783
2022-08-19,13.37476
2022-08-20,1.25169
2022-08-21,0.9519
2022-08-22,12.47538
2022-08-23,12.53665
2022-08-24,13.12748
2022-08-25,14.69867
2022-08-26,12.85833
2022-08-27,1.18385
2022-08-28,0.77902
2022-08-29,12.37034
2022-08-30,16.08385
2022-08-31,14.06844
2022-09-01,12.20841
2022-09-02,13.12311
2022-09-03,1.12915
