date,카드사
2021-12-14,10.58923
2021-12-15,11.614
2021-12-16,11.27241
2021-12-17,8.19812
2021-12-18,3.67207
2021-12-19,4.69684
2021-12-20,10.07685
2021-12-21,11.01622
2021-12-22,9.90606
2021-12-23,15.02988
2021-12-24,12.38257
2021-12-25,3.41588
2021-12-26,4.95303
2021-12-27,12.98035
2021-12-28,12.12638
2021-12-29,11.18701
2021-12-30,10.33304
2021-12-31,5.807
2022-01-01,4.26985
2022-01-02,4.35525
2022-01-03,13.15115
2022-01-04,13.74893
2022-01-05,12.04099
2022-01-06,12.04099
2022-01-07,11.614
2022-01-08,3.75747
2022-01-09,5.03842
2022-01-10,14.6883
2022-01-11,14.5175
2022-01-12,12.80956
2022-01-13,10.67463
2022-01-14,11.614
2022-01-15,5.03842
2022-01-16,3.92826
2022-01-17,11.614
2022-01-18,11.5286
2022-01-19,11.78479
2022-01-20,11.5286
2022-01-21,12.12638
2022-01-22,4.52604
2022-01-23,3.92826
2022-01-24,11.78479
2022-01-25,11.10162
2022-01-26,11.10162
2022-01-27,9.64987
2022-01-28,8.11272
2022-01-29,4.35525
2022-01-30,3.15969
2022-01-31,3.15969
2022-02-01,3.24508
2022-02-02,5.807
2022-02-03,9.99146
2022-02-04,10.16225
2022-02-05,4.35525
2022-02-06,4.86763
2022-02-07,12.29718
2022-02-08,12.72416
2022-02-09,9.90606
2022-02-10,11.35781
2022-02-11,10.76003
2022-02-12,4.35525
2022-02-13,4.86763
2022-02-14,12.63877
2022-02-15,11.01622
2022-02-16,11.614
2022-02-17,10.84543
2022-02-18,10.07685
2022-02-19,5.03842
2022-02-20,3.92826
2022-02-21,10.58923
2022-02-22,11.35781
2022-02-23,13.23654
2022-02-24,13.15115
2022-02-25,9.05209
2022-02-26,4.18445
2022-02-27,3.75747
2022-02-28,12.63877
2022-03-01,7.00256
2022-03-02,11.95559
2022-03-03,10.16225
2022-03-04,10.33304
2022-03-05,4.61144
2022-03-06,4.86763
2022-03-07,12.72416
2022-03-08,10.24765
2022-03-09,4.78223
2022-03-10,11.614
2022-03-11,9.47907
2022-03-12,4.95303
2022-03-13,5.46541
2022-03-14,13.15115
2022-03-15,16.14005
2022-03-16,11.44321
2022-03-17,11.35781
2022-03-18,9.30828
2022-03-19,5.38001
2022-03-20,5.29461
2022-03-21,12.72416
2022-03-22,11.18701
2022-03-23,11.27241
2022-03-24,8.7105
2022-03-25,10.16225
2022-03-26,3.75747
2022-03-27,4.52604
2022-03-28,13.66353
2022-03-29,13.23654
2022-03-30,10.58923
2022-03-31,8.6251
2022-04-01,10.41844
2022-04-02,4.44064
2022-04-03,4.26985
2022-04-04,12.55337
2022-04-05,12.98035
2022-04-06,11.44321
2022-04-07,11.35781
2022-04-08,12.04099
2022-04-09,3.75747
2022-04-10,4.78223
2022-04-11,11.01622
