date,법인
2021-11-16,29.8387
2021-11-17,28.74423
2021-11-18,28.34101
2021-11-19,24.36635
2021-11-20,15.32258
2021-11-21,15.38018
2021-11-22,30.58755
2021-11-23,27.99539
2021-11-24,30.52995
2021-11-25,29.55069
2021-11-26,28.05299
2021-11-27,16.64746
2021-11-28,17.74193
2021-11-29,29.03225
2021-11-30,30.58755
2021-12-01,24.36635
2021-12-02,25.92165
2021-12-03,26.20967
2021-12-04,16.70506
2021-12-05,18.43317
2021-12-06,28.51382
2021-12-07,26.26728
2021-12-08,27.99539
2021-12-09,28.34101
2021-12-10,25.0
2021-12-11,16.24423
2021-12-12,17.16589
2021-12-13,28.05299
2021-12-14,27.41935
2021-12-15,28.1682
2021-12-16,30.87557
2021-12-17,33.06451
2021-12-18,15.38018
2021-12-19,18.7788
2021-12-20,28.45622
2021-12-21,29.26267
2021-12-22,25.80645
2021-12-23,27.36175
2021-12-24,20.16129
2021-12-25,10.9447
2021-12-26,13.59447
2021-12-27,24.65437
2021-12-28,23.84792
2021-12-29,27.36175
2021-12-30,24.59677
2021-12-31,19.00921
2022-01-01,16.24423
2022-01-02,16.93548
2022-01-03,28.11059
2022-01-04,31.56682
2022-01-05,29.37788
2022-01-06,34.10138
2022-01-07,29.49308
2022-01-08,20.04608
2022-01-09,17.45391
2022-01-10,30.41474
2022-01-11,34.73502
2022-01-12,30.58755
2022-01-13,32.08525
2022-01-14,27.59216
2022-01-15,20.10368
2022-01-16,17.56912
2022-01-17,27.36175
2022-01-18,29.95391
2022-01-19,31.16359
2022-01-20,32.37327
2022-01-21,30.93317
2022-01-22,19.52764
2022-01-23,19.35483
2022-01-24,29.03225
2022-01-25,32.02764
2022-01-26,31.62442
2022-01-27,28.2258
2022-01-28,23.79032
2022-01-29,16.41705
2022-01-30,13.01843
2022-01-31,15.09216
2022-02-01,15.38018
2022-02-02,17.74193
2022-02-03,39.63133
2022-02-04,37.03917
2022-02-05,26.26728
2022-02-06,21.37096
2022-02-07,31.56682
2022-02-08,33.69815
2022-02-09,35.9447
2022-02-10,34.21658
2022-02-11,33.17972
2022-02-12,20.73732
2022-02-13,18.43317
2022-02-14,31.85483
2022-02-15,29.43548
2022-02-16,33.29493
2022-02-17,33.06451
2022-02-18,30.81797
2022-02-19,19.00921
2022-02-20,16.93548
2022-02-21,28.57142
2022-02-22,30.64516
2022-02-23,30.18433
2022-02-24,32.08525
2022-02-25,28.28341
2022-02-26,17.68433
2022-02-27,17.05069
2022-02-28,25.69124
2022-03-01,19.18202
2022-03-02,31.04838
2022-03-03,29.20506
2022-03-04,30.24193
2022-03-05,17.10829
2022-03-06,16.18663
2022-03-07,29.66589
2022-03-08,29.60829
2022-03-09,17.05069
2022-03-10,28.28341
2022-03-11,29.26267
2022-03-12,18.54838
2022-03-13,18.31797
2022-03-14,34.5046
2022-03-15,31.2788
2022-03-16,35.08064
2022-03-17,42.2811
2022-03-18,39.57373
2022-03-19,29.32027
2022-03-20,31.22119
2022-03-21,37.78801
2022-03-22,39.57373
2022-03-23,40.55299
2022-03-24,40.20737
2022-03-25,32.66129
2022-03-26,22.81105
2022-03-27,21.83179
2022-03-28,30.52995
2022-03-29,30.41474
2022-03-30,36.63594
2022-03-31,34.61981
2022-04-01,27.30414
2022-04-02,15.55299
2022-04-03,18.894
2022-04-04,34.15898
2022-04-05,33.06451
2022-04-06,29.89631
2022-04-07,30.35714
2022-04-08,28.74423
2022-04-09,19.58525
2022-04-10,18.43317
2022-04-11,32.20046
2022-04-12,33.46774
2022-04-13,35.08064
2022-04-14,32.60368
2022-04-15,32.14285
2022-04-16,20.3917
2022-04-17,27.36175
2022-04-18,31.68202
2022-04-19,31.2788
2022-04-20,31.97004
2022-04-21,34.27419
2022-04-22,29.43548
2022-04-23,19.52764
2022-04-24,21.77419
2022-04-25,33.35253
2022-04-26,30.18433
2022-04-27,29.26267
2022-04-28,27.59216
2022-04-29,26.38248
2022-04-30,17.68433
2022-05-01,16.53225
2022-05-02,25.57603
2022-05-03,28.62903
2022-05-04,25.40322
2022-05-05,15.89861
2022-05-06,22.63824
