date,코인거래소
2022-07-24,2.84508
2022-07-25,4.29515
2022-07-26,3.89133
2022-07-27,3.83627
2022-07-28,4.60719
2022-07-29,3.46916
2022-07-30,2.60646
2022-07-31,2.90014
2022-08-01,4.71732
2022-08-02,4.01982
2022-08-03,3.68942
2022-08-04,4.14831
2022-08-05,3.57929
2022-08-06,2.49632
2022-08-07,2.51468
2022-08-08,3.68942
2022-08-09,3.76284
2022-08-10,3.15712
2022-08-11,3.616
2022-08-12,4.29515
2022-08-13,2.69823
2022-08-14,3.30396
2022-08-15,3.39574
2022-08-16,4.42364
2022-08-17,4.09324
2022-08-18,6.46108
2022-08-19,4.99265
2022-08-20,3.50587
2022-08-21,3.02863
2022-08-22,5.54331
2022-08-23,3.98311
2022-08-24,4.09324
2022-08-25,3.79955
2022-08-26,3.7812
2022-08-27,2.7533
2022-08-28,1.70704
2022-08-29,3.616
2022-08-30,3.7812
2022-08-31,3.01027
2022-09-01,2.93685
2022-09-02,2.7533
2022-09-03,1.92731
2022-09-04,2.99192
2022-09-05,3.87298
2022-09-06,3.17547
2022-09-07,2.93685
2022-09-08,3.02863
2022-09-09,2.36784
2022-09-10,2.09251
2022-09-11,2.22099
2022-09-12,2.82672
2022-09-13,4.62555
2022-09-14,4.07488
2022-09-15,4.00146
2022-09-16,3.4508
2022-09-17,2.00073
2022-09-18,2.23935
2022-09-19,3.35903
2022-09-20,3.15712
2022-09-21,3.616
2022-09-22,3.50587
2022-09-23,3.70778
2022-09-24,2.53303
2022-09-25,2.27606
2022-09-26,3.65271
2022-09-27,3.17547
2022-09-28,4.40528
2022-09-29,4.77239
2022-09-30,3.43245
2022-10-01,3.52422
2022-10-02,2.7533
2022-10-03,3.26725
2022-10-04,4.57048
2022-10-05,4.46035
2022-10-06,4.20337
2022-10-07,4.40528
2022-10-08,3.39574
2022-10-09,2.45961
2022-10-10,3.54258
2022-10-11,3.98311
2022-10-12,4.25844
2022-10-13,4.40528
2022-10-14,4.18502
2022-10-15,4.35022
2022-10-16,3.4508
2022-10-17,4.35022
2022-10-18,4.27679
2022-10-19,4.90088
2022-10-20,3.76284
2022-10-21,3.65271
2022-10-22,2.71659
2022-10-23,2.66152
2022-10-24,3.59765
2022-10-25,3.9464
2022-10-26,4.84581
2022-10-27,5.81864
2022-10-28,4.40528
2022-10-29,3.56093
2022-10-30,3.72613
2022-10-31,4.51541
2022-11-01,4.68061
2022-11-02,4.57048
2022-11-03,4.58883
2022-11-04,4.07488
2022-11-05,3.65271
2022-11-06,3.06534
2022-11-07,5.21292
2022-11-08,10.82966
2022-11-09,21.12701
2022-11-10,25.29368
2022-11-11,13.71145
2022-11-12,22.20998
2022-11-13,15.80396
2022-11-14,29.01982
2022-11-15,15.05139
2022-11-16,10.37077
2022-11-17,7.3972
2022-11-18,6.18575
2022-11-19,4.3135
2022-11-20,4.16666
2022-11-21,5.89207
2022-11-22,5.96549
2022-11-23,4.90088
2022-11-24,6.93832
2022-11-25,9.37958
2022-11-26,4.93759
2022-11-27,4.73568
2022-11-28,5.70851
2022-11-29,5.56167
2022-11-30,4.6439
2022-12-01,4.07488
2022-12-02,3.83627
2022-12-03,2.97356
2022-12-04,3.30396
2022-12-05,3.68942
2022-12-06,3.37738
2022-12-07,4.73568
2022-12-08,7.47063
2022-12-09,4.33186
2022-12-10,2.09251
2022-12-11,2.0558
2022-12-12,3.89133
2022-12-13,3.34067
2022-12-14,3.46916
2022-12-15,3.32232
2022-12-16,3.32232
2022-12-17,3.01027
2022-12-18,2.99192
2022-12-19,3.89133
2022-12-20,3.56093
2022-12-21,3.67107
2022-12-22,3.39574
2022-12-23,2.7533
2022-12-24,1.85389
2022-12-25,1.8906
2022-12-26,2.79001
2022-12-27,2.93685
2022-12-28,4.66226
2022-12-29,4.51541
2022-12-30,3.98311
2022-12-31,2.7533
2023-01-01,2.71659
2023-01-02,3.34067
2023-01-03,3.57929
2023-01-04,3.4508
2023-01-05,3.06534
2023-01-06,3.81791
2023-01-07,2.38619
2023-01-08,2.33113
2023-01-09,3.7812
2023-01-10,3.34067
2023-01-11,3.50587
2023-01-12,4.07488
2023-01-13,3.41409
2023-01-14,4.86417
2023-01-15,3.74449
2023-01-16,4.51541
2023-01-17,4.60719
2023-01-18,4.18502
2023-01-19,3.57929
2023-01-20,3.15712
2023-01-21,3.17547
2023-01-22,2.67988
2023-01-23,2.71659
2023-01-24,3.0837
2023-01-25,4.29515
2023-01-26,4.62555
2023-01-27,4.18502
2023-01-28,3.19383
2023-01-29,3.2856
2023-01-30,4.25844
2023-01-31,4.09324
2023-02-01,4.18502
2023-02-02,4.00146
2023-02-03,3.65271
2023-02-04,2.56975
2023-02-05,3.23054
2023-02-06,4.57048
2023-02-07,4.24008
2023-02-08,5.15785
2023-02-09,3.87298
2023-02-10,3.63436
2023-02-11,2.84508
2023-02-12,2.18428
2023-02-13,3.79955
2023-02-14,2.93685
2023-02-15,3.87298
2023-02-16,6.20411
2023-02-17,4.03817
2023-02-18,3.21218
2023-02-19,3.26725
2023-02-20,4.58883
2023-02-21,4.3135
2023-02-22,5.23127
2023-02-23,4.27679
2023-02-24,4.05653
2023-02-25,2.99192
2023-02-26,2.51468
2023-02-27,2.97356
2023-02-28,3.10205
2023-03-01,2.36784
2023-03-02,3.23054
2023-03-03,3.85462
2023-03-04,2.40455
2023-03-05,2.33113
2023-03-06,2.66152
2023-03-07,3.13876
2023-03-08,2.7533
2023-03-09,2.79001
2023-03-10,4.05653
2023-03-11,2.38619
2023-03-12,2.20264
2023-03-13,3.54258
2023-03-14,5.01101
2023-03-15,3.46916
2023-03-16,3.56093
2023-03-17,3.37738
2023-03-18,3.23054
2023-03-19,2.5881
2023-03-20,3.72613
2023-03-21,3.83627
2023-03-22,3.79955
2023-03-23,3.74449
2023-03-24,4.03817
2023-03-25,2.47797
2023-03-26,2.71659
2023-03-27,3.98311
2023-03-28,3.70778
2023-03-29,4.44199
2023-03-30,4.46035
2023-03-31,4.03817
2023-04-01,5.04772
2023-04-02,3.48751
2023-04-03,4.91923
2023-04-04,4.79074
2023-04-05,5.08443
2023-04-06,4.42364
2023-04-07,4.05653
2023-04-08,2.67988
2023-04-09,2.7533
2023-04-10,4.18502
2023-04-11,5.94713
2023-04-12,5.02936
2023-04-13,4.03817
2023-04-14,4.44199
2023-04-15,2.79001
2023-04-16,2.49632
2023-04-17,3.7812
2023-04-18,3.54258
2023-04-19,3.63436
2023-04-20,3.65271
2023-04-21,2.93685
2023-04-22,2.18428
2023-04-23,2.16593
2023-04-24,4.49706
2023-04-25,3.7812
2023-04-26,4.79074
2023-04-27,3.72613
2023-04-28,2.97356
2023-04-29,2.36784
2023-04-30,2.62481
2023-05-01,2.62481
2023-05-02,3.39574
2023-05-03,3.23054
2023-05-04,3.13876
2023-05-05,3.2856
2023-05-06,4.12995
2023-05-07,3.74449
2023-05-08,5.35976
2023-05-09,6.0022
2023-05-10,5.70851
2023-05-11,4.71732
2023-05-12,5.24963
2023-05-13,5.02936
2023-05-14,3.52422
2023-05-15,5.39647
2023-05-16,6.47944
2023-05-17,4.88252
2023-05-18,5.1395
2023-05-19,4.01982
2023-05-20,3.06534
2023-05-21,2.51468
2023-05-22,4.24008
2023-05-23,4.05653
2023-05-24,3.2856
2023-05-25,3.79955
2023-05-26,3.17547
2023-05-27,2.16593
