date,채권매입
2021-09-25,7.84883
2021-09-26,3.48837
2021-09-27,13.66279
2021-09-28,16.56976
2021-09-29,14.82558
2021-09-30,16.56976
2021-10-01,13.66279
2021-10-02,5.23255
2021-10-03,7.26744
2021-10-04,5.81395
2021-10-05,15.40697
2021-10-06,17.73255
2021-10-07,18.31395
2021-10-08,11.9186
2021-10-09,2.32558
2021-10-10,4.65116
2021-10-11,7.84883
2021-10-12,11.9186
2021-10-13,12.2093
2021-10-14,16.56976
2021-10-15,11.04651
2021-10-16,2.32558
2021-10-17,5.52325
2021-10-18,16.27906
2021-10-19,17.73255
2021-10-20,21.22093
2021-10-21,13.08139
2021-10-22,6.68604
2021-10-23,8.43023
2021-10-24,4.06976
2021-10-25,13.95348
2021-10-26,17.44186
2021-10-27,14.53488
2021-10-28,16.86046
2021-10-29,16.27906
2021-10-30,5.52325
2021-10-31,6.97674
2021-11-01,18.02325
2021-11-02,17.15116
2021-11-03,23.25581
2021-11-04,84.01162
2021-11-05,29.65116
2021-11-06,6.97674
2021-11-07,7.26744
2021-11-08,12.79069
2021-11-09,17.15116
2021-11-10,10.46511
2021-11-11,18.60465
2021-11-12,13.95348
2021-11-13,4.94186
2021-11-14,5.23255
2021-11-15,12.79069
2021-11-16,15.11627
2021-11-17,9.30232
2021-11-18,11.04651
2021-11-19,13.37209
2021-11-20,3.77906
2021-11-21,4.65116
2021-11-22,13.95348
2021-11-23,13.37209
2021-11-24,13.08139
2021-11-25,15.98837
2021-11-26,12.2093
2021-11-27,4.36046
2021-11-28,4.36046
2021-11-29,12.5
2021-11-30,12.2093
2021-12-01,21.51162
2021-12-02,19.47674
2021-12-03,10.75581
2021-12-04,2.61627
2021-12-05,6.10465
2021-12-06,8.43023
2021-12-07,17.44186
2021-12-08,17.73255
2021-12-09,15.40697
2021-12-10,13.37209
2021-12-11,9.01162
2021-12-12,4.65116
2021-12-13,15.11627
2021-12-14,17.15116
2021-12-15,19.18604
2021-12-16,38.37209
2021-12-17,22.67441
2021-12-18,6.68604
2021-12-19,4.65116
2021-12-20,18.02325
2021-12-21,17.44186
2021-12-22,15.98837
2021-12-23,16.56976
2021-12-24,11.04651
2021-12-25,3.19767
2021-12-26,5.23255
2021-12-27,13.95348
2021-12-28,16.56976
2021-12-29,14.82558
2021-12-30,12.5
2021-12-31,7.26744
2022-01-01,1.74418
2022-01-02,3.48837
2022-01-03,12.2093
2022-01-04,11.3372
2022-01-05,9.88372
2022-01-06,18.89534
2022-01-07,11.04651
2022-01-08,8.13953
2022-01-09,9.01162
2022-01-10,15.98837
2022-01-11,16.86046
2022-01-12,17.44186
2022-01-13,13.08139
2022-01-14,10.75581
2022-01-15,6.68604
2022-01-16,5.23255
2022-01-17,12.2093
2022-01-18,11.04651
2022-01-19,9.01162
2022-01-20,11.04651
2022-01-21,13.08139
2022-01-22,6.97674
2022-01-23,7.84883
2022-01-24,18.02325
2022-01-25,19.76744
2022-01-26,18.31395
2022-01-27,25.0
2022-01-28,11.6279
2022-01-29,3.77906
2022-01-30,2.32558
2022-01-31,4.94186
2022-02-01,3.77906
2022-02-02,4.36046
2022-02-03,12.2093
2022-02-04,20.63953
2022-02-05,5.52325
2022-02-06,4.06976
2022-02-07,14.82558
2022-02-08,18.31395
2022-02-09,15.40697
2022-02-10,11.6279
2022-02-11,16.27906
2022-02-12,9.88372
2022-02-13,7.84883
2022-02-14,19.47674
2022-02-15,16.86046
2022-02-16,17.44186
2022-02-17,16.56976
2022-02-18,13.37209
2022-02-19,4.94186
2022-02-20,5.81395
2022-02-21,17.44186
2022-02-22,16.86046
2022-02-23,11.9186
2022-02-24,13.08139
2022-02-25,15.11627
2022-02-26,6.10465
2022-02-27,3.77906
2022-02-28,11.6279
2022-03-01,9.01162
2022-03-02,17.73255
2022-03-03,12.2093
2022-03-04,14.82558
2022-03-05,6.97674
2022-03-06,8.72093
2022-03-07,19.18604
2022-03-08,18.89534
2022-03-09,5.81395
2022-03-10,16.86046
2022-03-11,31.68604
2022-03-12,10.17441
2022-03-13,10.75581
2022-03-14,11.3372
2022-03-15,18.31395
2022-03-16,20.05813
2022-03-17,14.82558
2022-03-18,15.69767
2022-03-19,6.39534
2022-03-20,6.97674
2022-03-21,19.18604
2022-03-22,18.89534
2022-03-23,17.44186
2022-03-24,17.15116
2022-03-25,15.69767
2022-03-26,8.72093
2022-03-27,6.68604
2022-03-28,23.8372
2022-03-29,21.80232
2022-03-30,21.51162
2022-03-31,13.37209
2022-04-01,15.98837
2022-04-02,5.23255
2022-04-03,4.65116
2022-04-04,15.11627
2022-04-05,24.7093
2022-04-06,24.1279
2022-04-07,21.51162
2022-04-08,15.69767
2022-04-09,6.39534
2022-04-10,7.55813
2022-04-11,18.31395
2022-04-12,19.76744
2022-04-13,14.82558
2022-04-14,20.63953
2022-04-15,21.22093
2022-04-16,6.10465
2022-04-17,6.39534
2022-04-18,14.82558
2022-04-19,16.27906
2022-04-20,20.93023
2022-04-21,17.15116
2022-04-22,17.15116
2022-04-23,6.68604
2022-04-24,5.23255
2022-04-25,13.08139
2022-04-26,17.44186
2022-04-27,13.95348
2022-04-28,19.47674
2022-04-29,11.6279
2022-04-30,9.01162
2022-05-01,8.72093
2022-05-02,16.56976
2022-05-03,17.44186
2022-05-04,16.86046
2022-05-05,6.68604
2022-05-06,9.30232
2022-05-07,5.52325
2022-05-08,7.84883
2022-05-09,17.15116
2022-05-10,15.11627
2022-05-11,17.44186
2022-05-12,15.40697
2022-05-13,20.05813
2022-05-14,8.43023
2022-05-15,7.26744
2022-05-16,12.79069
2022-05-17,11.3372
2022-05-18,14.82558
2022-05-19,15.11627
2022-05-20,15.98837
2022-05-21,5.81395
2022-05-22,6.39534
2022-05-23,18.89534
2022-05-24,15.98837
2022-05-25,14.82558
2022-05-26,14.82558
2022-05-27,15.40697
2022-05-28,4.94186
2022-05-29,6.39534
2022-05-30,14.53488
2022-05-31,16.27906
2022-06-01,9.01162
2022-06-02,14.53488
2022-06-03,16.27906
2022-06-04,6.10465
2022-06-05,3.48837
2022-06-06,9.01162
2022-06-07,23.8372
2022-06-08,18.89534
2022-06-09,18.02325
2022-06-10,17.15116
2022-06-11,6.68604
2022-06-12,6.10465
2022-06-13,19.76744
2022-06-14,23.54651
2022-06-15,27.03488
2022-06-16,29.65116
2022-06-17,17.73255
2022-06-18,4.94186
2022-06-19,3.48837
2022-06-20,20.63953
2022-06-21,17.73255
2022-06-22,19.18604
2022-06-23,24.4186
2022-06-24,15.11627
2022-06-25,7.55813
2022-06-26,7.84883
2022-06-27,17.44186
2022-06-28,24.1279
2022-06-29,15.69767
2022-06-30,22.67441
2022-07-01,12.79069
2022-07-02,6.10465
2022-07-03,5.52325
2022-07-04,12.79069
2022-07-05,17.44186
2022-07-06,16.56976
2022-07-07,12.5
2022-07-08,15.40697
2022-07-09,6.39534
2022-07-10,3.77906
2022-07-11,15.40697
2022-07-12,17.44186
2022-07-13,13.08139
2022-07-14,15.11627
2022-07-15,13.37209
2022-07-16,4.65116
2022-07-17,4.36046
2022-07-18,11.6279
2022-07-19,15.69767
2022-07-20,15.69767
2022-07-21,18.60465
2022-07-22,15.11627
2022-07-23,6.97674
2022-07-24,1.45348
2022-07-25,17.15116
2022-07-26,15.40697
2022-07-27,13.37209
2022-07-28,12.5
2022-07-29,6.68604
2022-07-30,4.65116
2022-07-31,4.36046
2022-08-01,13.66279
2022-08-02,12.79069
2022-08-03,11.04651
2022-08-04,12.5
2022-08-05,13.08139
2022-08-06,5.52325
2022-08-07,7.55813
2022-08-08,18.60465
2022-08-09,13.95348
2022-08-10,14.53488
2022-08-11,10.75581
2022-08-12,12.2093
2022-08-13,8.13953
2022-08-14,2.61627
2022-08-15,7.55813
2022-08-16,13.08139
2022-08-17,18.60465
2022-08-18,12.79069
2022-08-19,7.84883
2022-08-20,4.06976
2022-08-21,5.81395
2022-08-22,13.66279
2022-08-23,13.08139
2022-08-24,9.59302
2022-08-25,17.73255
2022-08-26,12.2093
2022-08-27,5.81395
2022-08-28,6.39534
2022-08-29,15.98837
2022-08-30,17.44186
2022-08-31,15.98837
2022-09-01,10.75581
2022-09-02,10.75581
2022-09-03,2.61627
2022-09-04,9.01162
2022-09-05,11.04651
2022-09-06,13.95348
2022-09-07,13.66279
2022-09-08,14.24418
2022-09-09,2.90697
2022-09-10,2.61627
2022-09-11,2.32558
2022-09-12,4.65116
2022-09-13,16.27906
2022-09-14,13.95348
2022-09-15,11.9186
2022-09-16,15.98837
2022-09-17,6.39534
2022-09-18,4.06976
2022-09-19,15.40697
2022-09-20,15.98837
2022-09-21,21.80232
2022-09-22,22.38372
2022-09-23,17.15116
2022-09-24,6.68604
2022-09-25,5.23255
2022-09-26,18.02325
2022-09-27,20.34883
2022-09-28,39.24418
2022-09-29,56.68604
2022-09-30,32.84883
2022-10-01,9.01162
2022-10-02,12.2093
2022-10-03,13.37209
2022-10-04,29.65116
2022-10-05,27.90697
2022-10-06,19.18604
2022-10-07,23.8372
2022-10-08,8.43023
2022-10-09,7.26744
2022-10-10,9.59302
2022-10-11,29.94186
2022-10-12,44.18604
2022-10-13,32.26744
2022-10-14,28.77906
2022-10-15,11.6279
2022-10-16,13.08139
2022-10-17,41.56976
2022-10-18,25.87209
2022-10-19,24.1279
2022-10-20,59.88372
2022-10-21,60.17441
2022-10-22,18.02325
2022-10-23,30.52325
2022-10-24,50.58139
2022-10-25,57.84883
2022-10-26,58.72093
2022-10-27,63.37209
2022-10-28,46.22093
2022-10-29,19.18604
2022-10-30,9.59302
2022-10-31,36.3372
2022-11-01,27.32558
2022-11-02,28.19767
2022-11-03,37.2093
2022-11-04,32.55813
2022-11-05,15.40697
2022-11-06,17.44186
2022-11-07,30.81395
2022-11-08,39.24418
2022-11-09,31.68604
2022-11-10,27.90697
2022-11-11,23.54651
2022-11-12,10.17441
2022-11-13,10.17441
2022-11-14,31.39534
2022-11-15,29.06976
2022-11-16,35.75581
2022-11-17,30.52325
2022-11-18,19.76744
2022-11-19,8.43023
2022-11-20,7.55813
2022-11-21,25.87209
2022-11-22,24.1279
2022-11-23,21.51162
2022-11-24,20.05813
2022-11-25,17.73255
2022-11-26,6.39534
2022-11-27,6.97674
2022-11-28,25.58139
2022-11-29,20.93023
2022-11-30,19.47674
2022-12-01,27.32558
2022-12-02,17.73255
2022-12-03,4.06976
2022-12-04,4.06976
2022-12-05,15.11627
2022-12-06,22.09302
2022-12-07,22.09302
2022-12-08,19.47674
2022-12-09,17.44186
2022-12-10,6.97674
2022-12-11,7.84883
2022-12-12,22.38372
2022-12-13,28.19767
2022-12-14,65.11627
2022-12-15,49.4186
2022-12-16,22.67441
2022-12-17,13.66279
2022-12-18,8.13953
2022-12-19,28.19767
2022-12-20,34.88372
2022-12-21,35.46511
2022-12-22,25.29069
2022-12-23,25.58139
2022-12-24,5.81395
2022-12-25,5.52325
2022-12-26,24.1279
2022-12-27,31.10465
2022-12-28,26.16279
2022-12-29,25.58139
2022-12-30,15.98837
2022-12-31,4.36046
2023-01-01,12.79069
2023-01-02,24.7093
2023-01-03,19.47674
2023-01-04,18.60465
2023-01-05,22.96511
2023-01-06,18.02325
2023-01-07,11.6279
2023-01-08,13.37209
2023-01-09,25.87209
2023-01-10,22.09302
2023-01-11,18.60465
2023-01-12,15.40697
2023-01-13,20.05813
2023-01-14,8.43023
2023-01-15,7.84883
2023-01-16,20.34883
2023-01-17,16.56976
2023-01-18,15.40697
2023-01-19,14.24418
2023-01-20,10.46511
2023-01-21,4.36046
2023-01-22,5.52325
2023-01-23,5.81395
2023-01-24,3.48837
2023-01-25,22.38372
2023-01-26,21.80232
2023-01-27,18.60465
2023-01-28,6.68604
2023-01-29,10.17441
2023-01-30,14.53488
2023-01-31,17.73255
2023-02-01,18.02325
2023-02-02,21.80232
2023-02-03,16.56976
2023-02-04,6.68604
2023-02-05,7.84883
2023-02-06,15.11627
2023-02-07,18.60465
2023-02-08,22.38372
2023-02-09,18.60465
2023-02-10,14.53488
2023-02-11,6.97674
2023-02-12,2.32558
2023-02-13,18.02325
2023-02-14,20.63953
2023-02-15,15.11627
2023-02-16,13.66279
2023-02-17,15.98837
2023-02-18,7.26744
2023-02-19,3.19767
2023-02-20,17.73255
2023-02-21,18.02325
2023-02-22,16.86046
2023-02-23,24.4186
2023-02-24,13.37209
2023-02-25,4.94186
2023-02-26,100.0
2023-02-27,73.8372
2023-02-28,28.48837
2023-03-01,17.15116
2023-03-02,22.38372
2023-03-03,17.44186
2023-03-04,6.39534
2023-03-05,8.13953
2023-03-06,20.05813
2023-03-07,22.96511
2023-03-08,16.27906
2023-03-09,17.15116
2023-03-10,14.24418
2023-03-11,6.10465
2023-03-12,7.55813
2023-03-13,22.38372
2023-03-14,26.45348
2023-03-15,21.51162
2023-03-16,22.09302
2023-03-17,21.22093
2023-03-18,6.68604
2023-03-19,6.97674
2023-03-20,22.09302
2023-03-21,17.73255
2023-03-22,20.34883
2023-03-23,21.80232
2023-03-24,24.1279
2023-03-25,10.17441
2023-03-26,10.17441
2023-03-27,17.73255
2023-03-28,23.25581
2023-03-29,20.34883
2023-03-30,24.4186
2023-03-31,14.82558
2023-04-01,5.81395
2023-04-02,3.48837
2023-04-03,18.02325
2023-04-04,18.89534
2023-04-05,14.82558
2023-04-06,18.60465
2023-04-07,12.2093
2023-04-08,4.36046
2023-04-09,9.30232
2023-04-10,20.34883
2023-04-11,18.60465
2023-04-12,16.56976
2023-04-13,16.56976
2023-04-14,21.51162
2023-04-15,6.10465
2023-04-16,9.59302
2023-04-17,14.82558
2023-04-18,16.27906
2023-04-19,16.56976
2023-04-20,20.34883
2023-04-21,24.7093
2023-04-22,8.13953
2023-04-23,8.43023
2023-04-24,26.16279
2023-04-25,18.89534
2023-04-26,24.7093
2023-04-27,25.29069
2023-04-28,21.22093
2023-04-29,8.13953
2023-04-30,4.36046
2023-05-01,10.46511
2023-05-02,18.89534
2023-05-03,24.4186
2023-05-04,17.15116
2023-05-05,7.55813
2023-05-06,5.52325
2023-05-07,6.39534
2023-05-08,20.63953
2023-05-09,18.31395
2023-05-10,18.31395
2023-05-11,19.18604
2023-05-12,12.79069
2023-05-13,7.84883
2023-05-14,8.13953
2023-05-15,17.44186
2023-05-16,17.73255
2023-05-17,19.76744
2023-05-18,17.15116
2023-05-19,17.73255
2023-05-20,4.94186
2023-05-21,6.97674
2023-05-22,18.60465
2023-05-23,20.05813
2023-05-24,18.31395
2023-05-25,17.73255
2023-05-26,12.2093
2023-05-27,5.81395
2023-05-28,5.23255
2023-05-29,5.81395
