date,국제금값
2022-05-03,12.3314
2022-05-04,10.21194
2022-05-05,10.30186
2022-05-06,13.06358
2022-05-07,5.39499
2022-05-08,2.22222
2022-05-09,10.3147
2022-05-10,11.98458
2022-05-11,13.16634
2022-05-12,13.06358
2022-05-13,12.79383
2022-05-14,5.18946
2022-05-15,2.04238
2022-05-16,9.69813
2022-05-17,11.03403
2022-05-18,10.32755
2022-05-19,10.37893
2022-05-20,9.71098
2022-05-21,4.16184
2022-05-22,1.61849
2022-05-23,7.73281
2022-05-24,9.74951
2022-05-25,9.59537
2022-05-26,7.61721
2022-05-27,7.12909
2022-05-28,3.36544
2022-05-29,1.34874
2022-05-30,6.48683
2022-05-31,7.28323
2022-06-01,5.39499
2022-06-02,7.61721
2022-06-03,8.01541
2022-06-04,3.23699
2022-06-05,1.55427
2022-06-06,4.62427
2022-06-07,7.38599
2022-06-08,7.42453
2022-06-09,7.01348
2022-06-10,7.34746
2022-06-11,5.4849
2022-06-12,2.54335
2022-06-13,11.54784
2022-06-14,11.57353
2022-06-15,11.50931
2022-06-16,11.30378
2022-06-17,12.08734
2022-06-18,5.04816
2022-06-19,2.44059
2022-06-20,9.08156
2022-06-21,8.20809
2022-06-22,8.88888
2022-06-23,9.45407
2022-06-24,8.1824
2022-06-25,3.71226
2022-06-26,2.36351
2022-06-27,8.77328
2022-06-28,7.83558
2022-06-29,7.66859
2022-06-30,8.27231
2022-07-01,8.81181
2022-07-02,3.7508
2022-07-03,1.68272
2022-07-04,6.92357
2022-07-05,8.06679
2022-07-06,12.80667
2022-07-07,13.48747
2022-07-08,10.41746
2022-07-09,4.52151
2022-07-10,2.1323
2022-07-11,7.88696
2022-07-12,9.67244
2022-07-13,9.53114
2022-07-14,11.22671
2022-07-15,10.87989
2022-07-16,4.41875
2022-07-17,1.69556
2022-07-18,8.60629
2022-07-19,10.12202
2022-07-20,9.81374
2022-07-21,10.58445
2022-07-22,9.82658
2022-07-23,4.04624
2022-07-24,1.72125
2022-07-25,8.298
2022-07-26,8.23378
2022-07-27,7.60436
2022-07-28,10.54592
2022-07-29,10.76429
2022-07-30,4.99678
2022-07-31,1.97816
2022-08-01,8.64482
2022-08-02,11.08542
2022-08-03,10.28901
2022-08-04,10.37893
2022-08-05,11.58638
2022-08-06,3.91779
2022-08-07,1.78548
2022-08-08,6.91072
2022-08-09,9.76236
2022-08-10,9.24855
2022-08-11,8.96596
2022-08-12,7.7585
2022-08-13,3.85356
2022-08-14,1.27167
2022-08-15,5.35645
2022-08-16,7.95118
2022-08-17,8.24662
2022-08-18,8.64482
2022-08-19,7.87411
2022-08-20,3.77649
2022-08-21,1.66987
2022-08-22,6.91072
2022-08-23,8.54206
2022-08-24,8.22093
2022-08-25,10.13487
2022-08-26,7.71997
2022-08-27,3.4682
2022-08-28,1.38728
2022-08-29,7.39884
2022-08-30,7.86127
2022-08-31,7.66859
2022-09-01,8.63198
2022-09-02,8.45215
2022-09-03,3.39113
2022-09-04,1.38728
2022-09-05,8.16955
2022-09-06,8.9788
2022-09-07,9.82658
2022-09-08,10.09633
2022-09-09,7.12909
2022-09-10,3.87925
2022-09-11,2.05523
2022-09-12,6.1657
2022-09-13,9.9165
2022-09-14,10.43031
2022-09-15,9.74951
2022-09-16,11.66345
2022-09-17,4.71419
2022-09-18,1.8754
2022-09-19,7.87411
2022-09-20,9.2357
2022-09-21,10.21194
2022-09-22,10.62299
2022-09-23,9.6596
2022-09-24,6.4226
2022-09-25,2.9287
2022-09-26,10.40462
2022-09-27,10.87989
2022-09-28,11.57353
2022-09-29,11.99743
2022-09-30,10.82851
2022-10-01,4.91971
2022-10-02,2.31213
2022-10-03,7.18047
2022-10-04,14.6307
2022-10-05,15.55555
2022-10-06,12.63969
2022-10-07,10.44315
2022-10-08,4.8298
2022-10-09,1.86255
2022-10-10,6.47398
2022-10-11,10.80282
2022-10-12,10.62299
2022-10-13,10.3147
2022-10-14,10.12202
2022-10-15,4.71419
2022-10-16,1.97816
2022-10-17,7.7585
2022-10-18,9.09441
2022-10-19,8.20809
2022-10-20,7.71997
2022-10-21,6.93641
2022-10-22,3.73795
2022-10-23,1.7341
2022-10-24,7.57867
2022-10-25,7.56583
2022-10-26,8.25947
2022-10-27,8.13102
2022-10-28,7.48876
2022-10-29,3.2113
2022-10-30,1.25883
2022-10-31,6.89788
2022-11-01,8.06679
2022-11-02,7.37315
2022-11-03,9.13294
2022-11-04,8.69621
2022-11-05,5.85741
2022-11-06,1.77263
2022-11-07,8.37508
2022-11-08,8.81181
2022-11-09,11.12395
2022-11-10,10.22479
2022-11-11,11.95889
2022-11-12,4.84264
2022-11-13,2.23506
2022-11-14,8.59344
2022-11-15,9.72382
2022-11-16,9.85228
2022-11-17,9.55684
2022-11-18,8.23378
2022-11-19,3.54527
2022-11-20,1.46435
2022-11-21,6.64097
2022-11-22,7.95118
2022-11-23,7.37315
2022-11-24,8.16955
2022-11-25,7.09055
2022-11-26,3.44251
2022-11-27,1.46435
2022-11-28,6.83365
2022-11-29,8.14386
2022-11-30,8.73474
2022-12-01,11.99743
2022-12-02,11.27809
2022-12-03,3.71226
2022-12-04,1.72125
2022-12-05,8.38792
2022-12-06,9.32562
2022-12-07,8.8375
2022-12-08,9.72382
2022-12-09,9.377
2022-12-10,3.41682
2022-12-11,1.24598
2022-12-12,7.43737
2022-12-13,7.84842
2022-12-14,10.10918
2022-12-15,9.15863
2022-12-16,6.94926
2022-12-17,3.40398
2022-12-18,1.49004
2022-12-19,5.71612
2022-12-20,7.84842
2022-12-21,9.74951
2022-12-22,8.88888
2022-12-23,9.82658
2022-12-24,4.13615
2022-12-25,1.66987
2022-12-26,5.07385
2022-12-27,8.38792
2022-12-28,8.60629
2022-12-29,9.08156
2022-12-30,7.07771
2022-12-31,3.08285
2023-01-01,1.65703
2023-01-02,6.21708
2023-01-03,11.65061
2023-01-04,15.27296
2023-01-05,13.83429
2023-01-06,11.38086
2023-01-07,7.02633
2023-01-08,3.12138
2023-01-09,12.16441
2023-01-10,14.12973
2023-01-11,16.27488
2023-01-12,15.46563
2023-01-13,16.94283
2023-01-14,8.94026
2023-01-15,3.59666
2023-01-16,14.41233
2023-01-17,13.21772
2023-01-18,14.41233
2023-01-19,14.05266
2023-01-20,15.31149
2023-01-21,6.57675
2023-01-22,2.91586
2023-01-23,7.2447
2023-01-24,11.75337
2023-01-25,15.36287
2023-01-26,16.87861
2023-01-27,15.08028
2023-01-28,6.89788
2023-01-29,3.15992
2023-01-30,10.50738
2023-01-31,10.58445
2023-02-01,11.99743
2023-02-02,15.88953
2023-02-03,13.33333
2023-02-04,7.2447
2023-02-05,3.12138
2023-02-06,11.23956
2023-02-07,12.49839
2023-02-08,12.17726
2023-02-09,11.27809
2023-02-10,10.01926
2023-02-11,4.2903
2023-02-12,1.96531
2023-02-13,7.93834
2023-02-14,9.6596
2023-02-15,9.7752
2023-02-16,8.42646
2023-02-17,8.99165
2023-02-18,3.85356
2023-02-19,1.91393
2023-02-20,8.20809
2023-02-21,7.93834
2023-02-22,9.63391
2023-02-23,8.55491
2023-02-24,8.14386
2023-02-25,4.67565
2023-02-26,1.86255
2023-02-27,7.42453
2023-02-28,9.35131
2023-03-01,7.63005
2023-03-02,9.28709
2023-03-03,8.67052
2023-03-04,4.59858
2023-03-05,1.78548
2023-03-06,7.15478
2023-03-07,8.01541
2023-03-08,9.06872
2023-03-09,8.78612
2023-03-10,10.12202
2023-03-11,6.78227
2023-03-12,3.07
2023-03-13,16.53179
2023-03-14,19.19075
2023-03-15,17.26396
2023-03-16,19.61464
2023-03-17,17.97045
2023-03-18,13.29479
2023-03-19,5.16377
2023-03-20,26.10147
2023-03-21,24.39306
2023-03-22,19.56326
2023-03-23,25.13808
2023-03-24,24.77842
2023-03-25,9.54399
2023-03-26,4.07193
2023-03-27,17.40526
2023-03-28,17.31535
2023-03-29,16.53179
2023-03-30,17.12267
2023-03-31,17.25112
2023-04-01,7.46307
2023-04-02,3.17276
2023-04-03,14.18111
2023-04-04,22.76172
2023-04-05,29.44123
2023-04-06,26.29415
2023-04-07,18.00899
2023-04-08,6.26846
2023-04-09,3.59666
2023-04-10,15.63262
2023-04-11,18.86962
2023-04-12,22.00385
2023-04-13,25.228
2023-04-14,23.98201
2023-04-15,8.74759
2023-04-16,3.00578
2023-04-17,15.81245
2023-04-18,17.35388
2023-04-19,16.41618
2023-04-20,16.91714
2023-04-21,15.33718
2023-04-22,6.4226
2023-04-23,2.56904
2023-04-24,12.92228
2023-04-25,16.48041
2023-04-26,17.21258
2023-04-27,16.53179
2023-04-28,13.75722
2023-04-29,6.10147
2023-04-30,2.4149
2023-05-01,9.28709
2023-05-02,13.97559
2023-05-03,19.15221
2023-05-04,24.20038
2023-05-05,18.921
2023-05-06,8.34938
2023-05-07,3.18561
2023-05-08,15.37572
2023-05-09,16.80154
2023-05-10,17.37957
2023-05-11,16.15928
2023-05-12,14.12973
2023-05-13,6.08863
2023-05-14,2.63326
2023-05-15,12.25433
2023-05-16,14.52793
2023-05-17,14.50224
2023-05-18,13.82145
2023-05-19,14.14258
2023-05-20,5.85741
2023-05-21,2.60757
2023-05-22,10.54592
2023-05-23,11.62491
2023-05-24,12.84521
2023-05-25,12.03596
2023-05-26,11.1368
2023-05-27,4.95825
2023-05-28,1.991
2023-05-29,7.48876
