date,코덱스200
2021-08-14,2.47767
2021-08-15,1.9866
2021-08-16,2.80133
2021-08-17,10.95982
2021-08-18,10.01116
2021-08-19,11.14955
2021-08-20,15.625
2021-08-21,6.01562
2021-08-22,4.81026
2021-08-23,13.35937
2021-08-24,11.9308
2021-08-25,10.53571
2021-08-26,9.87723
2021-08-27,7.65625
2021-08-28,1.77455
2021-08-29,1.75223
2021-08-30,7.71205
2021-08-31,9.15178
2021-09-01,8.44866
2021-09-02,8.02455
2021-09-03,7.93526
2021-09-04,1.89732
2021-09-05,1.33928
2021-09-06,6.65178
2021-09-07,6.42857
2021-09-08,6.6183
2021-09-09,7.68973
2021-09-10,7.99107
2021-09-11,2.17633
2021-09-12,1.43973
2021-09-13,7.54464
2021-09-14,8.10267
2021-09-15,7.53348
2021-09-16,7.43303
2021-09-17,6.76339
2021-09-18,1.6183
2021-09-19,1.17187
2021-09-20,1.40625
2021-09-21,1.55133
2021-09-22,2.10937
2021-09-23,8.25892
2021-09-24,6.89732
2021-09-25,1.68526
2021-09-26,1.71875
2021-09-27,7.13169
2021-09-28,7.57812
2021-09-29,9.35267
2021-09-30,8.4933
2021-10-01,8.90625
2021-10-02,1.91964
2021-10-03,1.57366
2021-10-04,2.54464
2021-10-05,11.54017
2021-10-06,10.94866
2021-10-07,9.98883
2021-10-08,9.04017
2021-10-09,1.59598
2021-10-10,1.55133
2021-10-11,1.51785
2021-10-12,8.77232
2021-10-13,7.95758
2021-10-14,9.04017
2021-10-15,7.76785
2021-10-16,1.85267
2021-10-17,1.83035
2021-10-18,7.8125
2021-10-19,7.44419
2021-10-20,8.13616
2021-10-21,7.23214
2021-10-22,6.83035
2021-10-23,1.13839
2021-10-24,1.9866
2021-10-25,7.52232
2021-10-26,8.98437
2021-10-27,8.40401
2021-10-28,8.09151
2021-10-29,10.23437
2021-10-30,2.74553
2021-10-31,1.43973
2021-11-01,7.2433
2021-11-02,8.89508
2021-11-03,8.02455
2021-11-04,7.12053
2021-11-05,7.13169
2021-11-06,1.27232
2021-11-07,1.23883
2021-11-08,7.45535
2021-11-09,7.8683
2021-11-10,6.86383
2021-11-11,7.38839
2021-11-12,7.12053
2021-11-13,1.3616
2021-11-14,1.08258
2021-11-15,7.20982
2021-11-16,6.49553
2021-11-17,6.62946
2021-11-18,6.78571
2021-11-19,6.21651
2021-11-20,1.17187
2021-11-21,1.25
2021-11-22,8.48214
2021-11-23,8.01339
2021-11-24,7.87946
2021-11-25,7.79017
2021-11-26,8.27008
2021-11-27,2.06473
2021-11-28,1.875
2021-11-29,8.8058
2021-11-30,11.69642
2021-12-01,11.14955
2021-12-02,9.65401
2021-12-03,9.57589
2021-12-04,1.39508
2021-12-05,1.19419
2021-12-06,8.88392
2021-12-07,8.91741
2021-12-08,9.14062
2021-12-09,8.34821
2021-12-10,6.80803
2021-12-11,1.59598
2021-12-12,1.10491
2021-12-13,7.36607
2021-12-14,6.22767
2021-12-15,6.28348
2021-12-16,6.47321
2021-12-17,5.91517
2021-12-18,1.10491
2021-12-19,1.26116
2021-12-20,7.10937
2021-12-21,7.08705
2021-12-22,6.85267
2021-12-23,6.64062
2021-12-24,7.71205
2021-12-25,1.52901
2021-12-26,1.38392
2021-12-27,7.06473
2021-12-28,7.67857
2021-12-29,8.63839
2021-12-30,7.62276
2021-12-31,2.62276
2022-01-01,1.22767
2022-01-02,1.16071
2022-01-03,7.82366
2022-01-04,6.6741
2022-01-05,7.63392
2022-01-06,8.06919
2022-01-07,6.94196
2022-01-08,1.22767
2022-01-09,1.39508
2022-01-10,7.03125
2022-01-11,7.52232
2022-01-12,7.77901
2022-01-13,6.78571
2022-01-14,7.19866
2022-01-15,1.5625
2022-01-16,1.28348
2022-01-17,7.72321
2022-01-18,8.2366
2022-01-19,8.96205
2022-01-20,8.14732
2022-01-21,10.24553
2022-01-22,2.10937
2022-01-23,1.84151
2022-01-24,11.21651
2022-01-25,14.87723
2022-01-26,14.1741
2022-01-27,19.34151
2022-01-28,16.80803
2022-01-29,2.95758
2022-01-30,2.07589
2022-01-31,2.10937
2022-02-01,2.05357
2022-02-02,2.65625
2022-02-03,14.76562
2022-02-04,12.58928
2022-02-05,2.5
2022-02-06,2.02008
2022-02-07,12.36607
2022-02-08,10.44642
2022-02-09,11.23883
2022-02-10,9.6875
2022-02-11,9.22991
2022-02-12,1.91964
2022-02-13,2.16517
2022-02-14,10.65848
2022-02-15,9.72098
2022-02-16,10.10044
2022-02-17,10.20089
2022-02-18,8.92857
2022-02-19,2.08705
2022-02-20,1.97544
2022-02-21,9.65401
2022-02-22,10.23437
2022-02-23,8.42633
2022-02-24,14.50892
2022-02-25,11.03794
2022-02-26,1.77455
2022-02-27,1.72991
2022-02-28,9.98883
2022-03-01,2.38839
2022-03-02,9.44196
2022-03-03,9.7991
2022-03-04,9.1183
2022-03-05,1.57366
2022-03-06,1.17187
2022-03-07,11.94196
2022-03-08,11.18303
2022-03-09,1.90848
2022-03-10,10.26785
2022-03-11,9.47544
2022-03-12,1.64062
2022-03-13,1.58482
2022-03-14,10.55803
2022-03-15,9.97767
2022-03-16,10.625
2022-03-17,12.33258
2022-03-18,10.81473
2022-03-19,2.05357
2022-03-20,1.84151
2022-03-21,9.67633
2022-03-22,10.18973
2022-03-23,11.00446
2022-03-24,8.93973
2022-03-25,9.78794
2022-03-26,2.23214
2022-03-27,1.51785
2022-03-28,9.10714
2022-03-29,8.72767
2022-03-30,9.57589
2022-03-31,9.6875
2022-04-01,8.68303
2022-04-02,1.45089
2022-04-03,0.9933
2022-04-04,7.8683
2022-04-05,8.30357
2022-04-06,8.62723
2022-04-07,9.78794
2022-04-08,9.31919
2022-04-09,1.3616
2022-04-10,10.91517
2022-04-11,15.41294
2022-04-12,12.71205
2022-04-13,13.01339
2022-04-14,13.68303
2022-04-15,12.53348
2022-04-16,3.37053
2022-04-17,5.22321
2022-04-18,12.89062
2022-04-19,12.13169
2022-04-20,12.10937
2022-04-21,11.80803
2022-04-22,10.83705
2022-04-23,2.5
2022-04-24,2.2433
2022-04-25,11.41741
2022-04-26,10.33482
2022-04-27,12.53348
2022-04-28,11.78571
2022-04-29,11.02678
2022-04-30,2.48883
2022-05-01,1.62946
2022-05-02,9.67633
2022-05-03,11.03794
2022-05-04,9.46428
2022-05-05,2.5
2022-05-06,9.94419
2022-05-07,1.6183
2022-05-08,1.79687
2022-05-09,9.52008
2022-05-10,12.14285
2022-05-11,10.46875
2022-05-12,11.22767
2022-05-13,9.94419
2022-05-14,1.69642
2022-05-15,1.54017
2022-05-16,8.59375
2022-05-17,9.93303
2022-05-18,9.78794
2022-05-19,10.56919
2022-05-20,9.72098
2022-05-21,2.1875
2022-05-22,1.6741
2022-05-23,8.4933
2022-05-24,9.29687
2022-05-25,8.56026
2022-05-26,9.20758
2022-05-27,8.53794
2022-05-28,1.50669
2022-05-29,0.91517
2022-05-30,9.4308
2022-05-31,9.46428
2022-06-01,1.33928
2022-06-02,7.14285
2022-06-03,7.08705
2022-06-04,1.57366
2022-06-05,0.97098
2022-06-06,1.39508
2022-06-07,8.01339
2022-06-08,7.87946
2022-06-09,7.48883
2022-06-10,8.08035
2022-06-11,1.875
2022-06-12,1.51785
2022-06-13,11.94196
2022-06-14,14.05133
2022-06-15,36.09375
2022-06-16,21.89732
2022-06-17,17.54464
2022-06-18,4.45312
2022-06-19,4.19642
2022-06-20,16.96428
2022-06-21,14.12946
2022-06-22,19.98883
2022-06-23,17.35491
2022-06-24,14.67633
2022-06-25,3.14732
2022-06-26,2.53348
2022-06-27,11.71875
2022-06-28,11.52901
2022-06-29,13.92857
2022-06-30,13.77232
2022-07-01,12.85714
2022-07-02,3.06919
2022-07-03,2.53348
2022-07-04,11.49553
2022-07-05,11.46205
2022-07-06,11.79687
2022-07-07,12.27678
2022-07-08,11.06026
2022-07-09,2.10937
2022-07-10,2.45535
2022-07-11,10.85937
2022-07-12,10.64732
2022-07-13,10.27901
2022-07-14,9.73214
2022-07-15,10.63616
2022-07-16,2.03125
2022-07-17,1.39508
2022-07-18,12.19866
2022-07-19,9.38616
2022-07-20,10.17857
2022-07-21,10.21205
2022-07-22,10.07812
2022-07-23,1.79687
2022-07-24,1.14955
2022-07-25,9.93303
2022-07-26,9.4308
2022-07-27,8.96205
2022-07-28,10.83705
2022-07-29,10.3125
2022-07-30,1.50669
2022-07-31,1.29464
2022-08-01,8.83928
2022-08-02,7.58928
2022-08-03,8.79464
2022-08-04,10.1116
2022-08-05,9.54241
2022-08-06,1.54017
2022-08-07,1.25
2022-08-08,8.76116
2022-08-09,9.70982
2022-08-10,8.31473
2022-08-11,10.44642
2022-08-12,10.12276
2022-08-13,1.27232
2022-08-14,1.16071
2022-08-15,1.26116
2022-08-16,9.87723
2022-08-17,8.53794
2022-08-18,8.59375
2022-08-19,8.06919
2022-08-20,1.29464
2022-08-21,1.40625
2022-08-22,8.98437
2022-08-23,9.20758
2022-08-24,8.30357
2022-08-25,7.57812
2022-08-26,6.78571
2022-08-27,1.19419
2022-08-28,0.9375
2022-08-29,8.16964
2022-08-30,7.51116
2022-08-31,8.06919
2022-09-01,9.04017
2022-09-02,7.5558
2022-09-03,1.3058
2022-09-04,0.89285
2022-09-05,7.91294
2022-09-06,6.88616
2022-09-07,8.66071
2022-09-08,7.65625
2022-09-09,1.13839
2022-09-10,1.06026
2022-09-11,0.7366
2022-09-12,1.19419
2022-09-13,9.27455
2022-09-14,9.97767
2022-09-15,9.01785
2022-09-16,7.82366
2022-09-17,1.21651
2022-09-18,1.31696
2022-09-19,7.93526
2022-09-20,6.51785
2022-09-21,7.76785
2022-09-22,9.22991
2022-09-23,14.27455
2022-09-24,3.90625
2022-09-25,3.41517
2022-09-26,14.30803
2022-09-27,14.75446
2022-09-28,15.37946
2022-09-29,13.81696
2022-09-30,13.40401
2022-10-01,3.15848
2022-10-02,2.64508
2022-10-03,2.39955
2022-10-04,10.41294
2022-10-05,11.88616
2022-10-06,11.02678
2022-10-07,9.66517
2022-10-08,2.56696
2022-10-09,1.9866
2022-10-10,1.69642
2022-10-11,9.54241
2022-10-12,11.66294
2022-10-13,11.18303
2022-10-14,15.6808
2022-10-15,12.33258
2022-10-16,8.34821
2022-10-17,17.13169
2022-10-18,14.53125
2022-10-19,22.80133
2022-10-20,23.31473
2022-10-21,19.84375
2022-10-22,5.65848
2022-10-23,11.40625
2022-10-24,21.23883
2022-10-25,17.6116
2022-10-26,19.02901
2022-10-27,20.16741
2022-10-28,17.52232
2022-10-29,7.71205
2022-10-30,5.7366
2022-10-31,16.83035
2022-11-01,19.50892
2022-11-02,16.86383
2022-11-03,15.98214
2022-11-04,14.09598
2022-11-05,3.06919
