date,예금특판
2022-01-29,5.86019
2022-01-30,4.0812
2022-01-31,3.70447
2022-02-01,4.83465
2022-02-02,6.802
2022-02-03,14.04353
2022-02-04,12.51569
2022-02-05,7.0113
2022-02-06,7.28338
2022-02-07,13.68773
2022-02-08,12.62034
2022-02-09,12.07618
2022-02-10,10.946
2022-02-11,9.46002
2022-02-12,6.46714
2022-02-13,7.22059
2022-02-14,13.41565
2022-02-15,12.89242
2022-02-16,12.72498
2022-02-17,11.69945
2022-02-18,13.45751
2022-02-19,7.26245
2022-02-20,7.59732
2022-02-21,15.44579
2022-02-22,15.36207
2022-02-23,13.58308
2022-02-24,14.96442
2022-02-25,14.71326
2022-02-26,7.78568
2022-02-27,7.22059
2022-02-28,15.32021
2022-03-01,11.17622
2022-03-02,16.68061
2022-03-03,13.5203
2022-03-04,11.97153
2022-03-05,6.32063
2022-03-06,6.55085
2022-03-07,12.09711
2022-03-08,12.18082
2022-03-09,6.25784
2022-03-10,12.55755
2022-03-11,12.95521
2022-03-12,6.99037
2022-03-13,6.76015
2022-03-14,12.01339
2022-03-15,13.26915
2022-03-16,12.70406
2022-03-17,13.77145
2022-03-18,12.51569
2022-03-19,7.53453
2022-03-20,6.63457
2022-03-21,13.14357
2022-03-22,14.56676
2022-03-23,13.81331
2022-03-24,12.87149
2022-03-25,15.00627
2022-03-26,9.83675
2022-03-27,7.6601
2022-03-28,17.66429
2022-03-29,16.51318
2022-03-30,18.12473
2022-03-31,17.49686
2022-04-01,18.20845
2022-04-02,9.75303
2022-04-03,9.2298
2022-04-04,18.16659
2022-04-05,17.66429
2022-04-06,15.50858
2022-04-07,16.5969
2022-04-08,15.25742
2022-04-09,8.5182
2022-04-10,8.22519
2022-04-11,16.93177
2022-04-12,18.22938
2022-04-13,17.49686
2022-04-14,20.57346
2022-04-15,18.1038
2022-04-16,10.0879
2022-04-17,9.52281
2022-04-18,21.41063
2022-04-19,22.95939
2022-04-20,19.23398
2022-04-21,16.93177
2022-04-22,16.95269
2022-04-23,9.52281
2022-04-24,9.77396
2022-04-25,25.61741
2022-04-26,20.65717
2022-04-27,18.35496
2022-04-28,17.47593
2022-04-29,15.63415
2022-04-30,8.64378
2022-05-01,8.93679
2022-05-02,17.07827
2022-05-03,16.22017
2022-05-04,14.81791
2022-05-05,10.27626
2022-05-06,14.83884
2022-05-07,7.80661
2022-05-08,7.38802
2022-05-09,18.22938
2022-05-10,18.33403
2022-05-11,16.82712
2022-05-12,14.8807
2022-05-13,11.82503
2022-05-14,6.55085
2022-05-15,7.61825
2022-05-16,15.08999
2022-05-17,14.90163
2022-05-18,15.08999
2022-05-19,12.15989
2022-05-20,12.28547
2022-05-21,7.61825
2022-05-22,8.68564
2022-05-23,16.68061
2022-05-24,17.53871
2022-05-25,15.80159
2022-05-26,20.99204
2022-05-27,18.62704
2022-05-28,8.68564
2022-05-29,8.79028
2022-05-30,19.25491
2022-05-31,18.3131
2022-06-01,12.8087
2022-06-02,19.52699
2022-06-03,17.07827
2022-06-04,7.84847
2022-06-05,6.63457
2022-06-06,9.12515
2022-06-07,19.73629
2022-06-08,20.71996
2022-06-09,16.51318
2022-06-10,17.28756
2022-06-11,8.41356
2022-06-12,8.43449
2022-06-13,18.54332
2022-06-14,17.64336
2022-06-15,17.62243
2022-06-16,20.34323
2022-06-17,18.18752
2022-06-18,8.81121
2022-06-19,9.54374
2022-06-20,17.6015
2022-06-21,18.58518
2022-06-22,17.47593
2022-06-23,16.51318
2022-06-24,17.0992
2022-06-25,8.26705
2022-06-26,8.18334
2022-06-27,17.89451
2022-06-28,18.14566
2022-06-29,17.72708
2022-06-30,17.93637
2022-07-01,18.83633
2022-07-02,8.62285
2022-07-03,11.76224
2022-07-04,24.52909
2022-07-05,22.62452
2022-07-06,19.50606
2022-07-07,19.08748
2022-07-08,17.28756
2022-07-09,8.68564
2022-07-10,8.0159
2022-07-11,19.35956
2022-07-12,18.48053
2022-07-13,28.31728
2022-07-14,26.74759
2022-07-15,26.09878
2022-07-16,13.93888
2022-07-17,12.01339
2022-07-18,28.29635
2022-07-19,24.21515
2022-07-20,25.59648
2022-07-21,30.24277
2022-07-22,26.41272
2022-07-23,13.62494
2022-07-24,13.62494
2022-07-25,32.50313
2022-07-26,31.95897
2022-07-27,25.72205
2022-07-28,26.03599
2022-07-29,28.98702
2022-07-30,14.62955
2022-07-31,15.48765
2022-08-01,36.20761
2022-08-02,32.62871
2022-08-03,29.88698
2022-08-04,28.84051
2022-08-05,28.0452
2022-08-06,16.65969
2022-08-07,15.04813
2022-08-08,31.3311
2022-08-09,28.23357
