date,상속세율
2022-07-21,9.09752
2022-07-22,8.15138
2022-07-23,6.2227
2022-07-24,6.73216
2022-07-25,8.62445
2022-07-26,8.91557
2022-07-27,7.56914
2022-07-28,6.47743
2022-07-29,7.20524
2022-07-30,5.4949
2022-07-31,6.47743
2022-08-01,7.7147
2022-08-02,8.29694
2022-08-03,8.40611
2022-08-04,8.91557
2022-08-05,8.33333
2022-08-06,6.29548
2022-08-07,6.62299
2022-08-08,8.69723
2022-08-09,8.84279
2022-08-10,7.96943
2022-08-11,8.40611
2022-08-12,6.91411
2022-08-13,6.80494
2022-08-14,6.47743
2022-08-15,6.18631
2022-08-16,9.75254
2022-08-17,9.78893
2022-08-18,8.95196
2022-08-19,8.47889
2022-08-20,6.9505
2022-08-21,6.5866
2022-08-22,10.91703
2022-08-23,8.73362
2022-08-24,10.73508
2022-08-25,9.13391
2022-08-26,9.49781
2022-08-27,6.98689
2022-08-28,6.14992
2022-08-29,10.18922
2022-08-30,9.93449
2022-08-31,13.50072
2022-09-01,25.07278
2022-09-02,13.31877
2022-09-03,7.20524
2022-09-04,7.56914
2022-09-05,9.1703
2022-09-06,10.51673
2022-09-07,9.35225
2022-09-08,7.49636
2022-09-09,7.7147
2022-09-10,7.89665
2022-09-11,8.84279
2022-09-12,10.33478
2022-09-13,13.28238
2022-09-14,14.19213
2022-09-15,12.55458
2022-09-16,9.60698
2022-09-17,8.29694
2022-09-18,7.82387
2022-09-19,11.28093
2022-09-20,12.22707
2022-09-21,11.20815
2022-09-22,13.50072
2022-09-23,10.88064
2022-09-24,8.22416
2022-09-25,7.24163
2022-09-26,9.42503
2022-09-27,9.71615
2022-09-28,9.24308
2022-09-29,10.91703
2022-09-30,9.49781
2022-10-01,8.40611
2022-10-02,5.8588
2022-10-03,8.84279
2022-10-04,11.64483
2022-10-05,9.75254
2022-10-06,12.70014
2022-10-07,11.53566
2022-10-08,7.89665
2022-10-09,8.15138
2022-10-10,7.89665
2022-10-11,11.93595
2022-10-12,10.84425
2022-10-13,12.8457
2022-10-14,13.53711
2022-10-15,8.22416
2022-10-16,8.91557
2022-10-17,13.2096
2022-10-18,12.99126
2022-10-19,12.15429
2022-10-20,12.77292
2022-10-21,10.98981
2022-10-22,8.84279
2022-10-23,8.91557
2022-10-24,11.42649
2022-10-25,12.4818
2022-10-26,11.13537
2022-10-27,12.00873
2022-10-28,13.02765
2022-10-29,7.24163
2022-10-30,6.87772
2022-10-31,11.89956
2022-11-01,10.51673
2022-11-02,11.17176
2022-11-03,12.55458
2022-11-04,11.68122
2022-11-05,7.86026
2022-11-06,8.98835
2022-11-07,12.19068
2022-11-08,12.00873
2022-11-09,12.4818
2022-11-10,10.22561
2022-11-11,9.67976
2022-11-12,8.47889
2022-11-13,7.86026
2022-11-14,13.2096
2022-11-15,11.71761
2022-11-16,11.89956
2022-11-17,12.26346
2022-11-18,12.44541
2022-11-19,8.73362
2022-11-20,9.09752
2022-11-21,13.10043
2022-11-22,11.35371
2022-11-23,12.8457
2022-11-24,10.66229
2022-11-25,10.15283
2022-11-26,9.8981
2022-11-27,8.55167
2022-11-28,11.09898
2022-11-29,11.17176
2022-11-30,10.69868
2022-12-01,8.73362
2022-12-02,8.69723
2022-12-03,7.42358
2022-12-04,7.05967
2022-12-05,10.98981
2022-12-06,10.6259
2022-12-07,10.55312
2022-12-08,13.82823
2022-12-09,11.31732
2022-12-10,9.09752
2022-12-11,12.04512
2022-12-12,13.5735
2022-12-13,13.39155
2022-12-14,12.26346
2022-12-15,10.84425
2022-12-16,11.24454
2022-12-17,8.22416
2022-12-18,9.13391
2022-12-19,12.70014
2022-12-20,12.80931
2022-12-21,13.2096
2022-12-22,12.26346
2022-12-23,10.80786
2022-12-24,9.24308
2022-12-25,8.87918
2022-12-26,13.68267
2022-12-27,11.3901
2022-12-28,11.42649
2022-12-29,20.08733
2022-12-30,11.53566
2022-12-31,9.60698
2023-01-01,10.04366
2023-01-02,12.08151
2023-01-03,12.8457
2023-01-04,11.28093
2023-01-05,12.55458
2023-01-06,13.71906
2023-01-07,10.29839
2023-01-08,13.31877
2023-01-09,14.15574
2023-01-10,12.51819
2023-01-11,12.66375
2023-01-12,12.59097
2023-01-13,13.02765
2023-01-14,10.11644
2023-01-15,9.24308
2023-01-16,13.9374
2023-01-17,11.79039
2023-01-18,11.68122
2023-01-19,12.59097
2023-01-20,10.98981
2023-01-21,11.06259
2023-01-22,14.22852
2023-01-23,14.77438
2023-01-24,12.95487
2023-01-25,14.37409
2023-01-26,11.06259
2023-01-27,13.28238
2023-01-28,11.53566
2023-01-29,12.55458
2023-01-30,15.13828
2023-01-31,14.19213
2023-02-01,13.17321
2023-02-02,13.10043
2023-02-03,12.08151
2023-02-04,10.73508
2023-02-05,9.78893
2023-02-06,14.26491
2023-02-07,15.39301
2023-02-08,14.01018
2023-02-09,14.99272
2023-02-10,17.43085
2023-02-11,10.88064
2023-02-12,13.9374
2023-02-13,19.14119
2023-02-14,16.55749
2023-02-15,14.41048
2023-02-16,15.0655
2023-02-17,14.15574
2023-02-18,13.13682
2023-02-19,10.29839
2023-02-20,15.24745
2023-02-21,11.86317
2023-02-22,13.50072
2023-02-23,13.13682
2023-02-24,12.95487
2023-02-25,11.46288
2023-02-26,8.95196
2023-02-27,10.6259
2023-02-28,10.95342
2023-03-01,9.67976
2023-03-02,11.93595
2023-03-03,11.20815
2023-03-04,9.60698
2023-03-05,10.40756
2023-03-06,12.04512
2023-03-07,11.97234
2023-03-08,10.66229
2023-03-09,12.4818
2023-03-10,10.91703
2023-03-11,8.84279
2023-03-12,9.64337
2023-03-13,12.08151
2023-03-14,14.08296
2023-03-15,12.40902
2023-03-16,11.89956
2023-03-17,12.73653
2023-03-18,11.28093
2023-03-19,8.8064
2023-03-20,12.55458
2023-03-21,12.80931
2023-03-22,11.93595
2023-03-23,11.64483
2023-03-24,11.93595
2023-03-25,9.8981
2023-03-26,9.20669
2023-03-27,14.44687
2023-03-28,12.4818
2023-03-29,10.37117
2023-03-30,11.79039
2023-03-31,9.86171
2023-04-01,7.45997
2023-04-02,7.38719
2023-04-03,11.82678
2023-04-04,12.4818
2023-04-05,11.3901
2023-04-06,10.66229
2023-04-07,11.42649
2023-04-08,7.89665
2023-04-09,8.00582
2023-04-10,10.95342
2023-04-11,10.95342
2023-04-12,10.91703
2023-04-13,12.04512
2023-04-14,12.26346
2023-04-15,9.24308
2023-04-16,9.8981
2023-04-17,12.22707
2023-04-18,12.66375
2023-04-19,13.31877
2023-04-20,12.51819
2023-04-21,11.13537
2023-04-22,9.1703
2023-04-23,7.75109
2023-04-24,11.57205
2023-04-25,10.77147
2023-04-26,11.20815
2023-04-27,10.80786
2023-04-28,9.60698
2023-04-29,9.09752
2023-04-30,8.11499
2023-05-01,9.67976
2023-05-02,10.95342
2023-05-03,9.97088
2023-05-04,11.20815
2023-05-05,9.24308
2023-05-06,10.48034
2023-05-07,10.00727
2023-05-08,12.33624
2023-05-09,14.66521
2023-05-10,12.37263
2023-05-11,12.55458
2023-05-12,14.11935
2023-05-13,8.66084
2023-05-14,10.00727
2023-05-15,14.44687
2023-05-16,13.50072
2023-05-17,13.24599
2023-05-18,12.44541
2023-05-19,11.49927
2023-05-20,9.38864
2023-05-21,9.38864
2023-05-22,14.77438
2023-05-23,13.17321
2023-05-24,11.82678
2023-05-25,13.10043
2023-05-26,11.93595
2023-05-27,10.33478
