date,국세완납증명서발급
2022-02-18,23.95721
2022-02-19,3.63636
2022-02-20,4.81283
2022-02-21,30.96256
2022-02-22,35.53475
2022-02-23,32.80748
2022-02-24,31.06951
2022-02-25,25.0
2022-02-26,4.78609
2022-02-27,5.53475
2022-02-28,28.877
2022-03-01,8.3155
2022-03-02,38.85026
2022-03-03,34.51871
2022-03-04,29.01069
2022-03-05,5.24064
2022-03-06,6.47058
2022-03-07,38.44919
2022-03-08,30.90909
2022-03-09,6.5508
2022-03-10,37.94117
2022-03-11,31.28342
2022-03-12,5.2139
2022-03-13,5.13368
2022-03-14,37.56684
2022-03-15,33.63636
2022-03-16,34.91978
2022-03-17,34.57219
2022-03-18,30.56149
2022-03-19,4.46524
2022-03-20,5.9893
2022-03-21,35.88235
2022-03-22,35.93582
2022-03-23,34.19786
2022-03-24,33.60962
2022-03-25,28.1016
2022-03-26,4.57219
2022-03-27,5.56149
2022-03-28,35.32085
2022-03-29,31.52406
2022-03-30,31.14973
2022-03-31,29.14438
2022-04-01,33.07486
2022-04-02,3.98395
2022-04-03,4.22459
2022-04-04,35.72192
2022-04-05,34.54545
2022-04-06,33.07486
2022-04-07,29.35828
2022-04-08,24.11764
2022-04-09,2.99465
2022-04-10,4.59893
2022-04-11,34.22459
2022-04-12,32.91443
2022-04-13,32.72727
2022-04-14,32.62032
2022-04-15,23.39572
2022-04-16,3.44919
2022-04-17,4.81283
2022-04-18,32.91443
2022-04-19,30.50802
2022-04-20,29.59893
2022-04-21,26.44385
2022-04-22,23.39572
2022-04-23,3.71657
2022-04-24,4.94652
2022-04-25,31.33689
2022-04-26,28.79679
2022-04-27,28.47593
2022-04-28,27.43315
2022-04-29,20.29411
2022-04-30,3.68983
2022-05-01,3.77005
2022-05-02,29.75935
2022-05-03,30.85561
2022-05-04,25.2139
2022-05-05,5.61497
2022-05-06,21.31016
2022-05-07,2.83422
2022-05-08,4.78609
2022-05-09,35.37433
2022-05-10,32.78074
2022-05-11,31.71122
2022-05-12,29.27807
2022-05-13,22.05882
2022-05-14,3.63636
2022-05-15,4.38502
2022-05-16,33.39572
2022-05-17,31.92513
2022-05-18,29.27807
2022-05-19,29.27807
2022-05-20,25.08021
2022-05-21,3.60962
2022-05-22,4.38502
2022-05-23,31.09625
2022-05-24,30.26737
2022-05-25,31.41711
2022-05-26,31.22994
2022-05-27,22.40641
2022-05-28,3.44919
2022-05-29,3.77005
2022-05-30,27.78074
2022-05-31,25.48128
2022-06-01,6.2032
2022-06-02,28.63636
2022-06-03,23.1016
2022-06-04,3.55614
2022-06-05,2.86096
2022-06-06,5.80213
2022-06-07,32.91443
2022-06-08,32.59358
2022-06-09,26.81818
2022-06-10,19.86631
2022-06-11,3.44919
2022-06-12,4.41176
2022-06-13,28.60962
2022-06-14,27.59358
2022-06-15,26.33689
2022-06-16,28.34224
2022-06-17,22.64705
2022-06-18,3.93048
2022-06-19,5.02673
2022-06-20,34.54545
2022-06-21,30.90909
2022-06-22,29.73262
2022-06-23,26.33689
2022-06-24,22.16577
2022-06-25,3.55614
2022-06-26,4.30481
2022-06-27,28.90374
2022-06-28,26.81818
