date,스캘핑
2023-04-16,1.8219
2023-04-17,2.45649
2023-04-18,2.21084
2023-04-19,5.71136
2023-04-20,4.29887
2023-04-21,3.35721
2023-04-22,2.14943
2023-04-23,1.65813
2023-04-24,3.11156
2023-04-25,2.76356
2023-04-26,3.27533
2023-04-27,2.98874
2023-04-28,3.2958
2023-04-29,2.02661
2023-04-30,1.92425
2023-05-01,1.6786
2023-05-02,2.25179
2023-05-03,2.21084
2023-05-04,2.1699
2023-05-05,2.06755
2023-05-06,2.00614
2023-05-07,1.65813
2023-05-08,2.35414
2023-05-09,1.88331
2023-05-10,2.21084
2023-05-11,2.55885
2023-05-12,2.45649
2023-05-13,1.59672
2023-05-14,1.47389
2023-05-15,2.14943
2023-05-16,2.8045
2023-05-17,2.6612
2023-05-18,2.86591
2023-05-19,2.23132
2023-05-20,1.80143
2023-05-21,1.65813
2023-05-22,1.96519
2023-05-23,2.12896
2023-05-24,2.47697
2023-05-25,2.14943
2023-05-26,2.59979
2023-05-27,1.08495
