date,공매도
2021-10-03,0.22196
2021-10-04,0.74029
2021-10-05,0.94148
2021-10-06,3.31309
2021-10-07,2.73264
2021-10-08,1.37353
2021-10-09,0.73987
2021-10-10,0.66948
2021-10-11,0.48653
2021-10-12,1.75109
2021-10-13,1.6593
2021-10-14,0.93363
2021-10-15,0.5974
2021-10-16,0.45028
2021-10-17,0.56285
2021-10-18,0.57006
2021-10-19,0.49077
2021-10-20,0.5054
2021-10-21,0.4401
2021-10-22,0.40237
2021-10-23,0.2175
2021-10-24,0.24082
2021-10-25,0.43841
2021-10-26,0.40449
2021-10-27,0.60249
2021-10-28,0.67224
2021-10-29,0.86176
2021-10-30,0.39622
2021-10-31,0.25842
2021-11-01,0.69831
2021-11-02,0.74623
2021-11-03,0.65401
2021-11-04,0.58384
2021-11-05,0.54801
2021-11-06,0.21369
2021-11-07,0.18846
2021-11-08,0.51706
2021-11-09,0.5425
2021-11-10,0.62369
2021-11-11,0.59613
2021-11-12,0.39219
2021-11-13,0.20351
2021-11-14,0.23425
2021-11-15,0.40639
2021-11-16,0.37035
2021-11-17,0.47551
2021-11-18,0.48759
2021-11-19,0.36633
2021-11-20,0.28026
2021-11-21,0.18104
2021-11-22,0.3252
2021-11-23,0.37205
2021-11-24,0.38604
2021-11-25,0.41975
2021-11-26,0.53465
2021-11-27,0.22471
2021-11-28,0.16302
2021-11-29,0.37523
2021-11-30,0.93088
2021-12-01,0.7087
2021-12-02,0.50624
2021-12-03,0.29086
2021-12-04,0.15899
2021-12-05,0.30527
2021-12-06,0.42929
2021-12-07,0.46024
2021-12-08,0.36336
2021-12-09,0.37375
2021-12-10,0.29425
2021-12-11,0.15815
2021-12-12,0.14543
2021-12-13,0.25672
2021-12-14,0.25482
2021-12-15,0.26308
2021-12-16,0.27644
2021-12-17,0.24803
2021-12-18,0.1238
2021-12-19,0.12126
2021-12-20,0.23234
2021-12-21,0.23489
2021-12-22,0.23319
2021-12-23,0.24273
2021-12-24,0.19779
2021-12-25,0.14861
2021-12-26,0.15285
2021-12-27,0.2527
2021-12-28,0.31036
2021-12-29,0.2775
2021-12-30,0.26605
2021-12-31,0.152
2022-01-01,0.14097
2022-01-02,0.17934
2022-01-03,0.25524
2022-01-04,0.30294
2022-01-05,0.37184
2022-01-06,0.46703
2022-01-07,0.37968
2022-01-08,0.19906
2022-01-09,0.17998
2022-01-10,0.35339
2022-01-11,0.38095
2022-01-12,0.32435
2022-01-13,0.39728
2022-01-14,0.41636
2022-01-15,0.20182
2022-01-16,0.15963
2022-01-17,0.79244
2022-01-18,0.62602
2022-01-19,0.45431
2022-01-20,0.33601
2022-01-21,0.3623
2022-01-22,0.19079
2022-01-23,0.14649
2022-01-24,0.57345
2022-01-25,1.18442
2022-01-26,0.80707
2022-01-27,1.3625
2022-01-28,0.78142
2022-01-29,0.23786
2022-01-30,0.63938
2022-01-31,0.25333
2022-02-01,0.25609
2022-02-02,0.18549
2022-02-03,0.53635
2022-02-04,0.41297
2022-02-05,0.297
2022-02-06,0.35806
2022-02-07,0.45876
2022-02-08,0.47572
2022-02-09,0.37735
2022-02-10,0.4577
2022-02-11,0.41233
2022-02-12,0.17298
2022-02-13,0.42335
2022-02-14,0.47254
2022-02-15,0.48398
2022-02-16,0.35954
2022-02-17,0.36124
2022-02-18,0.25588
2022-02-19,0.14712
2022-02-20,0.18867
2022-02-21,0.54334
2022-02-22,0.39643
2022-02-23,0.31948
2022-02-24,0.49882
2022-02-25,0.32562
2022-02-26,0.16853
2022-02-27,0.20033
2022-02-28,0.23298
2022-03-01,0.21814
2022-03-02,0.23658
2022-03-03,0.22386
2022-03-04,0.27792
2022-03-05,0.14119
2022-03-06,0.15242
2022-03-07,0.28344
2022-03-08,0.2722
2022-03-09,0.13758
2022-03-10,0.38901
2022-03-11,0.76891
2022-03-12,0.34089
2022-03-13,0.25694
2022-03-14,0.72121
2022-03-15,0.50603
2022-03-16,0.38901
2022-03-17,0.31375
2022-03-18,0.25227
2022-03-19,0.15581
2022-03-20,0.16599
2022-03-21,0.26923
2022-03-22,0.26287
2022-03-23,0.29234
2022-03-24,0.29637
2022-03-25,0.31566
2022-03-26,0.2281
2022-03-27,0.17701
2022-03-28,0.26775
2022-03-29,0.24994
2022-03-30,0.28746
2022-03-31,0.24824
2022-04-01,0.23086
2022-04-02,0.12953
2022-04-03,0.11172
2022-04-04,0.26202
2022-04-05,0.49077
2022-04-06,0.41085
2022-04-07,0.41403
2022-04-08,0.41487
2022-04-09,0.25164
2022-04-10,0.15687
2022-04-11,0.27178
2022-04-12,0.32117
2022-04-13,0.28725
2022-04-14,0.2775
2022-04-15,0.23531
2022-04-16,0.11871
2022-04-17,0.10578
2022-04-18,0.28365
2022-04-19,0.29255
2022-04-20,0.25227
2022-04-21,0.24909
2022-04-22,0.2493
2022-04-23,0.15963
2022-04-24,0.31714
2022-04-25,0.51727
2022-04-26,0.48229
2022-04-27,0.61839
2022-04-28,0.39685
2022-04-29,0.27898
2022-04-30,0.13801
2022-05-01,0.14119
2022-05-02,0.29594
2022-05-03,0.33898
2022-05-04,0.34873
2022-05-05,0.33431
2022-05-06,0.37438
2022-05-07,0.17489
2022-05-08,0.15518
2022-05-09,0.34979
2022-05-10,0.33686
2022-05-11,0.51663
2022-05-12,0.77124
2022-05-13,0.55606
2022-05-14,0.40491
2022-05-15,0.23277
2022-05-16,0.45134
2022-05-17,0.37714
2022-05-18,0.43968
2022-05-19,0.38731
2022-05-20,0.27008
2022-05-21,0.15369
2022-05-22,0.16726
2022-05-23,0.2845
2022-05-24,0.37438
2022-05-25,0.37247
2022-05-26,0.28344
2022-05-27,0.26012
2022-05-28,0.17002
2022-05-29,0.15433
2022-05-30,0.25354
2022-05-31,0.2881
2022-06-01,0.26542
2022-06-02,0.27559
2022-06-03,0.21136
2022-06-04,0.12592
2022-06-05,0.11744
2022-06-06,0.12189
2022-06-07,0.26436
2022-06-08,0.28004
2022-06-09,0.41784
2022-06-10,0.43205
2022-06-11,0.26478
2022-06-12,0.19779
2022-06-13,0.70171
2022-06-14,0.62602
2022-06-15,1.08097
2022-06-16,0.63217
2022-06-17,0.87364
2022-06-18,0.25015
2022-06-19,0.23107
2022-06-20,1.46405
2022-06-21,0.57281
2022-06-22,1.79349
2022-06-23,2.24759
2022-06-24,1.2105
2022-06-25,0.76976
2022-06-26,0.67139
2022-06-27,1.04451
2022-06-28,1.33007
2022-06-29,1.18676
2022-06-30,1.57747
2022-07-01,2.35613
2022-07-02,0.90607
2022-07-03,0.58765
2022-07-04,2.28236
2022-07-05,1.1151
2022-07-06,1.55902
2022-07-07,0.83548
2022-07-08,0.49607
2022-07-09,0.36866
2022-07-10,0.36251
2022-07-11,2.91814
2022-07-12,2.96139
2022-07-13,1.83928
2022-07-14,1.42631
2022-07-15,1.62983
2022-07-16,0.74029
2022-07-17,0.78841
2022-07-18,1.39176
2022-07-19,1.23615
2022-07-20,0.99829
2022-07-21,0.78863
2022-07-22,0.75216
2022-07-23,0.46703
2022-07-24,0.47127
2022-07-25,1.3625
2022-07-26,1.25693
2022-07-27,1.46468
2022-07-28,5.41292
2022-07-29,2.59039
