date,금값
2022-03-17,7.07339
2022-03-18,6.28814
2022-03-19,4.1552
2022-03-20,3.36125
2022-03-21,5.42524
2022-03-22,5.4608
2022-03-23,5.03697
2022-03-24,5.33271
2022-03-25,5.46153
2022-03-26,3.38447
2022-03-27,3.09744
2022-03-28,5.07072
2022-03-29,5.04169
2022-03-30,5.24381
2022-03-31,4.59645
2022-04-01,4.54093
2022-04-02,2.83146
2022-04-03,2.50996
2022-04-04,4.25608
2022-04-05,4.16464
2022-04-06,3.99917
2022-04-07,3.9734
2022-04-08,3.75097
2022-04-09,2.56983
2022-04-10,2.29006
2022-04-11,4.34607
2022-04-12,4.69007
2022-04-13,4.42808
2022-04-14,4.3878
2022-04-15,4.32139
2022-04-16,2.7763
2022-04-17,2.45153
2022-04-18,4.98581
2022-04-19,4.90344
2022-04-20,4.80474
2022-04-21,4.43788
2022-04-22,4.27785
2022-04-23,2.8398
2022-04-24,2.79082
2022-04-25,4.92376
2022-04-26,4.54311
2022-04-27,5.09612
2022-04-28,4.65923
2022-04-29,4.18858
2022-04-30,2.81477
2022-05-01,2.51104
2022-05-02,4.2187
2022-05-03,4.32611
2022-05-04,3.9734
2022-05-05,2.85686
2022-05-06,4.3653
2022-05-07,2.67905
2022-05-08,2.44065
2022-05-09,4.48251
2022-05-10,4.64616
2022-05-11,4.41538
2022-05-12,5.6709
2022-05-13,4.68281
2022-05-14,2.85468
2022-05-15,2.28824
2022-05-16,4.28475
2022-05-17,4.02493
2022-05-18,3.77782
2022-05-19,3.95236
2022-05-20,3.61416
2022-05-21,2.37969
2022-05-22,2.07197
2022-05-23,3.60038
2022-05-24,3.62759
2022-05-25,3.65227
2022-05-26,3.5474
2022-05-27,3.23315
2022-05-28,2.18555
2022-05-29,2.0629
2022-05-30,3.52236
2022-05-31,3.6646
2022-06-01,2.56765
2022-06-02,3.3304
2022-06-03,3.29702
2022-06-04,2.20732
2022-06-05,1.97618
2022-06-06,2.23889
2022-06-07,3.34564
2022-06-08,3.43527
2022-06-09,3.47301
2022-06-10,3.53288
2022-06-11,2.79626
2022-06-12,2.75961
2022-06-13,6.56211
2022-06-14,6.46014
2022-06-15,5.33452
2022-06-16,5.03008
2022-06-17,5.33779
2022-06-18,3.1711
2022-06-19,2.88262
2022-06-20,5.40057
2022-06-21,4.37365
2022-06-22,5.00141
2022-06-23,5.668
2022-06-24,4.73615
2022-06-25,2.81114
2022-06-26,2.80061
2022-06-27,4.65632
2022-06-28,4.16681
2022-06-29,3.96796
2022-06-30,3.83261
2022-07-01,3.9676
2022-07-02,2.66962
2022-07-03,2.46061
2022-07-04,4.27495
2022-07-05,4.12
2022-07-06,7.34663
2022-07-07,5.51414
2022-07-08,4.77462
2022-07-09,2.95665
2022-07-10,2.63043
2022-07-11,4.38345
2022-07-12,4.82687
2022-07-13,4.78224
2022-07-14,4.5754
2022-07-15,4.86134
2022-07-16,3.06043
2022-07-17,2.80569
2022-07-18,4.35804
2022-07-19,4.19911
2022-07-20,4.15484
2022-07-21,4.19512
2022-07-22,4.1269
2022-07-23,2.50379
2022-07-24,2.16451
2022-07-25,6.96779
2022-07-26,8.68235
2022-07-27,4.62112
2022-07-28,4.2481
2022-07-29,3.85765
2022-07-30,2.61482
2022-07-31,2.3111
2022-08-01,4.1298
2022-08-02,4.06158
2022-08-03,3.82935
