date,메지온주가
2022-01-12,10.15064
2022-01-13,8.43305
2022-01-14,7.12727
2022-01-15,1.05237
2022-01-16,0.90102
2022-01-17,7.19062
2022-01-18,6.80698
2022-01-19,6.83162
2022-01-20,7.32085
2022-01-21,7.27157
2022-01-22,1.08052
2022-01-23,0.97142
2022-01-24,7.90511
2022-01-25,7.01112
2022-01-26,7.01112
2022-01-27,6.72251
2022-01-28,7.08855
2022-01-29,0.99253
2022-01-30,0.68281
2022-01-31,0.5385
2022-02-01,0.61241
2022-02-02,0.86935
2022-02-03,7.63761
2022-02-04,6.35646
2022-02-05,0.98197
2022-02-06,0.84119
2022-02-07,7.57778
2022-02-08,7.2223
2022-02-09,7.37012
2022-02-10,7.63057
2022-02-11,7.38068
2022-02-12,2.29832
2022-02-13,1.4712
2022-02-14,11.06574
2022-02-15,8.7639
2022-02-16,8.79205
2022-02-17,8.11276
2022-02-18,6.94424
2022-02-19,0.99957
2022-02-20,0.8799
2022-02-21,7.07447
2022-02-22,5.90243
2022-02-23,6.53245
2022-02-24,6.85977
2022-02-25,6.68379
2022-02-26,0.97494
2022-02-27,0.75672
2022-02-28,6.71899
2022-03-01,1.13332
2022-03-02,6.73307
2022-03-03,7.81008
2022-03-04,7.25045
2022-03-05,0.83415
2022-03-06,0.7532
2022-03-07,6.47613
2022-03-08,7.06391
2022-03-09,0.8799
2022-03-10,7.44755
2022-03-11,6.91609
2022-03-12,0.97494
2022-03-13,0.87639
2022-03-14,22.03998
2022-03-15,14.21582
2022-03-16,14.66281
2022-03-17,10.99535
2022-03-18,9.64029
2022-03-19,1.7035
2022-03-20,1.19315
2022-03-21,55.90243
2022-03-22,100.0
2022-03-23,60.94607
2022-03-24,38.68083
2022-03-25,39.48683
2022-03-26,6.5606
2022-03-27,5.47303
2022-03-28,26.26355
2022-03-29,26.49936
2022-03-30,29.80782
2022-03-31,23.55342
2022-04-01,21.2023
2022-04-02,3.49852
2022-04-03,2.96705
2022-04-04,23.26833
2022-04-05,39.54667
2022-04-06,19.42137
2022-04-07,15.69055
2022-04-08,17.69674
2022-04-09,3.35069
2022-04-10,2.54469
2022-04-11,14.40236
2022-04-12,12.08996
2022-04-13,13.72307
2022-04-14,12.56863
2022-04-15,11.04814
2022-04-16,1.92524
2022-04-17,1.67182
2022-04-18,10.84752
2022-04-19,12.03364
2022-04-20,10.35477
2022-04-21,10.68914
2022-04-22,9.06659
2022-04-23,1.52752
2022-04-24,1.49232
2022-04-25,12.73757
2022-04-26,11.45994
2022-04-27,9.93242
2022-04-28,10.34422
2022-04-29,11.15021
2022-04-30,1.4712
2022-05-01,1.20019
2022-05-02,8.95396
2022-05-03,7.85583
2022-05-04,7.58834
2022-05-05,1.24595
2022-05-06,8.02477
2022-05-07,1.13332
2022-05-08,0.93622
2022-05-09,7.28917
2022-05-10,7.05687
2022-05-11,7.5461
2022-05-12,7.1871
2022-05-13,8.77094
2022-05-14,1.13332
2022-05-15,0.93622
2022-05-16,8.92932
2022-05-17,7.73968
2022-05-18,8.25003
2022-05-19,7.29621
2022-05-20,8.33098
2022-05-21,1.1122
2022-05-22,0.84471
2022-05-23,7.42291
2022-05-24,6.45149
2022-05-25,8.67239
2022-05-26,7.75024
2022-05-27,7.49683
2022-05-28,1.80205
2022-05-29,1.53456
2022-05-30,8.53864
2022-05-31,6.71195
2022-06-01,1.34802
2022-06-02,6.5958
2022-06-03,5.72645
2022-06-04,0.81655
2022-06-05,0.82359
2022-06-06,0.83063
2022-06-07,5.72645
2022-06-08,6.14529
2022-06-09,5.93059
2022-06-10,5.09643
2022-06-11,0.95734
2022-06-12,0.94326
2022-06-13,5.81796
2022-06-14,5.7898
2022-06-15,5.1985
2022-06-16,5.58918
2022-06-17,5.02604
2022-06-18,0.62649
2022-06-19,0.57018
2022-06-20,4.91341
2022-06-21,5.76868
2022-06-22,4.86414
2022-06-23,5.45544
2022-06-24,5.04012
2022-06-25,0.61241
2022-06-26,0.51738
2022-06-27,6.69787
2022-06-28,5.47655
2022-06-29,4.72687
2022-06-30,4.94157
2022-07-01,4.69519
2022-07-02,0.50682
2022-07-03,0.43291
2022-07-04,5.53639
2022-07-05,10.68914
2022-07-06,8.20779
2022-07-07,7.25749
2022-07-08,6.53949
2022-07-09,0.89398
2022-07-10,0.70744
2022-07-11,7.19414
2022-07-12,5.80388
2022-07-13,7.28213
2022-07-14,6.49725
2022-07-15,13.77586
2022-07-16,3.35069
2022-07-17,2.61157
2022-07-18,14.68041
2022-07-19,11.78727
