date,근저당설정비용
2021-12-16,65.41353
2021-12-17,66.91729
2021-12-18,31.95488
2021-12-19,32.33082
2021-12-20,65.78947
2021-12-21,66.16541
2021-12-22,60.15037
2021-12-23,65.41353
2021-12-24,56.01503
2021-12-25,21.42857
2021-12-26,27.4436
2021-12-27,64.28571
2021-12-28,65.78947
2021-12-29,66.91729
2021-12-30,53.00751
2021-12-31,40.6015
2022-01-01,28.94736
2022-01-02,25.18796
2022-01-03,62.78195
2022-01-04,71.05263
2022-01-05,60.52631
2022-01-06,63.53383
2022-01-07,55.63909
2022-01-08,39.84962
2022-01-09,34.21052
2022-01-10,75.93984
2022-01-11,61.65413
2022-01-12,60.15037
2022-01-13,76.69172
2022-01-14,49.62406
2022-01-15,27.81954
2022-01-16,19.54887
2022-01-17,51.12781
2022-01-18,53.75939
2022-01-19,66.54135
2022-01-20,62.78195
2022-01-21,56.01503
2022-01-22,36.8421
2022-01-23,39.47368
2022-01-24,63.90977
2022-01-25,66.91729
2022-01-26,47.74436
2022-01-27,48.1203
2022-01-28,36.46616
2022-01-29,25.18796
2022-01-30,16.91729
2022-01-31,18.79699
2022-02-01,17.29323
2022-02-02,22.93233
2022-02-03,49.24812
2022-02-04,54.88721
2022-02-05,32.70676
2022-02-06,28.19548
2022-02-07,64.66165
2022-02-08,66.16541
2022-02-09,59.39849
2022-02-10,69.17293
2022-02-11,50.75187
2022-02-12,32.70676
2022-02-13,34.21052
2022-02-14,66.91729
2022-02-15,60.15037
2022-02-16,65.78947
2022-02-17,56.39097
2022-02-18,55.63909
2022-02-19,31.57894
2022-02-20,29.3233
2022-02-21,66.54135
2022-02-22,68.42105
2022-02-23,59.39849
2022-02-24,54.88721
2022-02-25,56.01503
2022-02-26,26.69172
2022-02-27,24.06015
2022-02-28,43.98496
2022-03-01,23.30827
2022-03-02,48.49624
2022-03-03,45.11278
2022-03-04,50.37593
2022-03-05,27.4436
2022-03-06,19.54887
2022-03-07,51.50375
2022-03-08,53.00751
2022-03-09,29.3233
2022-03-10,46.61654
2022-03-11,56.01503
2022-03-12,22.18045
2022-03-13,22.55639
2022-03-14,49.24812
2022-03-15,68.42105
2022-03-16,53.75939
2022-03-17,62.78195
2022-03-18,46.61654
2022-03-19,25.18796
2022-03-20,25.93984
2022-03-21,57.51879
2022-03-22,65.03759
2022-03-23,51.87969
2022-03-24,60.52631
2022-03-25,50.0
2022-03-26,22.93233
2022-03-27,29.69924
2022-03-28,51.12781
2022-03-29,58.64661
2022-03-30,53.00751
2022-03-31,50.0
2022-04-01,42.85714
2022-04-02,28.94736
2022-04-03,26.69172
2022-04-04,45.11278
2022-04-05,70.30075
2022-04-06,61.27819
2022-04-07,58.64661
2022-04-08,58.64661
2022-04-09,26.31578
2022-04-10,19.54887
2022-04-11,63.53383
2022-04-12,60.52631
2022-04-13,67.29323
2022-04-14,65.78947
2022-04-15,65.78947
2022-04-16,34.21052
2022-04-17,29.69924
2022-04-18,66.16541
2022-04-19,59.39849
2022-04-20,80.07518
2022-04-21,74.81203
2022-04-22,51.50375
2022-04-23,29.3233
2022-04-24,35.33834
2022-04-25,69.17293
2022-04-26,60.15037
2022-04-27,64.66165
2022-04-28,70.67669
2022-04-29,57.14285
2022-04-30,36.09022
2022-05-01,28.19548
2022-05-02,81.95488
2022-05-03,65.03759
2022-05-04,69.92481
2022-05-05,31.95488
2022-05-06,45.86466
2022-05-07,31.57894
2022-05-08,30.45112
2022-05-09,80.45112
2022-05-10,83.83458
2022-05-11,77.06766
2022-05-12,66.91729
2022-05-13,58.64661
2022-05-14,36.46616
2022-05-15,29.69924
2022-05-16,84.21052
2022-05-17,68.42105
2022-05-18,64.66165
2022-05-19,68.42105
2022-05-20,47.36842
2022-05-21,29.3233
2022-05-22,29.3233
2022-05-23,75.5639
2022-05-24,76.31578
2022-05-25,64.28571
2022-05-26,68.79699
2022-05-27,58.27067
2022-05-28,24.43609
2022-05-29,35.71428
2022-05-30,64.66165
2022-05-31,63.90977
2022-06-01,40.6015
2022-06-02,64.28571
2022-06-03,59.02255
2022-06-04,34.58646
2022-06-05,20.67669
2022-06-06,24.06015
2022-06-07,56.76691
2022-06-08,65.78947
2022-06-09,63.53383
2022-06-10,59.77443
2022-06-11,30.82706
2022-06-12,23.68421
2022-06-13,72.18045
2022-06-14,80.82706
2022-06-15,60.15037
2022-06-16,65.41353
2022-06-17,60.90225
2022-06-18,32.70676
2022-06-19,30.45112
2022-06-20,78.19548
2022-06-21,68.04511
2022-06-22,78.57142
2022-06-23,69.54887
2022-06-24,53.75939
2022-06-25,37.96992
2022-06-26,27.4436
2022-06-27,69.54887
2022-06-28,66.16541
2022-06-29,63.53383
2022-06-30,53.75939
2022-07-01,55.63909
2022-07-02,28.19548
2022-07-03,29.69924
2022-07-04,74.43609
2022-07-05,62.40601
2022-07-06,60.15037
2022-07-07,63.90977
2022-07-08,52.25563
2022-07-09,27.81954
2022-07-10,31.203
2022-07-11,52.63157
2022-07-12,77.4436
2022-07-13,58.27067
2022-07-14,63.53383
2022-07-15,63.15789
2022-07-16,32.70676
2022-07-17,31.203
2022-07-18,66.16541
2022-07-19,76.31578
2022-07-20,66.91729
2022-07-21,67.66917
2022-07-22,48.1203
2022-07-23,33.45864
2022-07-24,28.19548
2022-07-25,71.05263
2022-07-26,64.28571
2022-07-27,63.90977
2022-07-28,58.27067
2022-07-29,48.87218
2022-07-30,28.94736
2022-07-31,27.06766
2022-08-01,69.92481
2022-08-02,64.66165
2022-08-03,59.02255
2022-08-04,48.87218
2022-08-05,56.01503
2022-08-06,26.31578
2022-08-07,20.30075
2022-08-08,64.28571
2022-08-09,51.12781
2022-08-10,64.28571
2022-08-11,60.15037
2022-08-12,43.23308
2022-08-13,23.30827
2022-08-14,30.45112
2022-08-15,27.06766
2022-08-16,59.39849
2022-08-17,63.53383
2022-08-18,62.78195
2022-08-19,55.26315
2022-08-20,29.3233
2022-08-21,30.82706
2022-08-22,62.78195
2022-08-23,50.0
2022-08-24,59.39849
2022-08-25,65.78947
2022-08-26,51.12781
2022-08-27,23.30827
2022-08-28,18.04511
2022-08-29,65.03759
2022-08-30,65.03759
2022-08-31,61.27819
2022-09-01,56.01503
2022-09-02,55.63909
2022-09-03,24.06015
2022-09-04,21.05263
2022-09-05,43.60902
2022-09-06,48.87218
2022-09-07,46.99248
2022-09-08,36.8421
2022-09-09,12.40601
2022-09-10,15.41353
2022-09-11,21.80451
2022-09-12,25.93984
2022-09-13,74.43609
2022-09-14,62.78195
2022-09-15,72.93233
2022-09-16,60.52631
2022-09-17,30.82706
2022-09-18,28.94736
2022-09-19,58.27067
2022-09-20,60.15037
2022-09-21,62.03007
