date,엔환율
2023-03-02,15.85122
2023-03-03,16.57868
2023-03-04,5.98223
2023-03-05,5.32719
2023-03-06,13.18279
2023-03-07,11.91779
2023-03-08,11.30138
2023-03-09,11.26436
2023-03-10,12.80941
2023-03-11,7.06537
2023-03-12,6.07557
2023-03-13,18.819
2023-03-14,16.57224
2023-03-15,17.10818
2023-03-16,21.95416
2023-03-17,20.3898
2023-03-18,8.73434
2023-03-19,7.15711
2023-03-20,25.38062
2023-03-21,24.27173
2023-03-22,19.91985
2023-03-23,23.1226
2023-03-24,19.6736
2023-03-25,9.23327
2023-03-26,6.88994
2023-03-27,19.63498
2023-03-28,17.42363
2023-03-29,19.30987
2023-03-30,19.28573
2023-03-31,21.1237
2023-04-01,6.67911
2023-04-02,5.85669
2023-04-03,16.55937
2023-04-04,15.63234
2023-04-05,17.6232
2023-04-06,24.37473
2023-04-07,22.2857
2023-04-08,8.24347
2023-04-09,6.74027
2023-04-10,19.59313
2023-04-11,21.06254
2023-04-12,16.25519
2023-04-13,20.47188
2023-04-14,22.51907
2023-04-15,9.12865
2023-04-16,7.24723
2023-04-17,18.17523
2023-04-18,14.31583
2023-04-19,14.09212
2023-04-20,14.69404
2023-04-21,13.30511
2023-04-22,6.07557
2023-04-23,5.42376
2023-04-24,14.71497
2023-04-25,14.30295
2023-04-26,19.57382
2023-04-27,18.53896
2023-04-28,23.2755
2023-04-29,9.44893
2023-04-30,6.69037
2023-05-01,11.96124
2023-05-02,26.72288
2023-05-03,16.40003
2023-05-04,15.4553
2023-05-05,7.57717
2023-05-06,6.90282
2023-05-07,6.04017
2023-05-08,18.76106
2023-05-09,15.48427
2023-05-10,14.31422
2023-05-11,13.37432
2023-05-12,12.39418
2023-05-13,5.99188
2023-05-14,5.34489
2023-05-15,16.22622
2023-05-16,14.17742
2023-05-17,17.75839
2023-05-18,23.69234
2023-05-19,25.31786
2023-05-20,9.23166
2023-05-21,6.69198
2023-05-22,24.87687
2023-05-23,34.86335
2023-05-24,22.29697
2023-05-25,24.18965
2023-05-26,21.31039
2023-05-27,11.44944
2023-05-28,8.07126
