date,인공지능
2021-05-24,86.23165
2021-05-25,87.29316
2021-05-26,85.57602
2021-05-27,80.7368
2021-05-28,74.21167
2021-05-29,40.27474
2021-05-30,56.97783
2021-05-31,75.99125
2021-06-01,64.00249
2021-06-02,55.01092
2021-06-03,52.10739
2021-06-04,65.12644
2021-06-05,45.67592
2021-06-06,50.51514
2021-06-07,64.84545
2021-06-08,69.15391
2021-06-09,72.52575
2021-06-10,77.05276
2021-06-11,64.75179
2021-06-12,36.02872
2021-06-13,48.2048
2021-06-14,64.40836
2021-06-15,69.84077
2021-06-16,63.5654
2021-06-17,64.12738
2021-06-18,57.19637
2021-06-19,24.28972
2021-06-20,29.3787
2021-06-21,50.39025
2021-06-22,42.61629
2021-06-23,38.02684
2021-06-24,35.59163
2021-06-25,28.50452
2021-06-26,14.23665
2021-06-27,15.32937
2021-06-28,28.09865
2021-06-29,26.28785
2021-06-30,23.88385
2021-07-01,29.2226
2021-07-02,27.31813
2021-07-03,15.54792
2021-07-04,21.07399
2021-07-05,42.46019
2021-07-06,44.5832
2021-07-07,53.60599
2021-07-08,67.74898
2021-07-09,60.256
2021-07-10,23.66531
2021-07-11,38.33905
2021-07-12,68.71682
2021-07-13,75.24196
2021-07-14,65.50109
2021-07-15,57.91445
2021-07-16,44.89541
2021-07-17,17.79581
2021-07-18,19.82516
2021-07-19,30.78364
2021-07-20,31.1895
2021-07-21,32.31345
2021-07-22,48.89166
2021-07-23,48.26724
2021-07-24,28.50452
2021-07-25,20.10615
2021-07-26,23.00967
2021-07-27,23.44676
2021-07-28,20.57446
2021-07-29,19.98126
2021-07-30,20.73056
2021-07-31,14.64252
2021-08-01,16.82797
2021-08-02,21.79206
2021-08-03,24.07118
2021-08-04,22.6038
2021-08-05,21.94817
2021-08-06,20.07492
2021-08-07,15.61036
2021-08-08,16.89041
2021-08-09,22.6038
2021-08-10,22.82235
2021-08-11,24.88292
2021-08-12,26.44395
2021-08-13,22.85357
2021-08-14,15.20449
2021-08-15,16.4221
2021-08-16,22.94723
2021-08-17,34.3428
2021-08-18,34.81111
2021-08-19,37.74586
2021-08-20,38.68248
2021-08-21,18.2329
2021-08-22,27.59912
2021-08-23,53.63721
2021-08-24,46.76865
2021-08-25,47.36184
2021-08-26,49.1102
2021-08-27,40.86793
2021-08-28,17.73337
2021-08-29,24.72681
2021-08-30,43.33437
2021-08-31,45.86325
2021-09-01,51.92007
2021-09-02,56.94661
2021-09-03,46.36278
2021-09-04,27.59912
2021-09-05,35.43552
2021-09-06,56.04121
2021-09-07,64.06493
2021-09-08,58.60131
2021-09-09,54.10552
2021-09-10,55.66656
2021-09-11,32.34467
2021-09-12,42.58507
2021-09-13,66.25039
2021-09-14,66.03184
2021-09-15,55.19825
2021-09-16,62.53512
2021-09-17,43.05338
2021-09-18,18.10802
2021-09-19,20.35591
2021-09-20,18.35778
2021-09-21,18.95098
2021-09-22,29.3787
2021-09-23,46.08179
2021-09-24,38.08929
2021-09-25,21.94817
2021-09-26,33.68716
2021-09-27,55.22947
2021-09-28,49.95316
2021-09-29,50.23415
2021-09-30,47.48673
2021-10-01,37.02778
2021-10-02,20.10615
2021-10-03,22.57258
2021-10-04,29.90945
2021-10-05,47.64283
2021-10-06,44.92663
2021-10-07,44.05245
2021-10-08,38.43271
2021-10-09,24.1024
2021-10-10,26.22541
2021-10-11,34.46768
2021-10-12,48.29847
2021-10-13,49.23509
2021-10-14,53.48111
2021-10-15,50.32781
2021-10-16,28.41086
2021-10-17,35.87261
2021-10-18,56.82172
2021-10-19,57.47736
2021-10-20,57.35248
2021-10-21,66.43771
2021-10-22,55.82266
2021-10-23,30.81486
2021-10-24,41.64845
2021-10-25,56.38463
2021-10-26,65.75085
2021-10-27,59.16328
2021-10-28,60.88042
2021-10-29,54.35529
2021-10-30,32.75054
2021-10-31,42.61629
2021-11-01,59.22572
2021-11-02,64.06493
2021-11-03,57.94567
2021-11-04,55.26069
2021-11-05,48.32969
2021-11-06,27.16203
2021-11-07,33.87449
2021-11-08,55.32313
2021-11-09,56.00999
2021-11-10,45.92569
2021-11-11,46.17546
2021-11-12,42.74118
2021-11-13,23.60287
2021-11-14,30.2841
2021-11-15,49.73462
2021-11-16,49.82828
2021-11-17,41.71089
2021-11-18,40.46206
2021-11-19,51.98251
2021-11-20,33.87449
2021-11-21,44.42709
2021-11-22,55.63534
2021-11-23,58.133
2021-11-24,54.72994
2021-11-25,58.07055
2021-11-26,49.67218
2021-11-27,28.37964
2021-11-28,44.5832
2021-11-29,73.11895
2021-11-30,69.71589
2021-12-01,57.91445
2021-12-02,54.32407
2021-12-03,46.73743
2021-12-04,26.38151
2021-12-05,38.83858
2021-12-06,52.04495
2021-12-07,48.64189
2021-12-08,43.33437
2021-12-09,48.98532
2021-12-10,43.58413
2021-12-11,29.28504
2021-12-12,37.37121
2021-12-13,53.20012
2021-12-14,51.45176
2021-12-15,48.23602
2021-12-16,51.13955
2021-12-17,47.33062
2021-12-18,32.62566
2021-12-19,41.67967
2021-12-20,61.47361
2021-12-21,54.88604
2021-12-22,52.63815
2021-12-23,48.45457
2021-12-24,35.34186
2021-12-25,15.17327
2021-12-26,26.6625
2021-12-27,45.80081
2021-12-28,39.43178
2021-12-29,41.55479
2021-12-30,33.53106
2021-12-31,21.76084
2022-01-01,16.17233
2022-01-02,18.57633
2022-01-03,29.47236
2022-01-04,30.19044
2022-01-05,25.13268
2022-01-06,24.97658
2022-01-07,23.47798
2022-01-08,18.8261
2022-01-09,18.35778
2022-01-10,23.25944
2022-01-11,23.97752
2022-01-12,21.23009
2022-01-13,22.26038
2022-01-14,21.26131
2022-01-15,15.61036
2022-01-16,15.39182
2022-01-17,20.19981
2022-01-18,20.85544
2022-01-19,22.41648
2022-01-20,22.04183
2022-01-21,19.16952
2022-01-22,13.61223
2022-01-23,14.0181
2022-01-24,18.9822
2022-01-25,19.82516
2022-01-26,18.66999
2022-01-27,18.91976
2022-01-28,16.266
2022-01-29,12.26974
2022-01-30,11.67655
2022-01-31,10.89603
2022-02-01,10.73993
2022-02-02,13.23758
2022-02-03,20.94911
2022-02-04,18.91976
2022-02-05,15.92257
2022-02-06,17.92069
2022-02-07,25.41367
2022-02-08,22.47892
2022-02-09,21.63596
2022-02-10,18.20168
2022-02-11,17.60849
2022-02-12,11.83265
2022-02-13,12.73805
2022-02-14,19.16952
2022-02-15,18.54511
2022-02-16,18.73243
2022-02-17,18.70121
2022-02-18,16.48454
2022-02-19,11.61411
2022-02-20,14.39275
2022-02-21,20.44957
2022-02-22,19.95004
2022-02-23,20.98033
2022-02-24,18.29534
2022-02-25,16.10989
2022-02-26,12.80049
2022-02-27,14.89228
2022-02-28,18.32656
2022-03-01,14.73618
2022-03-02,32.09491
2022-03-03,41.89822
2022-03-04,39.33812
2022-03-05,19.01342
2022-03-06,24.50827
2022-03-07,65.53231
2022-03-08,68.59194
2022-03-09,30.90852
2022-03-10,79.89384
2022-03-11,63.90883
2022-03-12,26.10053
2022-03-13,37.52731
2022-03-14,87.44926
2022-03-15,88.66687
2022-03-16,80.54948
2022-03-17,86.26287
2022-03-18,70.30908
2022-03-19,32.81298
2022-03-20,43.55291
2022-03-21,78.1767
2022-03-22,83.35935
2022-03-23,72.80674
2022-03-24,55.35435
2022-03-25,67.31189
2022-03-26,29.9719
2022-03-27,45.39494
2022-03-28,75.24196
2022-03-29,75.92881
2022-03-30,78.30159
2022-03-31,81.42366
2022-04-01,65.53231
2022-04-02,29.31626
2022-04-03,49.89072
2022-04-04,76.9591
2022-04-05,74.67998
2022-04-06,84.54573
2022-04-07,81.70465
2022-04-08,73.11895
2022-04-09,31.25195
2022-04-10,48.32969
2022-04-11,82.42272
2022-04-12,77.17764
2022-04-13,73.15017
2022-04-14,70.24664
2022-04-15,70.90227
2022-04-16,31.97002
2022-04-17,41.52357
2022-04-18,71.62035
2022-04-19,71.37059
2022-04-20,63.47174
2022-04-21,65.68841
2022-04-22,54.51139
2022-04-23,29.50359
2022-04-24,32.00124
2022-04-25,53.88698
2022-04-26,67.06212
2022-04-27,43.70902
2022-04-28,37.77708
2022-04-29,40.39962
2022-04-30,23.66531
2022-05-01,27.91133
2022-05-02,50.14049
2022-05-03,54.54261
2022-05-04,46.83109
2022-05-05,21.29253
2022-05-06,26.78738
2022-05-07,24.53949
2022-05-08,44.02123
2022-05-09,78.83234
2022-05-10,72.99406
2022-05-11,76.86543
2022-05-12,73.96191
2022-05-13,46.67499
2022-05-14,28.06743
2022-05-15,47.1433
2022-05-16,73.52482
2022-05-17,70.80861
2022-05-18,72.18232
2022-05-19,69.93443
2022-05-20,47.95504
2022-05-21,25.85076
2022-05-22,46.67499
2022-05-23,67.15579
2022-05-24,64.40836
2022-05-25,66.84358
2022-05-26,60.78676
2022-05-27,47.1433
2022-05-28,32.31345
2022-05-29,50.10927
2022-05-30,65.15766
2022-05-31,65.40743
2022-06-01,36.27848
2022-06-02,50.35903
2022-06-03,45.98813
2022-06-04,23.16578
2022-06-05,28.16109
2022-06-06,40.89915
2022-06-07,55.51045
2022-06-08,58.91351
2022-06-09,42.7724
2022-06-10,48.57945
2022-06-11,29.28504
2022-06-12,44.95785
2022-06-13,64.93911
2022-06-14,63.00343
2022-06-15,57.75835
2022-06-16,53.9182
2022-06-17,46.14423
2022-06-18,27.724
2022-06-19,31.22073
2022-06-20,50.64002
2022-06-21,40.55572
2022-06-22,36.24726
2022-06-23,35.4043
2022-06-24,27.09959
2022-06-25,13.58101
2022-06-26,15.17327
2022-06-27,24.44583
2022-06-28,23.69653
2022-06-29,21.66718
2022-06-30,24.19606
2022-07-01,19.35685
2022-07-02,13.33125
2022-07-03,14.6113
2022-07-04,29.19138
2022-07-05,32.56322
2022-07-06,37.30877
2022-07-07,46.95597
2022-07-08,44.39587
2022-07-09,17.98314
2022-07-10,28.91039
2022-07-11,77.52107
2022-07-12,73.99313
2022-07-13,65.18888
2022-07-14,72.08866
2022-07-15,45.6447
2022-07-16,15.07961
2022-07-17,33.93693
2022-07-18,51.26443
2022-07-19,40.74305
2022-07-20,29.2226
2022-07-21,19.54417
2022-07-22,17.20262
2022-07-23,12.76927
2022-07-24,13.98688
2022-07-25,21.23009
2022-07-26,19.85638
2022-07-27,19.23197
2022-07-28,19.98126
2022-07-29,15.01717
2022-07-30,11.77021
2022-07-31,13.36247
2022-08-01,18.29534
2022-08-02,18.2329
2022-08-03,21.97939
2022-08-04,19.07586
2022-08-05,18.26412
2022-08-06,14.26787
2022-08-07,14.9235
2022-08-08,21.63596
2022-08-09,19.66906
2022-08-10,20.91788
2022-08-11,20.6369
2022-08-12,18.70121
2022-08-13,12.64439
2022-08-14,13.51857
2022-08-15,20.19981
2022-08-16,32.31345
2022-08-17,33.56228
2022-08-18,35.02965
2022-08-19,31.97002
2022-08-20,14.54886
2022-08-21,21.60474
2022-08-22,39.77521
2022-08-23,49.57852
2022-08-24,38.90103
2022-08-25,45.14517
2022-08-26,40.11863
2022-08-27,15.98501
2022-08-28,19.35685
2022-08-29,45.3325
2022-08-30,42.52263
2022-08-31,35.06088
2022-09-01,41.61723
2022-09-02,39.86887
2022-09-03,17.4836
2022-09-04,25.07024
2022-09-05,48.92288
2022-09-06,48.86044
2022-09-07,49.76584
2022-09-08,34.65501
2022-09-09,13.39369
2022-09-10,12.73805
2022-09-11,23.85263
2022-09-12,28.3172
2022-09-13,53.04402
2022-09-14,60.28723
2022-09-15,52.45082
2022-09-16,51.76397
2022-09-17,22.32282
2022-09-18,36.87168
2022-09-19,47.73649
2022-09-20,45.36372
2022-09-21,51.60786
2022-09-22,42.55385
2022-09-23,34.09303
2022-09-24,18.20168
2022-09-25,28.37964
2022-09-26,44.39587
2022-09-27,42.83484
2022-09-28,46.73743
2022-09-29,40.33718
2022-09-30,34.62379
2022-10-01,16.01623
2022-10-02,17.45238
2022-10-03,25.25757
2022-10-04,39.65032
2022-10-05,41.86699
2022-10-06,35.96628
2022-10-07,33.34374
2022-10-08,16.92163
2022-10-09,21.66718
2022-10-10,28.28598
2022-10-11,46.14423
2022-10-12,48.23602
2022-10-13,46.51888
2022-10-14,39.08835
2022-10-15,26.88104
2022-10-16,36.65313
2022-10-17,46.95597
2022-10-18,54.41773
2022-10-19,50.64002
2022-10-20,49.01654
2022-10-21,43.0846
2022-10-22,27.50546
2022-10-23,34.28036
2022-10-24,59.9438
2022-10-25,56.60318
2022-10-26,57.72713
2022-10-27,53.1689
2022-10-28,46.42522
2022-10-29,25.56977
2022-10-30,37.21511
2022-10-31,56.44708
2022-11-01,49.64096
2022-11-02,46.26912
2022-11-03,49.60974
2022-11-04,44.5832
2022-11-05,20.01248
2022-11-06,36.12238
2022-11-07,50.10927
2022-11-08,53.23134
2022-11-09,50.23415
2022-11-10,49.54729
2022-11-11,35.77895
2022-11-12,19.29441
2022-11-13,29.12894
2022-11-14,48.798
2022-11-15,46.79987
2022-11-16,42.1792
2022-11-17,34.53012
2022-11-18,41.49235
2022-11-19,27.53668
2022-11-20,37.68342
2022-11-21,52.07617
2022-11-22,52.73181
2022-11-23,47.48673
2022-11-24,55.10458
2022-11-25,45.92569
2022-11-26,25.1639
2022-11-27,33.31251
2022-11-28,53.51233
2022-11-29,57.78957
2022-11-30,60.78676
2022-12-01,44.33343
2022-12-02,39.74399
2022-12-03,20.85544
2022-12-04,30.40899
2022-12-05,46.01935
2022-12-06,41.58601
2022-12-07,42.11676
2022-12-08,42.64751
2022-12-09,41.33624
2022-12-10,23.9463
2022-12-11,29.62847
2022-12-12,37.18389
2022-12-13,35.0921
2022-12-14,35.90384
2022-12-15,41.52357
2022-12-16,35.43552
2022-12-17,22.63502
2022-12-18,27.53668
2022-12-19,52.29472
2022-12-20,49.45363
2022-12-21,43.55291
2022-12-22,38.7137
2022-12-23,30.59631
2022-12-24,15.92257
2022-12-25,20.88666
2022-12-26,43.45925
2022-12-27,41.2738
2022-12-28,32.03246
2022-12-29,25.50733
2022-12-30,19.51295
2022-12-31,11.70777
2023-01-01,14.26787
2023-01-02,23.54043
2023-01-03,21.51108
2023-01-04,21.23009
2023-01-05,19.07586
2023-01-06,19.23197
2023-01-07,15.01717
2023-01-08,15.79768
2023-01-09,36.80924
2023-01-10,23.22822
2023-01-11,22.85357
2023-01-12,20.51201
2023-01-13,20.32469
2023-01-14,15.95379
2023-01-15,14.23665
2023-01-16,20.10615
2023-01-17,21.47986
2023-01-18,25.50733
2023-01-19,19.54417
2023-01-20,16.45332
2023-01-21,11.1458
2023-01-22,10.89603
2023-01-23,11.61411
2023-01-24,15.86013
2023-01-25,24.13362
2023-01-26,24.50827
2023-01-27,25.50733
2023-01-28,19.10708
2023-01-29,18.66999
2023-01-30,28.81673
2023-01-31,34.43646
2023-02-01,31.56415
2023-02-02,26.63128
2023-02-03,29.16016
2023-02-04,26.60006
2023-02-05,25.63221
2023-02-06,34.84233
2023-02-07,41.24258
2023-02-08,41.49235
2023-02-09,36.12238
2023-02-10,31.12706
2023-02-11,28.28598
2023-02-12,24.57071
2023-02-13,33.81205
2023-02-14,34.46768
2023-02-15,31.09584
2023-02-16,28.09865
2023-02-17,29.9719
2023-02-18,29.2226
2023-02-19,26.06931
2023-02-20,34.71745
2023-02-21,32.532
2023-02-22,31.0334
2023-02-23,30.53387
2023-02-24,30.56509
2023-02-25,21.85451
2023-02-26,25.22635
2023-02-27,25.69466
2023-02-28,26.97471
2023-03-01,22.22916
2023-03-02,38.58882
2023-03-03,46.08179
2023-03-04,23.91507
2023-03-05,27.724
2023-03-06,69.68467
2023-03-07,71.05838
2023-03-08,69.02903
2023-03-09,75.99125
2023-03-10,72.40087
2023-03-11,29.34748
2023-03-12,40.05619
2023-03-13,88.63565
2023-03-14,94.16172
2023-03-15,84.45207
2023-03-16,82.95348
2023-03-17,71.43303
2023-03-18,28.28598
2023-03-19,43.8339
2023-03-20,78.08304
2023-03-21,87.79269
2023-03-22,81.4861
2023-03-23,49.42241
2023-03-24,71.37059
2023-03-25,29.16016
2023-03-26,46.83109
2023-03-27,88.72931
2023-03-28,85.73212
2023-03-29,89.22884
2023-03-30,85.98189
2023-03-31,72.21354
2023-04-01,31.97002
2023-04-02,47.1433
2023-04-03,79.14455
2023-04-04,87.82391
2023-04-05,86.32532
2023-04-06,85.88822
2023-04-07,70.62129
2023-04-08,37.30877
2023-04-09,52.4196
2023-04-10,78.926
2023-04-11,87.16827
2023-04-12,90.44645
2023-04-13,93.94317
2023-04-14,69.99687
2023-04-15,30.75241
2023-04-16,43.70902
2023-04-17,71.71401
2023-04-18,68.77926
2023-04-19,72.77552
2023-04-20,64.81423
2023-04-21,60.6931
2023-04-22,26.03808
2023-04-23,30.90852
2023-04-24,53.88698
2023-04-25,61.16141
2023-04-26,57.75835
2023-04-27,50.17171
2023-04-28,43.39681
2023-04-29,26.22541
2023-04-30,27.63034
2023-05-01,46.20668
2023-05-02,57.63346
2023-05-03,64.28348
2023-05-04,47.64283
2023-05-05,25.7571
2023-05-06,26.84982
2023-05-07,42.95972
2023-05-08,77.8645
2023-05-09,87.1995
2023-05-10,73.27505
2023-05-11,82.32906
2023-05-12,56.07243
2023-05-13,31.6266
2023-05-14,49.82828
2023-05-15,76.14736
2023-05-16,85.26381
2023-05-17,83.70277
2023-05-18,76.83421
2023-05-19,65.09522
2023-05-20,34.68623
2023-05-21,52.63815
2023-05-22,83.95254
2023-05-23,77.14642
2023-05-24,87.13705
2023-05-25,79.64408
2023-05-26,65.50109
2023-05-27,27.59912
2023-05-28,33.40618
