date,적금이율
2023-05-02,25.10822
2023-05-03,23.80952
2023-05-04,17.46031
2023-05-05,12.19336
2023-05-06,9.8124
2023-05-07,13.34776
2023-05-08,23.37662
2023-05-09,23.16017
2023-05-10,27.48917
2023-05-11,24.89177
2023-05-12,21.28427
2023-05-13,10.46176
2023-05-14,10.82251
2023-05-15,23.52092
2023-05-16,26.11832
2023-05-17,28.78787
2023-05-18,28.13852
2023-05-19,26.11832
2023-05-20,13.13131
2023-05-21,12.04906
2023-05-22,25.61327
2023-05-23,23.73737
2023-05-24,24.53102
2023-05-25,30.30303
2023-05-26,22.29437
2023-05-27,10.17316
