date,현대미포조선주가
2021-10-07,26.61605
2021-10-08,23.4294
2021-10-09,2.2694
2021-10-10,1.80682
2021-10-11,3.29735
2021-10-12,21.96655
2021-10-13,21.83608
2021-10-14,21.4328
2021-10-15,22.93124
2021-10-16,3.10757
2021-10-17,1.8424
2021-10-18,20.74487
2021-10-19,20.38508
2021-10-20,18.80757
2021-10-21,19.86715
2021-10-22,17.66892
2021-10-23,2.60941
2021-10-24,2.29312
2021-10-25,38.38611
2021-10-26,33.44403
2021-10-27,39.71849
2021-10-28,37.60328
2021-10-29,34.21104
2021-10-30,6.12817
2021-10-31,5.02115
2021-11-01,42.77468
2021-11-02,36.70976
2021-11-03,32.71656
2021-11-04,31.9021
2021-11-05,27.93262
2021-11-06,3.56225
2021-11-07,3.00873
2021-11-08,27.11422
2021-11-09,25.50508
2021-11-10,23.62313
2021-11-11,23.35033
2021-11-12,29.56549
2021-11-13,3.12339
2021-11-14,2.85849
2021-11-15,26.3986
2021-11-16,23.06567
2021-11-17,22.04957
2021-11-18,21.73328
2021-11-19,21.02558
2021-11-20,2.64104
2021-11-21,2.02427
2021-11-22,24.60759
2021-11-23,30.30878
2021-11-24,26.82955
2021-11-25,30.24947
2021-11-26,26.15348
2021-11-27,2.82686
2021-11-28,2.3801
2021-11-29,25.22832
2021-11-30,27.75076
2021-12-01,27.6875
2021-12-02,27.65982
2021-12-03,24.32293
2021-12-04,2.77942
2021-12-05,2.0045
2021-12-06,23.51243
2021-12-07,25.59206
2021-12-08,24.40991
2021-12-09,22.20772
2021-12-10,20.18344
2021-12-11,2.55406
2021-12-12,1.9531
2021-12-13,22.76914
2021-12-14,18.9499
2021-12-15,19.42039
2021-12-16,21.55537
2021-12-17,21.94678
2021-12-18,2.69244
2021-12-19,2.15079
2021-12-20,20.49974
2021-12-21,20.04507
2021-12-22,21.00185
2021-12-23,20.90697
2021-12-24,19.81575
2021-12-25,2.40778
2021-12-26,2.22986
2021-12-27,23.43731
2021-12-28,20.99395
2021-12-29,27.77448
2021-12-30,21.72142
2021-12-31,6.65401
2022-01-01,1.93729
2022-01-02,1.92938
2022-01-03,22.31842
2022-01-04,35.84786
2022-01-05,49.66986
2022-01-06,52.6193
2022-01-07,40.25619
2022-01-08,4.89068
2022-01-09,3.91412
2022-01-10,36.51207
2022-01-11,32.00094
2022-01-12,30.91369
2022-01-13,26.67141
2022-01-14,27.00747
2022-01-15,2.99687
2022-01-16,2.18242
2022-01-17,24.78946
2022-01-18,24.69853
2022-01-19,27.12212
2022-01-20,24.98319
2022-01-21,22.10097
2022-01-22,2.66476
2022-01-23,2.07962
2022-01-24,24.80528
2022-01-25,24.06199
2022-01-26,23.71011
2022-01-27,24.97528
2022-01-28,27.55703
2022-01-29,2.57778
2022-01-30,1.73565
2022-01-31,1.65263
2022-02-01,1.72775
2022-02-02,2.12311
2022-02-03,26.93235
2022-02-04,24.42573
2022-02-05,2.85059
2022-02-06,2.1587
2022-02-07,24.44154
2022-02-08,28.35567
2022-02-09,27.34353
2022-02-10,25.94393
2022-02-11,22.10888
2022-02-12,2.23777
2022-02-13,1.68426
2022-02-14,21.70165
2022-02-15,21.06907
2022-02-16,22.37773
2022-02-17,23.73779
2022-02-18,23.67453
2022-02-19,2.77151
2022-02-20,2.20219
2022-02-21,23.00636
2022-02-22,22.93915
2022-02-23,49.08472
2022-02-24,42.09069
2022-02-25,37.11698
2022-02-26,4.20669
2022-02-27,3.09571
2022-02-28,29.29268
2022-03-01,4.20274
2022-03-02,33.90661
2022-03-03,28.45451
2022-03-04,29.23338
2022-03-05,3.51085
2022-03-06,2.3801
2022-03-07,28.45055
2022-03-08,24.17664
2022-03-09,3.00083
2022-03-10,25.53275
2022-03-11,28.38334
2022-03-12,3.43177
2022-03-13,2.09544
2022-03-14,27.58866
2022-03-15,23.36219
2022-03-16,23.7536
2022-03-17,26.70699
2022-03-18,24.14897
2022-03-19,2.67267
2022-03-20,1.98078
2022-03-21,21.0493
2022-03-22,24.63132
2022-03-23,23.23963
2022-03-24,22.69402
2022-03-25,20.63812
2022-03-26,1.92938
2022-03-27,1.26121
2022-03-28,22.95892
2022-03-29,20.29415
2022-03-30,20.0767
2022-03-31,18.80757
2022-04-01,17.38425
2022-04-02,1.98473
2022-04-03,1.60518
2022-04-04,18.39244
2022-04-05,18.84315
2022-04-06,17.32099
2022-04-07,18.60989
2022-04-08,18.75617
2022-04-09,1.90961
2022-04-10,1.41936
2022-04-11,21.03348
2022-04-12,23.56778
2022-04-13,37.10908
2022-04-14,42.30419
2022-04-15,40.54481
2022-04-16,4.88672
2022-04-17,4.30949
2022-04-18,36.6979
2022-04-19,39.73036
2022-04-20,33.32542
2022-04-21,31.70837
2022-04-22,26.58443
2022-04-23,2.77942
2022-04-24,2.09148
2022-04-25,25.71067
2022-04-26,24.73411
2022-04-27,25.08203
2022-04-28,26.82955
2022-04-29,23.85244
2022-04-30,2.57778
2022-05-01,1.73961
2022-05-02,20.63812
2022-05-03,20.71324
2022-05-04,19.7011
2022-05-05,2.79523
2022-05-06,19.23457
2022-05-07,1.91357
2022-05-08,1.55774
2022-05-09,19.72877
2022-05-10,19.62598
2022-05-11,19.49551
2022-05-12,24.63132
2022-05-13,23.02218
2022-05-14,2.74384
2022-05-15,1.67239
2022-05-16,20.44043
2022-05-17,20.13995
2022-05-18,20.30996
2022-05-19,20.08065
2022-05-20,18.87874
2022-05-21,1.81473
2022-05-22,1.32843
2022-05-23,17.6531
2022-05-24,17.93381
2022-05-25,17.57798
2022-05-26,24.6669
2022-05-27,21.62653
2022-05-28,2.1587
2022-05-29,1.63286
2022-05-30,19.57063
2022-05-31,20.59858
2022-06-01,2.8664
2022-06-02,17.94963
2022-06-03,18.7878
2022-06-04,1.91752
2022-06-05,1.36796
2022-06-06,1.96892
2022-06-07,17.75194
2022-06-08,20.61044
2022-06-09,19.30573
2022-06-10,19.58249
2022-06-11,2.218
2022-06-12,1.76728
2022-06-13,18.55849
2022-06-14,18.05637
2022-06-15,17.9259
2022-06-16,23.18032
2022-06-17,23.76546
2022-06-18,2.82686
2022-06-19,1.85822
2022-06-20,20.90301
2022-06-21,27.69936
2022-06-22,26.10999
2022-06-23,21.52374
2022-06-24,20.64602
2022-06-25,2.13497
2022-06-26,1.64472
2022-06-27,23.17637
2022-06-28,22.14446
2022-06-29,22.66635
2022-06-30,33.66939
2022-07-01,26.49349
2022-07-02,2.8071
2022-07-03,1.8938
2022-07-04,24.86063
2022-07-05,23.56778
2022-07-06,31.58976
2022-07-07,25.76997
2022-07-08,23.19614
2022-07-09,2.12311
2022-07-10,1.65658
2022-07-11,21.46839
2022-07-12,20.55509
2022-07-13,20.70137
2022-07-14,19.68133
2022-07-15,19.04084
2022-07-16,1.67635
2022-07-17,1.3047
2022-07-18,26.877
2022-07-19,21.93492
2022-07-20,20.7251
2022-07-21,20.28624
2022-07-22,19.50737
2022-07-23,1.82263
2022-07-24,1.33633
2022-07-25,18.74827
2022-07-26,18.0287
2022-07-27,16.40374
2022-07-28,18.59407
2022-07-29,21.757
2022-07-30,2.33266
2022-07-31,1.84636
2022-08-01,31.66884
2022-08-02,36.30648
2022-08-03,37.10908
2022-08-04,32.4912
2022-08-05,29.63665
2022-08-06,3.49108
2022-08-07,2.76756
2022-08-08,33.15146
2022-08-09,32.66121
2022-08-10,35.78855
2022-08-11,32.56236
2022-08-12,31.60558
2022-08-13,3.87063
2022-08-14,2.75174
2022-08-15,3.7283
2022-08-16,29.0436
2022-08-17,27.24073
2022-08-18,26.41046
2022-08-19,27.29213
2022-08-20,3.52271
2022-08-21,2.64104
2022-08-22,24.84086
2022-08-23,36.2195
2022-08-24,37.61119
2022-08-25,38.91985
2022-08-26,32.81935
2022-08-27,3.85086
2022-08-28,3.1313
2022-08-29,31.30115
2022-08-30,29.96876
2022-08-31,30.93345
2022-09-01,28.31613
2022-09-02,27.82192
2022-09-03,3.1392
2022-09-04,2.53825
2022-09-05,26.27999
2022-09-06,23.5915
2022-09-07,24.17269
2022-09-08,21.23512
2022-09-09,2.71616
2022-09-10,1.72775
2022-09-11,1.98869
2022-09-12,3.66899
2022-09-13,28.92499
2022-09-14,23.89198
2022-09-15,23.52824
2022-09-16,20.25066
2022-09-17,2.90198
2022-09-18,2.2773
2022-09-19,21.57513
2022-09-20,20.05297
2022-09-21,22.12469
2022-09-22,30.79112
2022-09-23,30.56181
2022-09-24,3.61364
2022-09-25,2.73593
2022-09-26,27.67564
2022-09-27,26.03882
2022-09-28,25.63555
2022-09-29,23.95129
2022-09-30,23.38591
2022-10-01,2.94547
2022-10-02,2.13497
2022-10-03,2.66081
2022-10-04,28.25287
2022-10-05,25.10576
2022-10-06,27.0391
2022-10-07,24.74202
2022-10-08,2.43941
2022-10-09,2.0045
2022-10-10,2.94547
2022-10-11,22.45285
2022-10-12,22.52006
2022-10-13,20.63021
2022-10-14,21.34978
2022-10-15,2.61732
2022-10-16,1.82659
2022-10-17,23.77337
2022-10-18,26.2365
2022-10-19,23.10125
2022-10-20,21.3735
2022-10-21,20.86348
2022-10-22,2.63313
2022-10-23,2.00846
2022-10-24,22.24726
2022-10-25,20.64602
2022-10-26,19.0606
2022-10-27,22.02585
2022-10-28,20.98999
2022-10-29,2.04009
2022-10-30,1.49053
2022-10-31,19.87506
2022-11-01,20.52346
2022-11-02,18.71664
2022-11-03,18.96967
2022-11-04,21.03348
2022-11-05,2.57778
2022-11-06,1.75938
2022-11-07,19.34922
2022-11-08,18.90641
2022-11-09,23.6943
2022-11-10,20.90301
2022-11-11,28.35962
2022-11-12,3.23805
2022-11-13,2.12311
2022-11-14,23.76546
2022-11-15,21.27466
2022-11-16,21.25884
2022-11-17,18.62966
2022-11-18,17.59775
2022-11-19,1.75147
2022-11-20,1.3561
2022-11-21,16.68841
2022-11-22,16.16257
2022-11-23,16.12303
2022-11-24,15.38765
2022-11-25,14.22132
2022-11-26,1.82659
2022-11-27,1.40355
2022-11-28,22.04957
2022-11-29,19.44411
2022-11-30,19.2741
2022-12-01,18.21452
2022-12-02,17.38425
2022-12-03,1.99264
2022-12-04,1.43913
2022-12-05,15.83837
2022-12-06,16.16652
2022-12-07,16.23769
2022-12-08,15.68813
2022-12-09,14.52971
