date,퇴직금세금
2021-12-20,38.7218
2021-12-21,38.87218
2021-12-22,35.18796
2021-12-23,39.3233
2021-12-24,36.203
2021-12-25,17.40601
2021-12-26,17.89473
2021-12-27,38.79699
2021-12-28,39.69924
2021-12-29,43.15789
2021-12-30,43.1203
2021-12-31,43.23308
2022-01-01,22.66917
2022-01-02,22.21804
2022-01-03,50.03759
2022-01-04,48.53383
2022-01-05,48.30827
2022-01-06,43.42105
2022-01-07,44.21052
2022-01-08,23.57142
2022-01-09,22.29323
2022-01-10,67.03007
2022-01-11,49.77443
2022-01-12,48.53383
2022-01-13,48.7218
2022-01-14,52.03007
2022-01-15,25.03759
2022-01-16,26.72932
2022-01-17,45.67669
2022-01-18,45.75187
2022-01-19,43.75939
2022-01-20,41.57894
2022-01-21,39.09774
2022-01-22,20.15037
2022-01-23,18.38345
2022-01-24,40.0
2022-01-25,47.4812
2022-01-26,37.59398
2022-01-27,39.09774
2022-01-28,41.80451
2022-01-29,23.34586
2022-01-30,15.45112
2022-01-31,15.30075
2022-02-01,13.75939
2022-02-02,17.06766
2022-02-03,37.96992
2022-02-04,41.69172
2022-02-05,24.24812
2022-02-06,19.77443
2022-02-07,41.39097
2022-02-08,43.30827
2022-02-09,40.26315
2022-02-10,50.45112
2022-02-11,39.17293
2022-02-12,21.16541
2022-02-13,20.07518
2022-02-14,51.65413
2022-02-15,51.95488
2022-02-16,41.57894
2022-02-17,38.53383
2022-02-18,39.47368
2022-02-19,19.69924
2022-02-20,18.79699
2022-02-21,42.14285
2022-02-22,40.90225
2022-02-23,41.01503
2022-02-24,38.94736
2022-02-25,44.9624
2022-02-26,25.45112
2022-02-27,20.48872
2022-02-28,45.82706
2022-03-01,28.23308
2022-03-02,40.45112
2022-03-03,42.85714
2022-03-04,41.35338
2022-03-05,21.31578
2022-03-06,17.78195
2022-03-07,39.02255
2022-03-08,52.29323
2022-03-09,25.07518
2022-03-10,50.11278
2022-03-11,50.22556
2022-03-12,21.99248
2022-03-13,19.9624
2022-03-14,47.74436
2022-03-15,54.17293
2022-03-16,44.43609
2022-03-17,44.28571
2022-03-18,38.1203
2022-03-19,20.67669
2022-03-20,19.51127
2022-03-21,40.82706
2022-03-22,38.7218
2022-03-23,39.47368
2022-03-24,39.73684
2022-03-25,38.30827
2022-03-26,19.13533
2022-03-27,18.90977
2022-03-28,37.63157
2022-03-29,40.11278
2022-03-30,42.06766
2022-03-31,46.8421
2022-04-01,38.23308
2022-04-02,18.98496
2022-04-03,16.80451
2022-04-04,35.86466
2022-04-05,42.59398
