date,부동산등기
2021-08-28,32.8125
2021-08-29,36.5625
2021-08-30,73.4375
2021-08-31,73.4375
2021-09-01,68.75
2021-09-02,75.0
2021-09-03,61.875
2021-09-04,38.125
2021-09-05,30.0
2021-09-06,69.6875
2021-09-07,69.6875
2021-09-08,67.8125
2021-09-09,64.0625
2021-09-10,62.1875
2021-09-11,26.25
2021-09-12,38.75
2021-09-13,69.6875
2021-09-14,77.8125
2021-09-15,68.75
2021-09-16,64.0625
2021-09-17,53.125
2021-09-18,24.6875
2021-09-19,26.25
2021-09-20,23.4375
2021-09-21,17.8125
2021-09-22,25.0
2021-09-23,94.6875
2021-09-24,80.0
2021-09-25,39.0625
2021-09-26,38.4375
2021-09-27,93.75
2021-09-28,86.875
2021-09-29,88.4375
2021-09-30,78.75
2021-10-01,70.3125
2021-10-02,28.125
2021-10-03,26.5625
2021-10-04,49.375
2021-10-05,95.9375
2021-10-06,87.8125
2021-10-07,80.0
2021-10-08,73.125
2021-10-09,34.375
2021-10-10,33.4375
2021-10-11,48.4375
2021-10-12,76.875
2021-10-13,79.6875
2021-10-14,68.4375
2021-10-15,75.3125
2021-10-16,35.9375
2021-10-17,37.1875
2021-10-18,75.9375
2021-10-19,74.0625
2021-10-20,64.6875
2021-10-21,70.0
2021-10-22,62.8125
2021-10-23,22.5
2021-10-24,33.4375
2021-10-25,71.875
2021-10-26,70.3125
2021-10-27,69.375
2021-10-28,55.625
2021-10-29,63.4375
2021-10-30,30.9375
2021-10-31,32.8125
2021-11-01,57.1875
2021-11-02,76.875
2021-11-03,59.6875
2021-11-04,67.8125
2021-11-05,56.25
2021-11-06,22.1875
2021-11-07,29.6875
2021-11-08,68.75
2021-11-09,62.1875
2021-11-10,55.625
2021-11-11,58.4375
2021-11-12,49.6875
2021-11-13,28.4375
2021-11-14,27.5
2021-11-15,69.0625
2021-11-16,75.9375
2021-11-17,57.8125
2021-11-18,66.25
2021-11-19,52.5
2021-11-20,25.625
2021-11-21,26.5625
2021-11-22,79.0625
2021-11-23,64.375
2021-11-24,70.9375
2021-11-25,62.5
2021-11-26,53.4375
2021-11-27,24.6875
2021-11-28,22.8125
2021-11-29,67.1875
2021-11-30,73.75
2021-12-01,67.1875
2021-12-02,65.0
2021-12-03,50.0
2021-12-04,27.5
2021-12-05,27.8125
2021-12-06,72.5
2021-12-07,62.8125
2021-12-08,54.375
2021-12-09,60.625
2021-12-10,58.125
2021-12-11,25.625
2021-12-12,24.375
2021-12-13,64.375
2021-12-14,67.5
2021-12-15,55.0
2021-12-16,64.0625
2021-12-17,60.0
2021-12-18,21.5625
2021-12-19,36.5625
2021-12-20,65.3125
2021-12-21,62.5
2021-12-22,55.625
2021-12-23,53.125
2021-12-24,38.4375
2021-12-25,15.625
2021-12-26,28.125
2021-12-27,67.8125
2021-12-28,67.1875
2021-12-29,60.9375
2021-12-30,66.5625
2021-12-31,42.8125
2022-01-01,24.0625
2022-01-02,25.3125
2022-01-03,66.25
2022-01-04,68.4375
2022-01-05,69.6875
2022-01-06,61.875
2022-01-07,55.0
2022-01-08,30.625
2022-01-09,25.625
2022-01-10,68.75
2022-01-11,62.1875
2022-01-12,63.4375
2022-01-13,61.875
2022-01-14,56.875
2022-01-15,29.375
2022-01-16,22.8125
2022-01-17,64.375
2022-01-18,69.6875
2022-01-19,73.4375
2022-01-20,74.6875
2022-01-21,57.5
2022-01-22,28.4375
2022-01-23,29.375
2022-01-24,70.9375
2022-01-25,68.75
2022-01-26,64.0625
2022-01-27,64.375
2022-01-28,48.75
2022-01-29,28.4375
2022-01-30,23.125
2022-01-31,14.0625
2022-02-01,28.4375
2022-02-02,27.5
2022-02-03,74.375
2022-02-04,72.5
2022-02-05,39.6875
2022-02-06,36.5625
2022-02-07,87.5
2022-02-08,78.125
2022-02-09,69.0625
2022-02-10,70.0
2022-02-11,67.1875
2022-02-12,36.5625
2022-02-13,32.8125
2022-02-14,74.375
2022-02-15,69.6875
2022-02-16,59.0625
2022-02-17,68.4375
2022-02-18,66.25
2022-02-19,34.375
2022-02-20,32.5
2022-02-21,79.375
2022-02-22,73.75
2022-02-23,69.375
2022-02-24,76.5625
2022-02-25,66.25
2022-02-26,27.1875
2022-02-27,27.5
2022-02-28,70.0
2022-03-01,42.1875
2022-03-02,68.125
2022-03-03,69.375
2022-03-04,57.8125
2022-03-05,38.4375
2022-03-06,28.4375
2022-03-07,69.0625
2022-03-08,60.3125
2022-03-09,27.5
2022-03-10,67.1875
2022-03-11,63.75
2022-03-12,21.875
2022-03-13,27.5
2022-03-14,68.125
2022-03-15,74.0625
2022-03-16,70.0
2022-03-17,68.75
2022-03-18,58.75
2022-03-19,26.5625
2022-03-20,21.875
2022-03-21,68.125
2022-03-22,62.5
2022-03-23,60.625
2022-03-24,58.4375
2022-03-25,53.75
2022-03-26,28.4375
2022-03-27,26.5625
2022-03-28,73.125
2022-03-29,71.875
2022-03-30,58.75
2022-03-31,57.8125
2022-04-01,56.875
2022-04-02,20.3125
2022-04-03,30.3125
2022-04-04,68.125
2022-04-05,64.6875
2022-04-06,55.625
2022-04-07,58.4375
2022-04-08,52.8125
2022-04-09,31.25
2022-04-10,24.0625
2022-04-11,70.625
2022-04-12,63.4375
2022-04-13,64.6875
2022-04-14,67.5
2022-04-15,56.5625
2022-04-16,26.25
2022-04-17,25.0
2022-04-18,84.375
2022-04-19,66.25
2022-04-20,64.6875
2022-04-21,71.5625
2022-04-22,54.375
2022-04-23,30.9375
2022-04-24,26.875
2022-04-25,82.5
2022-04-26,69.6875
2022-04-27,67.5
2022-04-28,59.6875
2022-04-29,60.625
2022-04-30,26.25
2022-05-01,27.1875
2022-05-02,69.375
2022-05-03,70.3125
2022-05-04,49.6875
2022-05-05,26.5625
2022-05-06,47.1875
2022-05-07,26.25
2022-05-08,26.5625
2022-05-09,66.875
2022-05-10,72.1875
2022-05-11,69.0625
2022-05-12,63.75
2022-05-13,50.3125
2022-05-14,21.5625
2022-05-15,26.25
2022-05-16,70.625
2022-05-17,71.875
2022-05-18,58.125
2022-05-19,74.375
