date,솔라나시세
2022-11-03,2.51587
2022-11-04,2.76013
2022-11-05,3.66389
2022-11-06,5.66682
2022-11-07,4.9829
2022-11-08,10.21006
2022-11-09,28.16316
2022-11-10,35.58866
2022-11-11,22.42305
2022-11-12,16.21885
2022-11-13,15.85246
2022-11-14,20.10258
2022-11-15,11.7489
2022-11-16,8.30483
2022-11-17,8.47581
2022-11-18,7.40107
2022-11-19,5.76453
2022-11-20,5.98436
2022-11-21,8.52467
2022-11-22,8.28041
2022-11-23,7.10796
2022-11-24,9.64826
2022-11-25,6.64386
2022-11-26,4.54323
2022-11-27,3.90815
2022-11-28,5.27601
2022-11-29,4.49438
2022-11-30,3.8593
2022-12-01,4.00586
2022-12-02,2.68685
2022-12-03,2.00293
2022-12-04,2.00293
2022-12-05,3.05324
2022-12-06,3.00439
2022-12-07,2.83341
2022-12-08,3.2975
2022-12-09,4.17684
2022-12-10,3.07767
2022-12-11,2.32046
2022-12-12,2.61358
2022-12-13,3.37078
2022-12-14,3.66389
2022-12-15,3.90815
2022-12-16,2.85784
2022-12-17,3.17537
2022-12-18,2.51587
2022-12-19,3.05324
2022-12-20,3.44406
2022-12-21,2.73571
2022-12-22,4.29897
2022-12-23,4.25012
2022-12-24,5.71568
2022-12-25,3.59062
2022-12-26,4.34782
2022-12-27,5.52027
2022-12-28,5.00732
2022-12-29,5.95994
2022-12-30,6.76599
2022-12-31,4.05471
2023-01-01,6.03321
2023-01-02,5.66682
2023-01-03,7.81631
2023-01-04,12.45725
2023-01-05,5.88666
2023-01-06,4.29897
2023-01-07,4.5188
2023-01-08,4.25012
2023-01-09,8.59794
2023-01-10,7.88959
2023-01-11,6.98583
2023-01-12,6.66829
2023-01-13,8.89106
2023-01-14,17.70884
2023-01-15,12.89692
2023-01-16,14.43575
2023-01-17,11.48021
2023-01-18,10.99169
2023-01-19,9.57498
2023-01-20,7.66976
2023-01-21,12.75036
2023-01-22,8.76893
2023-01-23,8.96433
2023-01-24,9.91695
2023-01-25,7.96287
2023-01-26,9.47728
2023-01-27,8.20713
2023-01-28,6.44846
2023-01-29,5.7401
2023-01-30,9.59941
2023-01-31,6.79042
2023-02-01,5.30043
2023-02-02,7.74303
2023-02-03,6.81485
2023-02-04,5.27601
2023-02-05,4.66536
2023-02-06,6.47288
2023-02-07,4.68978
2023-02-08,5.22716
2023-02-09,4.81191
2023-02-10,4.56765
2023-02-11,4.34782
2023-02-12,2.93111
2023-02-13,3.63947
2023-02-14,3.15095
2023-02-15,4.22569
2023-02-16,6.81485
2023-02-17,4.17684
2023-02-18,3.95701
2023-02-19,4.10356
2023-02-20,7.13238
2023-02-21,5.6424
2023-02-22,4.10356
2023-02-23,4.15241
2023-02-24,4.00586
2023-02-25,4.29897
2023-02-26,3.12652
2023-02-27,3.73717
2023-02-28,3.34636
2023-03-01,2.66243
2023-03-02,2.95554
2023-03-03,3.83488
2023-03-04,2.638
2023-03-05,2.17391
2023-03-06,3.02882
2023-03-07,1.80752
2023-03-08,3.41963
2023-03-09,3.54176
2023-03-10,4.17684
2023-03-11,3.12652
2023-03-12,3.59062
2023-03-13,4.9829
2023-03-14,6.25305
2023-03-15,5.12945
2023-03-16,4.05471
2023-03-17,5.22716
2023-03-18,5.20273
2023-03-19,4.27454
2023-03-20,5.91108
2023-03-21,5.49584
2023-03-22,4.93404
2023-03-23,4.71421
2023-03-24,4.17684
2023-03-25,3.68832
2023-03-26,2.638
2023-03-27,2.97997
2023-03-28,3.41963
2023-03-29,4.07914
2023-03-30,4.20127
2023-03-31,3.34636
2023-04-01,5.56912
2023-04-02,3.68832
2023-04-03,3.27308
2023-04-04,2.90669
2023-04-05,3.05324
2023-04-06,2.638
2023-04-07,2.24719
2023-04-08,1.66096
2023-04-09,1.61211
2023-04-10,2.27161
2023-04-11,4.20127
2023-04-12,6.47288
2023-04-13,5.98436
2023-04-14,6.37518
2023-04-15,3.68832
2023-04-16,2.61358
2023-04-17,5.98436
2023-04-18,5.54469
2023-04-19,4.88519
2023-04-20,4.76306
2023-04-21,4.54323
2023-04-22,3.22423
2023-04-23,2.78456
2023-04-24,6.08207
2023-04-25,3.90815
2023-04-26,4.61651
2023-04-27,4.34782
2023-04-28,4.17684
2023-04-29,3.63947
2023-04-30,3.8593
2023-05-01,4.61651
2023-05-02,3.93258
2023-05-03,3.54176
2023-05-04,4.46995
2023-05-05,3.37078
2023-05-06,3.98143
2023-05-07,2.93111
2023-05-08,3.15095
2023-05-09,2.41817
2023-05-10,2.46702
2023-05-11,2.49145
2023-05-12,2.44259
2023-05-13,3.90815
2023-05-14,3.32193
2023-05-15,2.90669
2023-05-16,2.02735
2023-05-17,1.80752
2023-05-18,2.78456
2023-05-19,1.9785
2023-05-20,1.66096
2023-05-21,1.92965
2023-05-22,2.34489
2023-05-23,1.46555
2023-05-24,2.02735
2023-05-25,1.85637
2023-05-26,1.66096
2023-05-27,1.319
2023-05-28,1.48998
2023-05-29,2.36932
2023-05-30,2.66243
2023-05-31,3.05324
2023-06-01,2.80898
2023-06-02,2.00293
2023-06-03,1.70981
2023-06-04,2.44259
2023-06-05,2.51587
2023-06-06,2.39374
2023-06-07,2.71128
2023-06-08,3.49291
2023-06-09,2.68685
2023-06-10,7.44992
