date,20대실비보험
2021-12-17,11.71171
2021-12-18,8.1081
2021-12-19,9.45945
2021-12-20,21.62162
2021-12-21,21.17117
2021-12-22,16.21621
2021-12-23,13.51351
2021-12-24,10.36036
2021-12-25,4.95495
2021-12-26,12.16216
2021-12-27,22.07207
2021-12-28,18.46846
2021-12-29,20.27027
2021-12-30,18.01801
2021-12-31,14.86486
2022-01-01,6.3063
2022-01-02,15.76576
2022-01-03,11.26126
2022-01-04,13.51351
2022-01-05,13.51351
2022-01-06,16.21621
2022-01-07,16.21621
2022-01-08,4.05405
2022-01-09,4.95495
2022-01-10,22.07207
2022-01-11,16.21621
2022-01-12,14.41441
2022-01-13,16.66666
2022-01-14,17.11711
2022-01-15,7.2072
2022-01-16,10.36036
2022-01-17,14.41441
2022-01-18,13.51351
2022-01-19,19.36936
2022-01-20,13.96396
2022-01-21,12.16216
2022-01-22,6.3063
2022-01-23,7.2072
2022-01-24,14.86486
2022-01-25,25.67567
2022-01-26,22.07207
2022-01-27,19.36936
2022-01-28,16.21621
2022-01-29,6.75675
2022-01-30,7.2072
2022-01-31,8.1081
2022-02-01,7.65765
2022-02-02,13.06306
2022-02-03,19.81981
2022-02-04,15.31531
2022-02-05,12.61261
2022-02-06,13.06306
2022-02-07,22.97297
2022-02-08,16.21621
2022-02-09,19.81981
2022-02-10,18.46846
2022-02-11,10.36036
2022-02-12,8.1081
2022-02-13,6.75675
2022-02-14,17.56756
2022-02-15,25.22522
2022-02-16,14.41441
2022-02-17,11.26126
2022-02-18,13.51351
2022-02-19,8.1081
2022-02-20,5.85585
2022-02-21,14.41441
2022-02-22,16.66666
2022-02-23,14.86486
2022-02-24,16.21621
2022-02-25,15.31531
2022-02-26,13.51351
2022-02-27,16.66666
2022-02-28,18.46846
2022-03-01,7.2072
2022-03-02,15.76576
2022-03-03,13.96396
2022-03-04,13.96396
2022-03-05,3.6036
2022-03-06,8.1081
2022-03-07,26.12612
2022-03-08,18.01801
2022-03-09,2.7027
2022-03-10,12.61261
2022-03-11,11.71171
2022-03-12,12.16216
2022-03-13,12.61261
2022-03-14,17.56756
2022-03-15,15.31531
2022-03-16,16.21621
2022-03-17,15.76576
2022-03-18,10.36036
2022-03-19,9.45945
2022-03-20,6.3063
2022-03-21,15.31531
2022-03-22,12.61261
2022-03-23,16.66666
2022-03-24,18.46846
2022-03-25,14.41441
2022-03-26,4.5045
2022-03-27,8.55855
2022-03-28,13.06306
2022-03-29,16.21621
2022-03-30,11.26126
2022-03-31,12.16216
2022-04-01,9.9099
2022-04-03,3.15315
2022-04-04,12.16216
2022-04-05,12.16216
2022-04-06,15.31531
2022-04-07,16.66666
2022-04-08,8.55855
2022-04-09,4.95495
2022-04-10,9.45945
2022-04-11,21.62162
2022-04-12,15.76576
2022-04-13,10.81081
2022-04-14,11.71171
2022-04-15,9.9099
2022-04-16,5.4054
2022-04-17,11.26126
2022-04-18,14.41441
2022-04-19,10.36036
2022-04-20,11.71171
2022-04-21,14.86486
2022-04-22,12.61261
2022-04-23,6.3063
2022-04-24,15.31531
2022-04-25,17.56756
2022-04-26,15.31531
2022-04-27,13.51351
2022-04-28,15.31531
2022-04-29,11.26126
2022-04-30,2.25225
2022-05-01,4.95495
2022-05-02,12.16216
2022-05-03,9.45945
2022-05-04,7.65765
2022-05-05,4.95495
2022-05-06,8.55855
2022-05-07,5.85585
2022-05-08,7.2072
2022-05-09,16.21621
2022-05-10,9.45945
2022-05-11,10.81081
2022-05-12,13.96396
2022-05-13,7.2072
2022-05-14,3.6036
2022-05-15,4.95495
2022-05-16,11.26126
2022-05-17,15.31531
2022-05-18,13.51351
2022-05-19,9.45945
2022-05-20,9.45945
2022-05-21,9.009
2022-05-22,7.2072
2022-05-23,11.71171
2022-05-24,13.96396
2022-05-25,13.06306
2022-05-26,15.76576
2022-05-27,14.41441
2022-05-28,4.5045
2022-05-29,5.4054
2022-05-30,19.81981
2022-05-31,10.36036
2022-06-01,10.36036
2022-06-02,11.26126
2022-06-03,9.45945
2022-06-04,9.9099
2022-06-05,7.65765
2022-06-06,9.009
2022-06-07,8.1081
2022-06-08,17.11711
2022-06-09,19.36936
2022-06-10,22.52252
2022-06-11,8.55855
2022-06-12,4.05405
2022-06-13,10.36036
2022-06-14,9.9099
2022-06-15,4.5045
2022-06-16,5.4054
2022-06-17,12.16216
2022-06-18,6.75675
2022-06-19,6.75675
2022-06-20,15.31531
2022-06-21,18.91891
2022-06-22,4.5045
2022-06-23,17.56756
2022-06-24,5.4054
2022-06-25,6.3063
2022-06-26,12.16216
2022-06-27,13.51351
2022-06-28,16.66666
2022-06-29,14.41441
2022-06-30,10.36036
2022-07-01,13.96396
2022-07-02,5.4054
2022-07-03,8.55855
2022-07-04,10.81081
2022-07-05,16.66666
2022-07-06,16.66666
2022-07-07,6.3063
2022-07-08,6.3063
2022-07-09,7.65765
2022-07-10,7.2072
2022-07-11,11.71171
2022-07-12,11.71171
2022-07-13,13.06306
2022-07-14,13.51351
2022-07-15,12.16216
2022-07-16,6.3063
2022-07-17,4.5045
2022-07-18,8.1081
2022-07-19,8.1081
2022-07-20,15.31531
2022-07-21,12.61261
2022-07-22,6.3063
2022-07-23,5.85585
2022-07-24,5.85585
2022-07-25,17.11711
2022-07-26,8.1081
2022-07-27,18.46846
2022-07-28,16.21621
2022-07-29,14.41441
2022-07-30,9.009
2022-07-31,7.2072
2022-08-01,13.96396
2022-08-02,14.86486
2022-08-03,9.9099
2022-08-04,11.71171
2022-08-05,9.45945
2022-08-06,6.3063
2022-08-07,6.75675
2022-08-08,11.71171
2022-08-09,8.1081
2022-08-10,10.36036
2022-08-11,12.61261
2022-08-12,9.45945
2022-08-13,9.45945
2022-08-14,5.4054
2022-08-15,4.95495
2022-08-16,10.81081
2022-08-17,11.26126
2022-08-18,12.61261
2022-08-19,12.16216
2022-08-20,4.95495
2022-08-21,5.85585
2022-08-22,11.71171
2022-08-23,13.06306
2022-08-24,13.06306
2022-08-25,17.56756
2022-08-26,13.06306
2022-08-27,4.05405
2022-08-28,9.45945
2022-08-29,13.96396
2022-08-30,9.45945
2022-08-31,8.55855
2022-09-01,10.81081
2022-09-02,4.95495
2022-09-03,8.1081
2022-09-04,3.15315
2022-09-05,9.9099
2022-09-06,13.06306
2022-09-07,7.65765
2022-09-08,5.85585
2022-09-09,6.3063
2022-09-11,4.5045
2022-09-12,6.75675
2022-09-13,11.26126
2022-09-14,9.009
2022-09-15,9.009
2022-09-16,13.96396
2022-09-17,5.85585
2022-09-18,7.2072
2022-09-19,18.46846
2022-09-20,13.51351
2022-09-21,9.9099
2022-09-22,11.71171
2022-09-23,9.45945
2022-09-24,4.5045
2022-09-25,7.65765
2022-09-26,10.81081
2022-09-27,14.41441
2022-09-28,9.009
2022-09-29,8.55855
2022-09-30,8.1081
2022-10-01,6.75675
2022-10-02,3.6036
2022-10-03,7.65765
2022-10-04,11.26126
2022-10-05,9.009
2022-10-06,8.55855
2022-10-07,4.5045
2022-10-08,6.75675
2022-10-09,5.4054
2022-10-10,5.4054
2022-10-11,13.06306
2022-10-12,6.75675
2022-10-13,5.4054
2022-10-14,13.51351
2022-10-15,4.95495
2022-10-16,3.6036
2022-10-17,12.61261
2022-10-18,12.16216
2022-10-19,15.76576
2022-10-20,12.61261
2022-10-21,8.1081
2022-10-22,7.65765
2022-10-23,6.3063
2022-10-24,9.45945
2022-10-25,10.81081
2022-10-26,17.11711
2022-10-27,10.81081
2022-10-28,7.65765
2022-10-29,2.7027
2022-10-30,6.75675
2022-10-31,10.81081
2022-11-01,10.36036
2022-11-02,14.86486
2022-11-03,14.41441
2022-11-04,10.81081
2022-11-05,4.5045
2022-11-06,7.2072
2022-11-07,20.72072
2022-11-08,17.11711
2022-11-09,9.009
2022-11-10,13.06306
2022-11-11,9.009
2022-11-12,7.65765
2022-11-13,6.75675
2022-11-14,13.96396
2022-11-15,13.51351
2022-11-16,9.45945
2022-11-17,5.4054
2022-11-18,8.1081
2022-11-19,4.05405
2022-11-20,7.2072
2022-11-21,14.86486
2022-11-22,13.51351
2022-11-23,15.31531
2022-11-24,7.65765
2022-11-25,13.96396
2022-11-26,10.81081
2022-11-27,10.81081
2022-11-28,14.41441
2022-11-29,14.41441
2022-11-30,9.009
2022-12-01,6.75675
2022-12-02,6.75675
2022-12-03,5.85585
2022-12-04,4.05405
2022-12-05,11.26126
2022-12-06,13.06306
2022-12-07,13.06306
2022-12-08,3.6036
2022-12-09,10.36036
2022-12-10,9.45945
2022-12-11,9.009
2022-12-12,16.21621
2022-12-13,7.2072
2022-12-14,16.21621
2022-12-15,11.71171
2022-12-16,13.06306
2022-12-17,7.65765
2022-12-18,9.009
2022-12-19,11.26126
2022-12-20,11.26126
2022-12-21,14.41441
2022-12-22,12.61261
2022-12-23,11.26126
2022-12-24,3.15315
2022-12-25,3.15315
2022-12-26,9.009
2022-12-27,20.27027
2022-12-28,17.11711
2022-12-29,15.31531
2022-12-30,16.66666
2022-12-31,5.85585
2023-01-01,8.55855
2023-01-02,15.31531
2023-01-03,13.51351
2023-01-04,12.16216
2023-01-05,7.2072
2023-01-06,14.41441
2023-01-07,8.1081
2023-01-08,9.9099
2023-01-09,13.96396
2023-01-10,14.41441
2023-01-11,17.56756
2023-01-12,9.009
2023-01-13,17.11711
2023-01-14,9.009
2023-01-15,9.009
2023-01-16,19.36936
2023-01-17,13.51351
2023-01-18,6.3063
2023-01-19,14.41441
2023-01-20,9.45945
2023-01-21,5.4054
2023-01-22,6.3063
2023-01-23,4.95495
2023-01-24,8.55855
2023-01-25,22.07207
2023-01-26,16.66666
2023-01-27,11.71171
2023-01-28,9.9099
2023-01-29,13.06306
2023-01-30,16.21621
2023-01-31,13.96396
2023-02-01,10.81081
2023-02-02,13.06306
2023-02-03,13.06306
2023-02-04,5.85585
2023-02-05,6.3063
2023-02-06,10.81081
2023-02-07,20.27027
2023-02-08,13.96396
2023-02-09,12.61261
2023-02-10,9.9099
2023-02-11,5.85585
2023-02-12,9.45945
2023-02-13,13.51351
2023-02-14,9.009
2023-02-15,13.06306
2023-02-16,13.51351
2023-02-17,8.1081
2023-02-18,8.55855
2023-02-19,3.6036
2023-02-20,9.9099
2023-02-21,18.46846
2023-02-22,10.36036
2023-02-23,14.41441
2023-02-24,20.72072
2023-02-25,6.75675
2023-02-26,2.7027
2023-02-27,13.06306
2023-02-28,13.51351
2023-03-01,7.2072
2023-03-02,13.51351
2023-03-03,9.009
2023-03-04,5.85585
2023-03-05,6.3063
2023-03-06,14.41441
2023-03-07,9.9099
2023-03-08,13.96396
2023-03-09,10.81081
2023-03-10,9.45945
