date,가자고
2022-03-29,1.31147
2022-03-30,1.96721
2022-03-31,4.26229
2022-04-01,4.42622
2022-04-02,5.08196
2022-04-03,3.60655
2022-04-04,3.27868
2022-04-05,4.59016
2022-04-06,7.21311
2022-04-07,7.04918
2022-04-08,4.59016
2022-04-09,5.90163
2022-04-10,6.88524
2022-04-11,6.06557
2022-04-12,3.77049
2022-04-13,3.93442
2022-04-14,1.63934
2022-04-15,1.80327
2022-04-16,3.11475
2022-04-17,1.80327
2022-04-18,2.62295
2022-04-19,3.11475
2022-04-20,0.9836
2022-04-21,2.29508
2022-04-22,3.93442
2022-04-23,3.11475
2022-04-24,2.62295
2022-04-25,4.59016
2022-04-26,2.13114
2022-04-27,2.29508
2022-04-28,3.27868
2022-04-29,2.29508
2022-04-30,3.27868
2022-05-01,2.29508
2022-05-02,0.9836
2022-05-03,1.96721
2022-05-04,2.78688
2022-05-05,3.44262
2022-05-06,3.60655
2022-05-07,2.13114
2022-05-08,0.81967
2022-05-09,4.59016
2022-05-10,4.26229
2022-05-11,2.78688
2022-05-12,1.14754
2022-05-13,2.95081
2022-05-14,2.62295
2022-05-15,1.63934
2022-05-16,2.45901
2022-05-17,1.96721
2022-05-18,3.27868
2022-05-19,3.60655
2022-05-20,1.63934
2022-05-21,2.29508
2022-05-22,0.9836
2022-05-23,2.62295
2022-05-24,3.60655
2022-05-25,2.45901
2022-05-26,1.80327
2022-05-27,1.80327
2022-05-28,1.4754
2022-05-29,1.31147
2022-05-30,3.27868
2022-05-31,4.09836
2022-06-01,1.80327
2022-06-02,0.9836
2022-06-03,1.80327
2022-06-04,1.96721
2022-06-06,2.45901
2022-06-07,1.31147
2022-06-08,2.13114
2022-06-09,0.9836
2022-06-10,1.63934
2022-06-11,2.78688
2022-06-12,4.09836
2022-06-13,1.14754
2022-06-14,1.96721
2022-06-15,0.81967
2022-06-17,2.45901
2022-06-18,3.44262
2022-06-19,1.80327
2022-06-20,3.44262
2022-06-21,2.95081
2022-06-22,3.77049
2022-06-23,3.44262
2022-06-24,2.29508
2022-06-25,2.45901
2022-06-26,1.31147
2022-06-27,2.62295
2022-06-28,2.13114
2022-06-29,1.63934
2022-06-30,2.29508
2022-07-01,2.29508
2022-07-02,3.44262
2022-07-03,2.13114
2022-07-04,1.80327
2022-07-05,2.29508
2022-07-07,2.29508
2022-07-09,1.63934
2022-07-10,1.96721
2022-07-11,1.96721
2022-07-13,2.95081
2022-07-14,2.45901
2022-07-15,1.63934
2022-07-16,1.96721
2022-07-17,1.63934
2022-07-18,2.29508
2022-07-19,0.81967
2022-07-20,2.13114
2022-07-21,3.93442
2022-07-22,1.4754
2022-07-23,2.78688
2022-07-24,1.80327
2022-07-25,4.59016
2022-07-26,5.2459
2022-07-27,1.80327
2022-07-28,2.62295
2022-07-29,1.4754
2022-07-30,2.29508
2022-07-31,2.13114
2022-08-01,3.44262
2022-08-02,4.09836
2022-08-03,1.96721
2022-08-04,3.60655
2022-08-05,2.62295
2022-08-06,1.4754
2022-08-07,2.62295
2022-08-08,2.62295
2022-08-09,1.96721
2022-08-10,3.27868
2022-08-11,0.9836
2022-08-12,1.4754
2022-08-13,1.14754
2022-08-14,2.13114
2022-08-15,1.63934
2022-08-16,2.13114
2022-08-17,1.96721
2022-08-18,3.44262
2022-08-19,2.95081
2022-08-20,1.63934
2022-08-21,1.80327
2022-08-22,3.11475
2022-08-23,0.81967
2022-08-24,0.81967
2022-08-25,0.9836
2022-08-26,2.62295
2022-08-27,1.80327
2022-08-29,0.81967
2022-08-30,2.45901
2022-09-01,1.4754
2022-09-02,2.62295
2022-09-03,0.81967
2022-09-05,0.81967
2022-09-06,0.81967
2022-09-07,1.31147
2022-09-09,0.9836
2022-09-10,1.96721
2022-09-11,1.4754
2022-09-12,1.80327
2022-09-13,2.29508
2022-09-14,3.27868
2022-09-15,2.45901
2022-09-16,1.14754
2022-09-17,1.96721
2022-09-18,1.31147
2022-09-19,0.81967
2022-09-20,1.63934
2022-09-21,3.11475
2022-09-22,2.13114
2022-09-23,2.45901
2022-09-24,2.13114
2022-09-25,0.81967
2022-09-26,2.62295
2022-09-27,0.81967
2022-09-28,1.96721
2022-09-29,1.80327
2022-09-30,1.4754
2022-10-01,3.27868
2022-10-02,2.45901
2022-10-03,0.9836
2022-10-04,2.78688
2022-10-05,2.78688
2022-10-06,2.29508
2022-10-07,3.27868
2022-10-08,2.29508
2022-10-09,2.29508
2022-10-10,2.78688
2022-10-11,1.4754
2022-10-12,1.63934
2022-10-13,1.96721
2022-10-14,1.80327
2022-10-15,1.14754
2022-10-16,3.11475
2022-10-17,2.29508
2022-10-18,1.80327
2022-10-19,2.78688
2022-10-20,0.9836
