date,비과세보험
2023-04-05,20.40816
2023-04-06,14.28571
2023-04-07,18.36734
2023-04-08,10.20408
2023-04-10,22.44897
2023-04-11,26.53061
2023-04-12,18.36734
2023-04-13,53.06122
2023-04-14,22.44897
2023-04-15,14.28571
2023-04-16,12.24489
2023-04-17,12.24489
2023-04-18,12.24489
2023-04-19,20.40816
2023-04-20,22.44897
2023-04-21,26.53061
2023-04-22,12.24489
2023-04-24,32.65306
2023-04-25,12.24489
2023-04-26,34.69387
2023-04-27,26.53061
2023-04-28,14.28571
2023-04-29,10.20408
2023-05-01,10.20408
2023-05-02,16.32653
2023-05-03,20.40816
2023-05-04,12.24489
2023-05-06,10.20408
2023-05-08,18.36734
2023-05-09,14.28571
2023-05-10,12.24489
2023-05-11,20.40816
2023-05-12,26.53061
2023-05-13,10.20408
2023-05-14,22.44897
2023-05-15,20.40816
2023-05-16,30.61224
2023-05-17,32.65306
2023-05-18,36.73469
2023-05-19,10.20408
2023-05-20,10.20408
2023-05-23,12.24489
2023-05-24,44.89795
2023-05-25,22.44897
2023-05-26,16.32653
2023-05-31,20.40816
2023-06-01,32.65306
2023-06-02,10.20408
2023-06-03,10.20408
2023-06-04,12.24489
2023-06-05,18.36734
2023-06-06,12.24489
2023-06-07,22.44897
2023-06-08,16.32653
2023-06-09,26.53061
2023-06-10,12.24489
2023-06-11,14.28571
2023-06-12,16.32653
2023-06-14,44.89795
2023-06-15,32.65306
2023-06-16,24.48979
2023-06-17,10.20408
2023-06-18,10.20408
2023-06-19,22.44897
2023-06-20,10.20408
2023-06-21,14.28571
2023-06-22,22.44897
2023-06-23,22.44897
2023-06-26,30.61224
2023-06-27,26.53061
2023-06-28,46.93877
2023-06-29,12.24489
2023-06-30,22.44897
2023-07-02,12.24489
2023-07-03,14.28571
2023-07-05,34.69387
2023-07-06,32.65306
2023-07-07,38.77551
2023-07-09,10.20408
2023-07-10,32.65306
2023-07-13,14.28571
2023-07-14,14.28571
2023-07-15,14.28571
2023-07-16,12.24489
2023-07-18,32.65306
2023-07-19,20.40816
2023-07-20,28.57142
2023-07-21,12.24489
2023-07-22,10.20408
2023-07-24,12.24489
2023-07-25,48.97959
2023-07-26,32.65306
2023-07-27,10.20408
2023-07-28,24.48979
2023-07-31,16.32653
2023-08-01,22.44897
2023-08-02,28.57142
2023-08-04,10.20408
2023-08-08,16.32653
2023-08-12,14.28571
2023-08-13,12.24489
2023-08-14,14.28571
2023-08-15,22.44897
2023-08-16,16.32653
2023-08-17,28.57142
2023-08-18,34.69387
2023-08-21,36.73469
2023-08-22,42.85714
2023-08-24,10.20408
2023-08-25,22.44897
2023-08-28,34.69387
2023-08-29,48.97959
2023-08-30,28.57142
2023-08-31,28.57142
2023-09-01,18.36734
2023-09-02,14.28571
2023-09-03,14.28571
2023-09-04,16.32653
2023-09-05,22.44897
2023-09-06,14.28571
2023-09-07,18.36734
2023-09-08,14.28571
2023-09-10,10.20408
2023-09-11,18.36734
2023-09-12,18.36734
2023-09-13,22.44897
2023-09-14,18.36734
2023-09-15,12.24489
2023-09-16,12.24489
2023-09-17,12.24489
2023-09-18,14.28571
2023-09-19,16.32653
2023-09-20,16.32653
2023-09-21,14.28571
2023-09-22,16.32653
2023-09-24,12.24489
2023-09-25,14.28571
2023-09-26,18.36734
2023-09-27,18.36734
2023-10-02,12.24489
2023-10-03,10.20408
2023-10-04,18.36734
2023-10-05,14.28571
2023-10-08,10.20408
2023-10-10,24.48979
2023-10-11,26.53061
2023-10-12,10.20408
2023-10-14,14.28571
2023-10-16,12.24489
2023-10-17,55.10204
2023-10-18,18.36734
2023-10-19,16.32653
2023-10-20,22.44897
2023-10-24,14.28571
2023-10-25,22.44897
2023-10-26,20.40816
2023-10-27,14.28571
2023-10-30,16.32653
2023-10-31,30.61224
2023-11-01,16.32653
2023-11-02,22.44897
2023-11-03,18.36734
2023-11-04,10.20408
2023-11-05,16.32653
2023-11-06,38.77551
2023-11-07,20.40816
2023-11-08,42.85714
2023-11-09,22.44897
2023-11-10,18.36734
2023-11-14,20.40816
2023-11-15,18.36734
2023-11-16,18.36734
2023-11-17,20.40816
2023-11-19,10.20408
2023-11-21,24.48979
2023-11-22,10.20408
2023-11-23,14.28571
2023-11-24,32.65306
2023-11-25,14.28571
2023-11-27,30.61224
2023-11-28,20.40816
2023-11-29,38.77551
2023-11-30,22.44897
2023-12-01,34.69387
2023-12-02,10.20408
2023-12-03,12.24489
2023-12-04,12.24489
2023-12-05,42.85714
2023-12-06,18.36734
2023-12-07,16.32653
2023-12-08,22.44897
2023-12-09,24.48979
2023-12-10,12.24489
2023-12-11,34.69387
2023-12-12,26.53061
2023-12-13,42.85714
2023-12-14,28.57142
2023-12-15,40.81632
2023-12-17,12.24489
2023-12-18,20.40816
2023-12-19,20.40816
2023-12-20,30.61224
2023-12-21,48.97959
2023-12-22,10.20408
2023-12-23,26.53061
2023-12-24,14.28571
2023-12-25,18.36734
2023-12-26,30.61224
2023-12-27,12.24489
2023-12-28,18.36734
2023-12-29,18.36734
2023-12-30,10.20408
2023-12-31,14.28571
2024-01-01,18.36734
2024-01-02,46.93877
2024-01-03,22.44897
2024-01-04,32.65306
2024-01-05,46.93877
2024-01-06,14.28571
2024-01-07,22.44897
2024-01-08,42.85714
2024-01-09,44.89795
2024-01-10,28.57142
2024-01-11,34.69387
2024-01-12,51.0204
2024-01-13,16.32653
2024-01-15,55.10204
2024-01-16,32.65306
2024-01-17,44.89795
2024-01-18,65.30612
2024-01-19,51.0204
2024-01-20,46.93877
2024-01-21,22.44897
2024-01-22,40.81632
2024-01-23,51.0204
2024-01-24,51.0204
2024-01-25,87.7551
2024-01-26,71.42857
2024-01-27,32.65306
2024-01-28,20.40816
2024-01-29,91.83673
2024-01-30,100.0
2024-01-31,83.67346
2024-02-01,42.85714
2024-02-02,48.97959
2024-02-03,26.53061
2024-02-04,16.32653
2024-02-05,44.89795
2024-02-06,55.10204
2024-02-07,34.69387
2024-02-08,20.40816
2024-02-11,10.20408
2024-02-12,30.61224
2024-02-13,18.36734
2024-02-14,26.53061
2024-02-15,51.0204
2024-02-16,38.77551
2024-02-17,14.28571
2024-02-18,14.28571
2024-02-19,20.40816
2024-02-20,53.06122
2024-02-21,53.06122
2024-02-22,38.77551
2024-02-23,42.85714
2024-02-24,14.28571
2024-02-25,32.65306
2024-02-26,42.85714
2024-02-27,36.73469
2024-02-28,53.06122
2024-02-29,32.65306
2024-03-01,28.57142
2024-03-02,10.20408
2024-03-04,44.89795
2024-03-05,38.77551
2024-03-06,51.0204
2024-03-07,36.73469
2024-03-08,38.77551
2024-03-10,20.40816
2024-03-11,46.93877
2024-03-12,36.73469
2024-03-13,57.14285
2024-03-14,46.93877
2024-03-15,36.73469
2024-03-16,26.53061
2024-03-17,14.28571
2024-03-18,34.69387
2024-03-19,30.61224
2024-03-20,18.36734
