date,자동차보험비교
2021-12-10,17.42788
2021-12-11,9.01442
2021-12-12,11.10576
2021-12-13,21.08173
2021-12-14,20.67307
2021-12-15,18.48557
2021-12-16,19.39903
2021-12-17,17.88461
2021-12-18,9.8798
2021-12-19,11.20192
2021-12-20,21.46634
2021-12-21,20.625
2021-12-22,18.6298
2021-12-23,18.55769
2021-12-24,13.58173
2021-12-25,9.51923
2021-12-26,11.1298
2021-12-27,20.36057
2021-12-28,19.35096
2021-12-29,17.35576
2021-12-30,16.89903
2021-12-31,14.30288
2022-01-01,11.39423
2022-01-02,12.11538
2022-01-03,24.80769
2022-01-04,22.74038
2022-01-05,21.68269
2022-01-06,20.14423
2022-01-07,16.49038
2022-01-08,11.17788
2022-01-09,11.17788
2022-01-10,22.3798
2022-01-11,20.14423
2022-01-12,18.99038
2022-01-13,17.88461
2022-01-14,16.53846
2022-01-15,10.625
2022-01-16,10.76923
2022-01-17,19.61538
2022-01-18,19.23076
2022-01-19,19.73557
2022-01-20,16.80288
2022-01-21,15.43269
2022-01-22,10.1923
2022-01-23,11.1298
2022-01-24,20.69711
2022-01-25,17.76442
2022-01-26,18.19711
2022-01-27,18.4375
2022-01-28,16.92307
2022-01-29,9.03846
2022-01-30,8.82211
2022-01-31,8.82211
2022-02-01,9.61538
2022-02-02,12.35576
2022-02-03,24.73557
2022-02-04,22.3798
2022-02-05,11.25
2022-02-06,11.70673
2022-02-07,20.88942
2022-02-08,19.59134
2022-02-09,19.01442
2022-02-10,18.4375
2022-02-11,19.11057
2022-02-12,11.51442
2022-02-13,12.52403
2022-02-14,21.4423
2022-02-15,21.51442
2022-02-16,22.35576
2022-02-17,21.20192
2022-02-18,19.80769
2022-02-19,10.96153
2022-02-20,12.57211
2022-02-21,22.21153
2022-02-22,20.12019
2022-02-23,19.54326
2022-02-24,18.29326
2022-02-25,17.16346
2022-02-26,11.4423
2022-02-27,11.20192
2022-02-28,19.375
2022-03-01,14.5673
2022-03-02,21.32211
2022-03-03,18.22115
2022-03-04,19.80769
2022-03-05,11.20192
2022-03-06,12.11538
2022-03-07,20.28846
2022-03-08,19.71153
2022-03-09,12.33173
2022-03-10,18.91826
2022-03-11,19.75961
2022-03-12,12.5
2022-03-13,11.85096
2022-03-14,22.78846
2022-03-15,21.15384
2022-03-16,19.2548
2022-03-17,19.18269
2022-03-18,18.0048
2022-03-19,10.07211
2022-03-20,12.64423
2022-03-21,21.53846
2022-03-22,18.75
2022-03-23,18.84615
2022-03-24,17.57211
2022-03-25,15.48076
2022-03-26,11.34615
2022-03-27,10.88942
2022-03-28,19.35096
2022-03-29,17.78846
2022-03-30,18.48557
2022-03-31,17.59615
2022-04-01,16.94711
2022-04-02,10.88942
2022-04-03,12.40384
2022-04-04,22.45192
2022-04-05,19.32692
2022-04-06,18.05288
2022-04-07,18.53365
2022-04-08,14.78365
2022-04-09,10.52884
2022-04-10,12.01923
2022-04-11,19.47115
2022-04-12,20.14423
2022-04-13,17.98076
2022-04-14,16.92307
2022-04-15,17.21153
2022-04-16,9.47115
2022-04-17,11.46634
2022-04-18,18.19711
2022-04-19,19.61538
2022-04-20,20.57692
2022-04-21,18.6298
2022-04-22,15.625
2022-04-23,10.69711
2022-04-24,10.48076
2022-04-25,19.32692
2022-04-26,18.05288
2022-04-27,16.39423
2022-04-28,16.97115
2022-04-29,15.96153
2022-04-30,9.42307
2022-05-01,11.32211
2022-05-02,20.40865
2022-05-03,18.53365
2022-05-04,16.70673
2022-05-05,10.48076
2022-05-06,16.03365
2022-05-07,10.57692
2022-05-08,11.17788
2022-05-09,22.13942
2022-05-10,18.9423
2022-05-11,21.25
2022-05-12,19.08653
2022-05-13,15.86538
2022-05-14,9.97596
2022-05-15,11.37019
2022-05-16,20.9375
2022-05-17,19.6875
2022-05-18,18.84615
2022-05-19,18.4375
2022-05-20,16.27403
2022-05-21,10.04807
2022-05-22,10.45673
2022-05-23,21.32211
2022-05-24,20.9375
2022-05-25,19.80769
2022-05-26,17.47596
2022-05-27,16.00961
2022-05-28,9.78365
2022-05-29,10.38461
2022-05-30,22.83653
2022-05-31,17.16346
2022-06-01,13.125
2022-06-02,20.96153
2022-06-03,19.08653
2022-06-04,10.98557
2022-06-05,9.11057
2022-06-06,12.1875
2022-06-07,21.80288
2022-06-08,22.66826
2022-06-09,19.30288
2022-06-10,16.70673
2022-06-11,9.73557
2022-06-12,10.24038
2022-06-13,22.23557
2022-06-14,22.11538
2022-06-15,21.58653
2022-06-16,20.72115
2022-06-17,16.73076
2022-06-18,10.45673
2022-06-19,11.68269
2022-06-20,21.08173
2022-06-21,20.79326
