date,상가임대
2022-01-09,57.48031
2022-01-10,80.48993
2022-01-11,73.05336
2022-01-12,76.20297
2022-01-13,75.1531
2022-01-14,63.34208
2022-01-15,63.42957
2022-01-16,50.30621
2022-01-17,72.26596
2022-01-18,78.21522
2022-01-19,69.90376
2022-01-20,68.32895
2022-01-21,60.62992
2022-01-22,54.68066
2022-01-23,56.08048
2022-01-24,70.95363
2022-01-25,77.34033
2022-01-26,65.79177
2022-01-27,71.74103
2022-01-28,53.71828
2022-01-29,50.21872
2022-01-30,38.67016
2022-01-31,35.52055
2022-02-01,39.63254
2022-02-02,48.11898
2022-02-03,78.65266
2022-02-04,71.04111
2022-02-05,60.54243
2022-02-06,68.59142
2022-02-07,86.17672
2022-02-08,79.1776
2022-02-09,81.5398
2022-02-10,76.29046
2022-02-11,65.09186
2022-02-12,61.94225
2022-02-13,61.06736
2022-02-14,81.97725
2022-02-15,83.72703
2022-02-16,79.61504
2022-02-17,78.12773
2022-02-18,74.19072
2022-02-19,56.69291
2022-02-20,64.21697
2022-02-21,82.23972
2022-02-22,80.22747
2022-02-23,71.21609
2022-02-24,72.44094
2022-02-25,67.71653
2022-02-26,59.66754
2022-02-27,65.70428
2022-02-28,70.86614
2022-03-01,67.80402
2022-03-02,74.80314
2022-03-03,74.80314
2022-03-04,69.72878
2022-03-05,61.15485
2022-03-06,56.86789
2022-03-07,77.07786
2022-03-08,67.27909
2022-03-09,55.90551
2022-03-10,68.41644
2022-03-11,67.27909
2022-03-12,66.31671
2022-03-13,64.7419
2022-03-14,85.38932
2022-03-15,86.26421
2022-03-16,87.9265
2022-03-17,76.29046
2022-03-18,75.06561
2022-03-19,60.62992
2022-03-20,63.77952
2022-03-21,83.63954
2022-03-22,78.47769
2022-03-23,80.92738
2022-03-24,74.01574
2022-03-25,71.56605
2022-03-26,61.41732
2022-03-27,72.00349
2022-03-28,87.75153
2022-03-29,84.68941
2022-03-30,79.61504
2022-03-31,77.42782
2022-04-01,63.60454
2022-04-02,58.96762
2022-04-03,58.26771
2022-04-04,84.51443
2022-04-05,85.82677
2022-04-06,82.15223
2022-04-07,78.56517
2022-04-08,70.69116
2022-04-09,54.06824
2022-04-10,60.54243
2022-04-11,90.02624
2022-04-12,82.76465
2022-04-13,77.34033
2022-04-14,77.07786
2022-04-15,80.13998
2022-04-16,63.1671
2022-04-17,62.3797
2022-04-18,86.08923
2022-04-19,84.95188
2022-04-20,84.60192
2022-04-21,79.35258
2022-04-22,72.96587
2022-04-23,54.06824
2022-04-24,61.06736
2022-04-25,87.40157
2022-04-26,82.15223
2022-04-27,81.10236
2022-04-28,79.00262
2022-04-29,67.62904
2022-04-30,49.51881
2022-05-01,54.85564
2022-05-02,75.06561
2022-05-03,76.55293
2022-05-04,69.99125
2022-05-05,52.58092
2022-05-06,64.91688
2022-05-07,55.11811
2022-05-08,55.29308
2022-05-09,80.66491
2022-05-10,86.43919
2022-05-11,83.02712
2022-05-12,81.36482
2022-05-13,67.45406
2022-05-14,55.90551
2022-05-15,58.00524
2022-05-16,79.70253
2022-05-17,79.965
2022-05-18,76.90288
2022-05-19,76.20297
2022-05-20,64.56692
2022-05-21,46.45669
2022-05-22,56.25546
2022-05-23,80.92738
2022-05-24,78.12773
2022-05-25,75.59055
2022-05-26,78.82764
2022-05-27,63.77952
2022-05-28,53.80577
2022-05-29,55.81802
2022-05-30,80.13998
2022-05-31,71.1286
2022-06-01,56.08048
2022-06-02,68.59142
2022-06-03,66.84164
2022-06-04,56.95538
2022-06-05,51.26859
2022-06-06,62.55468
2022-06-07,77.69028
2022-06-08,78.65266
2022-06-09,77.16535
2022-06-10,70.86614
2022-06-11,47.41907
2022-06-12,53.01837
2022-06-13,75.76552
2022-06-14,72.87839
2022-06-15,68.94138
2022-06-16,75.32808
2022-06-17,61.41732
2022-06-18,55.29308
2022-06-19,53.63079
2022-06-20,75.85301
2022-06-21,80.48993
2022-06-22,75.59055
2022-06-23,63.60454
2022-06-24,69.90376
2022-06-25,49.60629
2022-06-26,49.43132
2022-06-27,76.64041
2022-06-28,77.69028
2022-06-29,67.979
2022-06-30,60.45494
2022-07-01,59.05511
2022-07-02,50.65616
2022-07-03,51.44356
2022-07-04,75.76552
2022-07-05,76.64041
2022-07-06,68.06649
2022-07-07,67.71653
2022-07-08,60.97987
2022-07-09,48.64391
2022-07-10,48.81889
2022-07-11,80.7524
2022-07-12,73.75328
2022-07-13,63.77952
2022-07-14,67.62904
2022-07-15,61.24234
2022-07-16,44.7944
2022-07-17,50.3937
2022-07-18,76.90288
2022-07-19,77.07786
2022-07-20,75.41557
2022-07-21,76.02799
2022-07-22,61.85476
2022-07-23,51.1811
2022-07-24,53.63079
2022-07-25,75.67804
2022-07-26,68.59142
2022-07-27,66.22922
2022-07-28,66.57917
2022-07-29,52.23097
2022-07-30,44.18197
2022-07-31,44.18197
2022-08-01,58.70516
2022-08-02,68.32895
2022-08-03,63.07961
2022-08-04,67.979
2022-08-05,58.18022
2022-08-06,52.14348
2022-08-07,53.89326
2022-08-08,69.99125
2022-08-09,62.29221
2022-08-10,62.20472
2022-08-11,62.81714
2022-08-12,60.01749
2022-08-13,52.93088
2022-08-14,48.20647
2022-08-15,61.06736
2022-08-16,77.25284
2022-08-17,78.82764
2022-08-18,71.56605
2022-08-19,66.75415
2022-08-20,57.30533
2022-08-21,54.85564
2022-08-22,80.13998
2022-08-23,81.10236
2022-08-24,87.05161
2022-08-25,71.65354
2022-08-26,65.09186
2022-08-27,51.26859
2022-08-28,53.10586
2022-08-29,79.61504
2022-08-30,77.77777
2022-08-31,74.71566
2022-09-01,71.47856
2022-09-02,66.49168
2022-09-03,46.28171
2022-09-04,49.95625
2022-09-05,60.62992
2022-09-06,63.9545
2022-09-07,60.71741
2022-09-08,49.43132
2022-09-09,32.45844
2022-09-10,34.3832
2022-09-11,39.63254
2022-09-12,53.80577
2022-09-13,78.82764
2022-09-14,79.70253
2022-09-15,88.36395
2022-09-16,70.60367
2022-09-17,60.45494
2022-09-18,60.89238
2022-09-19,87.22659
2022-09-20,75.1531
2022-09-21,76.46544
2022-09-22,73.5783
2022-09-23,64.21697
2022-09-24,47.85651
2022-09-25,53.45581
2022-09-26,76.46544
2022-09-27,75.85301
2022-09-28,74.27821
2022-09-29,66.75415
2022-09-30,65.17935
2022-10-01,52.23097
2022-10-02,47.41907
2022-10-03,60.89238
2022-10-04,80.83989
2022-10-05,75.50306
2022-10-06,74.71566
2022-10-07,66.49168
2022-10-08,43.1321
2022-10-09,46.54418
2022-10-10,56.69291
2022-10-11,73.66579
2022-10-12,70.16622
2022-10-13,79.1776
2022-10-14,66.14173
2022-10-15,51.00612
2022-10-16,57.5678
2022-10-17,73.75328
2022-10-18,72.7909
2022-10-19,67.45406
2022-10-20,62.02974
2022-10-21,61.50481
2022-10-22,49.51881
2022-10-23,67.80402
2022-10-24,74.45319
2022-10-25,74.45319
2022-10-26,79.52755
2022-10-27,70.16622
2022-10-28,62.90463
2022-10-29,49.69378
2022-10-30,43.83202
2022-10-31,72.26596
2022-11-01,69.11636
2022-11-02,71.74103
2022-11-03,67.27909
2022-11-04,54.68066
2022-11-05,53.01837
2022-11-06,46.89413
2022-11-07,69.29133
2022-11-08,68.94138
2022-11-09,75.67804
2022-11-10,72.96587
2022-11-11,64.30446
2022-11-12,48.90638
2022-11-13,54.41819
2022-11-14,74.01574
2022-11-15,70.95363
2022-11-16,70.07874
2022-11-17,70.60367
2022-11-18,61.32983
2022-11-19,54.06824
2022-11-20,51.00612
2022-11-21,73.75328
2022-11-22,76.46544
2022-11-23,77.25284
2022-11-24,60.36745
2022-11-25,61.5923
2022-11-26,53.5433
2022-11-27,51.70603
2022-11-28,64.7419
2022-11-29,69.90376
2022-11-30,64.82939
2022-12-01,63.42957
2022-12-02,62.64216
2022-12-03,39.54505
2022-12-04,49.34383
2022-12-05,65.17935
2022-12-06,62.55468
2022-12-07,70.42869
2022-12-08,67.62904
2022-12-09,64.7419
2022-12-10,50.21872
2022-12-11,51.26859
2022-12-12,71.04111
2022-12-13,72.26596
2022-12-14,72.17847
2022-12-15,65.79177
2022-12-16,58.70516
2022-12-17,44.96937
2022-12-18,49.08136
2022-12-19,65.44181
2022-12-20,61.06736
2022-12-21,66.57917
2022-12-22,61.41732
2022-12-23,55.20559
2022-12-24,41.03237
2022-12-25,41.11986
2022-12-26,64.12948
2022-12-27,67.71653
2022-12-28,67.10411
2022-12-29,60.71741
2022-12-30,53.5433
2022-12-31,49.34383
2023-01-01,41.5573
2023-01-02,81.10236
2023-01-03,83.55205
2023-01-04,80.31496
2023-01-05,74.71566
2023-01-06,74.19072
2023-01-07,60.62992
2023-01-08,60.10498
2023-01-09,81.62729
2023-01-10,82.3272
2023-01-11,80.48993
2023-01-12,75.1531
2023-01-13,71.65354
2023-01-14,56.16797
2023-01-15,56.25546
2023-01-16,73.22834
2023-01-17,75.32808
2023-01-18,69.20384
2023-01-19,65.00437
2023-01-20,57.13035
2023-01-21,39.37007
2023-01-22,33.5958
2023-01-23,42.43219
2023-01-24,50.30621
