date,간병인보험
2022-05-27,2.28186
2022-05-28,1.98798
2022-05-29,1.9318
2022-05-30,2.88257
2022-05-31,2.75724
2022-06-01,1.90155
2022-06-02,2.45473
2022-06-03,2.34668
2022-06-04,1.69843
2022-06-05,1.75461
2022-06-06,2.1306
2022-06-07,3.61294
2022-06-08,3.45736
2022-06-09,3.02951
2022-06-10,2.28186
2022-06-11,1.78054
2022-06-12,2.95172
2022-06-13,3.94139
2022-06-14,3.83767
2022-06-15,3.83335
2022-06-16,3.28881
2022-06-17,2.7875
2022-06-18,1.9318
2022-06-19,2.07009
2022-06-20,2.8869
2022-06-21,2.95172
2022-06-22,2.95604
2022-06-23,3.39686
2022-06-24,2.73564
2022-06-25,2.30347
2022-06-26,2.02688
2022-06-27,3.49626
2022-06-28,3.40982
2022-06-29,3.18942
2022-06-30,2.83936
2022-07-01,2.34236
2022-07-02,1.70707
2022-07-03,1.7719
2022-07-04,2.7486
2022-07-05,3.04248
2022-07-06,3.12891
2022-07-07,2.91283
2022-07-08,2.4893
2022-07-09,1.99662
2022-07-10,1.92748
2022-07-11,3.05544
2022-07-12,2.75724
2022-07-13,3.23695
2022-07-14,2.60166
2022-07-15,2.58005
2022-07-16,2.15221
2022-07-17,2.05713
2022-07-18,3.09434
2022-07-19,2.95172
2022-07-20,2.95172
2022-07-21,2.99926
2022-07-22,2.84368
2022-07-23,2.04848
2022-07-24,2.12195
2022-07-25,3.0079
2022-07-26,3.61294
2022-07-27,3.60862
2022-07-28,2.99926
2022-07-29,2.36829
2022-07-30,1.94909
2022-07-31,2.28186
2022-08-01,2.53684
2022-08-02,2.9474
2022-08-03,2.91283
2022-08-04,2.80911
2022-08-05,2.67513
2022-08-06,2.77453
2022-08-07,2.80046
2022-08-08,3.45736
2022-08-09,2.73996
2022-08-10,3.55244
2022-08-11,3.24128
2022-08-12,2.76157
2022-08-13,1.98366
2022-08-14,2.04416
2022-08-15,1.94909
2022-08-16,3.03816
2022-08-17,3.48761
2022-08-18,3.0079
2022-08-19,3.10298
2022-08-20,2.0312
2022-08-21,8.31928
2022-08-22,5.82998
2022-08-23,4.70201
2022-08-24,4.37356
2022-08-25,3.59566
2022-08-26,3.60862
2022-08-27,2.36829
2022-08-28,2.84368
2022-08-29,4.0019
2022-08-30,3.65616
2022-08-31,3.89818
2022-09-01,3.27153
2022-09-02,3.00358
2022-09-03,2.24728
2022-09-04,1.96637
2022-09-05,2.93011
2022-09-06,2.66649
2022-09-07,3.47033
2022-09-08,2.4504
2022-09-09,2.05713
2022-09-10,2.56277
2022-09-11,2.35533
2022-09-12,2.848
2022-09-13,3.8636
2022-09-14,4.14451
2022-09-15,4.25688
2022-09-16,3.7642
2022-09-17,2.7486
2022-09-18,2.53252
2022-09-19,3.8636
2022-09-20,3.85496
2022-09-21,3.65616
2022-09-22,3.6648
2022-09-23,3.09002
2022-09-24,2.41583
2022-09-25,2.00095
2022-09-26,3.02087
2022-09-27,3.35364
2022-09-28,3.34932
2022-09-29,3.59998
2022-09-30,2.70106
2022-10-01,1.86697
2022-10-02,2.16949
2022-10-03,2.4504
2022-10-04,3.13755
2022-10-05,3.32339
2022-10-06,3.345
2022-10-07,3.00358
2022-10-08,2.02255
2022-10-09,2.10467
2022-10-10,1.92316
2022-10-11,2.96901
2022-10-12,3.05112
2022-10-13,3.27153
2022-10-14,3.29314
2022-10-15,2.09602
2022-10-16,2.16517
2022-10-17,3.27153
2022-10-18,3.18942
2022-10-19,3.16349
2022-10-20,3.12891
2022-10-21,2.83071
2022-10-22,2.03984
2022-10-23,2.00959
2022-10-24,3.0079
2022-10-25,3.31474
2022-10-26,2.99926
2022-10-27,3.43143
2022-10-28,3.2067
2022-10-29,2.27321
2022-10-30,1.67682
2022-10-31,2.66217
2022-11-01,3.01223
2022-11-02,3.0468
2022-11-03,2.6881
2022-11-04,2.85232
2022-11-05,1.91883
2022-11-06,1.82808
2022-11-07,3.45304
2022-11-08,3.4055
2022-11-09,3.18077
2022-11-10,3.28881
2022-11-11,2.73564
2022-11-12,2.02255
2022-11-13,2.28618
2022-11-14,3.15052
2022-11-15,2.8869
2022-11-16,3.22399
2022-11-17,3.12891
2022-11-18,2.72699
2022-11-19,2.20407
2022-11-20,2.16085
2022-11-21,3.03816
2022-11-22,3.21967
2022-11-23,2.92147
2022-11-24,3.11162
2022-11-25,2.9863
2022-11-26,1.96205
2022-11-27,1.78918
2022-11-28,2.77885
2022-11-29,3.28017
2022-11-30,3.15484
2022-12-01,2.86529
2022-12-02,2.848
2022-12-03,2.44608
2022-12-04,2.71403
2022-12-05,3.75988
2022-12-06,3.87657
2022-12-07,3.59998
2022-12-08,3.61294
2022-12-09,3.44007
2022-12-10,2.351
2022-12-11,2.48498
2022-12-12,3.31042
2022-12-13,3.95868
2022-12-14,3.52651
2022-12-15,3.13323
2022-12-16,3.17645
2022-12-17,2.16085
2022-12-18,2.39854
2022-12-19,3.37093
2022-12-20,3.88953
2022-12-21,3.53947
2022-12-22,3.2456
2022-12-23,3.09866
2022-12-24,2.26457
2022-12-25,2.34668
2022-12-26,3.63023
2022-12-27,3.79445
