date,오늘미국증시
2021-05-25,16.94338
2021-05-26,18.30566
2021-05-27,16.34738
2021-05-28,15.92166
2021-05-29,8.5994
2021-05-30,3.15027
2021-05-31,58.87611
2021-06-01,31.41762
2021-06-02,16.51766
2021-06-03,16.98595
2021-06-04,15.07024
2021-06-05,8.42911
2021-06-06,3.19284
2021-06-07,8.93997
2021-06-08,16.13452
2021-06-09,16.6028
2021-06-10,15.45338
2021-06-11,13.53767
2021-06-12,8.04597
2021-06-13,3.49084
2021-06-14,9.11025
2021-06-15,13.1971
2021-06-16,16.81566
2021-06-17,15.75138
2021-06-18,15.32567
2021-06-19,10.13197
2021-06-20,3.95913
2021-06-21,10.68539
2021-06-22,17.75223
2021-06-23,18.3908
2021-06-24,18.13537
2021-06-25,16.21966
2021-06-26,8.13111
2021-06-27,3.23541
2021-06-28,8.85483
2021-06-29,13.40996
2021-06-30,13.1971
2021-07-01,12.94167
2021-07-02,11.79225
2021-07-03,5.66198
2021-07-04,3.02256
2021-07-05,81.82205
2021-07-06,28.65048
2021-07-07,16.94338
2021-07-08,22.60536
2021-07-09,17.75223
2021-07-10,9.45083
2021-07-11,3.49084
2021-07-12,9.11025
2021-07-13,15.62366
2021-07-14,16.51766
2021-07-15,18.34823
2021-07-16,17.07109
2021-07-17,10.51511
2021-07-18,3.06513
2021-07-19,12.47339
2021-07-20,21.49851
2021-07-21,19.36994
2021-07-22,16.6028
2021-07-23,16.04938
2021-07-24,8.38654
2021-07-25,3.27799
2021-07-26,11.32396
2021-07-27,15.36824
2021-07-28,15.66624
2021-07-29,15.53852
2021-07-30,13.32481
2021-07-31,6.98169
2021-08-01,3.15027
2021-08-02,6.04512
2021-08-03,11.83482
2021-08-04,11.66453
2021-08-05,12.47339
2021-08-06,12.04767
2021-08-07,6.85398
2021-08-08,2.25627
2021-08-09,8.0034
2021-08-10,12.55853
2021-08-11,13.62281
2021-08-12,15.62366
2021-08-13,15.19795
2021-08-14,8.47169
2021-08-15,3.06513
2021-08-16,13.96338
2021-08-17,15.41081
2021-08-18,13.83567
2021-08-19,15.70881
2021-08-20,16.21966
2021-08-21,10.21711
2021-08-22,3.74627
2021-08-23,9.32311
2021-08-24,14.77224
2021-08-25,16.68795
2021-08-26,16.13452
2021-08-27,14.72967
2021-08-28,9.23797
2021-08-29,3.19284
2021-08-30,6.55598
2021-08-31,12.98424
2021-09-01,15.11281
2021-09-02,14.51681
2021-09-03,13.83567
2021-09-04,8.5994
2021-09-05,3.19284
2021-09-06,86.59003
2021-09-07,30.22562
2021-09-08,15.07024
2021-09-09,14.64452
2021-09-10,12.8991
2021-09-11,8.47169
2021-09-12,2.72456
2021-09-13,7.53512
2021-09-14,12.55853
2021-09-15,12.6011
2021-09-16,11.96253
2021-09-17,10.04682
2021-09-18,5.87484
2021-09-19,2.59684
2021-09-20,6.30055
2021-09-21,9.53597
2021-09-22,13.28224
2021-09-23,13.53767
2021-09-24,10.81311
2021-09-25,7.4074
2021-09-26,2.85227
2021-09-27,6.93912
2021-09-28,11.7071
2021-09-29,16.00681
2021-09-30,15.87909
2021-10-01,13.83567
2021-10-02,8.81226
2021-10-03,3.32056
2021-10-04,10.38739
2021-10-05,19.83822
2021-10-06,20.00851
2021-10-07,19.71051
2021-10-08,15.70881
2021-10-09,8.38654
2021-10-10,3.06513
2021-10-11,11.15368
2021-10-12,16.34738
2021-10-13,16.68795
2021-10-14,15.87909
2021-10-15,15.07024
2021-10-16,7.83312
2021-10-17,3.78884
2021-10-18,10.00425
2021-10-19,13.53767
2021-10-20,13.11196
2021-10-21,14.64452
2021-10-22,11.7071
2021-10-23,6.98169
2021-10-24,3.36313
2021-10-25,7.1094
2021-10-26,12.51596
2021-10-27,13.06939
2021-10-28,12.17539
2021-10-29,11.91996
2021-10-30,7.19455
2021-10-31,3.1077
2021-11-01,7.57769
2021-11-02,12.77139
2021-11-03,13.15453
2021-11-04,14.00595
2021-11-05,14.00595
2021-11-06,6.17283
