date,저작권료
2021-10-04,10.2526
2021-10-05,9.95542
2021-10-06,7.28083
2021-10-07,7.72659
2021-10-08,7.42942
2021-10-09,6.68647
2021-10-10,17.53343
2021-10-11,17.53343
2021-10-12,12.48142
2021-10-13,9.80683
2021-10-14,9.95542
2021-10-15,11.73848
2021-10-16,7.578
2021-10-17,8.9153
2021-10-18,9.95542
2021-10-19,9.95542
2021-10-20,10.54977
2021-10-21,8.76671
2021-10-22,8.9153
2021-10-23,6.98365
2021-10-24,6.3893
2021-10-25,6.24071
2021-10-26,5.94353
2021-10-27,8.17236
2021-10-28,9.95542
2021-10-29,9.95542
2021-10-30,5.49777
2021-10-31,8.61812
2021-11-01,7.72659
2021-11-02,9.95542
2021-11-03,10.69836
2021-11-04,10.84695
2021-11-05,7.87518
2021-11-06,7.13224
2021-11-07,9.06389
2021-11-08,8.17236
2021-11-09,5.64635
2021-11-10,9.95542
2021-11-11,7.13224
2021-11-12,5.20059
2021-11-13,5.64635
2021-11-14,7.13224
2021-11-15,5.20059
2021-11-16,5.94353
2021-11-17,7.578
2021-11-18,7.13224
2021-11-19,6.98365
2021-11-20,6.83506
2021-11-21,8.9153
2021-11-22,7.72659
2021-11-23,10.40118
2021-11-24,8.76671
2021-11-25,9.06389
2021-11-26,6.09212
2021-11-27,7.13224
2021-11-28,8.02377
2021-11-29,7.72659
2021-11-30,7.87518
2021-12-01,8.17236
2021-12-02,6.3893
2021-12-03,7.42942
2021-12-04,7.28083
2021-12-05,6.24071
2021-12-06,8.46953
2021-12-07,7.578
2021-12-08,9.21248
2021-12-09,9.50965
2021-12-10,10.2526
2021-12-11,20.5052
2021-12-12,11.58989
2021-12-13,9.21248
2021-12-14,10.99554
2021-12-15,8.61812
2021-12-16,7.42942
2021-12-17,7.87518
2021-12-18,10.54977
2021-12-19,11.58989
2021-12-20,9.50965
2021-12-21,8.76671
2021-12-22,9.80683
2021-12-23,10.84695
2021-12-24,10.2526
2021-12-25,11.29271
2021-12-26,9.36106
2021-12-27,9.21248
2021-12-28,9.36106
2021-12-29,7.87518
2021-12-30,8.02377
2021-12-31,7.28083
2022-01-01,7.87518
2022-01-02,9.36106
2022-01-03,9.65824
2022-01-04,7.87518
2022-01-05,9.50965
2022-01-06,6.53789
2022-01-07,7.578
2022-01-08,6.83506
2022-01-09,6.98365
2022-01-10,8.61812
2022-01-11,5.79494
2022-01-12,11.88707
2022-01-13,13.67013
2022-01-14,11.73848
2022-01-15,11.4413
2022-01-16,10.2526
2022-01-17,12.03566
2022-01-18,6.83506
2022-01-19,7.72659
2022-01-20,6.98365
2022-01-21,9.50965
2022-01-22,7.72659
2022-01-23,9.80683
2022-01-24,9.06389
2022-01-25,9.36106
2022-01-26,7.72659
2022-01-27,7.28083
2022-01-28,9.50965
2022-01-29,10.10401
2022-01-30,9.06389
2022-01-31,12.33283
2022-02-01,22.13967
2022-02-02,10.69836
2022-02-03,9.36106
2022-02-04,8.17236
2022-02-05,9.21248
2022-02-06,6.83506
2022-02-07,4.75482
2022-02-08,5.49777
2022-02-09,7.72659
2022-02-10,6.68647
2022-02-11,5.052
2022-02-12,10.10401
2022-02-13,7.87518
2022-02-14,6.3893
2022-02-15,6.98365
2022-02-16,7.72659
2022-02-17,7.13224
2022-02-18,6.98365
2022-02-19,5.20059
2022-02-20,8.76671
2022-02-21,6.24071
2022-02-22,7.87518
2022-02-23,8.46953
2022-02-24,5.79494
2022-02-25,6.53789
2022-02-26,7.72659
2022-02-27,5.94353
2022-02-28,5.94353
2022-03-01,5.79494
2022-03-02,6.24071
2022-03-03,5.20059
2022-03-04,6.24071
2022-03-05,6.98365
2022-03-06,8.02377
2022-03-07,5.79494
2022-03-08,8.76671
2022-03-09,6.68647
2022-03-10,5.052
2022-03-11,23.62555
2022-03-12,25.85438
2022-03-13,36.84992
2022-03-14,30.7578
2022-03-15,17.97919
2022-03-16,15.00742
2022-03-17,11.29271
2022-03-18,9.95542
2022-03-19,13.52154
2022-03-20,9.50965
2022-03-21,9.95542
2022-03-22,15.00742
2022-03-23,12.63001
2022-03-24,8.9153
2022-03-25,9.80683
2022-03-26,7.13224
2022-03-27,6.24071
2022-03-28,8.32095
2022-03-29,8.17236
2022-03-30,7.72659
2022-03-31,9.95542
2022-04-01,8.46953
2022-04-02,8.02377
2022-04-03,7.72659
2022-04-04,12.92719
2022-04-05,29.56909
2022-04-06,15.60178
2022-04-07,13.22436
2022-04-08,13.67013
2022-04-09,12.03566
2022-04-10,15.15601
2022-04-11,16.19613
2022-04-12,12.92719
2022-04-13,18.12778
2022-04-14,13.81872
2022-04-15,15.00742
2022-04-16,21.84249
2022-04-17,22.73402
2022-04-18,17.53343
